name,with_evidence_iou,with_evidence_dice,with_evidence_precision,with_evidence_recall,with_evidence_components_pred,with_evidence_skeleton_covered,no_evidence_iou,no_evidence_dice,no_evidence_precision,no_evidence_recall,no_evidence_components_pred,no_evidence_skeleton_covered
CFD_001.jpg,0.376670,0.547219,0.377085,0.997087,1.000000,0.994361,0.414558,0.586131,0.415350,0.995422,1.000000,0.992481
CFD_007.jpg,0.301503,0.463315,0.301551,0.999464,2.000000,1.000000,0.331025,0.497398,0.331201,0.998393,2.000000,1.000000
CFD_011.jpg,0.208138,0.344560,0.209042,0.979661,2.000000,0.973333,0.214898,0.353771,0.215943,0.977966,2.000000,0.969524
CFD_013.jpg,0.435410,0.606670,0.436874,0.992361,1.000000,0.988473,0.480275,0.648900,0.483440,0.986549,2.000000,0.983670
CFD_014.jpg,0.276324,0.433000,0.276963,0.991713,1.000000,0.995736,0.288524,0.447836,0.289457,0.988950,1.000000,0.993603
CFD_019.jpg,0.489526,0.657291,0.501681,0.952842,1.000000,0.963597,0.509784,0.675307,0.525622,0.944193,1.000000,0.962527
CFD_037.jpg,0.289169,0.448613,0.336907,0.671141,5.000000,0.790114,0.315170,0.479284,0.363780,0.702257,12.000000,0.818251
CFD_040.jpg,0.269339,0.424377,0.276367,0.913731,3.000000,0.922078,0.291372,0.451259,0.300185,0.908462,4.000000,0.918182
CFD_047.jpg,0.179030,0.303691,0.193150,0.710064,1.000000,0.722738,0.191827,0.321904,0.208166,0.709636,1.000000,0.722738
CFD_070.jpg,0.294382,0.454862,0.294530,0.998304,1.000000,0.997758,0.325886,0.491575,0.326127,0.997739,1.000000,0.997758
CFD_080.jpg,0.343225,0.511046,0.343292,0.999424,2.000000,1.000000,0.369825,0.539959,0.370062,0.998272,2.000000,1.000000
CFD_082.jpg,0.241421,0.388942,0.255238,0.816832,1.000000,0.832090,0.251041,0.401332,0.266352,0.813681,1.000000,0.832090
CFD_084.jpg,0.469921,0.639382,0.472857,0.986960,1.000000,0.987952,0.505509,0.671545,0.510780,0.979991,2.000000,0.986857
CFD_088.jpg,0.534991,0.697061,0.542610,0.974423,3.000000,0.985841,0.549141,0.708962,0.560234,0.965199,3.000000,0.982301
CFD_108.jpg,0.399779,0.571203,0.409830,0.942199,2.000000,0.941278,0.412114,0.583684,0.424398,0.934376,2.000000,0.936097
CFD_109.jpg,0.431561,0.602924,0.462554,0.865606,2.000000,0.844113,0.456311,0.626667,0.493199,0.859174,2.000000,0.842454
CFD_111.jpg,0.419679,0.591231,0.432159,0.935622,1.000000,0.907826,0.441829,0.612873,0.456822,0.930854,1.000000,0.906087
CFD_118.jpg,0.329200,0.495336,0.330788,0.985629,1.000000,0.971134,0.347798,0.516099,0.349798,0.983832,1.000000,0.967010
CRACK500_20160222_080933_361_1.jpg,0.885998,0.939553,0.981965,0.900654,1.000000,0.996942,0.879735,0.936020,0.984428,0.892150,1.000000,0.996942
CRACK500_20160222_081031_641_361.jpg,0.775530,0.873576,0.810903,0.946748,1.000000,0.987377,0.778168,0.875247,0.818743,0.940128,1.000000,0.983170
CRACK500_20160222_081102_1921_721.jpg,0.465116,0.634921,0.482897,0.926641,1.000000,0.972056,0.467658,0.637284,0.486864,0.922208,1.000000,0.970060
CRACK500_20160222_081102_1_721.jpg,0.576861,0.731657,0.589980,0.962883,1.000000,0.967213,0.581901,0.735698,0.594433,0.965035,1.000000,0.967213
CRACK500_20160222_081111_641_361.jpg,0.704954,0.826948,0.748910,0.923140,2.000000,0.966783,0.713872,0.833052,0.763511,0.916529,3.000000,0.966783
CRACK500_20160222_081113_1921_721.jpg,0.637494,0.778621,0.711941,0.859083,1.000000,0.969589,0.632407,0.774815,0.717565,0.841992,1.000000,0.967800
CRACK500_20160222_081839_1_721.jpg,0.600686,0.750535,0.629461,0.929279,2.000000,0.977470,0.602330,0.751817,0.638395,0.914250,2.000000,0.970537
CRACK500_20160222_081908_641_721.jpg,0.686254,0.813939,0.856005,0.775814,6.000000,0.879849,0.676312,0.806905,0.863331,0.757402,6.000000,0.875118
CRACK500_20160222_114759_1921_361.jpg,0.623466,0.768068,0.693732,0.860245,6.000000,0.799631,0.631451,0.774097,0.702456,0.862012,3.000000,0.809788
CRACK500_20160222_114759_1921_721.jpg,0.714894,0.833747,0.782155,0.892626,3.000000,0.744280,0.715559,0.834199,0.784917,0.890085,2.000000,0.742934
CRACK500_20160222_114759_641_361.jpg,0.611364,0.758816,0.687154,0.847165,10.000000,0.829337,0.617075,0.763199,0.694723,0.846649,9.000000,0.839915
CRACK500_20160222_115219_1281_721.jpg,0.546688,0.706914,0.653584,0.769720,8.000000,0.900621,0.553482,0.712569,0.668120,0.763355,7.000000,0.898551
CRACK500_20160222_115224_1281_1081.jpg,0.780414,0.876666,0.874336,0.879008,1.000000,0.991935,0.777326,0.874714,0.891107,0.858914,1.000000,0.991935
CRACK500_20160222_115224_1281_361.jpg,0.360672,0.530138,0.431108,0.688232,3.000000,0.668524,0.371540,0.541785,0.440711,0.703019,5.000000,0.679666
CRACK500_20160222_115305_1281_1081.jpg,0.580541,0.734610,0.592784,0.965645,2.000000,0.998261,0.596825,0.747515,0.616259,0.949815,2.000000,0.991304
CRACK500_20160222_115305_1921_361.jpg,0.687490,0.814808,0.793578,0.837205,3.000000,0.935818,0.681481,0.810573,0.819964,0.801394,5.000000,0.906832
CRACK500_20160222_115305_641_1.jpg,0.687090,0.814527,0.873793,0.762790,2.000000,0.961694,0.671569,0.803519,0.886117,0.735007,2.000000,0.951613
CRACK500_20160222_115305_641_721.jpg,0.614178,0.760979,0.823675,0.707153,7.000000,0.798258,0.610756,0.758347,0.836286,0.693697,7.000000,0.785196
