name,k0_iou_dilate_both,k0_iou_buffered,k0_precision,k0_recall,k0_f1,k1_iou_dilate_both,k1_iou_buffered,k1_precision,k1_recall,k1_f1,k2_iou_dilate_both,k2_iou_buffered,k2_precision,k2_recall,k2_f1,k3_iou_dilate_both,k3_iou_buffered,k3_precision,k3_recall,k3_f1,k5_iou_dilate_both,k5_iou_buffered,k5_precision,k5_recall,k5_f1,k8_iou_dilate_both,k8_iou_buffered,k8_precision,k8_recall,k8_f1
CFD_001,0.434791,0.434791,0.436061,0.993342,0.606068,0.537901,0.622663,0.623310,0.998335,0.767458,0.605334,0.773591,0.773840,0.999584,0.872344,0.667457,0.902813,0.902813,1.000000,0.948925,0.752495,0.994520,0.994520,1.000000,0.997252,0.816439,1.000000,1.000000,1.000000,1.000000
CFD_007,0.414782,0.414782,0.416180,0.991966,0.586354,0.539592,0.644051,0.644719,0.998393,0.783493,0.614087,0.813353,0.813708,0.999464,0.897071,0.674477,0.943371,0.943371,1.000000,0.970860,0.758285,0.999551,0.999551,1.000000,0.999775,0.818551,0.999775,0.999775,1.000000,0.999888
CFD_011,0.209257,0.209257,0.210119,0.980791,0.346093,0.309844,0.343102,0.344590,0.987571,0.510909,0.384585,0.465477,0.466836,0.993785,0.635257,0.455893,0.601019,0.601428,0.998870,0.750796,0.562384,0.836480,0.836480,1.000000,0.910960,0.655391,0.978698,0.978698,1.000000,0.989234
CFD_013,0.517477,0.517477,0.522743,0.980903,0.682023,0.601634,0.689769,0.693451,0.992361,0.816407,0.657115,0.820093,0.822566,0.996347,0.901155,0.704409,0.919987,0.920973,0.998838,0.958327,0.772626,0.993274,0.993274,1.000000,0.996626,0.827774,1.000000,1.000000,1.000000,1.000000
CFD_014,0.295068,0.295068,0.296094,0.988398,0.455680,0.400456,0.455184,0.455644,0.997790,0.625604,0.473406,0.593979,0.594174,0.999448,0.745278,0.539576,0.730387,0.730387,1.000000,0.844189,0.642936,0.924528,0.924528,1.000000,0.960784,0.731419,0.993049,0.993049,1.000000,0.996512
CFD_019,0.548328,0.548328,0.576471,0.918245,0.708284,0.640408,0.738767,0.765740,0.954489,0.849760,0.697558,0.868426,0.890368,0.972405,0.929580,0.741789,0.953166,0.969231,0.982908,0.976021,0.803558,0.988262,1.000000,0.988262,0.994096,0.850840,0.990321,1.000000,0.990321,0.995137
CFD_037,0.313934,0.313934,0.396512,0.601180,0.477853,0.422730,0.462526,0.638095,0.627008,0.632503,0.490543,0.565661,0.818913,0.646532,0.722584,0.544963,0.642969,0.941516,0.669717,0.782692,0.620723,0.711065,0.997720,0.712223,0.831138,0.691643,0.745705,0.999866,0.745780,0.854331
CFD_040,0.320914,0.320914,0.336547,0.873559,0.485897,0.414381,0.473181,0.498161,0.904182,0.642393,0.473396,0.584790,0.617912,0.916036,0.738004,0.527921,0.678930,0.719523,0.923280,0.808765,0.603642,0.769707,0.812127,0.936450,0.869869,0.663676,0.793607,0.828238,0.949951,0.884929
CFD_047,0.263604,0.263604,0.298469,0.692934,0.417225,0.371526,0.431101,0.525549,0.705782,0.602475,0.437156,0.554791,0.716842,0.710493,0.713653,0.485057,0.643832,0.872164,0.710921,0.783331,0.545102,0.707277,0.992806,0.710921,0.828544,0.594332,0.712634,1.000000,0.712634,0.832208
CFD_070,0.389050,0.389050,0.391500,0.984172,0.560167,0.497422,0.582064,0.582640,0.998304,0.735829,0.561872,0.726557,0.726557,1.000000,0.841625,0.614652,0.837418,0.837418,1.000000,0.911516,0.685875,0.915673,0.915673,1.000000,0.955981,0.744666,0.927142,0.927142,1.000000,0.962194
CFD_080,0.523436,0.523436,0.528800,0.980991,0.687178,0.618606,0.720627,0.723801,0.993952,0.837633,0.677484,0.866885,0.868188,0.998272,0.928697,0.727177,0.964602,0.964602,1.000000,0.981982,0.794251,0.999379,0.999379,1.000000,0.999689,0.847371,1.000000,1.000000,1.000000,1.000000
CFD_082,0.248618,0.248618,0.264054,0.809631,0.398229,0.327505,0.368963,0.402026,0.817732,0.539040,0.380473,0.470078,0.522530,0.824032,0.639528,0.426292,0.564173,0.638485,0.828983,0.721369,0.495146,0.695816,0.808161,0.833483,0.820627,0.556839,0.762314,0.892558,0.839334,0.865128
CFD_084,0.503758,0.503758,0.509114,0.979541,0.669998,0.598914,0.694926,0.699112,0.991457,0.820007,0.660412,0.838708,0.843188,0.993705,0.912280,0.711856,0.938483,0.942276,0.995728,0.968265,0.781125,0.994709,0.996495,0.998201,0.997347,0.833588,0.999065,0.999065,1.000000,0.999532
CFD_088,0.561886,0.561886,0.575597,0.959329,0.719497,0.674293,0.804407,0.811321,0.989518,0.891603,0.734620,0.941034,0.943648,0.997065,0.969621,0.781528,0.990712,0.991950,0.998742,0.995334,0.844444,0.999748,0.999748,1.000000,0.999874,0.891457,1.000000,1.000000,1.000000,1.000000
CFD_108,0.438939,0.438939,0.454449,0.927857,0.610087,0.558394,0.656222,0.678799,0.951760,0.792433,0.630745,0.822426,0.846530,0.966536,0.902562,0.692477,0.933421,0.953597,0.977836,0.965564,0.777630,0.991577,0.998510,0.993047,0.995771,0.839671,1.000000,1.000000,1.000000,1.000000
CFD_109,0.492864,0.492864,0.538445,0.853419,0.660293,0.577863,0.671378,0.739641,0.879147,0.803383,0.628777,0.798733,0.880607,0.895735,0.888106,0.669587,0.879906,0.964972,0.908937,0.936117,0.729679,0.927159,0.999146,0.927894,0.962203,0.772867,0.946513,1.000000,0.946513,0.972522
CFD_111,0.476366,0.476366,0.496154,0.922747,0.645323,0.593411,0.712770,0.745897,0.941345,0.832301,0.652767,0.853874,0.896667,0.947067,0.921178,0.703272,0.926983,0.974103,0.950405,0.962108,0.767241,0.944872,0.991282,0.952790,0.971655,0.816590,0.952586,0.998205,0.954220,0.975717
CFD_118,0.423733,0.423733,0.430056,0.966467,0.595242,0.559239,0.658875,0.667466,0.980838,0.794363,0.639493,0.832017,0.840927,0.987425,0.908307,0.705746,0.949262,0.954170,0.994611,0.973971,0.789260,0.994671,0.994671,1.000000,0.997328,0.845944,1.000000,1.000000,1.000000,1.000000
CRACK500_20160222_080933_361_1,0.869992,0.869992,0.988748,0.878692,0.930477,0.874164,0.920271,0.997792,0.922150,0.958480,0.879004,0.953645,1.000000,0.953645,0.976272,0.889188,0.979813,1.000000,0.979813,0.989804,0.900876,0.997570,1.000000,0.997570,0.998784,0.911916,1.000000,1.000000,1.000000,1.000000
CRACK500_20160222_081031_641_361,0.783453,0.783453,0.818428,0.948275,0.878580,0.794450,0.815175,0.843258,0.960750,0.898178,0.803488,0.841405,0.863180,0.970892,0.913873,0.813324,0.867515,0.883139,0.980014,0.929058,0.830167,0.906956,0.914305,0.991217,0.951208,0.849189,0.940245,0.943456,0.996393,0.969202
CRACK500_20160222_081102_1921_721,0.488383,0.488383,0.514851,0.904762,0.656260,0.515211,0.552303,0.576450,0.929501,0.711592,0.536562,0.607698,0.629181,0.946804,0.755985,0.557126,0.661457,0.678086,0.964250,0.796237,0.589127,0.748770,0.757669,0.984556,0.856339,0.623583,0.825462,0.830499,0.992707,0.904387
CRACK500_20160222_081102_1_721,0.597903,0.597903,0.616888,0.951049,0.748360,0.641626,0.690260,0.704815,0.970952,0.816750,0.673741,0.767298,0.778088,0.982249,0.868329,0.705974,0.835369,0.842638,0.989779,0.910301,0.755417,0.929851,0.932659,0.996772,0.963650,0.805833,0.983953,0.984997,0.998924,0.991911
