name,k0_iou_dilate_both,k0_iou_buffered,k0_precision,k0_recall,k0_f1,k1_iou_dilate_both,k1_iou_buffered,k1_precision,k1_recall,k1_f1,k2_iou_dilate_both,k2_iou_buffered,k2_precision,k2_recall,k2_f1,k3_iou_dilate_both,k3_iou_buffered,k3_precision,k3_recall,k3_f1,k5_iou_dilate_both,k5_iou_buffered,k5_precision,k5_recall,k5_f1,k8_iou_dilate_both,k8_iou_buffered,k8_precision,k8_recall,k8_f1
CFD_001,0.359370,0.359370,0.359694,0.997503,0.528731,0.457289,0.520183,0.520408,0.999168,0.684369,0.524722,0.662632,0.662815,0.999584,0.797088,0.588192,0.807323,0.807323,1.000000,0.893391,0.679784,0.975840,0.975840,1.000000,0.987772,0.753274,1.000000,1.000000,1.000000,1.000000
CFD_007,0.294016,0.294016,0.294016,1.000000,0.454424,0.402096,0.463937,0.463937,1.000000,0.633821,0.474139,0.612756,0.612756,1.000000,0.759887,0.537559,0.765669,0.765669,1.000000,0.867285,0.632935,0.959843,0.959843,1.000000,0.979510,0.709117,0.996693,0.996693,1.000000,0.998344
CFD_011,0.198879,0.198879,0.199587,0.982486,0.331775,0.296955,0.326966,0.328130,0.989266,0.492803,0.369878,0.443845,0.444967,0.994350,0.614810,0.439898,0.573984,0.574544,0.998305,0.729339,0.546372,0.807988,0.807988,1.000000,0.893798,0.639466,0.974291,0.974291,1.000000,0.986978
CFD_013,0.430060,0.430060,0.431175,0.994022,0.601457,0.514793,0.579622,0.580350,0.997841,0.733875,0.573902,0.709970,0.710221,0.999502,0.830389,0.625711,0.834834,0.834834,1.000000,0.909983,0.703570,0.971620,0.971620,1.000000,0.985606,0.770834,1.000000,1.000000,1.000000,1.000000
CFD_014,0.261822,0.261822,0.262012,0.997238,0.414990,0.361833,0.406644,0.406735,0.999448,0.578176,0.432993,0.534040,0.534040,1.000000,0.696253,0.498864,0.666860,0.666860,1.000000,0.800139,0.603670,0.879663,0.879663,1.000000,0.935980,0.695861,0.987807,0.987807,1.000000,0.993866
CFD_019,0.463991,0.463991,0.472678,0.961903,0.633872,0.558149,0.635620,0.645214,0.977142,0.777222,0.620659,0.774624,0.784153,0.984555,0.873001,0.670054,0.893462,0.903562,0.987644,0.943734,0.744929,0.985534,0.995952,0.989498,0.992714,0.804715,0.991351,1.000000,0.991351,0.995657
CFD_037,0.272065,0.272065,0.314540,0.668294,0.427753,0.376356,0.410349,0.501675,0.692699,0.581911,0.445655,0.526090,0.666507,0.714053,0.689461,0.502326,0.628353,0.818704,0.729917,0.771765,0.583948,0.740716,0.975208,0.754932,0.851048,0.661746,0.783111,0.999521,0.783405,0.878365
CFD_040,0.264541,0.264541,0.271201,0.915048,0.418398,0.352673,0.402692,0.416903,0.921962,0.574171,0.412178,0.514550,0.536645,0.925914,0.679476,0.467427,0.616769,0.645750,0.932170,0.762965,0.549665,0.753029,0.788914,0.943036,0.859117,0.618770,0.798633,0.830194,0.954560,0.888044
CFD_047,0.177269,0.177269,0.191102,0.710064,0.301153,0.268808,0.301206,0.343246,0.710921,0.462964,0.332189,0.406404,0.486860,0.710921,0.577934,0.383686,0.504958,0.635431,0.710921,0.671060,0.456291,0.646034,0.876210,0.710921,0.784959,0.520919,0.712699,0.996773,0.714347,0.832252
CFD_070,0.293531,0.293531,0.293726,0.997739,0.453844,0.391942,0.450990,0.450990,1.000000,0.621631,0.457096,0.589283,0.589283,1.000000,0.741571,0.514410,0.724580,0.724580,1.000000,0.840297,0.597186,0.883342,0.883342,1.000000,0.938058,0.670119,0.923448,0.923448,1.000000,0.960201
CFD_080,0.335201,0.335201,0.335299,0.999136,0.502099,0.420167,0.469553,0.469553,1.000000,0.639042,0.481398,0.591146,0.591146,1.000000,0.743045,0.537473,0.722211,0.722211,1.000000,0.838702,0.624184,0.929828,0.929828,1.000000,0.963638,0.700719,0.999227,0.999227,1.000000,0.999613
CFD_082,0.231669,0.231669,0.244043,0.820432,0.376187,0.311042,0.345307,0.372155,0.827183,0.513351,0.365931,0.442033,0.486078,0.829883,0.613069,0.414993,0.540794,0.607497,0.831233,0.701968,0.489236,0.693087,0.802811,0.835284,0.818726,0.556090,0.791440,0.929987,0.841584,0.883580
CFD_084,0.478795,0.478795,0.482976,0.982239,0.647547,0.576751,0.667281,0.671346,0.991007,0.800442,0.641296,0.818071,0.822795,0.993031,0.899933,0.696232,0.928593,0.932899,0.995054,0.962974,0.773064,0.994667,0.997126,0.997527,0.997326,0.833990,1.000000,1.000000,1.000000,1.000000
CFD_088,0.511894,0.511894,0.518866,0.974423,0.677156,0.625818,0.743864,0.749051,0.990776,0.853121,0.689910,0.898012,0.901764,0.995388,0.946266,0.741332,0.979974,0.982809,0.997065,0.989885,0.811897,0.998716,0.999553,0.999161,0.999357,0.864137,1.000000,1.000000,1.000000,1.000000
CFD_108,0.388483,0.388483,0.397120,0.946980,0.559579,0.506297,0.586427,0.599417,0.964363,0.739305,0.581938,0.751280,0.765628,0.975663,0.857978,0.649684,0.895225,0.908147,0.984355,0.944716,0.742687,0.994084,0.995808,0.998262,0.997033,0.811936,1.000000,1.000000,1.000000,1.000000
CFD_109,0.423312,0.423312,0.452444,0.867976,0.594827,0.510366,0.583257,0.629257,0.888626,0.736782,0.566691,0.715252,0.775896,0.901490,0.833991,0.612752,0.829274,0.899771,0.913676,0.906670,0.685719,0.923263,0.991530,0.930603,0.960101,0.740383,0.949221,1.000000,0.949221,0.973949
CFD_111,0.395620,0.395620,0.406063,0.938960,0.566945,0.514504,0.605514,0.626933,0.946590,0.754293,0.582049,0.766833,0.799134,0.949928,0.868031,0.641109,0.884484,0.926377,0.951359,0.938702,0.719166,0.948205,0.994432,0.953267,0.973414,0.781395,0.954697,1.000000,0.954697,0.976824
CFD_118,0.316405,0.316405,0.317561,0.988623,0.480710,0.440376,0.506277,0.507982,0.993413,0.672223,0.520145,0.667592,0.669744,0.995210,0.800666,0.591037,0.827606,0.828429,0.998802,0.905673,0.689231,0.985574,0.985574,1.000000,0.992735,0.763162,0.999423,0.999423,1.000000,0.999711
CRACK500_20160222_080933_361_1,0.884987,0.884987,0.981944,0.899626,0.938985,0.889619,0.934283,0.995104,0.938598,0.966025,0.894212,0.964007,0.999184,0.964766,0.981674,0.902583,0.984953,1.000000,0.984953,0.992420,0.913446,0.998318,1.000000,0.998318,0.999158,0.923296,1.000000,1.000000,1.000000,1.000000
CRACK500_20160222_081031_641_361,0.776272,0.776272,0.821771,0.933424,0.874046,0.788601,0.808331,0.846427,0.947257,0.894008,0.798586,0.835196,0.866599,0.958416,0.910198,0.809062,0.862204,0.886996,0.968600,0.926004,0.827353,0.902961,0.917890,0.982306,0.949006,0.847964,0.938505,0.946879,0.990665,0.968277
CRACK500_20160222_081102_1921_721,0.466012,0.466012,0.482856,0.930359,0.635755,0.494021,0.525985,0.541116,0.949521,0.689371,0.516359,0.580333,0.593365,0.963535,0.734444,0.537419,0.635256,0.644723,0.977406,0.776950,0.571784,0.720324,0.725917,0.989418,0.837428,0.608474,0.801038,0.805403,0.993279,0.889529
CRACK500_20160222_081102_1_721,0.578930,0.578930,0.590730,0.966649,0.733320,0.624446,0.672544,0.682117,0.979559,0.804217,0.659209,0.752885,0.761012,0.986014,0.859024,0.692018,0.826749,0.832347,0.991931,0.905159,0.746467,0.928257,0.929652,0.998386,0.962794,0.803581,0.988166,0.988166,1.000000,0.994048
CRACK500_20160222_081111_641_361,0.701765,0.701765,0.731871,0.944628,0.824750,0.756248,0.845659,0.857852,0.983471,0.916376,0.791575,0.927504,0.930367,0.996694,0.962389,0.818127,0.968625,0.968625,1.000000,0.984062,0.853923,0.992316,0.992316,1.000000,0.996143,0.887217,1.000000,1.000000,1.000000,1.000000
CRACK500_20160222_081113_1921_721,0.638991,0.638991,0.709187,0.865874,0.779737,0.671307,0.714579,0.767220,0.912394,0.833533,0.695920,0.773344,0.808473,0.946802,0.872187,0.718237,0.824466,0.842959,0.974080,0.903789,0.752399,0.889833,0.891814,0.997510,0.941706,0.784671,0.942338,0.942338,1.000000,0.970313
CRACK500_20160222_081839_1_721,0.599429,0.599429,0.628486,0.928395,0.749554,0.647866,0.701293,0.718133,0.967645,0.824424,0.685032,0.770092,0.778695,0.985856,0.870115,0.721086,0.822225,0.826212,0.994165,0.902441,0.775069,0.879639,0.881149,0.998055,0.935966,0.821664,0.929862,0.929862,1.000000,0.963657
CRACK500_20160222_081908_641_721,0.685832,0.685832,0.841973,0.787156,0.813642,0.740676,0.848864,0.954152,0.884961,0.918255,0.776131,0.928640,0.994013,0.933864,0.963000,0.803827,0.957584,0.999685,0.957873,0.978332,0.843317,0.976138,1.000000,0.976138,0.987925,0.873224,0.985859,1.000000,0.985859,0.992879
CRACK500_20160222_114759_1921_361,0.619690,0.619690,0.686679,0.863986,0.765196,0.648083,0.719046,0.795441,0.882170,0.836564,0.669114,0.787458,0.871501,0.890898,0.881092,0.687247,0.833297,0.922207,0.896301,0.909069,0.714280,0.876600,0.968618,0.902224,0.934243,0.742901,0.900512,0.990751,0.908146,0.947652
CRACK500_20160222_114759_1921_721,0.725351,0.725351,0.794726,0.892580,0.840816,0.728193,0.785012,0.851536,0.909490,0.879560,0.730669,0.824425,0.890493,0.917437,0.903764,0.733015,0.852495,0.919618,0.921133,0.920375,0.737601,0.884879,0.953063,0.925199,0.938924,0.740838,0.903236,0.970628,0.928618,0.949158
