name,k0_iou_dilate_both,k0_iou_buffered,k0_precision,k0_recall,k0_f1,k1_iou_dilate_both,k1_iou_buffered,k1_precision,k1_recall,k1_f1,k2_iou_dilate_both,k2_iou_buffered,k2_precision,k2_recall,k2_f1,k3_iou_dilate_both,k3_iou_buffered,k3_precision,k3_recall,k3_f1,k5_iou_dilate_both,k5_iou_buffered,k5_precision,k5_recall,k5_f1,k8_iou_dilate_both,k8_iou_buffered,k8_precision,k8_recall,k8_f1
CFD_001,0.376670,0.376670,0.377085,0.997087,0.547219,0.476934,0.543820,0.544067,0.999168,0.704512,0.545322,0.689446,0.689644,0.999584,0.816180,0.608710,0.833648,0.833648,1.000000,0.909278,0.698935,0.984419,0.984419,1.000000,0.992148,0.770478,1.000000,1.000000,1.000000,1.000000
CFD_007,0.301503,0.301503,0.301551,0.999464,0.463315,0.411593,0.475921,0.475921,1.000000,0.644914,0.484365,0.628474,0.628474,1.000000,0.771857,0.547411,0.783775,0.783775,1.000000,0.878782,0.642356,0.970588,0.970588,1.000000,0.985075,0.718059,0.998061,0.998061,1.000000,0.999029
CFD_011,0.208138,0.208138,0.209042,0.979661,0.344560,0.308444,0.341233,0.342978,0.985311,0.508835,0.382960,0.461805,0.464256,0.988701,0.631829,0.454586,0.596046,0.598071,0.994350,0.746903,0.562036,0.834720,0.834720,1.000000,0.909915,0.654910,0.982278,0.982278,1.000000,0.991060
CFD_013,0.435410,0.435410,0.436874,0.992361,0.606670,0.520192,0.586260,0.587177,0.997343,0.739173,0.579047,0.717388,0.717816,0.999170,0.835441,0.631107,0.841830,0.841948,0.999834,0.914123,0.708655,0.974340,0.974340,1.000000,0.987003,0.775086,1.000000,1.000000,1.000000,1.000000
CFD_014,0.276324,0.276324,0.276963,0.991713,0.433000,0.379394,0.428844,0.428946,0.999448,0.600268,0.451570,0.562259,0.562259,1.000000,0.719802,0.517667,0.697578,0.697578,1.000000,0.821851,0.622276,0.902021,0.902021,1.000000,0.948487,0.712767,0.992902,0.992902,1.000000,0.996439
CFD_019,0.489526,0.489526,0.501681,0.952842,0.657291,0.583773,0.667164,0.680039,0.972405,0.800358,0.645018,0.806317,0.818497,0.981878,0.892774,0.692520,0.915127,0.926813,0.986409,0.955683,0.763534,0.987197,0.998699,0.988468,0.993557,0.819490,0.990527,1.000000,0.990527,0.995241
CFD_037,0.289169,0.289169,0.336907,0.671141,0.448613,0.396629,0.436030,0.535273,0.701647,0.607271,0.466902,0.559138,0.707095,0.727679,0.717240,0.523369,0.663892,0.857274,0.746390,0.797999,0.603852,0.762654,0.987340,0.770185,0.865347,0.678795,0.792492,0.999898,0.792556,0.884235
CFD_040,0.269339,0.269339,0.276367,0.913731,0.424377,0.358093,0.407568,0.422269,0.921304,0.579109,0.417441,0.519726,0.542277,0.925914,0.683973,0.472455,0.622583,0.652126,0.932170,0.767398,0.553898,0.758824,0.794343,0.944353,0.862877,0.622326,0.803116,0.833284,0.956865,0.890809
CFD_047,0.179030,0.179030,0.193150,0.710064,0.303691,0.271028,0.303945,0.346808,0.710921,0.466193,0.334617,0.409872,0.491845,0.710921,0.581431,0.386206,0.509103,0.642008,0.710921,0.674710,0.458032,0.649865,0.883271,0.710921,0.787779,0.522226,0.711947,0.996971,0.713490,0.831740
CFD_070,0.294382,0.294382,0.294530,0.998304,0.454862,0.392821,0.452635,0.452635,1.000000,0.623192,0.457978,0.592061,0.592061,1.000000,0.743767,0.515670,0.729653,0.729653,1.000000,0.843699,0.598266,0.888092,0.888092,1.000000,0.940730,0.671075,0.924616,0.924616,1.000000,0.960832
