representation,dimensions,silhouette_features,silhouette_umap,silhouette_domain_umap,neighbors_features,neighbors_umap,neighbors_features_within_domain,neighbors_umap_within_domain,trustworthiness,balanced_accuracy,auroc_improved,gate_delta_iou
mean,256,-0.007703206967562437,-0.021077843382954597,0.29312193393707275,0.47088214453167687,0.45202345866745053,0.48748346756417105,0.4653515736047836,0.9720566676502626,0.5363197222302579,0.6900080180026533,0.003673054077877746
std,256,-0.0072789862751960754,-0.018435930833220482,0.14324931800365448,0.46053878966196965,0.44303514119931703,0.4812506044677302,0.46401138358077243,0.9483788229645997,0.5064988343195073,0.6646665282020368,0.0021241668399503456
mean_std,512,-0.005227478686720133,-0.02006356604397297,0.24636659026145935,0.4742974024590169,0.4520600172449654,0.48806816527974456,0.46797256549325833,0.9668480465181937,0.5345368037790775,0.6822534006856813,0.003386099738775985
grid2,1024,-0.005391301587224007,-0.02018825151026249,0.2535944879055023,0.4594577536189239,0.4463726459087118,0.47825621793985434,0.4584342282582618,0.9569255477581284,0.5013498129927271,0.6556290374963343,0.0021623476529620328
between_std,256,-0.0031845555640757084,-0.025715557858347893,-0.07156284153461456,0.4095695236164633,0.3783113666929329,0.4505681383219639,0.42891365663967346,0.8715227965681378,0.4682575176307342,0.6232348925801534,-0.0006724777989142843
within_std,256,-0.008642790839076042,-0.026883365586400032,0.14778941869735718,0.4598530611632579,0.449476261536675,0.4770313910084683,0.46512655368945577,0.9507011308518828,0.5049836820316859,0.6640770685124114,0.001378321864507407
highres32,32,-0.02482287958264351,-0.046002618968486786,0.30848923325538635,0.4166816840076896,0.4115188779901115,0.43985475836659543,0.43315144676746903,0.9887545908908583,0.43386126810877396,0.6108342873884051,-9.060768047794306e-06
highres64,64,-0.01020888052880764,-0.035815224051475525,0.33146506547927856,0.42905827956105913,0.4238703959414292,0.4483901229879461,0.44324984444516397,0.9759277699092593,0.4698639915356369,0.6295319023070121,0.0007793832911246546
highres96,96,-0.01366663258522749,-0.04618631303310394,0.3428850769996643,0.4305710507077632,0.4225224447780051,0.44884730083369934,0.44130186418669676,0.9797298340288229,0.4793547415484147,0.648302267442744,0.0011763276251879743
multiscale_mean,352,-0.00729738175868988,-0.026645850390195847,0.350970596075058,0.4700892377502595,0.4535956080685468,0.48550594518001705,0.46420312892780213,0.9722221712651452,0.5423703556631535,0.6988120607195546,0.004247688845550642
pre_global_mean,576,-0.006384455133229494,-0.021817846223711967,0.18120606243610382,0.4692830508569889,0.44966174682555415,0.486534919726798,0.4610634130608739,0.9725624626257804,0.5226405199064276,0.6835041908065115,0.0030854888891296934
mean_cosine,256,-0.02315177209675312,-0.0266952496021986,0.2636229693889618,0.47069286646878594,0.4521619741601242,0.4885203189605883,0.4683423654617536,0.9724540955656977,0.47199850077342914,0.6404798601507237,-4.715959170344685e-05
multiscale_balanced,352,-0.010068323463201523,-0.04712647199630737,0.3424766957759857,0.46242503288837983,0.4444587884600241,0.4779276279197567,0.4570023763773248,0.9760707007818581,0.5262901829773807,0.6934417719645147,0.0026085443842966812
mean_pca32,32,-0.007847584784030914,-0.020873332396149635,0.23041929304599762,0.47091478607050435,0.45355261834383526,0.48785202668684763,0.4654473933757644,0.9717602466044131,0.48091501940540216,0.642548949498122,0.00010921101503655227
