image_id,category,domain,physical_group,delta_iou,umap_1,umap_2,p_degraded,p_neutral,p_improved
khanhha_original::CFD_001.jpg,improved,khanhha,khanhha::CFD_001,0.0160206424062502,-0.101989225,6.239122,0.3192608058452606,0.26019182801246643,0.4205472767353058
khanhha_original::CFD_007.jpg,improved,khanhha,khanhha::CFD_007,0.0368783116067982,-0.003631531,6.349785,0.4048735499382019,0.05292678251862526,0.5421996116638184
khanhha_original::CFD_011.jpg,improved,khanhha,khanhha::CFD_011,0.0800074283198405,-0.08117366,6.278315,0.5662220120429993,0.18261845409870148,0.25115951895713806
khanhha_original::CFD_013.jpg,degraded,khanhha,khanhha::CFD_013,-0.0613781602241744,-0.103900336,6.276023,0.4781482517719269,0.14824950695037842,0.3736021816730499
khanhha_original::CFD_014.jpg,improved,khanhha,khanhha::CFD_014,0.0547757300976464,-0.060572803,6.330163,0.28816449642181396,0.28878116607666016,0.4230542778968811
khanhha_original::CFD_019.jpg,neutral,khanhha,khanhha::CFD_019,-0.0013922859597681,-0.117504,6.221466,0.2510038912296295,0.6086097359657288,0.14038637280464172
khanhha_original::CFD_037.jpg,degraded,khanhha,khanhha::CFD_037,-0.0205260675392577,-0.078576036,6.2528906,0.559158205986023,0.11297015100717545,0.3278715908527374
khanhha_original::CFD_040.jpg,degraded,khanhha,khanhha::CFD_040,-0.0280389784482379,-0.06396183,6.3099523,0.5265087485313416,0.41505154967308044,0.0584397092461586
khanhha_original::CFD_047.jpg,improved,khanhha,khanhha::CFD_047,0.0217954926167799,-0.069539815,6.2985544,0.28231197595596313,0.14998431503772736,0.5677037239074707
khanhha_original::CFD_070.jpg,neutral,khanhha,khanhha::CFD_070,-0.0080938631677056,0.0095585305,6.3501496,0.425626277923584,0.23077955842018127,0.34359410405158997
khanhha_original::CFD_080.jpg,improved,khanhha,khanhha::CFD_080,0.0120839244730493,2.088046,7.6315002,0.11409571021795273,0.6872682571411133,0.1986360102891922
khanhha_original::CFD_082.jpg,degraded,khanhha,khanhha::CFD_082,-0.0398716358043381,-0.0817897,6.273711,0.38359466195106506,0.42862674593925476,0.1877785325050354
khanhha_original::CFD_084.jpg,improved,khanhha,khanhha::CFD_084,0.0597371403006901,-0.07333329,6.3071237,0.037068143486976624,0.6757103204727173,0.2872214913368225
khanhha_original::CFD_088.jpg,degraded,khanhha,khanhha::CFD_088,-0.0454029550117173,-0.021293309,6.3258796,0.20063276588916779,0.5821730494499207,0.21719415485858917
khanhha_original::CFD_108.jpg,neutral,khanhha,khanhha::CFD_108,-0.0068110767920225,-0.01423445,6.341466,0.05791107192635536,0.23680461943149567,0.7052842974662781
khanhha_original::CFD_109.jpg,improved,khanhha,khanhha::CFD_109,0.0193410891539252,-0.019413672,6.331863,0.13078013062477112,0.4710121154785156,0.39820772409439087
khanhha_original::CFD_111.jpg,neutral,khanhha,khanhha::CFD_111,0.0075290681424338,-0.005875684,6.3474,0.6862492561340332,0.13007600605487823,0.1836746633052826
khanhha_original::CFD_118.jpg,neutral,khanhha,khanhha::CFD_118,-0.0089024981629597,-0.007946707,6.3385735,0.2878762483596802,0.3414500653743744,0.37067368626594543
khanhha_original::CRACK500_20160222_080933_361_1.jpg,neutral,khanhha,khanhha::CRACK500_20160222_080933,-0.0001034083007714,-2.1946328,1.6691171,0.43270987272262573,0.27979040145874023,0.28749969601631165
khanhha_original::CRACK500_20160222_081031_641_361.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081031,0.0009619976249003,5.711326,-1.4816234,0.45852234959602356,0.4653361439704895,0.07614151388406754
