image_id,category,domain,physical_group,delta_iou,umap_1,umap_2,p_degraded,p_neutral,p_improved
khanhha_original::CFD_001.jpg,improved,khanhha,khanhha::CFD_001,0.0160206424062502,13.746377,0.852157,0.4038957357406616,0.2326008826494217,0.3635033965110779
khanhha_original::CFD_007.jpg,improved,khanhha,khanhha::CFD_007,0.0368783116067982,13.64178,0.89316404,0.44824832677841187,0.28060245513916016,0.271149218082428
khanhha_original::CFD_011.jpg,improved,khanhha,khanhha::CFD_011,0.0800074283198405,13.84761,0.8665055,0.3615292012691498,0.3470945954322815,0.2913762331008911
khanhha_original::CFD_013.jpg,degraded,khanhha,khanhha::CFD_013,-0.0613781602241744,13.951411,0.91038585,0.24922992289066315,0.40623101592063904,0.3445390462875366
khanhha_original::CFD_014.jpg,improved,khanhha,khanhha::CFD_014,0.0547757300976464,13.725185,0.7686857,0.4429236948490143,0.28360769152641296,0.27346858382225037
khanhha_original::CFD_019.jpg,neutral,khanhha,khanhha::CFD_019,-0.0013922859597681,14.020425,0.92359287,0.32098644971847534,0.39732125401496887,0.2816923260688782
khanhha_original::CFD_037.jpg,degraded,khanhha,khanhha::CFD_037,-0.0205260675392577,13.589389,0.9143347,0.32844534516334534,0.35190361738204956,0.3196510374546051
khanhha_original::CFD_040.jpg,degraded,khanhha,khanhha::CFD_040,-0.0280389784482379,13.563683,0.9160383,0.3185170292854309,0.31613054871559143,0.36535242199897766
khanhha_original::CFD_047.jpg,improved,khanhha,khanhha::CFD_047,0.0217954926167799,13.604356,1.2159536,0.4021099805831909,0.40646398067474365,0.19142599403858185
khanhha_original::CFD_070.jpg,neutral,khanhha,khanhha::CFD_070,-0.0080938631677056,13.910786,1.0319041,0.2708647549152374,0.46807417273521423,0.2610611319541931
khanhha_original::CFD_080.jpg,improved,khanhha,khanhha::CFD_080,0.0120839244730493,9.602543,3.3367682,0.4135657846927643,0.32135939598083496,0.26507481932640076
khanhha_original::CFD_082.jpg,degraded,khanhha,khanhha::CFD_082,-0.0398716358043381,13.932704,0.71481,0.3500804901123047,0.3418019711971283,0.3081175684928894
khanhha_original::CFD_084.jpg,improved,khanhha,khanhha::CFD_084,0.0597371403006901,13.965218,0.7986541,0.27210915088653564,0.45013999938964844,0.2777508497238159
khanhha_original::CFD_088.jpg,degraded,khanhha,khanhha::CFD_088,-0.0454029550117173,14.118506,0.8675835,0.16476255655288696,0.5679920315742493,0.2672453820705414
khanhha_original::CFD_108.jpg,neutral,khanhha,khanhha::CFD_108,-0.0068110767920225,14.012999,0.84366566,0.1888849437236786,0.4231656789779663,0.3879494071006775
khanhha_original::CFD_109.jpg,improved,khanhha,khanhha::CFD_109,0.0193410891539252,14.003231,0.86068505,0.25164908170700073,0.4263593852519989,0.32199153304100037
khanhha_original::CFD_111.jpg,neutral,khanhha,khanhha::CFD_111,0.0075290681424338,14.01181,0.8728105,0.3474281430244446,0.36758601665496826,0.28498581051826477
khanhha_original::CFD_118.jpg,neutral,khanhha,khanhha::CFD_118,-0.0089024981629597,14.042765,0.90857035,0.21262796223163605,0.4492451250553131,0.33812686800956726
khanhha_original::CRACK500_20160222_080933_361_1.jpg,neutral,khanhha,khanhha::CRACK500_20160222_080933,-0.0001034083007714,12.05268,-0.14680393,0.4279578924179077,0.18977391719818115,0.38226819038391113
khanhha_original::CRACK500_20160222_081031_641_361.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081031,0.0009619976249003,16.75246,2.3441553,0.17528802156448364,0.4943062365055084,0.33040571212768555
khanhha_original::CRACK500_20160222_081102_1921_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081102,-0.0073055137365258,15.244117,1.8820596,0.3143782913684845,0.24373410642147064,0.44188761711120605
khanhha_original::CRACK500_20160222_081102_1_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081102,-0.00359477124183,12.9301405,0.14674175,0.3244495987892151,0.2949583828449249,0.3805920481681824
khanhha_original::CRACK500_20160222_081111_641_361.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081111,0.0061497069074433,12.976983,0.280706,0.33810484409332275,0.34199458360671997,0.3199005722999573
khanhha_original::CRACK500_20160222_081113_1921_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081113,-0.008104944479948,15.652457,1.9745516,0.23633314669132233,0.49705928564071655,0.2666075825691223
khanhha_original::CRACK500_20160222_081839_1_721.jpg,improved,khanhha,khanhha::CRACK500_20160222_081839,0.0483752525291589,16.007183,2.2201142,0.17257212102413177,0.6461703181266785,0.18125753104686737
khanhha_original::CRACK500_20160222_081908_641_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081908,0.0068331924321738,16.395111,2.1312554,0.11205022782087326,0.6762071847915649,0.21174256503582
khanhha_original::CRACK500_20160222_114759_1921_361.jpg,improved,khanhha,khanhha::CRACK500_20160222_114759,0.0315831267438633,16.327139,2.2346447,0.2284279316663742,0.3759509027004242,0.395621120929718
khanhha_original::CRACK500_20160222_114759_1921_721.jpg,degraded,khanhha,khanhha::CRACK500_20160222_114759,-0.0102925047967319,16.47666,2.150047,0.24284277856349945,0.38692840933799744,0.37022873759269714
khanhha_original::CRACK500_20160222_114759_641_361.jpg,neutral,khanhha,khanhha::CRACK500_20160222_114759,-0.0025862951923198,16.641197,2.1121802,0.16574077308177948,0.537910521030426,0.29634878039360046
khanhha_original::CRACK500_20160222_115219_1281_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115219,0.007898583617688,17.139286,2.130858,0.17947372794151306,0.5502892136573792,0.2702370882034302
khanhha_original::CRACK500_20160222_115224_1281_1081.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115224,-0.0006356104599523,17.152927,2.154443,0.18272122740745544,0.4980146288871765,0.31926411390304565
khanhha_original::CRACK500_20160222_115224_1281_361.jpg,improved,khanhha,khanhha::CRACK500_20160222_115224,0.1829655373475993,16.986124,2.1687293,0.12733270227909088,0.34483444690704346,0.5278328657150269
khanhha_original::CRACK500_20160222_115305_1281_1081.jpg,degraded,khanhha,khanhha::CRACK500_20160222_115305,-0.0131990910365789,17.211082,2.1329572,0.11214258521795273,0.5998547673225403,0.2880026400089264
khanhha_original::CRACK500_20160222_115305_1921_361.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115305,2.394671100591772e-05,17.194103,2.092802,0.12059180438518524,0.7016003727912903,0.17780780792236328
khanhha_original::CRACK500_20160222_115305_641_1.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115305,0.0095086482795017,17.197063,2.113914,0.09081752598285675,0.7294492125511169,0.17973332107067108
khanhha_original::CRACK500_20160222_115305_641_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115305,0.0098552548143666,17.19723,2.1360593,0.12284984439611435,0.5887790322303772,0.28837114572525024
khanhha_original::CRACK500_20160222_115324_1281_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115324,1.965129010195188e-05,17.218054,2.1076746,0.1153443455696106,0.7350122332572937,0.1496434360742569
khanhha_original::CRACK500_20160222_115324_641_1081.jpg,improved,khanhha,khanhha::CRACK500_20160222_115324,0.0102789315135722,17.156403,2.1528924,0.16834865510463715,0.5717190504074097,0.259932279586792
khanhha_original::CRACK500_20160222_115519_641_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115519,0.0092525299051148,16.20732,2.0038242,0.08110309392213821,0.36542755365371704,0.5534693598747253
khanhha_original::CRACK500_20160222_115828_641_1.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115828,-0.0007437058390387,16.444946,2.0483363,0.1598471701145172,0.5324586033821106,0.3076942563056946
khanhha_original::CRACK500_20160222_115833_1921_1081.jpg,degraded,khanhha,khanhha::CRACK500_20160222_115833,-0.0295464376161981,16.246859,2.2440643,0.25555673241615295,0.42445090413093567,0.31999242305755615
