image_id,umap_1,umap_2
khanhha_original::CFD_001.jpg,10.033833,2.1371663
khanhha_original::CFD_007.jpg,9.983661,2.1008658
khanhha_original::CFD_011.jpg,10.10763,2.2101555
khanhha_original::CFD_013.jpg,10.09352,2.2292185
khanhha_original::CFD_014.jpg,10.028039,2.1246052
khanhha_original::CFD_019.jpg,10.068842,2.1827493
khanhha_original::CFD_037.jpg,10.01715,2.142317
khanhha_original::CFD_040.jpg,10.094033,2.1982071
khanhha_original::CFD_047.jpg,10.067732,2.1665568
khanhha_original::CFD_070.jpg,9.943754,2.0635746
khanhha_original::CFD_080.jpg,7.2090344,0.4501644
khanhha_original::CFD_082.jpg,10.071625,2.1624708
khanhha_original::CFD_084.jpg,10.038385,2.1610882
khanhha_original::CFD_088.jpg,9.945324,2.0648303
khanhha_original::CFD_108.jpg,9.959458,2.0816076
khanhha_original::CFD_109.jpg,9.952747,2.0730577
khanhha_original::CFD_111.jpg,9.972656,2.0909302
khanhha_original::CFD_118.jpg,9.940338,2.063428
khanhha_original::CRACK500_20160222_080933_361_1.jpg,10.269168,8.4087105
khanhha_original::CRACK500_20160222_081031_641_361.jpg,2.3752177,14.617347
khanhha_original::CRACK500_20160222_081102_1921_721.jpg,3.0576463,14.142605
khanhha_original::CRACK500_20160222_081102_1_721.jpg,11.901527,6.0101557
khanhha_original::CRACK500_20160222_081111_641_361.jpg,10.558067,8.487841
khanhha_original::CRACK500_20160222_081113_1921_721.jpg,3.1483536,14.036202
khanhha_original::CRACK500_20160222_081839_1_721.jpg,2.855827,13.7991295
khanhha_original::CRACK500_20160222_081908_641_721.jpg,2.8497376,13.845416
khanhha_original::CRACK500_20160222_114759_1921_361.jpg,2.46363,14.675823
khanhha_original::CRACK500_20160222_114759_1921_721.jpg,2.2764459,14.701019
khanhha_original::CRACK500_20160222_114759_641_361.jpg,2.5625868,14.516327
khanhha_original::CRACK500_20160222_115219_1281_721.jpg,2.9375343,13.765461
khanhha_original::CRACK500_20160222_115224_1281_1081.jpg,2.9896033,13.737419
khanhha_original::CRACK500_20160222_115224_1281_361.jpg,2.8350441,13.767414
khanhha_original::CRACK500_20160222_115305_1281_1081.jpg,2.8680146,13.768306
khanhha_original::CRACK500_20160222_115305_1921_361.jpg,2.906752,13.693847
khanhha_original::CRACK500_20160222_115305_641_1.jpg,2.92967,13.699344
khanhha_original::CRACK500_20160222_115305_641_721.jpg,2.9259098,13.744031
khanhha_original::CRACK500_20160222_115324_1281_721.jpg,2.9615362,13.653236
khanhha_original::CRACK500_20160222_115324_641_1081.jpg,2.9672174,13.778301
khanhha_original::CRACK500_20160222_115519_641_721.jpg,1.0365679,5.2897115
khanhha_original::CRACK500_20160222_115828_641_1.jpg,1.0482345,5.3319235
khanhha_original::CRACK500_20160222_115833_1921_1081.jpg,1.0409124,5.336141
khanhha_original::CRACK500_20160222_115833_641_361.jpg,1.0559235,5.3461123
khanhha_original::CRACK500_20160222_115843_1281_361.jpg,1.0446117,5.3489943
khanhha_original::CRACK500_20160222_115847_1281_361.jpg,1.0112602,5.363009
khanhha_original::CRACK500_20160222_115847_641_361.jpg,1.0339682,5.367238
khanhha_original::CRACK500_20160222_163940_1281_1081.jpg,3.3520286,14.24653
khanhha_original::CRACK500_20160222_163940_1_1081.jpg,2.3320947,14.34035
khanhha_original::CRACK500_20160222_163940_1_361.jpg,2.4071403,14.3649435
khanhha_original::CRACK500_20160222_163940_641_1081.jpg,2.7405434,14.273675
