image_id,category,domain,delta_iou,umap_1,umap_2,umap_3
khanhha_original::CFD_001.jpg,improved,khanhha,0.0160206424062502,0.8521444,5.384084,4.272997
khanhha_original::CFD_007.jpg,improved,khanhha,0.0368783116067982,0.91838944,5.4416084,4.254604
khanhha_original::CFD_011.jpg,improved,khanhha,0.0800074283198405,0.75542635,5.304594,4.3048644
khanhha_original::CFD_013.jpg,degraded,khanhha,-0.0613781602241744,0.7882008,5.317916,4.2669067
khanhha_original::CFD_014.jpg,improved,khanhha,0.0547757300976464,0.856131,5.3865376,4.277323
khanhha_original::CFD_019.jpg,neutral,khanhha,-0.0013922859597681,0.8023878,5.332792,4.2645087
khanhha_original::CFD_037.jpg,degraded,khanhha,-0.0205260675392577,0.86530566,5.3920193,4.2571363
khanhha_original::CFD_040.jpg,degraded,khanhha,-0.0280389784482379,0.80485517,5.341255,4.2802687
khanhha_original::CFD_047.jpg,improved,khanhha,0.0217954926167799,0.78847086,5.331064,4.305717
khanhha_original::CFD_070.jpg,neutral,khanhha,-0.0080938631677056,0.9366805,5.451694,4.2665415
khanhha_original::CFD_080.jpg,improved,khanhha,0.0120839244730493,3.5300374,7.831633,5.616728
khanhha_original::CFD_082.jpg,degraded,khanhha,-0.0398716358043381,0.7696115,5.30646,4.303741
khanhha_original::CFD_084.jpg,improved,khanhha,0.0597371403006901,0.8684542,5.3953605,4.2530236
khanhha_original::CFD_088.jpg,degraded,khanhha,-0.0454029550117173,0.9319562,5.450372,4.247643
khanhha_original::CFD_108.jpg,neutral,khanhha,-0.0068110767920225,0.93467444,5.451896,4.2461495
khanhha_original::CFD_109.jpg,improved,khanhha,0.0193410891539252,0.9437485,5.4622445,4.234023
khanhha_original::CFD_111.jpg,neutral,khanhha,0.0075290681424338,0.92670685,5.4458256,4.248931
khanhha_original::CFD_118.jpg,neutral,khanhha,-0.0089024981629597,0.9640842,5.4808574,4.2322392
khanhha_original::CRACK500_20160222_080933_361_1.jpg,neutral,khanhha,-0.0001034083007714,-3.3194005,1.282548,7.5183115
khanhha_original::CRACK500_20160222_081031_641_361.jpg,neutral,khanhha,0.0009619976249003,7.213618,-3.3376496,10.121676
khanhha_original::CRACK500_20160222_081102_1921_721.jpg,neutral,khanhha,-0.0073055137365258,7.144635,-3.3695238,9.279326
khanhha_original::CRACK500_20160222_081102_1_721.jpg,neutral,khanhha,-0.00359477124183,-3.726606,3.7488089,8.097622
khanhha_original::CRACK500_20160222_081111_641_361.jpg,neutral,khanhha,0.0061497069074433,-3.3312695,1.3339626,7.238287
khanhha_original::CRACK500_20160222_081113_1921_721.jpg,neutral,khanhha,-0.008104944479948,7.151888,-3.3530958,9.127571
khanhha_original::CRACK500_20160222_081839_1_721.jpg,improved,khanhha,0.0483752525291589,7.2180295,-3.0315528,9.039532
khanhha_original::CRACK500_20160222_081908_641_721.jpg,neutral,khanhha,0.0068331924321738,7.2023973,-3.0567584,9.068131
khanhha_original::CRACK500_20160222_114759_1921_361.jpg,improved,khanhha,0.0315831267438633,7.266361,-3.4121077,10.074086
khanhha_original::CRACK500_20160222_114759_1921_721.jpg,degraded,khanhha,-0.0102925047967319,7.208206,-3.347693,10.244109
khanhha_original::CRACK500_20160222_114759_641_361.jpg,neutral,khanhha,-0.0025862951923198,7.230776,-3.3365061,9.88796
khanhha_original::CRACK500_20160222_115219_1281_721.jpg,neutral,khanhha,0.007898583617688,7.3090506,-3.0036974,9.024481
khanhha_original::CRACK500_20160222_115224_1281_1081.jpg,neutral,khanhha,-0.0006356104599523,7.3322787,-3.000251,8.990088
khanhha_original::CRACK500_20160222_115224_1281_361.jpg,improved,khanhha,0.1829655373475993,7.251043,-2.9521458,9.084446
khanhha_original::CRACK500_20160222_115305_1281_1081.jpg,degraded,khanhha,-0.0131990910365789,7.2444816,-2.9564216,9.095343
khanhha_original::CRACK500_20160222_115305_1921_361.jpg,neutral,khanhha,2.394671100591772e-05,7.305572,-2.889823,9.0159025
khanhha_original::CRACK500_20160222_115305_641_1.jpg,neutral,khanhha,0.0095086482795017,7.310027,-2.9410818,9.005125
