image_id,category,domain,physical_group,delta_iou,umap_1,umap_2,p_degraded,p_neutral,p_improved
khanhha_original::CFD_001.jpg,improved,khanhha,khanhha::CFD_001,0.0160206424062502,14.0233965,9.767401,0.3398732841014862,0.27951326966285706,0.38061338663101196
khanhha_original::CFD_007.jpg,improved,khanhha,khanhha::CFD_007,0.0368783116067982,14.174683,9.612721,0.3832871913909912,0.24852722883224487,0.3681856095790863
khanhha_original::CFD_011.jpg,improved,khanhha,khanhha::CFD_011,0.0800074283198405,13.850912,9.919573,0.3069304823875427,0.24691152572631836,0.4461580216884613
khanhha_original::CFD_013.jpg,degraded,khanhha,khanhha::CFD_013,-0.0613781602241744,13.962336,9.837195,0.35971599817276,0.26796039938926697,0.3723236322402954
khanhha_original::CFD_014.jpg,improved,khanhha,khanhha::CFD_014,0.0547757300976464,14.061444,9.727437,0.3616143465042114,0.25259217619895935,0.3857934772968292
khanhha_original::CFD_019.jpg,neutral,khanhha,khanhha::CFD_019,-0.0013922859597681,14.030758,9.76406,0.40166833996772766,0.24531899392604828,0.35301265120506287
khanhha_original::CFD_037.jpg,degraded,khanhha,khanhha::CFD_037,-0.0205260675392577,14.181045,9.614994,0.3325013816356659,0.2988186478614807,0.3686799108982086
khanhha_original::CFD_040.jpg,degraded,khanhha,khanhha::CFD_040,-0.0280389784482379,13.991712,9.786509,0.3954930305480957,0.2499830722808838,0.3545239567756653
khanhha_original::CFD_047.jpg,improved,khanhha,khanhha::CFD_047,0.0217954926167799,13.951319,9.781368,0.3967999219894409,0.2417292445898056,0.3614708483219147
khanhha_original::CFD_070.jpg,neutral,khanhha,khanhha::CFD_070,-0.0080938631677056,14.242776,9.519798,0.32900166511535645,0.29855239391326904,0.3724459707736969
khanhha_original::CFD_080.jpg,improved,khanhha,khanhha::CFD_080,0.0120839244730493,11.789198,9.000176,0.3107972741127014,0.40177565813064575,0.28742697834968567
khanhha_original::CFD_082.jpg,degraded,khanhha,khanhha::CFD_082,-0.0398716358043381,14.021422,9.767616,0.40338134765625,0.19702671468257904,0.3995918929576874
khanhha_original::CFD_084.jpg,improved,khanhha,khanhha::CFD_084,0.0597371403006901,14.14326,9.65441,0.33409032225608826,0.3139731287956238,0.35193654894828796
khanhha_original::CFD_088.jpg,degraded,khanhha,khanhha::CFD_088,-0.0454029550117173,14.249728,9.54281,0.35422998666763306,0.29553839564323425,0.35023167729377747
khanhha_original::CFD_108.jpg,neutral,khanhha,khanhha::CFD_108,-0.0068110767920225,14.272454,9.528505,0.34102141857147217,0.24446500837802887,0.41451355814933777
khanhha_original::CFD_109.jpg,improved,khanhha,khanhha::CFD_109,0.0193410891539252,14.251618,9.55054,0.33617445826530457,0.3319712281227112,0.33185431361198425
khanhha_original::CFD_111.jpg,neutral,khanhha,khanhha::CFD_111,0.0075290681424338,14.226641,9.569689,0.3532595634460449,0.32667219638824463,0.32006826996803284
khanhha_original::CFD_118.jpg,neutral,khanhha,khanhha::CFD_118,-0.0089024981629597,14.231104,9.519208,0.3349037170410156,0.3338819444179535,0.3312143385410309
khanhha_original::CRACK500_20160222_080933_361_1.jpg,neutral,khanhha,khanhha::CRACK500_20160222_080933,-0.0001034083007714,9.336991,11.661557,0.3791816830635071,0.27066361904144287,0.3501547574996948
khanhha_original::CRACK500_20160222_081031_641_361.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081031,0.0009619976249003,0.9846139,17.06008,0.19079767167568207,0.4281567931175232,0.38104552030563354
khanhha_original::CRACK500_20160222_081102_1921_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081102,-0.0073055137365258,1.1438514,16.109121,0.4061627984046936,0.24138885736465454,0.35244831442832947
khanhha_original::CRACK500_20160222_081102_1_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081102,-0.00359477124183,9.6228695,9.24196,0.3425673544406891,0.3412374258041382,0.31619518995285034
khanhha_original::CRACK500_20160222_081111_641_361.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081111,0.0061497069074433,9.73006,11.445093,0.4304939806461334,0.26737597584724426,0.3021300137042999
khanhha_original::CRACK500_20160222_081113_1921_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081113,-0.008104944479948,1.1851125,15.966824,0.4354165494441986,0.24418243765830994,0.3204009532928467
khanhha_original::CRACK500_20160222_081839_1_721.jpg,improved,khanhha,khanhha::CRACK500_20160222_081839,0.0483752525291589,1.3105023,15.906362,0.36812615394592285,0.24530725181102753,0.3865666091442108
khanhha_original::CRACK500_20160222_081908_641_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081908,0.0068331924321738,1.3698546,15.888329,0.34304079413414,0.1983833611011505,0.45857590436935425
khanhha_original::CRACK500_20160222_114759_1921_361.jpg,improved,khanhha,khanhha::CRACK500_20160222_114759,0.0315831267438633,0.8637134,16.908041,0.3068542182445526,0.3092072308063507,0.3839385509490967
khanhha_original::CRACK500_20160222_114759_1921_721.jpg,degraded,khanhha,khanhha::CRACK500_20160222_114759,-0.0102925047967319,0.9493109,17.103312,0.26159971952438354,0.2939208447933197,0.44447949528694153
khanhha_original::CRACK500_20160222_114759_641_361.jpg,neutral,khanhha,khanhha::CRACK500_20160222_114759,-0.0025862951923198,0.71672726,16.612438,0.3600471615791321,0.2533806562423706,0.3865722119808197
khanhha_original::CRACK500_20160222_115219_1281_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115219,0.007898583617688,1.437414,15.639378,0.279061496257782,0.2860117554664612,0.43492671847343445
khanhha_original::CRACK500_20160222_115224_1281_1081.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115224,-0.0006356104599523,1.3699286,15.655601,0.2573924660682678,0.2780030369758606,0.4646044969558716
