image_id,category,domain,physical_group,delta_iou,umap_1,umap_2,p_degraded,p_neutral,p_improved
khanhha_original::CFD_001.jpg,improved,khanhha,khanhha::CFD_001,0.0160206424062502,10.963952,-0.9927324,0.4543992877006531,0.14537474513053894,0.40022599697113037
khanhha_original::CFD_007.jpg,improved,khanhha,khanhha::CFD_007,0.0368783116067982,10.949054,-0.97979087,0.43197140097618103,0.09513776004314423,0.4728909134864807
khanhha_original::CFD_011.jpg,improved,khanhha,khanhha::CFD_011,0.0800074283198405,10.753721,-0.81732064,0.08213295787572861,0.03012910857796669,0.8877379894256592
khanhha_original::CFD_013.jpg,degraded,khanhha,khanhha::CFD_013,-0.0613781602241744,10.882294,-0.928002,0.40599751472473145,0.1972896158695221,0.39671286940574646
khanhha_original::CFD_014.jpg,improved,khanhha,khanhha::CFD_014,0.0547757300976464,10.9309845,-0.96221316,0.2999146580696106,0.1889251470565796,0.5111601948738098
khanhha_original::CFD_019.jpg,neutral,khanhha,khanhha::CFD_019,-0.0013922859597681,10.910384,-0.9520458,0.5412694215774536,0.32595232129096985,0.13277818262577057
khanhha_original::CFD_037.jpg,degraded,khanhha,khanhha::CFD_037,-0.0205260675392577,10.831179,-0.89965177,0.23040878772735596,0.09215156733989716,0.6774396896362305
khanhha_original::CFD_040.jpg,degraded,khanhha,khanhha::CFD_040,-0.0280389784482379,10.900369,-0.9418862,0.6302603483200073,0.24557776749134064,0.12416186183691025
khanhha_original::CFD_047.jpg,improved,khanhha,khanhha::CFD_047,0.0217954926167799,10.844391,-0.9040367,0.7148852348327637,0.12184826284646988,0.16326650977134705
khanhha_original::CFD_070.jpg,neutral,khanhha,khanhha::CFD_070,-0.0080938631677056,10.960379,-0.9983566,0.29885217547416687,0.22312386333942413,0.478023886680603
khanhha_original::CFD_080.jpg,improved,khanhha,khanhha::CFD_080,0.0120839244730493,8.73177,-0.7785277,0.3370630145072937,0.242452934384346,0.4204840362071991
khanhha_original::CFD_082.jpg,degraded,khanhha,khanhha::CFD_082,-0.0398716358043381,10.9135685,-0.9442823,0.5291624069213867,0.31020161509513855,0.16063599288463593
khanhha_original::CFD_084.jpg,improved,khanhha,khanhha::CFD_084,0.0597371403006901,10.91477,-0.9499163,0.2668204605579376,0.4564095139503479,0.27677005529403687
