image_id,category,domain,physical_group,delta_iou,umap_1,umap_2,p_degraded,p_neutral,p_improved
khanhha_original::CFD_001.jpg,improved,khanhha,khanhha::CFD_001,0.0160206424062502,1.2324531,10.313023,0.3798609972000122,0.25615519285202026,0.36398380994796753
khanhha_original::CFD_007.jpg,improved,khanhha,khanhha::CFD_007,0.0368783116067982,1.2377673,10.209918,0.452877938747406,0.2110656350851059,0.3360563814640045
khanhha_original::CFD_011.jpg,improved,khanhha,khanhha::CFD_011,0.0800074283198405,1.4085683,10.804641,0.12445218861103058,0.05751611292362213,0.8180317282676697
khanhha_original::CFD_013.jpg,degraded,khanhha,khanhha::CFD_013,-0.0613781602241744,1.3952076,9.84129,0.43167564272880554,0.23701240122318268,0.3313119113445282
khanhha_original::CFD_014.jpg,improved,khanhha,khanhha::CFD_014,0.0547757300976464,1.2654139,10.313174,0.33519697189331055,0.14379341900348663,0.5210095643997192
khanhha_original::CFD_019.jpg,neutral,khanhha,khanhha::CFD_019,-0.0013922859597681,1.3640491,9.973522,0.6335768699645996,0.1903952956199646,0.1760277897119522
khanhha_original::CFD_037.jpg,degraded,khanhha,khanhha::CFD_037,-0.0205260675392577,1.9966389,8.865763,0.4671657085418701,0.09224585443735123,0.44058841466903687
khanhha_original::CFD_040.jpg,degraded,khanhha,khanhha::CFD_040,-0.0280389784482379,1.3445909,9.763615,0.47621941566467285,0.2941437363624573,0.2296367734670639
khanhha_original::CFD_047.jpg,improved,khanhha,khanhha::CFD_047,0.0217954926167799,1.1771342,9.935525,0.5794533491134644,0.21156823635101318,0.20897841453552246
khanhha_original::CFD_070.jpg,neutral,khanhha,khanhha::CFD_070,-0.0080938631677056,1.2520068,10.1608515,0.597648024559021,0.19714698195457458,0.20520493388175964
khanhha_original::CFD_080.jpg,improved,khanhha,khanhha::CFD_080,0.0120839244730493,2.1823728,8.631715,0.4948919713497162,0.17337478697299957,0.33173322677612305
khanhha_original::CFD_082.jpg,degraded,khanhha,khanhha::CFD_082,-0.0398716358043381,1.29283,10.344489,0.34173691272735596,0.32741302251815796,0.3308500647544861
khanhha_original::CFD_084.jpg,improved,khanhha,khanhha::CFD_084,0.0597371403006901,1.3747509,9.8793745,0.5559859275817871,0.2937778830528259,0.1502361297607422
khanhha_original::CFD_088.jpg,degraded,khanhha,khanhha::CFD_088,-0.0454029550117173,1.2563993,10.232387,0.35729125142097473,0.18504106998443604,0.45766767859458923
khanhha_original::CFD_108.jpg,neutral,khanhha,khanhha::CFD_108,-0.0068110767920225,1.2643175,10.231317,0.4710398316383362,0.29922404885292053,0.22973614931106567
khanhha_original::CFD_109.jpg,improved,khanhha,khanhha::CFD_109,0.0193410891539252,1.1941375,10.219788,0.2588064968585968,0.4265602231025696,0.314633309841156
khanhha_original::CFD_111.jpg,neutral,khanhha,khanhha::CFD_111,0.0075290681424338,1.2229425,10.258566,0.34181660413742065,0.29102909564971924,0.3671543002128601
khanhha_original::CFD_118.jpg,neutral,khanhha,khanhha::CFD_118,-0.0089024981629597,1.2510005,10.246764,0.45168688893318176,0.21333114802837372,0.3349820077419281
khanhha_original::CRACK500_20160222_080933_361_1.jpg,neutral,khanhha,khanhha::CRACK500_20160222_080933,-0.0001034083007714,6.4729524,10.363291,0.3213026821613312,0.3782455623149872,0.30045175552368164
khanhha_original::CRACK500_20160222_081031_641_361.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081031,0.0009619976249003,7.768115,2.1372752,0.06255388259887695,0.8374393582344055,0.10000670701265335
khanhha_original::CRACK500_20160222_081102_1921_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081102,-0.0073055137365258,6.7898364,2.212572,0.290219783782959,0.2346566617488861,0.47512364387512207
khanhha_original::CRACK500_20160222_081102_1_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081102,-0.00359477124183,5.5702186,2.1035266,0.37675637006759644,0.19192951917648315,0.43131405115127563
khanhha_original::CRACK500_20160222_081111_641_361.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081111,0.0061497069074433,6.6734095,2.243599,0.5200759172439575,0.15914075076580048,0.3207833468914032
khanhha_original::CRACK500_20160222_081113_1921_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081113,-0.008104944479948,6.5995564,2.1712852,0.5085957646369934,0.1752755343914032,0.3161287009716034
khanhha_original::CRACK500_20160222_081839_1_721.jpg,improved,khanhha,khanhha::CRACK500_20160222_081839,0.0483752525291589,6.558729,2.440605,0.30602598190307617,0.2986689507961273,0.3953050374984741
khanhha_original::CRACK500_20160222_081908_641_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081908,0.0068331924321738,6.563192,2.407182,0.5834097266197205,0.13350386917591095,0.2830863893032074
khanhha_original::CRACK500_20160222_114759_1921_361.jpg,improved,khanhha,khanhha::CRACK500_20160222_114759,0.0315831267438633,7.354366,2.0762835,0.10865068435668945,0.713305652141571,0.1780436635017395
khanhha_original::CRACK500_20160222_114759_1921_721.jpg,degraded,khanhha,khanhha::CRACK500_20160222_114759,-0.0102925047967319,7.5025563,2.0975924,0.09234585613012314,0.5427875518798828,0.36486658453941345
khanhha_original::CRACK500_20160222_114759_641_361.jpg,neutral,khanhha,khanhha::CRACK500_20160222_114759,-0.0025862951923198,6.8654647,2.3265874,0.4499102830886841,0.30941057205200195,0.24067920446395874
khanhha_original::CRACK500_20160222_115219_1281_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115219,0.007898583617688,6.231666,2.2192926,0.30441734194755554,0.13273514807224274,0.5628474950790405
khanhha_original::CRACK500_20160222_115224_1281_1081.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115224,-0.0006356104599523,6.2134356,2.1429322,0.14938071370124817,0.4367395341396332,0.4138798415660858
khanhha_original::CRACK500_20160222_115224_1281_361.jpg,improved,khanhha,khanhha::CRACK500_20160222_115224,0.1829655373475993,4.119552,5.906052,0.3399234116077423,0.051161207258701324,0.608915388584137
khanhha_original::CRACK500_20160222_115305_1281_1081.jpg,degraded,khanhha,khanhha::CRACK500_20160222_115305,-0.0131990910365789,6.397617,2.320813,0.24594177305698395,0.16417287290096283,0.5898853540420532
khanhha_original::CRACK500_20160222_115305_1921_361.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115305,2.394671100591772e-05,6.0656056,2.2754085,0.21760691702365875,0.26799148321151733,0.5144016146659851
