image_id,umap_1,umap_2
khanhha_original::CFD_001.jpg,3.0665567,10.832546
khanhha_original::CFD_007.jpg,3.129831,10.654633
khanhha_original::CFD_011.jpg,2.8605247,11.019126
khanhha_original::CFD_013.jpg,3.1996317,10.192186
khanhha_original::CFD_014.jpg,3.0968328,10.77258
khanhha_original::CFD_019.jpg,3.207734,10.327911
khanhha_original::CFD_037.jpg,3.3995788,8.96707
khanhha_original::CFD_040.jpg,3.153997,10.152661
khanhha_original::CFD_047.jpg,2.91749,10.357396
khanhha_original::CFD_070.jpg,3.1674764,10.633564
khanhha_original::CFD_080.jpg,3.4946299,8.595618
khanhha_original::CFD_082.jpg,3.0972877,10.808357
khanhha_original::CFD_084.jpg,3.1837652,10.2335
khanhha_original::CFD_088.jpg,3.1727865,10.686375
khanhha_original::CFD_108.jpg,3.173724,10.687987
khanhha_original::CFD_109.jpg,3.157665,10.739486
khanhha_original::CFD_111.jpg,3.1623924,10.730324
khanhha_original::CFD_118.jpg,3.1884608,10.701457
khanhha_original::CRACK500_20160222_080933_361_1.jpg,7.7518735,10.056264
khanhha_original::CRACK500_20160222_081031_641_361.jpg,7.880159,1.5976623
khanhha_original::CRACK500_20160222_081102_1921_721.jpg,6.962637,1.9388324
khanhha_original::CRACK500_20160222_081102_1_721.jpg,5.74632,1.9265419
khanhha_original::CRACK500_20160222_081111_641_361.jpg,6.9091277,2.0161161
khanhha_original::CRACK500_20160222_081113_1921_721.jpg,6.778816,1.9739574
khanhha_original::CRACK500_20160222_081839_1_721.jpg,6.7018003,2.1931868
khanhha_original::CRACK500_20160222_081908_641_721.jpg,6.660457,2.1048176
khanhha_original::CRACK500_20160222_114759_1921_361.jpg,7.513318,1.6718308
khanhha_original::CRACK500_20160222_114759_1921_721.jpg,7.662785,1.6534482
khanhha_original::CRACK500_20160222_114759_641_361.jpg,6.991055,1.9862983
khanhha_original::CRACK500_20160222_115219_1281_721.jpg,6.4474425,2.0446928
khanhha_original::CRACK500_20160222_115224_1281_1081.jpg,6.39486,1.8979245
khanhha_original::CRACK500_20160222_115224_1281_361.jpg,4.7668586,5.807152
khanhha_original::CRACK500_20160222_115305_1281_1081.jpg,6.6029577,2.0408206
khanhha_original::CRACK500_20160222_115305_1921_361.jpg,6.223761,2.03545
khanhha_original::CRACK500_20160222_115305_641_1.jpg,6.3958693,2.0243955
khanhha_original::CRACK500_20160222_115305_641_721.jpg,6.629752,2.0141947
khanhha_original::CRACK500_20160222_115324_1281_721.jpg,5.8965907,2.0113683
khanhha_original::CRACK500_20160222_115324_641_1081.jpg,6.6858625,1.8371267
khanhha_original::CRACK500_20160222_115519_641_721.jpg,7.2917585,5.7226634
khanhha_original::CRACK500_20160222_115828_641_1.jpg,7.2980275,5.717702
khanhha_original::CRACK500_20160222_115833_1921_1081.jpg,7.2821145,5.716683
khanhha_original::CRACK500_20160222_115833_641_361.jpg,7.2882805,5.709089
khanhha_original::CRACK500_20160222_115843_1281_361.jpg,7.285055,5.723535
khanhha_original::CRACK500_20160222_115847_1281_361.jpg,7.2864966,5.7144995
khanhha_original::CRACK500_20160222_115847_641_361.jpg,7.2796826,5.7126465
khanhha_original::CRACK500_20160222_163940_1281_1081.jpg,6.90474,1.5729755
khanhha_original::CRACK500_20160222_163940_1_1081.jpg,6.642258,4.3621936
khanhha_original::CRACK500_20160222_163940_1_361.jpg,6.987112,2.2035296
khanhha_original::CRACK500_20160222_163940_641_1081.jpg,7.125285,1.8096629
khanhha_original::CRACK500_20160222_164141_1281_1.jpg,6.6593714,4.7432995
khanhha_original::CRACK500_20160222_164141_1921_721.jpg,6.713894,4.8131185
khanhha_original::CRACK500_20160222_164141_1_1081.jpg,6.8322587,1.8550173
khanhha_original::CRACK500_20160222_164822_1281_1.jpg,5.742205,1.9117807
khanhha_original::CRACK500_20160222_164822_641_1.jpg,6.08519,1.8938192
khanhha_original::CRACK500_20160222_164822_641_361.jpg,5.809357,1.9421754
khanhha_original::CRACK500_20160222_164825_641_721.jpg,6.893445,1.938879
khanhha_original::CRACK500_20160222_164851_641_1081.jpg,6.627267,1.7264832
khanhha_original::CRACK500_20160222_164936_641_361.jpg,6.9985313,1.7925735
khanhha_original::CRACK500_20160222_165037_1921_361.jpg,6.3600836,1.8609246
khanhha_original::CRACK500_20160222_165037_1_361.jpg,7.6060452,1.6899165
khanhha_original::CRACK500_20160222_165037_641_361.jpg,7.0190816,1.8450962
khanhha_original::CRACK500_20160222_165218_641_1.jpg,5.8142734,1.8756938
khanhha_original::CRACK500_20160222_165225_1281_721.jpg,5.684954,1.8711315
khanhha_original::CRACK500_20160222_165256_1281_1.jpg,5.734074,1.8798854
khanhha_original::CRACK500_20160222_165256_1281_721.jpg,6.9475102,1.8977368
khanhha_original::CRACK500_20160222_165256_641_1.jpg,5.810524,1.8706843
khanhha_original::CRACK500_20160222_165715_1921_721.jpg,6.19323,1.7353574
khanhha_original::CRACK500_20160222_165909_1281_1081.jpg,6.2984734,1.897529
khanhha_original::CRACK500_20160222_165919_1_721.jpg,5.735286,2.0444345
khanhha_original::CRACK500_20160222_165926_1281_721.jpg,6.849074,1.9373416
khanhha_original::CRACK500_20160222_165947_1921_721.jpg,7.268087,2.137427
khanhha_original::CRACK500_20160222_165951_1921_1.jpg,6.9225116,1.9994154
khanhha_original::CRACK500_20160225_114503_1_361.jpg,6.792568,2.068681
khanhha_original::CRACK500_20160225_114514_721_1281.jpg,6.8982005,4.696493
khanhha_original::CRACK500_20160225_114514_721_641.jpg,6.771608,4.8816447
khanhha_original::CRACK500_20160225_114535_1281_1081.jpg,6.8640776,1.7358593
khanhha_original::CRACK500_20160225_114535_1921_1081.jpg,6.860494,1.5954452
khanhha_original::CRACK500_20160225_114535_1_1.jpg,5.728465,1.8329747
khanhha_original::CRACK500_20160302_155848_1281_361.jpg,7.8458385,1.8480465
khanhha_original::CRACK500_20160302_155848_1921_361.jpg,8.180011,2.033789
khanhha_original::CRACK500_20160302_155848_641_721.jpg,7.843454,2.2727633
khanhha_original::CRACK500_20160302_155857_1281_1.jpg,5.909173,2.2392898
khanhha_original::CRACK500_20160302_155857_1_721.jpg,7.718606,2.4046962
khanhha_original::CRACK500_20160302_155914_1081_641.jpg,5.40261,3.0861483
khanhha_original::CRACK500_20160302_155919_1281_721.jpg,5.4743576,2.0621061
khanhha_original::CRACK500_20160302_155919_641_1.jpg,6.817177,2.4256346
khanhha_original::CRACK500_20160302_155919_641_1081.jpg,6.9032555,2.0206728
khanhha_original::CRACK500_20160302_155925_1281_361.jpg,7.521597,2.2630131
khanhha_original::CRACK500_20160302_155925_641_361.jpg,5.76564,2.1195095
khanhha_original::CRACK500_20160302_160033_641_361.jpg,6.966385,1.5856735
khanhha_original::CRACK500_20160303_091830_361_1281.jpg,6.880455,2.5710878
khanhha_original::CRACK500_20160303_092627_641_721.jpg,6.3697753,1.6550868
khanhha_original::CRACK500_20160303_092806_1281_721.jpg,5.948093,1.9737175
khanhha_original::CRACK500_20160303_092806_1_721.jpg,5.8782616,1.9372194
khanhha_original::CRACK500_20160303_092839_1281_361.jpg,6.0810757,1.8465414
khanhha_original::CRACK500_20160303_092839_1281_721.jpg,6.761596,2.1025267
khanhha_original::CRACK500_20160303_092839_641_721.jpg,6.820604,2.1275504
khanhha_original::CRACK500_20160303_093353_1921_361.jpg,7.858224,1.6356801
khanhha_original::CRACK500_20160303_093353_1921_721.jpg,6.4025736,1.5672406
khanhha_original::CRACK500_20160303_093400_641_1.jpg,7.0164337,1.7180953
khanhha_original::CRACK500_20160303_093400_641_721.jpg,7.5258207,1.6801527
khanhha_original::CRACK500_20160303_093527_1281_361.jpg,7.4671955,2.2946413
khanhha_original::CRACK500_20160303_093537_1921_1081.jpg,7.1174574,2.016612
khanhha_original::CRACK500_20160306_103613_1_721.jpg,6.4779186,1.5993927
khanhha_original::CRACK500_20160306_103638_1921_1081.jpg,6.3088503,1.6163719
khanhha_original::CRACK500_20160306_103638_1_361.jpg,6.3487864,1.6357403
khanhha_original::CRACK500_20160306_103657_1921_721.jpg,6.6830893,1.9715908
khanhha_original::CRACK500_20160306_103657_641_721.jpg,7.2719436,1.6824406
khanhha_original::CRACK500_20160306_103816_1_721.jpg,7.513367,2.0920415
khanhha_original::CRACK500_20160306_103830_1921_1081.jpg,6.3853793,1.5701232
khanhha_original::CRACK500_20160306_103903_1281_361.jpg,6.4526067,1.5502777
khanhha_original::CRACK500_20160306_103903_641_361.jpg,6.7795644,1.5647179
khanhha_original::CRACK500_20160306_104522_1921_361.jpg,6.912032,1.5758083
khanhha_original::CRACK500_20160306_104522_1921_721.jpg,6.4580655,1.5626116
khanhha_original::CRACK500_20160306_104522_641_721.jpg,7.6008773,1.872311
khanhha_original::CRACK500_20160306_104527_1921_721.jpg,8.196353,1.668816
khanhha_original::CRACK500_20160306_104527_641_361.jpg,7.9191384,1.5857086
khanhha_original::CRACK500_20160307_143827_1_721.jpg,7.2555394,2.4662023
khanhha_original::CRACK500_20160307_144115_1281_1.jpg,7.237937,1.5868064
khanhha_original::CRACK500_20160307_144150_1281_721.jpg,7.40043,2.3659449
khanhha_original::CRACK500_20160307_144150_641_361.jpg,6.900006,2.1833227
khanhha_original::CRACK500_20160307_144202_1281_361.jpg,6.757002,2.331307
khanhha_original::CRACK500_20160307_144202_1281_721.jpg,6.696067,2.4160538
khanhha_original::CRACK500_20160307_144842_1281_1.jpg,7.781533,1.9333041
khanhha_original::CRACK500_20160307_144842_1281_1081.jpg,7.3194356,1.7467829
khanhha_original::CRACK500_20160307_144916_1281_361.jpg,6.713742,1.5822891
khanhha_original::CRACK500_20160307_144916_1921_721.jpg,7.475194,2.0056012
khanhha_original::CRACK500_20160307_144924_1281_361.jpg,7.028498,1.6616853
khanhha_original::CRACK500_20160307_144924_641_361.jpg,7.039767,1.6372453
khanhha_original::CRACK500_20160307_144931_1281_1.jpg,7.228767,1.5792977
khanhha_original::CRACK500_20160307_144931_641_721.jpg,7.1734767,1.8640933
khanhha_original::CRACK500_20160307_145059_1921_361.jpg,7.3425746,2.407858
khanhha_original::CRACK500_20160307_145107_1281_721.jpg,7.288991,2.1890981
khanhha_original::CRACK500_20160307_145107_1_1.jpg,8.600053,6.7199655
khanhha_original::CRACK500_20160307_145259_1921_721.jpg,6.5057464,1.8403817
khanhha_original::CRACK500_20160307_145259_1_361.jpg,7.6945915,1.7553531
khanhha_original::CRACK500_20160307_162438_1921_1081.jpg,7.3750725,2.0313687
khanhha_original::CRACK500_20160307_162438_1921_721.jpg,7.7171226,1.6580627
khanhha_original::CRACK500_20160307_163537_1281_721.jpg,6.5540204,1.7420957
khanhha_original::CRACK500_20160307_163537_641_361.jpg,5.7825217,1.8223058
khanhha_original::CRACK500_20160307_163537_641_721.jpg,7.2612386,2.1359506
khanhha_original::CRACK500_20160307_163627_641_721.jpg,6.296965,1.5909172
khanhha_original::CRACK500_20160307_163641_1921_361.jpg,7.0137224,1.9141784
khanhha_original::CRACK500_20160307_164214_1281_1081.jpg,6.8644075,2.1104438
khanhha_original::CRACK500_20160307_164214_1_721.jpg,7.7140617,2.3417382
khanhha_original::CRACK500_20160307_164226_1921_721.jpg,6.8739266,2.0202198
khanhha_original::CRACK500_20160307_164226_1_721.jpg,6.933928,1.9753428
khanhha_original::CRACK500_20160307_164226_641_721.jpg,7.3931766,1.8523554
khanhha_original::CRACK500_20160307_164301_641_361.jpg,7.7217283,1.7466028
khanhha_original::CRACK500_20160307_164334_641_1.jpg,7.2084002,1.7001963
khanhha_original::CRACK500_20160307_164334_641_361.jpg,7.048491,1.742729
khanhha_original::CRACK500_20160307_164400_641_1.jpg,6.957699,1.6356146
khanhha_original::CRACK500_20160307_164517_1921_361.jpg,7.0818653,1.8789998
khanhha_original::CRACK500_20160308_072824_641_1.jpg,7.3699036,1.5656574
khanhha_original::CRACK500_20160308_072921_1281_1081.jpg,6.613514,1.5209324
khanhha_original::CRACK500_20160308_072921_1281_361.jpg,6.946306,1.5808597
khanhha_original::CRACK500_20160308_072921_641_1081.jpg,7.756694,1.6959786
khanhha_original::CRACK500_20160308_072921_641_721.jpg,7.58814,1.6355429
khanhha_original::CRACK500_20160308_072951_641_721.jpg,8.152579,1.731299
khanhha_original::CRACK500_20160308_073014_1281_721.jpg,8.247658,1.8172994
khanhha_original::CRACK500_20160308_073245_1_361.jpg,7.6507974,2.0543313
khanhha_original::CRACK500_20160308_073245_641_1.jpg,6.6879816,1.5813464
khanhha_original::CRACK500_20160308_073356_1281_1081.jpg,7.197034,1.5446277
khanhha_original::CRACK500_20160308_073356_641_1.jpg,7.303889,1.702016
khanhha_original::CRACK500_20160308_073406_641_721.jpg,7.2869754,1.8729371
khanhha_original::CRACK500_20160308_073532_1_361.jpg,7.437994,2.149171
khanhha_original::CRACK500_20160308_073736_1281_361.jpg,7.814525,1.9586121
khanhha_original::CRACK500_20160308_073736_641_721.jpg,6.827421,1.7924376
khanhha_original::CRACK500_20160308_074321_1921_361.jpg,6.5066576,1.5522162
khanhha_original::CRACK500_20160308_074330_1921_721.jpg,8.0506315,1.9221301
khanhha_original::CRACK500_20160308_074702_1281_361.jpg,7.939188,1.8013301
khanhha_original::CRACK500_20160308_074702_1921_361.jpg,8.093028,1.8047916
khanhha_original::CRACK500_20160308_074702_641_721.jpg,7.970234,2.1323624
khanhha_original::CRACK500_20160308_155720_1281_361.jpg,6.806223,2.0394073
khanhha_original::CRACK500_20160308_155720_1_1.jpg,7.1845174,2.354781
khanhha_original::CRACK500_20160308_155720_641_721.jpg,6.977607,2.2788303
khanhha_original::CRACK500_20160308_155731_1281_1.jpg,7.354062,1.5882825
khanhha_original::CRACK500_20160308_155731_641_1081.jpg,6.7536764,2.0065067
khanhha_original::CRACK500_20160308_155737_1281_1.jpg,6.879467,2.0090363
khanhha_original::CRACK500_20160308_155737_1281_361.jpg,6.4349084,2.0228243
khanhha_original::CRACK500_20160308_155737_1281_721.jpg,6.7553773,2.0490975
khanhha_original::CRACK500_20160308_155737_1921_1.jpg,6.767101,2.1083708
khanhha_original::CRACK500_20160308_155737_1_1081.jpg,6.7941995,2.1848226
khanhha_original::CRACK500_20160308_155737_641_721.jpg,5.918614,1.8557229
khanhha_original::CRACK500_20160308_155828_1281_721.jpg,7.133883,2.137004
khanhha_original::CRACK500_20160308_155836_1921_361.jpg,6.1834683,1.6223603
khanhha_original::CRACK500_20160308_155836_1921_721.jpg,6.707416,1.7345607
khanhha_original::CRACK500_20160308_160053_1_361.jpg,6.041934,1.8017468
khanhha_original::CRACK500_20160308_160128_641_361.jpg,6.879989,1.9111836
khanhha_original::CRACK500_20160308_160128_641_721.jpg,7.2418327,1.8720331
khanhha_original::CRACK500_20160310_114418_641_361.jpg,7.179107,1.7336476
khanhha_original::CRACK500_20160310_114441_641_1.jpg,7.4783297,1.6655314
khanhha_original::CRACK500_20160310_114441_641_1081.jpg,7.4114056,1.695707
khanhha_original::CRACK500_20160310_114446_641_1081.jpg,7.3831897,1.6929039
khanhha_original::CRACK500_20160310_114505_641_361.jpg,6.8833346,1.9519609
khanhha_original::CRACK500_20160310_114658_641_721.jpg,6.6014194,1.7721888
khanhha_original::CRACK500_20160316_141721_1_721.jpg,7.859169,1.9945179
khanhha_original::CRACK500_20160316_141721_641_721.jpg,7.39285,2.1431417
khanhha_original::CRACK500_20160316_142009_1281_361.jpg,7.4924946,1.6767212
khanhha_original::CRACK500_20160316_142009_1281_721.jpg,6.171334,1.7203329
khanhha_original::CRACK500_20160316_142027_1281_721.jpg,6.4337196,1.6229942
khanhha_original::CRACK500_20160316_142449_1_361.jpg,7.4848213,1.9300429
khanhha_original::CRACK500_20160316_142539_1_721.jpg,7.2048297,2.2770786
khanhha_original::CRACK500_20160316_143433_641_361.jpg,7.4020023,1.8248892
khanhha_original::CRACK500_20160316_143445_1281_361.jpg,7.299673,1.5954497
khanhha_original::CRACK500_20160316_143527_641_1.jpg,7.32136,1.765686
khanhha_original::CRACK500_20160316_143547_1281_1081.jpg,6.6288137,1.722735
khanhha_original::CRACK500_20160316_143603_1921_361.jpg,7.4973574,2.152769
khanhha_original::CRACK500_20160316_143624_1_641.jpg,7.4974656,2.636875
