image_id,category,domain,delta_iou,umap_1,umap_2,umap_3
khanhha_original::CFD_001.jpg,improved,khanhha,0.0160206424062502,7.497056,4.4562907,8.616684
khanhha_original::CFD_007.jpg,improved,khanhha,0.0368783116067982,7.5030475,4.3998,8.486853
khanhha_original::CFD_011.jpg,improved,khanhha,0.0800074283198405,6.976532,2.2107058,9.099028
khanhha_original::CFD_013.jpg,degraded,khanhha,-0.0613781602241744,7.3794804,4.269684,8.250888
khanhha_original::CFD_014.jpg,improved,khanhha,0.0547757300976464,7.499636,4.432686,8.631128
khanhha_original::CFD_019.jpg,neutral,khanhha,-0.0013922859597681,7.402014,4.3138676,8.332569
khanhha_original::CFD_037.jpg,degraded,khanhha,-0.0205260675392577,7.017643,3.3896866,7.9050455
khanhha_original::CFD_040.jpg,degraded,khanhha,-0.0280389784482379,7.423321,4.2790227,8.173104
khanhha_original::CFD_047.jpg,improved,khanhha,0.0217954926167799,7.579955,4.07519,8.3154
khanhha_original::CFD_070.jpg,neutral,khanhha,-0.0080938631677056,7.4703174,4.4099913,8.5052
khanhha_original::CFD_080.jpg,improved,khanhha,0.0120839244730493,6.7487316,2.592722,8.197772
khanhha_original::CFD_082.jpg,degraded,khanhha,-0.0398716358043381,7.4741416,4.4237432,8.62405
khanhha_original::CFD_084.jpg,improved,khanhha,0.0597371403006901,7.397156,4.293826,8.264439
khanhha_original::CFD_088.jpg,degraded,khanhha,-0.0454029550117173,7.465394,4.461392,8.562363
khanhha_original::CFD_108.jpg,neutral,khanhha,-0.0068110767920225,7.4400916,4.435291,8.548184
khanhha_original::CFD_109.jpg,improved,khanhha,0.0193410891539252,7.4922924,4.490899,8.577775
khanhha_original::CFD_111.jpg,neutral,khanhha,0.0075290681424338,7.492987,4.506182,8.615715
khanhha_original::CFD_118.jpg,neutral,khanhha,-0.0089024981629597,7.4677362,4.462335,8.5763235
khanhha_original::CRACK500_20160222_080933_361_1.jpg,neutral,khanhha,-0.0001034083007714,3.4918702,0.55316913,5.5455065
khanhha_original::CRACK500_20160222_081031_641_361.jpg,neutral,khanhha,0.0009619976249003,3.6315496,6.6942477,2.6696615
khanhha_original::CRACK500_20160222_081102_1921_721.jpg,neutral,khanhha,-0.0073055137365258,4.3950214,5.9025493,3.0436897
khanhha_original::CRACK500_20160222_081102_1_721.jpg,neutral,khanhha,-0.00359477124183,5.7301745,5.714597,3.2330418
khanhha_original::CRACK500_20160222_081111_641_361.jpg,neutral,khanhha,0.0061497069074433,4.4126906,5.719215,3.1292412
khanhha_original::CRACK500_20160222_081113_1921_721.jpg,neutral,khanhha,-0.008104944479948,4.5547075,5.8596396,3.0735679
khanhha_original::CRACK500_20160222_081839_1_721.jpg,improved,khanhha,0.0483752525291589,4.5199122,5.7270164,3.4883397
khanhha_original::CRACK500_20160222_081908_641_721.jpg,neutral,khanhha,0.0068331924321738,4.537803,5.731059,3.368631
khanhha_original::CRACK500_20160222_114759_1921_361.jpg,improved,khanhha,0.0315831267438633,4.0427475,6.450776,2.7576504
khanhha_original::CRACK500_20160222_114759_1921_721.jpg,degraded,khanhha,-0.0102925047967319,3.9026165,6.5601482,2.6804976
khanhha_original::CRACK500_20160222_114759_641_361.jpg,neutral,khanhha,-0.0025862951923198,4.370962,6.01932,3.220082
khanhha_original::CRACK500_20160222_115219_1281_721.jpg,neutral,khanhha,0.007898583617688,4.924682,5.919571,3.258702
khanhha_original::CRACK500_20160222_115224_1281_1081.jpg,neutral,khanhha,-0.0006356104599523,4.983746,6.0118384,3.1073084
khanhha_original::CRACK500_20160222_115224_1281_361.jpg,improved,khanhha,0.1829655373475993,4.82831,4.1954794,6.0620093
khanhha_original::CRACK500_20160222_115305_1281_1081.jpg,degraded,khanhha,-0.0131990910365789,4.777724,5.8616734,3.291627
khanhha_original::CRACK500_20160222_115305_1921_361.jpg,neutral,khanhha,2.394671100591772e-05,5.0603604,5.864131,3.3707342
khanhha_original::CRACK500_20160222_115305_641_1.jpg,neutral,khanhha,0.0095086482795017,4.9870853,5.8860683,3.281712
khanhha_original::CRACK500_20160222_115305_641_721.jpg,neutral,khanhha,0.0098552548143666,4.7402864,5.9312205,3.1822977
khanhha_original::CRACK500_20160222_115324_1281_721.jpg,neutral,khanhha,1.965129010195188e-05,5.4350514,6.0544434,3.2471771
khanhha_original::CRACK500_20160222_115324_641_1081.jpg,improved,khanhha,0.0102789315135722,4.758731,6.086679,3.0504918
khanhha_original::CRACK500_20160222_115519_641_721.jpg,neutral,khanhha,0.0092525299051148,4.7797546,2.209292,3.2168968
khanhha_original::CRACK500_20160222_115828_641_1.jpg,neutral,khanhha,-0.0007437058390387,4.773302,2.214131,3.209271
khanhha_original::CRACK500_20160222_115833_1921_1081.jpg,degraded,khanhha,-0.0295464376161981,4.7733164,2.2139728,3.2253845
khanhha_original::CRACK500_20160222_115833_641_361.jpg,neutral,khanhha,-0.0066722173692509,4.7700047,2.2287893,3.2102237
khanhha_original::CRACK500_20160222_115843_1281_361.jpg,neutral,khanhha,-0.0027310739605249,4.7781816,2.223205,3.2115853
khanhha_original::CRACK500_20160222_115847_1281_361.jpg,improved,khanhha,0.0520624583002047,4.7831635,2.219669,3.203147
khanhha_original::CRACK500_20160222_115847_641_361.jpg,neutral,khanhha,-0.0036984666541647,4.7846384,2.208747,3.2184813
khanhha_original::CRACK500_20160222_163940_1281_1081.jpg,neutral,khanhha,0.0026273373743493,4.545567,6.2425256,2.6996543
khanhha_original::CRACK500_20160222_163940_1_1081.jpg,improved,khanhha,0.0230023029906272,4.3594837,5.5719366,4.3194466
khanhha_original::CRACK500_20160222_163940_1_361.jpg,improved,khanhha,0.0122966381810233,4.331003,5.8805757,3.662481
khanhha_original::CRACK500_20160222_163940_641_1081.jpg,neutral,khanhha,-0.0048359521603076,4.2539544,6.1225715,2.9287777
khanhha_original::CRACK500_20160222_164141_1281_1.jpg,neutral,khanhha,0.007611500665304,4.3279896,5.239003,4.5437217
khanhha_original::CRACK500_20160222_164141_1921_721.jpg,neutral,khanhha,0.0045615023559186,4.283524,5.168539,4.553377
khanhha_original::CRACK500_20160222_164141_1_1081.jpg,neutral,khanhha,0.0055611848281974,4.5770836,5.944225,2.9457445
khanhha_original::CRACK500_20160222_164822_1281_1.jpg,improved,khanhha,0.0758985182944791,5.613257,5.9530563,3.181655
khanhha_original::CRACK500_20160222_164822_641_1.jpg,neutral,khanhha,-0.0027085002025828,5.309414,5.8935437,3.1430166
khanhha_original::CRACK500_20160222_164822_641_361.jpg,degraded,khanhha,-0.0226626284144479,5.5670753,5.8592224,3.227708
khanhha_original::CRACK500_20160222_164825_641_721.jpg,degraded,khanhha,-0.019368189861586,4.424508,5.9292636,3.085896
khanhha_original::CRACK500_20160222_164851_641_1081.jpg,degraded,khanhha,-0.0216298627860888,4.7243657,6.033701,2.898299
khanhha_original::CRACK500_20160222_164936_641_361.jpg,neutral,khanhha,0.0096447957776096,4.420616,6.0481215,2.9031284
khanhha_original::CRACK500_20160222_165037_1921_361.jpg,neutral,khanhha,0.0007862018271812,4.9772997,5.9477844,2.9837003
