image_id,category,domain,physical_group,delta_iou,umap_1,umap_2,p_degraded,p_neutral,p_improved
khanhha_original::CFD_001.jpg,improved,khanhha,khanhha::CFD_001,0.0160206424062502,6.489109,1.6545795,0.4053780436515808,0.15239207446575165,0.44222986698150635
khanhha_original::CFD_007.jpg,improved,khanhha,khanhha::CFD_007,0.0368783116067982,6.432303,1.6907754,0.5250952243804932,0.17250947654247284,0.30239540338516235
khanhha_original::CFD_011.jpg,improved,khanhha,khanhha::CFD_011,0.0800074283198405,6.6458783,1.9196222,0.12688958644866943,0.0430915541946888,0.8300188779830933
khanhha_original::CFD_013.jpg,degraded,khanhha,khanhha::CFD_013,-0.0613781602241744,6.296093,2.0050447,0.46790456771850586,0.18919186294078827,0.34290358424186707
khanhha_original::CFD_014.jpg,improved,khanhha,khanhha::CFD_014,0.0547757300976464,6.4918904,1.6963395,0.4348284900188446,0.08936968445777893,0.47580188512802124
khanhha_original::CFD_019.jpg,neutral,khanhha,khanhha::CFD_019,-0.0013922859597681,6.322189,1.9077816,0.5825183391571045,0.2369837909936905,0.1804979145526886
khanhha_original::CFD_037.jpg,degraded,khanhha,khanhha::CFD_037,-0.0205260675392577,6.273627,2.8562758,0.600982129573822,0.08320865035057068,0.3158092498779297
khanhha_original::CFD_040.jpg,degraded,khanhha,khanhha::CFD_040,-0.0280389784482379,6.292811,1.9587886,0.40985411405563354,0.3947891294956207,0.1953568011522293
khanhha_original::CFD_047.jpg,improved,khanhha,khanhha::CFD_047,0.0217954926167799,6.6375036,2.3233206,0.6381229758262634,0.10505444556474686,0.25682249665260315
khanhha_original::CFD_070.jpg,neutral,khanhha,khanhha::CFD_070,-0.0080938631677056,6.3960166,1.7027924,0.5337032675743103,0.19594904780387878,0.2703476548194885
khanhha_original::CFD_080.jpg,improved,khanhha,khanhha::CFD_080,0.0120839244730493,6.441137,2.7961342,0.5407235026359558,0.2348109930753708,0.2244655191898346
khanhha_original::CFD_082.jpg,degraded,khanhha,khanhha::CFD_082,-0.0398716358043381,6.4878554,1.6889029,0.41065657138824463,0.2773490846157074,0.31199440360069275
khanhha_original::CFD_084.jpg,improved,khanhha,khanhha::CFD_084,0.0597371403006901,6.30757,1.9304843,0.4786106050014496,0.32116273045539856,0.20022664964199066
khanhha_original::CFD_088.jpg,degraded,khanhha,khanhha::CFD_088,-0.0454029550117173,6.4344063,1.6398871,0.28721848130226135,0.2886156737804413,0.424165815114975
khanhha_original::CFD_108.jpg,neutral,khanhha,khanhha::CFD_108,-0.0068110767920225,6.4053054,1.6562121,0.4696778655052185,0.18489189445972443,0.34543028473854065
khanhha_original::CFD_109.jpg,improved,khanhha,khanhha::CFD_109,0.0193410891539252,6.445421,1.6432277,0.3625244200229645,0.33454248309135437,0.3029330372810364
khanhha_original::CFD_111.jpg,neutral,khanhha,khanhha::CFD_111,0.0075290681424338,6.4423,1.6369458,0.36091160774230957,0.28511717915534973,0.3539712429046631
khanhha_original::CFD_118.jpg,neutral,khanhha,khanhha::CFD_118,-0.0089024981629597,6.424823,1.6302017,0.42948296666145325,0.14462004601955414,0.4258969724178314
khanhha_original::CRACK500_20160222_080933_361_1.jpg,neutral,khanhha,khanhha::CRACK500_20160222_080933,-0.0001034083007714,2.1809711,0.5396909,0.4716430902481079,0.2680548429489136,0.26030203700065613
khanhha_original::CRACK500_20160222_081031_641_361.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081031,0.0009619976249003,1.0562596,8.605641,0.06984176486730576,0.6939428448677063,0.23621538281440735
khanhha_original::CRACK500_20160222_081102_1921_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081102,-0.0073055137365258,1.9370285,9.258143,0.25049304962158203,0.2684381902217865,0.4810687303543091
khanhha_original::CRACK500_20160222_081102_1_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081102,-0.00359477124183,4.0104117,0.38786545,0.3072149455547333,0.26108747720718384,0.4316975176334381
khanhha_original::CRACK500_20160222_081111_641_361.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081111,0.0061497069074433,1.9334925,9.212602,0.4403134882450104,0.3151371479034424,0.24454933404922485
khanhha_original::CRACK500_20160222_081113_1921_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081113,-0.008104944479948,1.8824569,9.2371235,0.48247092962265015,0.2200879007577896,0.29744118452072144
khanhha_original::CRACK500_20160222_081839_1_721.jpg,improved,khanhha,khanhha::CRACK500_20160222_081839,0.0483752525291589,2.1337907,9.041056,0.18958298861980438,0.38161101937294006,0.42880597710609436
khanhha_original::CRACK500_20160222_081908_641_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081908,0.0068331924321738,5.000327,8.4694605,0.22122275829315186,0.21158403158187866,0.5671932101249695
khanhha_original::CRACK500_20160222_114759_1921_361.jpg,improved,khanhha,khanhha::CRACK500_20160222_114759,0.0315831267438633,1.1573224,8.711499,0.11708139628171921,0.6206099390983582,0.26230865716934204
khanhha_original::CRACK500_20160222_114759_1921_721.jpg,degraded,khanhha,khanhha::CRACK500_20160222_114759,-0.0102925047967319,0.9807967,8.599829,0.06773904711008072,0.3678881824016571,0.564372718334198
khanhha_original::CRACK500_20160222_114759_641_361.jpg,neutral,khanhha,khanhha::CRACK500_20160222_114759,-0.0025862951923198,1.2614806,8.764756,0.4236436188220978,0.3081941604614258,0.26816219091415405
khanhha_original::CRACK500_20160222_115219_1281_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115219,0.007898583617688,2.2675397,9.12157,0.30299440026283264,0.22802691161632538,0.4689786434173584
khanhha_original::CRACK500_20160222_115224_1281_1081.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115224,-0.0006356104599523,2.2999446,9.180306,0.15215052664279938,0.46280524134635925,0.3850441873073578
khanhha_original::CRACK500_20160222_115224_1281_361.jpg,improved,khanhha,khanhha::CRACK500_20160222_115224,0.1829655373475993,4.143481,5.4250164,0.04092344641685486,0.02499682642519474,0.9340797662734985
khanhha_original::CRACK500_20160222_115305_1281_1081.jpg,degraded,khanhha,khanhha::CRACK500_20160222_115305,-0.0131990910365789,2.0614848,9.0535345,0.22650544345378876,0.1781053990125656,0.5953891277313232
khanhha_original::CRACK500_20160222_115305_1921_361.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115305,2.394671100591772e-05,2.2779737,9.167262,0.2900800406932831,0.23153486847877502,0.47838515043258667
khanhha_original::CRACK500_20160222_115305_641_1.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115305,0.0095086482795017,2.3030105,9.1722975,0.2071303427219391,0.1294628530740738,0.6634067893028259
khanhha_original::CRACK500_20160222_115305_641_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115305,0.0098552548143666,2.1736948,9.127972,0.14711211621761322,0.24766801297664642,0.605219841003418
khanhha_original::CRACK500_20160222_115324_1281_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115324,1.965129010195188e-05,2.6192923,9.17951,0.15046852827072144,0.343282014131546,0.5062494277954102
khanhha_original::CRACK500_20160222_115324_641_1081.jpg,improved,khanhha,khanhha::CRACK500_20160222_115324,0.0102789315135722,2.0062206,9.15189,0.34834206104278564,0.36145323514938354,0.2902047038078308
khanhha_original::CRACK500_20160222_115519_641_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115519,0.0092525299051148,1.6480974,5.4883084,0.18168328702449799,0.24950580298900604,0.5688108801841736
