representation,strategy,evaluation,held_out_domain,n,balanced_accuracy,macro_f1,accuracy,chance_balanced_accuracy,recall_degraded,auroc_degraded,recall_neutral,auroc_neutral,recall_improved,auroc_improved,macro_auroc_ovr,frangi_activation_rate,hard_gate_mean_delta_iou,always_frangi_mean_delta_iou,oracle_positive_mean_delta_iou,train_accuracy,train_balanced_accuracy
mean,balanced_ba,leave_domain_out,concrete3k,3000,0.33766586592673553,0.30825054679072056,0.327,0.3333333333333333,0.22522522522522523,0.4742835320870003,0.5741360089186176,0.5732682142779519,0.21363636363636362,0.45954351204351207,0.5023650861361547,0.23633333333333334,-0.004322377844347874,-0.009691222538392056,0.017186109663734156,,
mean,uniform_ba,leave_domain_out,concrete3k,3000,0.34625537669015927,0.2820149126882556,0.3383333333333333,0.3333333333333333,0.19057519057519057,0.48295561012324023,0.7603121516164995,0.578657340922428,0.08787878787878788,0.4626333851333851,0.5080821120596845,0.10333333333333333,-0.0023404927066524362,-0.009691222538392056,0.017186109663734156,,
mean,uniform_accuracy,leave_domain_out,concrete3k,3000,0.34625537669015927,0.2820149126882556,0.3383333333333333,0.3333333333333333,0.19057519057519057,0.48295561012324023,0.7603121516164995,0.578657340922428,0.08787878787878788,0.4626333851333851,0.5080821120596845,0.10333333333333333,-0.0023404927066524362,-0.009691222538392056,0.017186109663734156,,
mean,balanced_ba,leave_domain_out,facade390,390,0.41170634920634924,0.2714445735147693,0.28205128205128205,0.3333333333333333,0.08333333333333333,0.5806978705460679,0.7142857142857143,0.657088122605364,0.4375,0.5430499096657633,0.5936119676057318,0.36923076923076925,0.0002940423273709219,-0.016428867438774194,0.040762498642981836,,
mean,uniform_ba,leave_domain_out,facade390,390,0.4034002489884843,0.2913359012579075,0.28717948717948716,0.3333333333333333,0.17647058823529413,0.5186854311617121,0.7142857142857143,0.6167898193760262,0.3194444444444444,0.5692468383017164,0.5682406962798182,0.23846153846153847,0.004334859888167742,-0.016428867438774194,0.040762498642981836,,
mean,uniform_accuracy,leave_domain_out,facade390,390,0.4169779022720199,0.25359037314979027,0.2512820512820513,0.3333333333333333,0.08823529411764706,0.5790638836179633,0.8571428571428571,0.6601669403393541,0.3055555555555556,0.5394647696476964,0.5928985312016714,0.23076923076923078,0.0036466855659930985,-0.016428867438774194,0.040762498642981836,,
mean,balanced_ba,leave_domain_out,khanhha,5085,0.3284295696152651,0.31275881896208707,0.3160275319567355,0.3333333333333333,0.35441278665740095,0.5377841319530346,0.27852084972462626,0.5417303110341621,0.3523550724637681,0.4543730591687326,0.5112958340519764,0.4121927236971485,-0.005604293128235083,-0.009132674407740448,0.013764900764687657,,
mean,uniform_ba,leave_domain_out,khanhha,5085,0.3305732156462701,0.30501164256101626,0.3111111111111111,0.3333333333333333,0.4662960389159138,0.5405840436671868,0.23013375295043273,0.5405376075946899,0.29528985507246375,0.4520702276028527,0.5110639596215766,0.3343166175024582,-0.004047078423042217,-0.009132674407740448,0.013764900764687657,,
mean,uniform_accuracy,leave_domain_out,khanhha,5085,0.3305732156462701,0.30501164256101626,0.3111111111111111,0.3333333333333333,0.4662960389159138,0.5405840436671868,0.23013375295043273,0.5405376075946899,0.29528985507246375,0.4520702276028527,0.5110639596215766,0.3343166175024582,-0.004047078423042217,-0.009132674407740448,0.013764900764687657,,
mean,balanced_ba,leave_domain_out,road420,420,0.35902963813411576,0.22226847165534477,0.22142857142857142,0.3333333333333333,0.1890547263681592,0.526568072877621,0.7435897435897436,0.5956659263745878,0.14444444444444443,0.5092361111111111,0.5438233701211067,0.14523809523809525,-0.006973036709932991,-0.013545974006050579,0.0555026401212655,,
