representation,strategy,split,k,C,weighting,accuracy,balanced_accuracy,train_accuracy,train_balanced_accuracy,final_iterations,final_retry
mean,balanced_ba,cv0,256,1.0,balanced,0.5445503522585993,0.5369474684442098,0.5995303218676613,0.5972464257530602,588,0
mean,uniform_ba,cv0,256,1.0,uniform,0.5514573836165216,0.5174608570860046,0.606851775107059,0.5740581776141912,569,0
mean,uniform_accuracy,cv0,256,0.1,uniform,0.5529769305152645,0.5159934069319592,0.5944191186627987,0.5578810484881362,253,0
mean,balanced_ba,cv1,256,0.1,balanced,0.5318207762557078,0.5261026998809939,0.5766267123287672,0.5742041391461393,254,0
mean,uniform_ba,cv1,256,10.0,uniform,0.5425228310502284,0.5104726652142879,0.605736301369863,0.5733851778033247,994,0
mean,uniform_accuracy,cv1,256,0.1,uniform,0.5449486301369864,0.5071147230747444,0.5827625570776256,0.5455909861876014,256,0
mean,balanced_ba,cv2,256,0.1,balanced,0.5304734138553381,0.5210384925742266,0.5771206441760378,0.5721640293664763,239,0
mean,uniform_ba,cv2,256,1.0,uniform,0.5438011939469666,0.5092730099158717,0.5996112730806609,0.5658831124526533,589,0
mean,uniform_accuracy,cv2,256,0.1,uniform,0.5449118422879355,0.5064848565729672,0.5860058309037901,0.5485517730475992,253,0
mean,balanced_ba,cv3,256,0.1,balanced,0.5247750963872626,0.5184651831276431,0.5760388404969299,0.57220859972725,238,0
mean,uniform_ba,cv3,256,1.0,uniform,0.5404826502927317,0.5118490673391155,0.5883192917321148,0.5574840843681389,583,0
mean,uniform_accuracy,cv3,256,0.1,uniform,0.5421962016278737,0.5091647231846753,0.5811794945023562,0.5472811488312336,249,0
mean,balanced_ba,cv4,256,0.1,balanced,0.5254665357092746,0.5185727926298749,0.5751368037042234,0.5715938302646641,244,0
mean,uniform_ba,cv4,256,10.0,uniform,0.5390767503858566,0.5070205441157204,0.6026378560404098,0.5676070149640146,1011,0
mean,uniform_accuracy,cv4,256,1.0,uniform,0.5390767503858566,0.5054831607384974,0.59660446190543,0.5601340422003236,574,0
mean,balanced_ba,domain_concrete3k,256,1.0,balanced,0.5652247667514843,0.5539008604561846,0.6213740458015267,0.6153181842125668,560,0
mean,uniform_ba,domain_concrete3k,256,1.0,uniform,0.573027989821883,0.5378239802979147,0.6298558100084818,0.595777553398363,506,0
mean,uniform_accuracy,domain_concrete3k,256,1.0,uniform,0.573027989821883,0.5378239802979147,0.6298558100084818,0.595777553398363,506,0
mean,balanced_ba,domain_facade390,256,0.1,balanced,0.5315696649029983,0.524909129153451,0.5728395061728395,0.5703286255739117,276,0
mean,uniform_ba,domain_facade390,256,10.0,uniform,0.5456790123456791,0.5096879619789515,0.5960023515579072,0.558600345578019,980,0
mean,uniform_accuracy,domain_facade390,256,0.1,uniform,0.5504997060552617,0.5092031512798488,0.5855379188712522,0.5437217539711144,262,0
mean,balanced_ba,domain_khanhha,256,0.01,balanced,0.5270341207349082,0.5323882893836508,0.5538057742782152,0.5609955014975215,80,0
mean,uniform_ba,domain_khanhha,256,0.1,uniform,0.5687664041994751,0.5086730691623703,0.6141732283464567,0.5539025437461769,210,0
mean,uniform_accuracy,domain_khanhha,256,0.1,uniform,0.5687664041994751,0.5086730691623703,0.6141732283464567,0.5539025437461769,210,0
mean,balanced_ba,domain_road420,256,1.0,balanced,0.5342772861356933,0.5281508307949175,0.5867846607669617,0.5832116285223039,645,0
mean,uniform_ba,domain_road420,256,10.0,uniform,0.5411209439528024,0.5038333440868786,0.5996460176991151,0.5617785942863665,1011,0
mean,uniform_accuracy,domain_road420,256,0.1,uniform,0.5471386430678467,0.5025243460970829,0.5883185840707965,0.5441754802246955,265,0
multiscale_mean,balanced_ba,cv0,352,1.0,balanced,0.5459317585301837,0.5390979064730637,0.6079569001243266,0.6067034310047897,720,0
multiscale_mean,uniform_ba,cv0,352,1.0,uniform,0.557121149330018,0.5240682917123326,0.6177648846525763,0.5887577203107992,686,0
multiscale_mean,uniform_accuracy,cv0,352,1.0,uniform,0.557121149330018,0.5240682917123326,0.6177648846525763,0.5887577203107992,686,0
multiscale_mean,balanced_ba,cv1,352,0.1,balanced,0.540953196347032,0.5341252401115589,0.5923230593607306,0.5896537020329028,285,0
multiscale_mean,uniform_ba,cv1,352,10.0,uniform,0.555365296803653,0.5257552077623711,0.6309931506849316,0.6031579677232518,1552,0
multiscale_mean,uniform_accuracy,cv1,352,0.1,uniform,0.5603595890410958,0.5242803915585162,0.6038812785388128,0.5689422147870432,295,0
multiscale_mean,balanced_ba,cv2,352,0.1,balanced,0.5333888657503818,0.524274747918749,0.5918367346938775,0.5875899111170524,290,0
multiscale_mean,uniform_ba,cv2,352,1.0,uniform,0.549632097737054,0.5171850016378639,0.6128002221296682,0.5820725776843478,679,0
multiscale_mean,uniform_accuracy,cv2,352,1.0,uniform,0.549632097737054,0.5171850016378639,0.6128002221296682,0.5820725776843478,679,0
multiscale_mean,balanced_ba,cv3,352,0.1,balanced,0.5256318720548336,0.5199153990601025,0.5814650863915465,0.5792134776126936,286,0
multiscale_mean,uniform_ba,cv3,352,0.1,uniform,0.544909324575182,0.5141263289098803,0.5921747822361845,0.5610091511014983,287,0
multiscale_mean,uniform_accuracy,cv3,352,0.1,uniform,0.544909324575182,0.5141263289098803,0.5921747822361845,0.5610091511014983,287,0
multiscale_mean,balanced_ba,cv4,352,1.0,balanced,0.5333239792338993,0.5258959455869469,0.6005331836677424,0.597876664793754,730,0
multiscale_mean,uniform_ba,cv4,352,1.0,uniform,0.5446892100463028,0.5134278943301234,0.6117581029886348,0.5801142306036751,725,0
multiscale_mean,uniform_accuracy,cv4,352,1.0,uniform,0.5446892100463028,0.5134278943301234,0.6117581029886348,0.5801142306036751,725,0
pre_global_mean,balanced_ba,cv0,576,0.1,balanced,0.5340516645945572,0.5279602681765484,0.6256389004006078,0.6264883449401553,320,0
pre_global_mean,uniform_ba,cv0,576,0.1,uniform,0.5456554772758668,0.5162665791764676,0.6354468849288576,0.6072012366900362,324,0
pre_global_mean,uniform_accuracy,cv0,576,0.01,uniform,0.5515955242436801,0.5136507719751514,0.6058847907169499,0.5709093970048049,123,0
pre_global_mean,balanced_ba,cv1,576,0.01,balanced,0.5306792237442922,0.5237518370191845,0.5883276255707762,0.5862889043236881,132,0
pre_global_mean,uniform_ba,cv1,576,0.01,uniform,0.548230593607306,0.5106301755471689,0.598458904109589,0.5628006792414776,128,0
pre_global_mean,uniform_accuracy,cv1,576,0.01,uniform,0.548230593607306,0.5106301755471689,0.598458904109589,0.5628006792414776,128,0
pre_global_mean,balanced_ba,cv2,576,0.01,balanced,0.5299180896848535,0.5212631171080743,0.5807302512841871,0.5781257987884122,129,0
pre_global_mean,uniform_ba,cv2,576,0.1,uniform,0.5486602804387061,0.5170198020098463,0.6325142301818687,0.604248020789132,329,0
pre_global_mean,uniform_accuracy,cv2,576,0.1,uniform,0.5486602804387061,0.5170198020098463,0.6325142301818687,0.604248020789132,329,0
pre_global_mean,balanced_ba,cv3,576,0.1,balanced,0.5187776667142653,0.5144095695581674,0.6127373982578894,0.6116218060083363,322,0
pre_global_mean,uniform_ba,cv3,576,0.1,uniform,0.5304869341710695,0.504203110215774,0.627159788662002,0.6001167968849751,323,0
pre_global_mean,uniform_accuracy,cv3,576,0.01,uniform,0.5370555476224476,0.5029368070116355,0.5944595173497073,0.5605593472194502,123,0
pre_global_mean,balanced_ba,cv4,576,0.1,balanced,0.5216781254384734,0.5139818469468193,0.621018661428371,0.6199756582537571,331,0
pre_global_mean,uniform_ba,cv4,576,0.01,uniform,0.5414620457415462,0.5019232239777116,0.5963238389224077,0.5566921762062699,125,0
pre_global_mean,uniform_accuracy,cv4,576,0.01,uniform,0.5414620457415462,0.5019232239777116,0.5963238389224077,0.5566921762062699,125,0
