image_id,physical_group,split,inner_fold,role
khanhha_original::CFD_011.jpg,khanhha::CFD_011,cv0,0,train
khanhha_original::CFD_013.jpg,khanhha::CFD_013,cv0,0,train
khanhha_original::CFD_014.jpg,khanhha::CFD_014,cv0,0,train
khanhha_original::CFD_019.jpg,khanhha::CFD_019,cv0,0,train
khanhha_original::CFD_040.jpg,khanhha::CFD_040,cv0,0,train
khanhha_original::CFD_080.jpg,khanhha::CFD_080,cv0,0,train
khanhha_original::CFD_088.jpg,khanhha::CFD_088,cv0,0,train
khanhha_original::CFD_109.jpg,khanhha::CFD_109,cv0,0,train
khanhha_original::CRACK500_20160222_081031_641_361.jpg,khanhha::CRACK500_20160222_081031,cv0,0,train
khanhha_original::CRACK500_20160222_081111_641_361.jpg,khanhha::CRACK500_20160222_081111,cv0,0,train
khanhha_original::CRACK500_20160222_081839_1_721.jpg,khanhha::CRACK500_20160222_081839,cv0,0,train
khanhha_original::CRACK500_20160222_081908_641_721.jpg,khanhha::CRACK500_20160222_081908,cv0,0,train
khanhha_original::CRACK500_20160222_115219_1281_721.jpg,khanhha::CRACK500_20160222_115219,cv0,0,train
khanhha_original::CRACK500_20160222_115305_1281_1081.jpg,khanhha::CRACK500_20160222_115305,cv0,0,train
khanhha_original::CRACK500_20160222_115305_1921_361.jpg,khanhha::CRACK500_20160222_115305,cv0,0,train
khanhha_original::CRACK500_20160222_115305_641_1.jpg,khanhha::CRACK500_20160222_115305,cv0,0,train
khanhha_original::CRACK500_20160222_115305_641_721.jpg,khanhha::CRACK500_20160222_115305,cv0,0,train
khanhha_original::CRACK500_20160222_115324_1281_721.jpg,khanhha::CRACK500_20160222_115324,cv0,0,train
khanhha_original::CRACK500_20160222_115324_641_1081.jpg,khanhha::CRACK500_20160222_115324,cv0,0,train
khanhha_original::CRACK500_20160222_115833_1921_1081.jpg,khanhha::CRACK500_20160222_115833,cv0,0,train
khanhha_original::CRACK500_20160222_115833_641_361.jpg,khanhha::CRACK500_20160222_115833,cv0,0,train
khanhha_original::CRACK500_20160222_164822_1281_1.jpg,khanhha::CRACK500_20160222_164822,cv0,0,train
khanhha_original::CRACK500_20160222_164822_641_1.jpg,khanhha::CRACK500_20160222_164822,cv0,0,train
khanhha_original::CRACK500_20160222_164822_641_361.jpg,khanhha::CRACK500_20160222_164822,cv0,0,train
khanhha_original::CRACK500_20160222_164851_641_1081.jpg,khanhha::CRACK500_20160222_164851,cv0,0,train
khanhha_original::CRACK500_20160222_164936_641_361.jpg,khanhha::CRACK500_20160222_164936,cv0,0,train
khanhha_original::CRACK500_20160222_165037_1921_361.jpg,khanhha::CRACK500_20160222_165037,cv0,0,train
khanhha_original::CRACK500_20160222_165037_1_361.jpg,khanhha::CRACK500_20160222_165037,cv0,0,train
khanhha_original::CRACK500_20160222_165037_641_361.jpg,khanhha::CRACK500_20160222_165037,cv0,0,train
khanhha_original::CRACK500_20160222_165926_1281_721.jpg,khanhha::CRACK500_20160222_165926,cv0,0,train
khanhha_original::CRACK500_20160222_165947_1921_721.jpg,khanhha::CRACK500_20160222_165947,cv0,0,train
khanhha_original::CRACK500_20160225_114503_1_361.jpg,khanhha::CRACK500_20160225_114503,cv0,0,train
khanhha_original::CRACK500_20160225_114514_721_1281.jpg,khanhha::CRACK500_20160225_114514,cv0,0,train
khanhha_original::CRACK500_20160225_114514_721_641.jpg,khanhha::CRACK500_20160225_114514,cv0,0,train
khanhha_original::CRACK500_20160302_155848_1281_361.jpg,khanhha::CRACK500_20160302_155848,cv0,0,train
khanhha_original::CRACK500_20160302_155848_1921_361.jpg,khanhha::CRACK500_20160302_155848,cv0,0,train
khanhha_original::CRACK500_20160302_155848_641_721.jpg,khanhha::CRACK500_20160302_155848,cv0,0,train
khanhha_original::CRACK500_20160302_155857_1281_1.jpg,khanhha::CRACK500_20160302_155857,cv0,0,train
khanhha_original::CRACK500_20160302_155857_1_721.jpg,khanhha::CRACK500_20160302_155857,cv0,0,train
khanhha_original::CRACK500_20160302_155919_1281_721.jpg,khanhha::CRACK500_20160302_155919,cv0,0,train
khanhha_original::CRACK500_20160302_155919_641_1.jpg,khanhha::CRACK500_20160302_155919,cv0,0,train
khanhha_original::CRACK500_20160302_155919_641_1081.jpg,khanhha::CRACK500_20160302_155919,cv0,0,train
khanhha_original::CRACK500_20160302_160033_641_361.jpg,khanhha::CRACK500_20160302_160033,cv0,0,train
khanhha_original::CRACK500_20160303_091830_361_1281.jpg,khanhha::CRACK500_20160303_091830,cv0,0,train
khanhha_original::CRACK500_20160303_093527_1281_361.jpg,khanhha::CRACK500_20160303_093527,cv0,0,train
khanhha_original::CRACK500_20160303_093537_1921_1081.jpg,khanhha::CRACK500_20160303_093537,cv0,0,train
khanhha_original::CRACK500_20160306_103613_1_721.jpg,khanhha::CRACK500_20160306_103613,cv0,0,train
khanhha_original::CRACK500_20160306_103657_1921_721.jpg,khanhha::CRACK500_20160306_103657,cv0,0,train
khanhha_original::CRACK500_20160306_103657_641_721.jpg,khanhha::CRACK500_20160306_103657,cv0,0,train
khanhha_original::CRACK500_20160306_103816_1_721.jpg,khanhha::CRACK500_20160306_103816,cv0,0,train
khanhha_original::CRACK500_20160307_144150_1281_721.jpg,khanhha::CRACK500_20160307_144150,cv0,0,train
khanhha_original::CRACK500_20160307_144150_641_361.jpg,khanhha::CRACK500_20160307_144150,cv0,0,train
khanhha_original::CRACK500_20160307_144202_1281_361.jpg,khanhha::CRACK500_20160307_144202,cv0,0,train
khanhha_original::CRACK500_20160307_144202_1281_721.jpg,khanhha::CRACK500_20160307_144202,cv0,0,train
khanhha_original::CRACK500_20160307_144842_1281_1.jpg,khanhha::CRACK500_20160307_144842,cv0,0,train
khanhha_original::CRACK500_20160307_144842_1281_1081.jpg,khanhha::CRACK500_20160307_144842,cv0,0,train
khanhha_original::CRACK500_20160307_145259_1921_721.jpg,khanhha::CRACK500_20160307_145259,cv0,0,train
khanhha_original::CRACK500_20160307_145259_1_361.jpg,khanhha::CRACK500_20160307_145259,cv0,0,train
khanhha_original::CRACK500_20160307_163537_1281_721.jpg,khanhha::CRACK500_20160307_163537,cv0,0,train
khanhha_original::CRACK500_20160307_163537_641_361.jpg,khanhha::CRACK500_20160307_163537,cv0,0,train
khanhha_original::CRACK500_20160307_163537_641_721.jpg,khanhha::CRACK500_20160307_163537,cv0,0,train
