grouping,cohort,representation,n,balanced_accuracy,macro_f1,accuracy,chance_balanced_accuracy,recall_degraded,auroc_degraded,recall_neutral,auroc_neutral,recall_improved,auroc_improved,macro_auroc_ovr,frangi_activation_rate,hard_gate_mean_delta_iou,always_frangi_mean_delta_iou,oracle_positive_mean_delta_iou
domain,concrete3k,mean_grouped_oof,3000,0.4697183349357263,0.4692543442004247,0.5206666666666667,0.3333333333333333,0.7075537075537075,0.6673832569786328,0.32887402452619846,0.656224504887905,0.37272727272727274,0.6375317275317275,0.6537131631327551,0.22133333333333333,0.0032640857002321456,-0.009691222538392056,0.017186109663734156
domain,facade390,mean_grouped_oof,390,0.5156979458450047,0.5114051248923815,0.617948717948718,0.3333333333333333,0.6274509803921569,0.7762492093611639,0.19047619047619047,0.6657088122605365,0.7291666666666666,0.7526535682023487,0.7315371966080164,0.4948717948717949,0.016203531136050334,-0.016428867438774194,0.040762498642981836
domain,khanhha,mean_grouped_oof,5085,0.512994831196086,0.508219890426685,0.5474926253687316,0.3333333333333333,0.40514246004169563,0.7093417176934217,0.6601101494885917,0.7610102306419282,0.473731884057971,0.6942228301824972,0.7215249261726157,0.2991150442477876,0.001997557878680842,-0.009132674407740448,0.013764900764687657
domain,road420,mean_grouped_oof,420,0.47974444019220136,0.48046748397097155,0.6023809523809524,0.3333333333333333,0.572139303482587,0.7090801699266227,0.1282051282051282,0.599973080288041,0.7388888888888889,0.6878009259259259,0.6656180587135299,0.5595238095238095,0.016851391491137624,-0.013545974006050579,0.0555026401212655
dataset,concrete3k,mean_grouped_oof,3000,0.4697183349357263,0.4692543442004247,0.5206666666666667,0.3333333333333333,0.7075537075537075,0.6673832569786328,0.32887402452619846,0.656224504887905,0.37272727272727274,0.6375317275317275,0.6537131631327551,0.22133333333333333,0.0032640857002321456,-0.009691222538392056,0.017186109663734156
dataset,facade390,mean_grouped_oof,390,0.5156979458450047,0.5114051248923815,0.617948717948718,0.3333333333333333,0.6274509803921569,0.7762492093611639,0.19047619047619047,0.6657088122605365,0.7291666666666666,0.7526535682023487,0.7315371966080164,0.4948717948717949,0.016203531136050334,-0.016428867438774194,0.040762498642981836
dataset,khanhha_noisy1,mean_grouped_oof,1695,0.48782383637644605,0.4818788500114535,0.4861356932153392,0.3333333333333333,0.38661710037174724,0.659091420254279,0.5051244509516838,0.7111282472699496,0.5717299578059072,0.6683219468029595,0.6795138714423961,0.4153392330383481,0.00634798805943754,0.0026747638136498135,0.019440325222780108
dataset,khanhha_noisy2,mean_grouped_oof,1695,0.5410043213366899,0.5380067848397752,0.5716814159292035,0.3333333333333333,0.5545927209705372,0.7626300989325454,0.6472081218274112,0.7749371778440668,0.4212121212121212,0.7349450549450549,0.757504110573889,0.2377581120943953,-0.0005736233208253175,-0.02924076993282984,0.014670891874949181
dataset,khanhha_original,mean_grouped_oof,1695,0.4382868209012,0.4309563660277243,0.5846607669616519,0.3333333333333333,0.1697530864197531,0.6256922495069833,0.7684407096171803,0.7317343604108311,0.37666666666666665,0.6528888888888889,0.6701051662689009,0.24424778761061947,0.0002183088974303055,-0.0008320171040413115,0.007183485196333688
dataset,road420,mean_grouped_oof,420,0.47974444019220136,0.48046748397097155,0.6023809523809524,0.3333333333333333,0.572139303482587,0.7090801699266227,0.1282051282051282,0.599973080288041,0.7388888888888889,0.6878009259259259,0.6656180587135299,0.5595238095238095,0.016851391491137624,-0.013545974006050579,0.0555026401212655
history,absent_historical_train_and_validation,mean_grouped_oof,4188,0.4953011524951165,0.49474090680615995,0.5334288443170965,0.3333333333333333,0.6736631684157921,0.6837566584791739,0.3252032520325203,0.6839700269771279,0.48703703703703705,0.6766233495400162,0.6814500116654393,0.29083094555873923,0.0056920968440993544,-0.010748146242462377,0.023088286352166892
history,historical_group_overlap,mean_grouped_oof,4707,0.5130191341068997,0.5079159033345385,0.5536435096664543,0.3333333333333333,0.3880248833592535,0.7093703104464557,0.6738499792789059,0.7648244343430366,0.4771825396825397,0.699801694580689,0.7246654797900605,0.29636711281070743,0.0020200337582404627,-0.009049638389370531,0.0136111301165198
history,khanhha_original_unseen_historical_scene,mean_grouped_oof,126,0.4331346731346732,0.4132478632478633,0.42063492063492064,0.3333333333333333,0.3783783783783784,0.6483449741876709,0.28,0.6223684210526316,0.6410256410256411,0.5838491010904805,0.6181874987769277,0.5158730158730159,0.007198680537089487,-0.0010479723603912694,0.015670058203560766
history,khanhha_all_conditions_unseen_historical_scene,mean_grouped_oof,378,0.46320679434564527,0.46142997366298344,0.4708994708994709,0.3333333333333333,0.5490196078431373,0.6610021786492375,0.40310077519379844,0.6561439556676317,0.4375,0.6134382387706855,0.6435281243625183,0.3333333333333333,0.0017176796641646265,-0.010166670541251543,0.015679711454968392
history,external_domains,mean_grouped_oof,3810,0.4969270093465814,0.49664968650675284,0.5396325459317586,0.3333333333333333,0.683982683982684,0.6844322429184815,0.3149284253578732,0.6858676908945964,0.491869918699187,0.6820687978641995,0.6841229105590925,0.2866141732283465,0.006086409099746423,-0.010805835957700615,0.023823310318345645
