representation,dimensions,n,balanced_accuracy,macro_f1,accuracy,chance_balanced_accuracy,recall_degraded,auroc_degraded,recall_neutral,auroc_neutral,recall_improved,auroc_improved,macro_auroc_ovr,frangi_activation_rate,hard_gate_mean_delta_iou,always_frangi_mean_delta_iou,oracle_positive_mean_delta_iou,hard_gate_mean_iou
mean,256.0,8895,0.5361315985599343,0.5332541237709301,0.5441259134345138,0.3333333333333333,0.5619105567386675,0.7223279295473848,0.5642045454545455,0.7550448202959831,0.48227969348659006,0.6899613706197194,0.722444706821029,0.29376053962900506,0.0037489376597106185,-0.009849340569106184,0.018073224586996475,0.6101444428519649
grid2,1024.0,8895,0.5014093160694716,0.49926761628877275,0.5106239460370995,0.3333333333333333,0.5144508670520231,0.6870793798420006,0.5477272727272727,0.7335470930232559,0.4420498084291188,0.6555299733708877,0.6920521487453813,0.2931984260820686,0.0021465067936079977,-0.009849340569106184,0.018073224586996475,0.6085420119858622
multiscale_mean,352.0,8895,0.5420728395067617,0.5390083211813345,0.5496346261944913,0.3333333333333333,0.5649528445390934,0.7288144365018985,0.5698863636363637,0.760835200845666,0.49137931034482757,0.6988825594792829,0.7295107322756159,0.28881394041596403,0.00420138355048809,-0.009849340569106184,0.018073224586996475,0.6105968887427423
pre_global_mean,576.0,8895,0.522683696692101,0.5197792050134592,0.5302979201798763,0.3333333333333333,0.542135686035899,0.70760375568476,0.5536931818181818,0.7446725687103594,0.4722222222222222,0.6834057599034575,0.7118940280995257,0.2934232715008432,0.003115689586110034,-0.009849340569106184,0.018073224586996475,0.6095111947783644
mean_std,512.0,8895,0.5343838740017063,0.5321552407622292,0.5443507588532883,0.3333333333333333,0.5594767264983267,0.7172363831581378,0.5752840909090909,0.7534707716701903,0.46839080459770116,0.6822816494402033,0.7176629347561772,0.2865654862282181,0.003396263841371147,-0.009849340569106184,0.018073224586996475,0.6097917690336254
domain_only,,8895,0.4387778781012182,0.4244880813892802,0.4844294547498595,0.3333333333333333,0.4390021296014603,0.5954139681371347,0.7221590909090909,0.629477721987315,0.15517241379310345,0.532347497533247,0.5857463958858988,0.09106239460370995,-0.0013599288795574113,-0.009849340569106184,0.018073224586996475,0.6050355763126969
domain_source_only,,8895,0.4717829194004605,0.4631868504581589,0.4663293985385048,0.3333333333333333,0.4888956495284454,0.6334576468836949,0.42357954545454546,0.6901685253699787,0.5028735632183908,0.6355892725372293,0.6530718149303009,0.35649241146711635,-0.0016866072835344335,-0.009849340569106184,0.018073224586996475,0.6047088979087198
majority,,8895,0.3333333333333333,0.18901866022284872,0.39572793704328274,0.3333333333333333,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.0,-0.009849340569106184,0.018073224586996475,0.6063955051922543
mean_top1_train_selection,,8895,0.3894372808686511,0.36293759344315707,0.4386734120292299,0.3333333333333333,0.5588682689382416,0.6046333804504582,0.553409090909091,0.6059186046511629,0.05603448275862069,0.5010095675682065,0.5705205175566092,0.06543001686340641,-0.0015898346350017784,-0.009849340569106184,0.018073224586996475,0.6048056705572525
mean_top5_train_selection,,8895,0.42232421672657106,0.4223173160561524,0.44227093872962336,0.3333333333333333,0.4609066017645269,0.6139918331281272,0.5139204545454545,0.6366307082452431,0.2921455938697318,0.5862460859820323,0.6122895424518009,0.23181562675660483,-0.0018893671871338608,-0.009849340569106184,0.018073224586996475,0.6045061380051204
mean_top10_train_selection,,8895,0.43456789612023,0.4338517330931266,0.4471051152332771,0.3333333333333333,0.47216306662610286,0.6267426970988033,0.4809659090909091,0.6436881078224101,0.3505747126436782,0.5970782696649325,0.6225030248620486,0.2658797077009556,-0.0004060638490789679,-0.009849340569106184,0.018073224586996475,0.6059894413431753
mean_top25_train_selection,,8895,0.47677700576148485,0.47477475922299783,0.4856661045531197,0.3333333333333333,0.489199878308488,0.6649701716917942,0.5215909090909091,0.6954096194503171,0.41954022988505746,0.6337808949205432,0.6647202286875515,0.2870151770657673,4.2133630076906974e-05,-0.009849340569106184,0.018073224586996475,0.6064376388223311
