image_id,dataset,physical_group,category,delta_iou,umap_1,umap_2
khanhha_original::CFD_001.jpg,khanhha_original,khanhha::CFD_001,improved,0.0160206424062502,-0.5423313,8.018405
khanhha_original::CFD_007.jpg,khanhha_original,khanhha::CFD_007,improved,0.0368783116067982,-0.5053372,8.050944
khanhha_original::CFD_011.jpg,khanhha_original,khanhha::CFD_011,improved,0.0800074283198405,-0.6036077,7.9552402
khanhha_original::CFD_013.jpg,khanhha_original,khanhha::CFD_013,degraded,-0.0613781602241744,-0.5688054,7.9547267
khanhha_original::CFD_014.jpg,khanhha_original,khanhha::CFD_014,improved,0.0547757300976464,-0.5333188,8.030493
khanhha_original::CFD_019.jpg,khanhha_original,khanhha::CFD_019,neutral,-0.0013922859597681,-0.537974,8.014564
khanhha_original::CFD_037.jpg,khanhha_original,khanhha::CFD_037,degraded,-0.0205260675392577,-0.5301588,8.014095
khanhha_original::CFD_040.jpg,khanhha_original,khanhha::CFD_040,degraded,-0.0280389784482379,-0.55945057,7.9910197
khanhha_original::CFD_047.jpg,khanhha_original,khanhha::CFD_047,improved,0.0217954926167799,-0.59675413,7.9602695
khanhha_original::CFD_070.jpg,khanhha_original,khanhha::CFD_070,neutral,-0.0080938631677056,-0.4576153,8.096481
khanhha_original::CFD_080.jpg,khanhha_original,khanhha::CFD_080,improved,0.0120839244730493,2.323613,9.730566
khanhha_original::CFD_082.jpg,khanhha_original,khanhha::CFD_082,degraded,-0.0398716358043381,-0.55673116,8.007391
khanhha_original::CFD_084.jpg,khanhha_original,khanhha::CFD_084,improved,0.0597371403006901,-0.5301821,8.017964
khanhha_original::CFD_088.jpg,khanhha_original,khanhha::CFD_088,degraded,-0.0454029550117173,-0.5033826,8.058195
khanhha_original::CFD_108.jpg,khanhha_original,khanhha::CFD_108,neutral,-0.0068110767920225,-0.5004762,8.059453
khanhha_original::CFD_109.jpg,khanhha_original,khanhha::CFD_109,improved,0.0193410891539252,-0.45857513,8.103262
khanhha_original::CFD_111.jpg,khanhha_original,khanhha::CFD_111,neutral,0.0075290681424338,-0.49264976,8.069938
khanhha_original::CFD_118.jpg,khanhha_original,khanhha::CFD_118,neutral,-0.0089024981629597,-0.46856618,8.092828
khanhha_original::CRACK500_20160222_080933_361_1.jpg,khanhha_original,khanhha::CRACK500_20160222_080933,neutral,-0.0001034083007714,-0.061746687,0.5739929
khanhha_original::CRACK500_20160222_081031_641_361.jpg,khanhha_original,khanhha::CRACK500_20160222_081031,neutral,0.0009619976249003,6.9418426,-3.9315875
khanhha_original::CRACK500_20160222_081102_1921_721.jpg,khanhha_original,khanhha::CRACK500_20160222_081102,neutral,-0.0073055137365258,7.558045,-3.48644
khanhha_original::CRACK500_20160222_081102_1_721.jpg,khanhha_original,khanhha::CRACK500_20160222_081102,neutral,-0.00359477124183,-0.5958714,3.4066498
khanhha_original::CRACK500_20160222_081111_641_361.jpg,khanhha_original,khanhha::CRACK500_20160222_081111,neutral,0.0061497069074433,-0.30079928,0.5507026
khanhha_original::CRACK500_20160222_081113_1921_721.jpg,khanhha_original,khanhha::CRACK500_20160222_081113,neutral,-0.008104944479948,7.640778,-3.3867729
khanhha_original::CRACK500_20160222_081839_1_721.jpg,khanhha_original,khanhha::CRACK500_20160222_081839,improved,0.0483752525291589,7.7495527,-3.1551673
