image_id,p_degraded,p_neutral,p_improved
khanhha_original::CFD_001.jpg,0.382546,0.21226832,0.4051856
khanhha_original::CFD_040.jpg,0.3576227,0.501598,0.14077927
khanhha_original::CFD_088.jpg,0.27278426,0.38763714,0.3395786
khanhha_original::CFD_118.jpg,0.24597739,0.34994027,0.4040824
khanhha_original::CRACK500_20160222_081031_641_361.jpg,0.18374549,0.6691476,0.1471069
khanhha_original::CRACK500_20160222_115833_1921_1081.jpg,0.27676377,0.30421442,0.41902184
khanhha_original::CRACK500_20160222_115833_641_361.jpg,0.25789672,0.38959292,0.35251033
khanhha_original::CRACK500_20160222_115843_1281_361.jpg,0.11708904,0.61143905,0.27147195
khanhha_original::CRACK500_20160222_115847_1281_361.jpg,0.038150776,0.81948,0.14236929
khanhha_original::CRACK500_20160222_115847_641_361.jpg,0.07048595,0.7546833,0.17483063
khanhha_original::CRACK500_20160222_164936_641_361.jpg,0.37262386,0.259373,0.36800316
khanhha_original::CRACK500_20160222_165037_1921_361.jpg,0.29115364,0.5121561,0.19669023
khanhha_original::CRACK500_20160222_165037_1_361.jpg,0.31088823,0.45420355,0.23490825
khanhha_original::CRACK500_20160222_165037_641_361.jpg,0.27143663,0.56364036,0.16492301
khanhha_original::CRACK500_20160222_165256_1281_1.jpg,0.1738487,0.55021685,0.27593446
khanhha_original::CRACK500_20160222_165256_1281_721.jpg,0.23041095,0.53073615,0.23885292
khanhha_original::CRACK500_20160222_165256_641_1.jpg,0.3334494,0.24790713,0.41864344
khanhha_original::CRACK500_20160225_114503_1_361.jpg,0.20060425,0.6387279,0.16066787
khanhha_original::CRACK500_20160302_155919_1281_721.jpg,0.18070674,0.5789606,0.2403327
khanhha_original::CRACK500_20160302_155919_641_1.jpg,0.5239042,0.2464848,0.229611
khanhha_original::CRACK500_20160302_155919_641_1081.jpg,0.3884087,0.40822518,0.20336612
khanhha_original::CRACK500_20160306_103613_1_721.jpg,0.09609365,0.3594528,0.54445356
khanhha_original::CRACK500_20160306_103638_1921_1081.jpg,0.16767265,0.30778015,0.5245472
khanhha_original::CRACK500_20160306_103638_1_361.jpg,0.25654486,0.25118852,0.49226665
khanhha_original::CRACK500_20160306_103816_1_721.jpg,0.032513436,0.45545533,0.51203126
khanhha_original::CRACK500_20160306_104527_1921_721.jpg,0.15820326,0.58455694,0.25723988
khanhha_original::CRACK500_20160306_104527_641_361.jpg,0.3224094,0.49285477,0.18473579
khanhha_original::CRACK500_20160307_144202_1281_361.jpg,0.20261645,0.24468282,0.5527007
khanhha_original::CRACK500_20160307_144202_1281_721.jpg,0.24236272,0.3633455,0.3942918
khanhha_original::CRACK500_20160307_144842_1281_1.jpg,0.12166,0.40890777,0.46943226
khanhha_original::CRACK500_20160307_144842_1281_1081.jpg,0.18334791,0.58865607,0.22799608
khanhha_original::CRACK500_20160307_145059_1921_361.jpg,0.16841927,0.5149093,0.31667146
khanhha_original::CRACK500_20160307_163627_641_721.jpg,0.34003955,0.3436973,0.3162631
khanhha_original::CRACK500_20160307_163641_1921_361.jpg,0.17504323,0.11271653,0.7122402
khanhha_original::CRACK500_20160307_164400_641_1.jpg,0.16186993,0.44913045,0.3889996
khanhha_original::CRACK500_20160308_072824_641_1.jpg,0.15171422,0.40042514,0.44786063
khanhha_original::CRACK500_20160308_074330_1921_721.jpg,0.40430674,0.29980925,0.29588404
khanhha_original::CRACK500_20160308_155737_1281_1.jpg,0.10444579,0.36652666,0.5290276
khanhha_original::CRACK500_20160308_155737_1281_361.jpg,0.18894084,0.23394455,0.57711464
khanhha_original::CRACK500_20160308_155737_1281_721.jpg,0.19263494,0.21411657,0.5932485
khanhha_original::CRACK500_20160308_155737_1921_1.jpg,0.14628282,0.085948296,0.76776886
khanhha_original::CRACK500_20160308_155737_1_1081.jpg,0.08781223,0.60982203,0.3023657
khanhha_original::CRACK500_20160308_155737_641_721.jpg,0.06909662,0.2472679,0.6836355
khanhha_original::CRACK500_20160308_155828_1281_721.jpg,0.13980177,0.7283462,0.13185202
khanhha_original::CRACK500_20160308_155836_1921_361.jpg,0.26229525,0.22683415,0.51087064
khanhha_original::CRACK500_20160308_155836_1921_721.jpg,0.41409042,0.28879458,0.297115
khanhha_original::CRACK500_20160310_114446_641_1081.jpg,0.11947773,0.6715917,0.20893058
khanhha_original::CRACK500_20160316_142009_1281_361.jpg,0.20998093,0.567001,0.22301814
khanhha_original::CRACK500_20160316_142009_1281_721.jpg,0.37437618,0.22145577,0.40416804
khanhha_original::CRACK500_20160316_142027_1281_721.jpg,0.38721946,0.32864892,0.2841316
khanhha_original::CRACK500_20160316_143433_641_361.jpg,0.101871625,0.5132248,0.38490358
khanhha_original::CRACK500_20160316_144230_641_1.jpg,0.18720073,0.31509775,0.49770153
khanhha_original::CRACK500_20160316_183217_1281_1.jpg,0.1721922,0.35085008,0.47695774
khanhha_original::CRACK500_20160321_185637_1_1081.jpg,0.05410536,0.46797687,0.4779178
khanhha_original::CRACK500_20160324_170309_641_1.jpg,0.121208295,0.5915099,0.2872818
khanhha_original::CRACK500_20160324_170309_641_361.jpg,0.25640887,0.43564308,0.30794802
khanhha_original::CRACK500_20160324_170309_641_721.jpg,0.3459673,0.34008062,0.31395206
khanhha_original::CRACK500_20160324_170542_1_721.jpg,0.2779934,0.11971718,0.6022894
khanhha_original::CRACK500_20160326_142309_1281_721.jpg,0.2255714,0.43597355,0.33845508
khanhha_original::CRACK500_20160328_150820_641_361.jpg,0.32513016,0.16683346,0.5080364
khanhha_original::CRACK500_20160328_150940_1281_361.jpg,0.12825227,0.40799415,0.46375355
khanhha_original::CRACK500_20160328_150940_1_1081.jpg,0.101432934,0.2018214,0.6967457
khanhha_original::CRACK500_20160328_150940_641_1081.jpg,0.11972477,0.7038065,0.17646874
khanhha_original::CRACK500_20160328_150940_641_361.jpg,0.113306575,0.51905125,0.36764213
khanhha_original::CRACK500_20160328_151056_1_361.jpg,0.14534296,0.7217613,0.13289574
khanhha_original::CRACK500_20160328_151056_641_1081.jpg,0.20864433,0.6617419,0.12961373
khanhha_original::CRACK500_20160328_151151_1921_721.jpg,0.36539912,0.47492152,0.15967941
khanhha_original::CRACK500_20160328_151151_1_1.jpg,0.33424795,0.5261829,0.1395692
khanhha_original::CRACK500_20160328_151151_641_1081.jpg,0.42783305,0.4158002,0.1563667
khanhha_original::CRACK500_20160328_151151_641_361.jpg,0.5607889,0.33664513,0.102566
khanhha_original::CRACK500_20160328_151241_1_1.jpg,0.3660488,0.4985344,0.13541676
khanhha_original::CRACK500_20160328_151241_641_721.jpg,0.13527556,0.75854754,0.106176965
khanhha_original::CRACK500_20160328_151244_1921_1081.jpg,0.22521448,0.17774555,0.59704
khanhha_original::CRACK500_20160328_151244_641_721.jpg,0.104982354,0.6769001,0.21811756
khanhha_original::CRACK500_20160328_151343_1281_1.jpg,0.3660883,0.4350408,0.19887085
