image_id,p_degraded,p_neutral,p_improved
concrete3k::001_14.jpg,0.019828796,0.07767269,0.9024985
concrete3k::001_2.jpg,0.07213927,0.04094455,0.8869162
concrete3k::001_6.jpg,0.062082108,0.16525018,0.77266777
concrete3k::011_5.jpg,0.55512285,0.24089877,0.2039784
concrete3k::017_0.jpg,0.053938158,0.2795651,0.66649675
concrete3k::017_20.jpg,0.1910476,0.17890759,0.6300448
concrete3k::017_24.jpg,0.21894437,0.37628073,0.40477487
concrete3k::017_28.jpg,0.16793732,0.26043904,0.5716236
concrete3k::017_36.jpg,0.32277313,0.29453468,0.3826922
concrete3k::017_44.jpg,0.1935344,0.58202314,0.22444245
concrete3k::017_8.jpg,0.05099539,0.4851578,0.4638469
concrete3k::018_11.jpg,0.06399438,0.7578854,0.17812021
concrete3k::018_15.jpg,0.20712806,0.5472902,0.24558167
concrete3k::018_27.jpg,0.33909592,0.38155282,0.27935132
concrete3k::018_3.jpg,0.10138553,0.48643237,0.41218215
concrete3k::018_43.jpg,0.3249178,0.3513058,0.32377642
concrete3k::018_7.jpg,0.08439628,0.32864973,0.586954
concrete3k::019_11.jpg,0.108226925,0.48429862,0.40747437
concrete3k::019_2.jpg,0.17547256,0.4585678,0.36595967
concrete3k::019_3.jpg,0.20044073,0.466055,0.33350426
concrete3k::019_36.jpg,0.079255864,0.35643363,0.56431055
concrete3k::019_44.jpg,0.08978388,0.28402174,0.6261944
concrete3k::019_8.jpg,0.10641608,0.8480237,0.045560293
concrete3k::020_10.jpg,0.10060836,0.53171635,0.3676753
concrete3k::020_19.jpg,0.09486181,0.63650155,0.26863658
concrete3k::020_28.jpg,0.10595282,0.5618318,0.33221546
concrete3k::020_33.jpg,0.46045896,0.21221387,0.32732716
concrete3k::020_34.jpg,0.14923756,0.35880554,0.4919569
concrete3k::020_40.jpg,0.24819344,0.5154209,0.23638567
concrete3k::020_41.jpg,0.23326772,0.3530874,0.41364482
concrete3k::020_46.jpg,0.17464373,0.6273398,0.19801652
concrete3k::020_9.jpg,0.10960979,0.8463422,0.044047922
concrete3k::021_13.jpg,0.14058977,0.7427866,0.11662365
concrete3k::021_29.jpg,0.15430558,0.6833951,0.1622993
concrete3k::021_37.jpg,0.12891784,0.6380944,0.23298778
concrete3k::021_38.jpg,0.1089369,0.6497176,0.24134544
concrete3k::021_4.jpg,0.191526,0.46439004,0.34408405
concrete3k::021_46.jpg,0.15307853,0.44633198,0.40058947
concrete3k::023_10.jpg,0.3056352,0.32085264,0.3735121
concrete3k::023_11.jpg,0.21795757,0.59406275,0.18797965
concrete3k::023_18.jpg,0.3352933,0.348543,0.3161637
concrete3k::023_20.jpg,0.25627545,0.2885478,0.4551767
concrete3k::023_21.jpg,0.09023885,0.4249132,0.48484802
concrete3k::023_22.jpg,0.31389433,0.55640334,0.12970228
concrete3k::023_31.jpg,0.103331365,0.23592684,0.66074187
concrete3k::023_39.jpg,0.17291155,0.79264194,0.034446493
concrete3k::023_8.jpg,0.11425728,0.7732436,0.11249913
concrete3k::024_16.jpg,0.20168483,0.38796043,0.41035473
concrete3k::024_17.jpg,0.05144546,0.19564277,0.7529118
concrete3k::024_18.jpg,0.38193265,0.50760674,0.11046062
concrete3k::024_26.jpg,0.2791472,0.28246713,0.43838567
concrete3k::024_28.jpg,0.17748275,0.115019016,0.7074982
concrete3k::024_30.jpg,0.47559094,0.12750575,0.39690334
concrete3k::024_31.jpg,0.18934946,0.49227667,0.31837386
concrete3k::024_8.jpg,0.10361084,0.5073268,0.38906232
concrete3k::025_16.jpg,0.4739341,0.11958597,0.40647995
concrete3k::025_26.jpg,0.39029518,0.50606984,0.103635035
concrete3k::025_27.jpg,0.23496212,0.24060865,0.52442926
concrete3k::025_28.jpg,0.20435101,0.3077602,0.48788875
concrete3k::025_29.jpg,0.23404948,0.34677717,0.41917333
concrete3k::025_31.jpg,0.25532547,0.26560983,0.47906464
concrete3k::026_17.jpg,0.63882333,0.21723315,0.14394344
concrete3k::026_18.jpg,0.14933932,0.5303022,0.32035848
concrete3k::026_19.jpg,0.294783,0.58241385,0.12280315
concrete3k::026_27.jpg,0.21052197,0.7259156,0.06356246
concrete3k::026_28.jpg,0.1426328,0.32444966,0.53291756
concrete3k::026_29.jpg,0.14736347,0.45394304,0.3986934
concrete3k::026_31.jpg,0.20309265,0.19594394,0.6009634
concrete3k::026_8.jpg,0.094528675,0.85820824,0.047263093
concrete3k::027_10.jpg,0.24605964,0.5643674,0.18957296
concrete3k::027_19.jpg,0.5179744,0.12338945,0.3586362
concrete3k::027_20.jpg,0.3256743,0.3051372,0.3691885
concrete3k::027_30.jpg,0.1961696,0.74824905,0.05558137
concrete3k::027_38.jpg,0.38291803,0.47565928,0.14142273
concrete3k::027_39.jpg,0.103684224,0.8592957,0.037020076
concrete3k::028_17.jpg,0.3638178,0.110675454,0.52550673
concrete3k::028_18.jpg,0.14668833,0.32645807,0.5268536
concrete3k::028_19.jpg,0.11830419,0.10308222,0.77861357
concrete3k::028_28.jpg,0.3792452,0.22153069,0.39922407
concrete3k::029_26.jpg,0.28150517,0.31802875,0.40046608
concrete3k::029_27.jpg,0.37790233,0.450676,0.17142163
concrete3k::029_29.jpg,0.20862237,0.2462599,0.5451177
concrete3k::030_17.jpg,0.13818659,0.16667582,0.6951376
concrete3k::030_21.jpg,0.23104782,0.5952633,0.17368886
concrete3k::030_26.jpg,0.57285804,0.32064283,0.10649908
concrete3k::030_29.jpg,0.46507603,0.30924115,0.22568285
concrete3k::030_30.jpg,0.3827974,0.25506532,0.36213735
concrete3k::031_18.jpg,0.42852968,0.29573497,0.27573535
concrete3k::031_19.jpg,0.59476805,0.15681808,0.24841386
concrete3k::031_26.jpg,0.579957,0.26532924,0.15471373
concrete3k::031_27.jpg,0.38479587,0.3380166,0.27718756
concrete3k::031_28.jpg,0.3611011,0.2928413,0.34605762
concrete3k::031_29.jpg,0.4235144,0.2317619,0.34472367
concrete3k::031_31.jpg,0.4746391,0.15830669,0.3670542
concrete3k::032_10.jpg,0.25460055,0.7043043,0.041095164
concrete3k::032_11.jpg,0.19983046,0.26228103,0.5378885
concrete3k::032_19.jpg,0.15985519,0.35724634,0.48289853
concrete3k::032_2.jpg,0.5370348,0.27564055,0.18732464
concrete3k::032_20.jpg,0.41439185,0.3901317,0.19547644
concrete3k::032_28.jpg,0.22207305,0.1840532,0.59387374
concrete3k::032_37.jpg,0.41857484,0.24952832,0.33189687
concrete3k::032_45.jpg,0.3895158,0.28530318,0.32518104
concrete3k::034_10.jpg,0.33499214,0.5373782,0.12762965
concrete3k::034_11.jpg,0.38221022,0.3728685,0.24492125
concrete3k::034_19.jpg,0.2862789,0.31942692,0.39429423
concrete3k::034_2.jpg,0.26039726,0.49968186,0.2399209
concrete3k::034_28.jpg,0.40246886,0.41106877,0.18646242
concrete3k::034_37.jpg,0.3280394,0.5468889,0.12507167
concrete3k::034_45.jpg,0.3773963,0.40567172,0.21693203
concrete3k::034_46.jpg,0.3844165,0.5020016,0.11358188
concrete3k::035_10.jpg,0.43420056,0.41969502,0.14610444
concrete3k::035_19.jpg,0.27680048,0.46572527,0.2574742
concrete3k::035_37.jpg,0.5299087,0.30172852,0.16836266
concrete3k::035_46.jpg,0.34650984,0.5896027,0.06388743
concrete3k::035_9.jpg,0.2233978,0.33310908,0.44349313
concrete3k::036_11.jpg,0.21338022,0.5035145,0.28310528
concrete3k::036_21.jpg,0.29910475,0.24343064,0.4574646
concrete3k::036_29.jpg,0.5218526,0.12049115,0.35765627
concrete3k::036_30.jpg,0.39004055,0.21858196,0.39137754
concrete3k::036_39.jpg,0.13768943,0.40897998,0.4533306
concrete3k::036_8.jpg,0.101036154,0.40556094,0.4934029
concrete3k::036_9.jpg,0.084263,0.3440932,0.57164377
concrete3k::037_16.jpg,0.27091718,0.34469587,0.38438696
concrete3k::037_19.jpg,0.5290971,0.16763271,0.30327022
concrete3k::037_20.jpg,0.20843424,0.60046715,0.1910986
concrete3k::037_22.jpg,0.29428688,0.34630144,0.3594117
concrete3k::037_31.jpg,0.42788902,0.47954178,0.09256925
concrete3k::037_39.jpg,0.22051537,0.6323602,0.14712441
concrete3k::038_0.jpg,0.3768298,0.25086725,0.37230292
concrete3k::038_1.jpg,0.12654105,0.16057785,0.71288115
concrete3k::038_10.jpg,0.64804375,0.07921159,0.2727447
concrete3k::038_18.jpg,0.26150298,0.22020113,0.51829594
concrete3k::038_19.jpg,0.43910918,0.21995378,0.3409371
concrete3k::038_8.jpg,0.511113,0.32707414,0.16181292
concrete3k::039_20.jpg,0.20251903,0.522822,0.274659
concrete3k::039_24.jpg,0.17821902,0.37127683,0.45050415
concrete3k::039_37.jpg,0.56013334,0.21635894,0.22350772
concrete3k::040_21.jpg,0.254077,0.5896983,0.15622462
concrete3k::040_23.jpg,0.42200315,0.22063321,0.35736364
concrete3k::040_26.jpg,0.5249163,0.26665008,0.20843366
concrete3k::040_28.jpg,0.16843157,0.6407619,0.19080646
concrete3k::040_33.jpg,0.0610122,0.38390636,0.5550814
concrete3k::040_34.jpg,0.3748984,0.36393708,0.26116452
concrete3k::041_0.jpg,0.07279357,0.6144103,0.31279618
concrete3k::041_1.jpg,0.26026842,0.50469226,0.23503932
concrete3k::041_10.jpg,0.24939123,0.3708718,0.37973696
concrete3k::041_11.jpg,0.3123704,0.5685103,0.11911933
concrete3k::041_19.jpg,0.24495958,0.51460046,0.24043997
concrete3k::041_21.jpg,0.37882376,0.3583648,0.2628115
concrete3k::041_22.jpg,0.38781756,0.19347118,0.41871127
concrete3k::041_28.jpg,0.4871669,0.25829592,0.25453717
concrete3k::041_30.jpg,0.7720311,0.14217304,0.08579584
concrete3k::041_31.jpg,0.7956914,0.13410872,0.07020002
concrete3k::041_8.jpg,0.574513,0.26081657,0.16467036
concrete3k::042_17.jpg,0.15852241,0.41877106,0.42270654
concrete3k::042_28.jpg,0.42191744,0.20063108,0.3774515
concrete3k::042_37.jpg,0.36024207,0.45469955,0.18505836
concrete3k::043_12.jpg,0.29180852,0.34317043,0.36502102
concrete3k::043_14.jpg,0.6758716,0.1649512,0.15917714
concrete3k::043_20.jpg,0.18309285,0.24944513,0.567462
concrete3k::043_23.jpg,0.17798343,0.58260626,0.23941028
concrete3k::043_25.jpg,0.3493901,0.3083362,0.3422737
concrete3k::043_26.jpg,0.19367209,0.20191388,0.60441405
concrete3k::043_33.jpg,0.4726354,0.10932097,0.41804367
concrete3k::045_1.jpg,0.11859774,0.5231645,0.3582377
concrete3k::045_19.jpg,0.067345545,0.6690834,0.26357105
concrete3k::045_2.jpg,0.27003977,0.5240119,0.20594838
concrete3k::045_29.jpg,0.37347624,0.3653796,0.26114416
concrete3k::046_10.jpg,0.13861579,0.7276676,0.13371663
concrete3k::046_11.jpg,0.10864651,0.8556977,0.03565572
concrete3k::046_27.jpg,0.45040706,0.30992484,0.23966813
concrete3k::046_29.jpg,0.29306743,0.6027283,0.1042043
concrete3k::046_3.jpg,0.38506794,0.36160493,0.2533271
concrete3k::046_35.jpg,0.4735353,0.065902,0.46056274
concrete3k::046_39.jpg,0.14545307,0.47560528,0.37894168
concrete3k::046_43.jpg,0.40675762,0.3738589,0.21938348
concrete3k::046_44.jpg,0.3295221,0.37453082,0.2959471
concrete3k::046_8.jpg,0.32005557,0.48265624,0.19728813
concrete3k::046_9.jpg,0.11715602,0.6986017,0.18424223
concrete3k::047_18.jpg,0.115748726,0.5943608,0.28989047
concrete3k::047_19.jpg,0.10944064,0.36988452,0.5206748
concrete3k::047_20.jpg,0.063921385,0.6455885,0.29049006
concrete3k::047_21.jpg,0.24233457,0.3669886,0.39067686
concrete3k::047_23.jpg,0.31324095,0.41439065,0.2723684
concrete3k::047_26.jpg,0.50843763,0.38982964,0.1017327
concrete3k::047_28.jpg,0.14448297,0.40398997,0.45152703
concrete3k::047_8.jpg,0.12359077,0.4485102,0.42789903
concrete3k::047_9.jpg,0.15004428,0.5090405,0.3409153
concrete3k::048_12.jpg,0.13894731,0.10687963,0.75417304
concrete3k::048_18.jpg,0.23113728,0.58643115,0.18243156
concrete3k::048_20.jpg,0.15371741,0.6628135,0.18346907
concrete3k::048_21.jpg,0.19820394,0.66240066,0.13939546
concrete3k::048_25.jpg,0.13283253,0.7295577,0.13760982
concrete3k::048_26.jpg,0.13390101,0.5171442,0.34895474
concrete3k::048_27.jpg,0.032448735,0.93863404,0.028917193
concrete3k::048_29.jpg,0.1368278,0.75052834,0.11264385
concrete3k::048_5.jpg,0.4990244,0.35654968,0.14442593
concrete3k::048_6.jpg,0.4802854,0.29671043,0.22300418
concrete3k::049_18.jpg,0.117554985,0.6109912,0.2714538
concrete3k::049_19.jpg,0.23891164,0.6006612,0.16042712
concrete3k::049_22.jpg,0.26639086,0.5072089,0.22640023
concrete3k::049_23.jpg,0.27577615,0.5097844,0.21443947
concrete3k::049_26.jpg,0.043969985,0.931486,0.024543962
concrete3k::049_27.jpg,0.18398677,0.68969417,0.12631908
concrete3k::049_28.jpg,0.120482594,0.6369196,0.24259777
concrete3k::050_11.jpg,0.46061102,0.09873918,0.4406498
concrete3k::050_20.jpg,0.14416194,0.2146374,0.64120066
concrete3k::050_27.jpg,0.121668145,0.26167065,0.6166612
concrete3k::050_28.jpg,0.12507156,0.6508802,0.2240483
concrete3k::050_35.jpg,0.0835864,0.7228291,0.19358447
concrete3k::050_38.jpg,0.14078267,0.6975478,0.16166948
concrete3k::050_43.jpg,0.1547122,0.7229083,0.12237945
concrete3k::050_45.jpg,0.26861483,0.41313294,0.31825218
concrete3k::050_47.jpg,0.11683052,0.8261152,0.057054356
