image_id,p_degraded,p_neutral,p_improved
facade390::DJ_Wall_1.JPG,0.40128055,0.23528573,0.3634337
facade390::DJ_Wall_10.JPG,0.44242603,0.18559076,0.37198323
facade390::DJ_Wall_100.JPG,0.14253896,0.2360618,0.6213993
facade390::DJ_Wall_101.JPG,0.36841503,0.50571215,0.12587285
facade390::DJ_Wall_102.JPG,0.072129615,0.71158963,0.21628079
facade390::DJ_Wall_103.JPG,0.4337182,0.44329858,0.12298328
facade390::DJ_Wall_104.JPG,0.23685798,0.503675,0.259467
facade390::DJ_Wall_105.JPG,0.17318143,0.4156624,0.4111562
facade390::DJ_Wall_106.JPG,0.22496545,0.3869133,0.38812128
facade390::DJ_Wall_107.JPG,0.31333312,0.36573645,0.32093045
facade390::DJ_Wall_108.JPG,0.116762884,0.4959817,0.38725534
facade390::DJ_Wall_109.JPG,0.13767955,0.4534215,0.40889892
facade390::DJ_Wall_11.JPG,0.31223246,0.22518876,0.46257883
facade390::DJ_Wall_110.JPG,0.10444027,0.6903563,0.20520338
facade390::DJ_Wall_111.JPG,0.42500964,0.47944668,0.095543735
facade390::DJ_Wall_112.JPG,0.19231074,0.5499735,0.25771573
facade390::DJ_Wall_113.JPG,0.2201114,0.40370908,0.37617952
facade390::DJ_Wall_114.JPG,0.108690254,0.6416599,0.24964981
facade390::DJ_Wall_115.JPG,0.14714181,0.58686054,0.26599762
facade390::DJ_Wall_116.JPG,0.0617541,0.7077034,0.23054248
facade390::DJ_Wall_117.JPG,0.044810418,0.8589819,0.096207626
facade390::DJ_Wall_118.JPG,0.08499303,0.5474897,0.36751726
facade390::DJ_Wall_119.JPG,0.18142493,0.2923943,0.52618074
facade390::DJ_Wall_12.JPG,0.09234483,0.5852976,0.3223575
facade390::DJ_Wall_120.JPG,0.4021702,0.11433492,0.48349482
facade390::DJ_Wall_121.JPG,0.16696818,0.6083309,0.22470084
facade390::DJ_Wall_122.JPG,0.21644098,0.47539094,0.30816802
facade390::DJ_Wall_123.JPG,0.19170545,0.33649772,0.47179684
facade390::DJ_Wall_124.JPG,0.14624278,0.32198206,0.5317752
facade390::DJ_Wall_125.JPG,0.31408352,0.4667422,0.21917427
facade390::DJ_Wall_126.JPG,0.22460943,0.30775347,0.46763715
facade390::DJ_Wall_127.JPG,0.21935216,0.47291043,0.30773747
facade390::DJ_Wall_128.JPG,0.11725538,0.6674363,0.2153083
facade390::DJ_Wall_129.JPG,0.20735027,0.4191567,0.37349296
facade390::DJ_Wall_13.JPG,0.13837829,0.6365646,0.22505714
facade390::DJ_Wall_130.JPG,0.28678295,0.5322714,0.18094562
facade390::DJ_Wall_131.JPG,0.21516547,0.3673564,0.41747814
facade390::DJ_Wall_132.JPG,0.26582778,0.41851315,0.31565908
facade390::DJ_Wall_133.JPG,0.3473451,0.2398691,0.41278574
facade390::DJ_Wall_134.JPG,0.20778167,0.54050416,0.25171417
facade390::DJ_Wall_135.JPG,0.13675085,0.6424054,0.22084375
facade390::DJ_Wall_136.JPG,0.11416958,0.700753,0.18507741
facade390::DJ_Wall_137.JPG,0.099255376,0.5273125,0.37343213
facade390::DJ_Wall_138.JPG,0.15742502,0.42264226,0.41993275
facade390::DJ_Wall_139.JPG,0.28927395,0.2896847,0.42104134
facade390::DJ_Wall_14.JPG,0.20970602,0.52828854,0.26200545
facade390::DJ_Wall_140.JPG,0.086219095,0.69245964,0.22132123
facade390::DJ_Wall_141.JPG,0.122126326,0.6669996,0.21087408
facade390::DJ_Wall_142.JPG,0.21128275,0.41393074,0.37478656
facade390::DJ_Wall_143.JPG,0.30942744,0.41114303,0.27942955
facade390::DJ_Wall_144.JPG,0.1507737,0.45474508,0.39448115
facade390::DJ_Wall_145.JPG,0.20764604,0.2807807,0.51157326
facade390::DJ_Wall_146.JPG,0.13970007,0.4790431,0.38125682
facade390::DJ_Wall_147.JPG,0.40282026,0.44195494,0.15522482
facade390::DJ_Wall_148.JPG,0.12740526,0.5339904,0.33860427
facade390::DJ_Wall_149.JPG,0.51869327,0.13282885,0.34847796
facade390::DJ_Wall_15.JPG,0.20851865,0.49040982,0.30107158
facade390::DJ_Wall_150.JPG,0.10721093,0.79697686,0.095812224
facade390::DJ_Wall_151.JPG,0.21793115,0.66151845,0.12055033
facade390::DJ_Wall_152.JPG,0.14892955,0.62336224,0.22770824
facade390::DJ_Wall_153.JPG,0.1758713,0.40857217,0.41555658
facade390::DJ_Wall_154.JPG,0.43330482,0.34145007,0.22524518
facade390::DJ_Wall_155.JPG,0.17090055,0.29862964,0.5304698
facade390::DJ_Wall_156.JPG,0.12472284,0.76587737,0.10939974
facade390::DJ_Wall_157.JPG,0.12868509,0.4145716,0.4567433
facade390::DJ_Wall_158.JPG,0.21359874,0.38006055,0.4063407
facade390::DJ_Wall_159.JPG,0.31181696,0.32267702,0.36550602
facade390::DJ_Wall_16.JPG,0.12817104,0.7427654,0.12906346
facade390::DJ_Wall_160.JPG,0.1148875,0.28408638,0.6010261
facade390::DJ_Wall_161.JPG,0.29200214,0.45756325,0.25043458
facade390::DJ_Wall_162.JPG,0.08846913,0.8100762,0.101454675
facade390::DJ_Wall_163.JPG,0.33119875,0.5162513,0.15254997
facade390::DJ_Wall_164.JPG,0.26347622,0.4335215,0.3030023
facade390::DJ_Wall_165.JPG,0.25759783,0.43613762,0.30626455
facade390::DJ_Wall_166.JPG,0.14161071,0.53640926,0.32198003
facade390::DJ_Wall_167.JPG,0.34623936,0.40846476,0.24529594
facade390::DJ_Wall_168.JPG,0.17397973,0.58952075,0.23649956
facade390::DJ_Wall_169.JPG,0.17291233,0.57409626,0.2529914
facade390::DJ_Wall_17.JPG,0.124556035,0.80397975,0.07146415
facade390::DJ_Wall_170.JPG,0.19455104,0.5769564,0.2284926
facade390::DJ_Wall_171.JPG,0.102082506,0.62240946,0.27550802
facade390::DJ_Wall_172.JPG,0.123829514,0.5844181,0.29175243
facade390::DJ_Wall_173.JPG,0.16891742,0.6431182,0.18796436
facade390::DJ_Wall_174.JPG,0.12464867,0.59560597,0.2797454
facade390::DJ_Wall_175.JPG,0.1676127,0.45908204,0.37330526
facade390::DJ_Wall_176.JPG,0.23950428,0.53026265,0.23023307
