image_id,p_degraded,p_neutral,p_improved
khanhha_original::CFD_001.jpg,0.8558386,0.017604725,0.12655665
khanhha_original::CFD_007.jpg,0.9073311,0.026337933,0.06633101
khanhha_original::CFD_011.jpg,0.28529304,0.02134009,0.6933669
khanhha_original::CFD_013.jpg,0.9498213,0.022718424,0.027460264
khanhha_original::CFD_014.jpg,0.58330446,0.043762844,0.37293267
khanhha_original::CFD_019.jpg,0.8696186,0.02006958,0.11031184
khanhha_original::CFD_037.jpg,0.8803078,0.013780241,0.10591199
khanhha_original::CFD_040.jpg,0.8568207,0.089781746,0.053397603
khanhha_original::CFD_047.jpg,0.5676226,0.10087979,0.33149758
khanhha_original::CFD_070.jpg,0.7148383,0.08890411,0.1962576
khanhha_original::CFD_080.jpg,0.5736665,0.17119756,0.25513592
khanhha_original::CFD_082.jpg,0.6503488,0.0395322,0.31011897
khanhha_original::CFD_084.jpg,0.80303836,0.079609446,0.11735222
khanhha_original::CFD_088.jpg,0.90007114,0.022177959,0.07775095
khanhha_original::CFD_108.jpg,0.71934325,0.16487399,0.11578282
khanhha_original::CFD_109.jpg,0.6611793,0.23443565,0.104385085
khanhha_original::CFD_111.jpg,0.86523724,0.053874962,0.08088779
khanhha_original::CFD_118.jpg,0.67335856,0.131091,0.19555037
khanhha_original::CRACK500_20160222_080933_361_1.jpg,0.27127838,0.3998992,0.32882243
khanhha_original::CRACK500_20160222_081031_641_361.jpg,0.3607367,0.1354293,0.503834
khanhha_original::CRACK500_20160222_081102_1921_721.jpg,0.28411192,0.52598554,0.18990254
khanhha_original::CRACK500_20160222_081102_1_721.jpg,0.36445835,0.56382805,0.07171365
khanhha_original::CRACK500_20160222_081111_641_361.jpg,0.3776408,0.43359405,0.18876512
khanhha_original::CRACK500_20160222_081113_1921_721.jpg,0.6372913,0.19473492,0.16797382
khanhha_original::CRACK500_20160222_081839_1_721.jpg,0.1911779,0.12155627,0.68726575
khanhha_original::CRACK500_20160222_081908_641_721.jpg,0.17918453,0.0432415,0.777574
khanhha_original::CRACK500_20160222_114759_1921_361.jpg,0.63232195,0.061326496,0.3063516
khanhha_original::CRACK500_20160222_114759_1921_721.jpg,0.49475268,0.19441591,0.31083143
khanhha_original::CRACK500_20160222_114759_641_361.jpg,0.6359142,0.11418268,0.24990314
khanhha_original::CRACK500_20160222_115219_1281_721.jpg,0.50649285,0.05730139,0.43620571
khanhha_original::CRACK500_20160222_115224_1281_1081.jpg,0.52711797,0.18549916,0.28738284
khanhha_original::CRACK500_20160222_115224_1281_361.jpg,0.068245254,0.2085839,0.7231708
khanhha_original::CRACK500_20160222_115305_1281_1081.jpg,0.29236162,0.05301078,0.6546276
khanhha_original::CRACK500_20160222_115305_1921_361.jpg,0.06323406,0.023950446,0.91281545
khanhha_original::CRACK500_20160222_115305_641_1.jpg,0.0863772,0.010105073,0.9035177
khanhha_original::CRACK500_20160222_115305_641_721.jpg,0.12355018,0.0449953,0.8314545
khanhha_original::CRACK500_20160222_115324_1281_721.jpg,0.09951921,0.024994487,0.8754863
khanhha_original::CRACK500_20160222_115324_641_1081.jpg,0.15404154,0.10056926,0.74538916
khanhha_original::CRACK500_20160222_115519_641_721.jpg,0.38955554,0.19896029,0.41148418
khanhha_original::CRACK500_20160222_115828_641_1.jpg,0.0940294,0.112734094,0.79323655
khanhha_original::CRACK500_20160222_115833_1921_1081.jpg,0.33127823,0.21788633,0.45083553
khanhha_original::CRACK500_20160222_115833_641_361.jpg,0.2527291,0.40290183,0.34436902
khanhha_original::CRACK500_20160222_115843_1281_361.jpg,0.195519,0.2520499,0.5524311
khanhha_original::CRACK500_20160222_115847_1281_361.jpg,0.16016719,0.5000451,0.33978772
khanhha_original::CRACK500_20160222_115847_641_361.jpg,0.12624544,0.4801961,0.39355847
khanhha_original::CRACK500_20160222_163940_1281_1081.jpg,0.26693797,0.40569228,0.32736975
khanhha_original::CRACK500_20160222_163940_1_1081.jpg,0.49240717,0.3776093,0.1299835
khanhha_original::CRACK500_20160222_163940_1_361.jpg,0.63188267,0.1368699,0.23124747
khanhha_original::CRACK500_20160222_163940_641_1081.jpg,0.50859773,0.1549789,0.3364233
khanhha_original::CRACK500_20160222_164141_1281_1.jpg,0.16388214,0.15192384,0.6841941
khanhha_original::CRACK500_20160222_164141_1921_721.jpg,0.21609528,0.27643818,0.50746655
khanhha_original::CRACK500_20160222_164141_1_1081.jpg,0.2552025,0.36264166,0.38215584
khanhha_original::CRACK500_20160222_164822_1281_1.jpg,0.09965124,0.0955679,0.80478084
khanhha_original::CRACK500_20160222_164822_641_1.jpg,0.08355335,0.3779183,0.5385284
khanhha_original::CRACK500_20160222_164822_641_361.jpg,0.110494085,0.40761444,0.48189154
khanhha_original::CRACK500_20160222_164825_641_721.jpg,0.33652964,0.406596,0.25687435
khanhha_original::CRACK500_20160222_164851_641_1081.jpg,0.30636948,0.14800009,0.54563046
khanhha_original::CRACK500_20160222_164936_641_361.jpg,0.335379,0.32554373,0.33907726
khanhha_original::CRACK500_20160222_165037_1921_361.jpg,0.50326544,0.3305928,0.16614173
khanhha_original::CRACK500_20160222_165037_1_361.jpg,0.40683547,0.47090307,0.12226149
khanhha_original::CRACK500_20160222_165037_641_361.jpg,0.35370752,0.54799515,0.098297335
khanhha_original::CRACK500_20160222_165218_641_1.jpg,0.37108505,0.066060945,0.562854
khanhha_original::CRACK500_20160222_165225_1281_721.jpg,0.34170887,0.23651496,0.4217762
khanhha_original::CRACK500_20160222_165256_1281_1.jpg,0.3843728,0.20863691,0.40699032
khanhha_original::CRACK500_20160222_165256_1281_721.jpg,0.5689444,0.23539406,0.19566154
khanhha_original::CRACK500_20160222_165256_641_1.jpg,0.37355116,0.08579536,0.54065347
khanhha_original::CRACK500_20160222_165715_1921_721.jpg,0.49065357,0.15601346,0.353333
khanhha_original::CRACK500_20160222_165909_1281_1081.jpg,0.4390713,0.17047459,0.39045414
khanhha_original::CRACK500_20160222_165919_1_721.jpg,0.78384626,0.11520928,0.10094452
khanhha_original::CRACK500_20160222_165926_1281_721.jpg,0.5394771,0.20512131,0.2554016
khanhha_original::CRACK500_20160222_165947_1921_721.jpg,0.049092934,0.9192104,0.03169681
khanhha_original::CRACK500_20160222_165951_1921_1.jpg,0.15305741,0.41566485,0.4312777
khanhha_original::CRACK500_20160225_114503_1_361.jpg,0.49763653,0.20054932,0.30181417
khanhha_original::CRACK500_20160225_114514_721_1281.jpg,0.6697372,0.057322197,0.27294064
