image_id,p_degraded,p_neutral,p_improved
road420::2023_10_30_15_44_IMG_5888.jpg,0.13680276,0.710528,0.15266925
road420::2023_10_30_15_44_IMG_5889.jpg,0.09589584,0.7696613,0.13444293
road420::2023_10_30_15_44_IMG_5890.jpg,0.14041167,0.5376579,0.32193035
road420::2023_10_30_15_45_IMG_5891.jpg,0.12891662,0.5360281,0.33505535
road420::2023_10_30_15_47_IMG_5893.jpg,0.047003683,0.8723874,0.08060883
road420::2023_10_30_15_47_IMG_5894.jpg,0.2173525,0.5799379,0.20270959
road420::2023_10_30_15_48_IMG_5895.jpg,0.26976246,0.5339377,0.19629985
road420::2023_10_30_15_48_IMG_5896.jpg,0.20355783,0.55200136,0.24444087
road420::2023_10_30_15_48_IMG_5897.jpg,0.16503525,0.61005145,0.22491331
road420::2023_10_30_15_49_IMG_5898.jpg,0.38719308,0.29641566,0.31639123
road420::2023_10_30_15_49_IMG_5899.jpg,0.19160922,0.6842207,0.12417013
road420::2023_10_30_15_49_IMG_5901.jpg,0.08843982,0.60025835,0.31130183
road420::2023_10_30_15_50_IMG_5903.jpg,0.29422972,0.68444616,0.021324087
road420::2023_10_30_15_50_IMG_5905.jpg,0.14877015,0.7498227,0.101407155
road420::2023_10_30_15_51_IMG_5906.jpg,0.5043127,0.35484567,0.14084162
road420::2023_10_30_15_51_IMG_5908.jpg,0.3605215,0.6129577,0.026520865
road420::2023_10_30_15_52_IMG_5909.jpg,0.31494418,0.58132154,0.103734255
road420::2023_10_30_15_52_IMG_5910.jpg,0.124417044,0.6720171,0.20356588
road420::2023_10_30_15_53_IMG_5912.jpg,0.7200406,0.21383397,0.0661254
road420::2023_10_30_15_53_IMG_5914.jpg,0.12284782,0.8636369,0.013515178
road420::2023_10_30_15_54_IMG_5916.jpg,0.454858,0.44575083,0.09939112
road420::2023_10_30_15_55_IMG_5917.jpg,0.4122995,0.5691437,0.01855675
road420::2023_10_30_15_55_IMG_5918.jpg,0.35661313,0.29180074,0.3515861
road420::2023_10_30_15_56_IMG_5919.jpg,0.4717739,0.29455116,0.23367496
road420::2023_10_30_15_57_IMG_5920.jpg,0.15497883,0.5825237,0.2624975
road420::2023_10_30_15_57_IMG_5921.jpg,0.24209332,0.64418924,0.11371747
road420::2023_10_30_15_57_IMG_5922.jpg,0.17288962,0.77200687,0.05510356
road420::2023_10_30_15_57_IMG_5923.jpg,0.559293,0.41342628,0.02728076
road420::2023_10_30_15_59_IMG_5926.jpg,0.7685438,0.124023676,0.107432514
