image_id,p_degraded,p_neutral,p_improved
khanhha_original::CFD_007.jpg,0.3159786,0.18404818,0.4999733
khanhha_original::CFD_013.jpg,0.33972058,0.2847603,0.37551907
khanhha_original::CFD_014.jpg,0.36562228,0.24279822,0.39157948
khanhha_original::CFD_047.jpg,0.26559895,0.12552974,0.60887134
khanhha_original::CFD_082.jpg,0.29440197,0.30491206,0.40068594
khanhha_original::CRACK500_20160222_081111_641_361.jpg,0.2676099,0.35510302,0.37728706
khanhha_original::CRACK500_20160222_081113_1921_721.jpg,0.34980422,0.29291803,0.35727775
khanhha_original::CRACK500_20160222_115305_1281_1081.jpg,0.076447174,0.52682364,0.39672917
khanhha_original::CRACK500_20160222_115305_1921_361.jpg,0.094380446,0.24372105,0.6618985
khanhha_original::CRACK500_20160222_115305_641_1.jpg,0.07704824,0.34929085,0.5736609
khanhha_original::CRACK500_20160222_115305_641_721.jpg,0.05260107,0.40412053,0.54327846
khanhha_original::CRACK500_20160222_115828_641_1.jpg,0.12860979,0.57393587,0.29745436
khanhha_original::CRACK500_20160222_164825_641_721.jpg,0.16626385,0.55821127,0.2755249
khanhha_original::CRACK500_20160222_164851_641_1081.jpg,0.27595592,0.41842946,0.3056146
khanhha_original::CRACK500_20160222_165218_641_1.jpg,0.3205316,0.17897002,0.50049835
khanhha_original::CRACK500_20160222_165909_1281_1081.jpg,0.29369983,0.10963827,0.59666187
khanhha_original::CRACK500_20160222_165926_1281_721.jpg,0.24103367,0.47683948,0.2821268
khanhha_original::CRACK500_20160222_165947_1921_721.jpg,0.2298753,0.4638345,0.3062903
khanhha_original::CRACK500_20160302_155848_1281_361.jpg,0.2991001,0.37284178,0.32805812
khanhha_original::CRACK500_20160302_155848_1921_361.jpg,0.12163943,0.68664557,0.19171502
khanhha_original::CRACK500_20160302_155848_641_721.jpg,0.123891175,0.69743425,0.17867452
khanhha_original::CRACK500_20160302_160033_641_361.jpg,0.25422055,0.28590056,0.45987886
khanhha_original::CRACK500_20160303_092627_641_721.jpg,0.16565764,0.4498385,0.38450384
khanhha_original::CRACK500_20160303_093400_641_1.jpg,0.15727499,0.52939194,0.313333
khanhha_original::CRACK500_20160303_093400_641_721.jpg,0.19457774,0.5630198,0.24240243
khanhha_original::CRACK500_20160307_145259_1921_721.jpg,0.20629853,0.42707223,0.3666293
khanhha_original::CRACK500_20160307_145259_1_361.jpg,0.15366195,0.6386437,0.20769432
khanhha_original::CRACK500_20160307_164214_1281_1081.jpg,0.12321014,0.635674,0.2411159
khanhha_original::CRACK500_20160307_164214_1_721.jpg,0.1727607,0.6556618,0.17157751
khanhha_original::CRACK500_20160307_164226_1921_721.jpg,0.2389024,0.6004682,0.16062935
khanhha_original::CRACK500_20160307_164226_1_721.jpg,0.35216746,0.30037865,0.34745386
khanhha_original::CRACK500_20160307_164226_641_721.jpg,0.10007467,0.7818457,0.11807958
khanhha_original::CRACK500_20160308_073245_1_361.jpg,0.13534334,0.73650235,0.12815434
khanhha_original::CRACK500_20160308_073245_641_1.jpg,0.2632875,0.59529465,0.14141788
khanhha_original::CRACK500_20160308_074702_1281_361.jpg,0.19386616,0.3685171,0.4376168
khanhha_original::CRACK500_20160308_074702_1921_361.jpg,0.09023396,0.40653458,0.5032315
khanhha_original::CRACK500_20160308_074702_641_721.jpg,0.14087835,0.4286167,0.43050498
khanhha_original::CRACK500_20160308_155720_1281_361.jpg,0.14205103,0.4961913,0.36175764
khanhha_original::CRACK500_20160308_155720_1_1.jpg,0.09744634,0.4861162,0.4164374
khanhha_original::CRACK500_20160308_155720_641_721.jpg,0.06390885,0.5862941,0.3497971
khanhha_original::CRACK500_20160308_155731_1281_1.jpg,0.07587631,0.43704072,0.48708302
khanhha_original::CRACK500_20160308_155731_641_1081.jpg,0.09897191,0.45502242,0.44600564
khanhha_original::CRACK500_20160310_114441_641_1.jpg,0.15620056,0.6134034,0.23039602
khanhha_original::CRACK500_20160310_114441_641_1081.jpg,0.2633539,0.44866842,0.28797773
khanhha_original::CRACK500_20160316_141721_1_721.jpg,0.1759172,0.64897215,0.17511065
khanhha_original::CRACK500_20160316_141721_641_721.jpg,0.128994,0.7418549,0.1291511
khanhha_original::CRACK500_20160316_142539_1_721.jpg,0.17058346,0.37695956,0.45245695
khanhha_original::CRACK500_20160316_143603_1921_361.jpg,0.096049674,0.5107515,0.39319882
khanhha_original::CRACK500_20160316_143624_1_641.jpg,0.14301133,0.5248132,0.33217546
khanhha_original::CRACK500_20160316_144212_1921_721.jpg,0.24892269,0.37289062,0.37818673
khanhha_original::CRACK500_20160316_144212_641_721.jpg,0.12633853,0.6928821,0.1807793
khanhha_original::CRACK500_20160316_144241_641_361.jpg,0.22947426,0.39671862,0.37380713
khanhha_original::CRACK500_20160321_185518_1921_721.jpg,0.119999744,0.26836842,0.6116318
khanhha_original::CRACK500_20160321_185518_1_721.jpg,0.16496138,0.2535117,0.58152694
khanhha_original::CRACK500_20160325_185829_641_361.jpg,0.38285354,0.23294415,0.3842023
khanhha_original::CRACK500_20160326_174634_1921_361.jpg,0.14077519,0.22327158,0.6359532
khanhha_original::CRACK500_20160326_174634_641_721.jpg,0.16127957,0.4273366,0.41138384
