image_id,p_degraded,p_neutral,p_improved
concrete3k::001_14.jpg,0.04462662,0.058059525,0.8973139
concrete3k::001_2.jpg,0.17457639,0.09406565,0.73135793
concrete3k::001_6.jpg,0.1001719,0.08100232,0.8188258
concrete3k::011_5.jpg,0.21681234,0.5119101,0.27127752
concrete3k::017_0.jpg,0.030175382,0.061258547,0.90856606
concrete3k::017_20.jpg,0.046562273,0.047318317,0.9061194
concrete3k::017_24.jpg,0.065396935,0.056875393,0.8777276
concrete3k::017_28.jpg,0.062403563,0.09425594,0.84334046
concrete3k::017_36.jpg,0.051381916,0.10993295,0.83868515
concrete3k::017_44.jpg,0.058448654,0.12214348,0.8194079
concrete3k::017_8.jpg,0.01773299,0.0387286,0.94353837
concrete3k::018_11.jpg,0.0976851,0.20942171,0.69289315
concrete3k::018_15.jpg,0.07565787,0.096329,0.82801306
concrete3k::018_27.jpg,0.2256452,0.1642058,0.610149
concrete3k::018_3.jpg,0.099189356,0.11511662,0.785694
concrete3k::018_43.jpg,0.22320779,0.36757323,0.4092189
concrete3k::018_7.jpg,0.063843176,0.08467289,0.8514839
concrete3k::019_11.jpg,0.091781996,0.11154704,0.7966709
concrete3k::019_2.jpg,0.076106034,0.24663734,0.6772566
concrete3k::019_3.jpg,0.09079289,0.12593697,0.7832702
concrete3k::019_36.jpg,0.07227593,0.15509973,0.7726243
concrete3k::019_44.jpg,0.09254153,0.09523381,0.8122246
concrete3k::019_8.jpg,0.05863347,0.83594835,0.1054181
concrete3k::020_10.jpg,0.16920553,0.19797105,0.6328234
concrete3k::020_19.jpg,0.07826033,0.13062984,0.79110986
concrete3k::020_28.jpg,0.11718129,0.16799775,0.7148209
concrete3k::020_33.jpg,0.14542998,0.08849988,0.7660701
concrete3k::020_34.jpg,0.08603396,0.10857124,0.80539477
concrete3k::020_40.jpg,0.17127776,0.39711958,0.43160263
concrete3k::020_41.jpg,0.27687946,0.4268695,0.29625106
concrete3k::020_46.jpg,0.108442895,0.41063988,0.48091722
concrete3k::020_9.jpg,0.09461602,0.8661456,0.03923833
concrete3k::021_13.jpg,0.10869096,0.16148472,0.7298243
concrete3k::021_29.jpg,0.1985449,0.13882403,0.66263103
concrete3k::021_37.jpg,0.0878242,0.102659695,0.8095162
concrete3k::021_38.jpg,0.04427491,0.1845426,0.7711824
concrete3k::021_4.jpg,0.09000037,0.1000233,0.80997634
concrete3k::021_46.jpg,0.09264219,0.09229347,0.8150644
concrete3k::023_10.jpg,0.31111565,0.1729699,0.5159145
concrete3k::023_11.jpg,0.24377212,0.15279241,0.6034355
concrete3k::023_18.jpg,0.24482249,0.10271765,0.65245986
concrete3k::023_20.jpg,0.23528382,0.20019138,0.5645248
concrete3k::023_21.jpg,0.15755291,0.17290919,0.6695379
concrete3k::023_22.jpg,0.04988757,0.6691568,0.2809556
concrete3k::023_31.jpg,0.11293205,0.24426663,0.64280134
concrete3k::023_39.jpg,0.043597028,0.89209723,0.064305656
concrete3k::023_8.jpg,0.119565584,0.1780386,0.70239586
concrete3k::024_16.jpg,0.05286313,0.14386101,0.8032758
concrete3k::024_17.jpg,0.08044832,0.22457987,0.6949718
concrete3k::024_18.jpg,0.21942121,0.24344835,0.5371304
concrete3k::024_26.jpg,0.1582775,0.20270103,0.6390214
concrete3k::024_28.jpg,0.23657261,0.25243834,0.51098907
concrete3k::024_30.jpg,0.31696454,0.18352766,0.49950778
concrete3k::024_31.jpg,0.14299604,0.19615959,0.6608444
concrete3k::024_8.jpg,0.032455765,0.054486852,0.9130574
concrete3k::025_16.jpg,0.2767184,0.14733095,0.57595056
concrete3k::025_26.jpg,0.14639835,0.640253,0.21334867
concrete3k::025_27.jpg,0.18339188,0.19850466,0.61810344
concrete3k::025_28.jpg,0.15396376,0.13805398,0.7079823
concrete3k::025_29.jpg,0.22708417,0.1646161,0.60829973
concrete3k::025_31.jpg,0.22451021,0.20131336,0.5741764
concrete3k::026_17.jpg,0.35867253,0.30229244,0.33903503
concrete3k::026_18.jpg,0.14973114,0.333076,0.51719284
concrete3k::026_19.jpg,0.1753001,0.27075815,0.5539417
concrete3k::026_27.jpg,0.14532694,0.6283719,0.22630124
concrete3k::026_28.jpg,0.16189855,0.20179969,0.63630176
concrete3k::026_29.jpg,0.20204271,0.20815389,0.58980346
concrete3k::026_31.jpg,0.13576753,0.10804001,0.7561925
concrete3k::026_8.jpg,0.059290033,0.7673249,0.17338502
concrete3k::027_10.jpg,0.11936043,0.48633033,0.39430916
concrete3k::027_19.jpg,0.24211553,0.35478526,0.40309924
