image_id,p_degraded,p_neutral,p_improved
facade390::DJ_Wall_1.JPG,0.47483355,0.33578685,0.18937963
facade390::DJ_Wall_10.JPG,0.3666793,0.16671592,0.46660474
facade390::DJ_Wall_100.JPG,0.14654909,0.39224863,0.46120226
facade390::DJ_Wall_101.JPG,0.15099348,0.65626156,0.19274503
facade390::DJ_Wall_102.JPG,0.1226321,0.52832013,0.3490478
facade390::DJ_Wall_103.JPG,0.23806398,0.5434584,0.21847756
facade390::DJ_Wall_104.JPG,0.1485928,0.38934144,0.4620657
facade390::DJ_Wall_105.JPG,0.3003114,0.32292983,0.37675878
facade390::DJ_Wall_106.JPG,0.19877544,0.41470575,0.38651887
facade390::DJ_Wall_107.JPG,0.28801328,0.34048143,0.37150532
facade390::DJ_Wall_108.JPG,0.112592995,0.41886324,0.4685437
facade390::DJ_Wall_109.JPG,0.13877225,0.37382355,0.48740417
facade390::DJ_Wall_11.JPG,0.43058327,0.24696662,0.32245013
facade390::DJ_Wall_110.JPG,0.14441697,0.42041418,0.4351688
facade390::DJ_Wall_111.JPG,0.23772372,0.4268777,0.3353986
facade390::DJ_Wall_112.JPG,0.14485218,0.48945096,0.36569682
facade390::DJ_Wall_113.JPG,0.11963539,0.34461302,0.5357515
facade390::DJ_Wall_114.JPG,0.16082908,0.6294797,0.20969123
facade390::DJ_Wall_115.JPG,0.12355319,0.71729845,0.15914845
facade390::DJ_Wall_116.JPG,0.18141943,0.41880146,0.39977914
facade390::DJ_Wall_117.JPG,0.046087407,0.85316473,0.100747876
facade390::DJ_Wall_118.JPG,0.12952524,0.38142687,0.48904788
facade390::DJ_Wall_119.JPG,0.33448443,0.25802934,0.4074862
facade390::DJ_Wall_12.JPG,0.07660953,0.76574,0.15765044
facade390::DJ_Wall_120.JPG,0.38406193,0.14645638,0.4694817
facade390::DJ_Wall_121.JPG,0.14813556,0.44883963,0.4030248
facade390::DJ_Wall_122.JPG,0.2375506,0.31696582,0.44548362
facade390::DJ_Wall_123.JPG,0.12858434,0.194872,0.6765437
facade390::DJ_Wall_124.JPG,0.27414986,0.36378062,0.36206952
facade390::DJ_Wall_125.JPG,0.24762464,0.3731419,0.3792334
facade390::DJ_Wall_126.JPG,0.1741359,0.24043998,0.5854241
facade390::DJ_Wall_127.JPG,0.24790806,0.47453997,0.27755198
facade390::DJ_Wall_128.JPG,0.23585978,0.5583118,0.20582837
facade390::DJ_Wall_129.JPG,0.292633,0.3753695,0.3319975
facade390::DJ_Wall_13.JPG,0.05970514,0.8039037,0.1363912
facade390::DJ_Wall_130.JPG,0.36586925,0.37838516,0.2557457
facade390::DJ_Wall_131.JPG,0.24772839,0.19694431,0.55532736
facade390::DJ_Wall_132.JPG,0.19318506,0.30872107,0.49809387
facade390::DJ_Wall_133.JPG,0.38312048,0.34003216,0.27684736
facade390::DJ_Wall_134.JPG,0.27924067,0.48865783,0.23210154
facade390::DJ_Wall_135.JPG,0.1899122,0.37365752,0.43643028
facade390::DJ_Wall_136.JPG,0.26983026,0.5197167,0.2104531
facade390::DJ_Wall_137.JPG,0.21787223,0.5120257,0.27010202
facade390::DJ_Wall_138.JPG,0.24634081,0.44018272,0.3134764
facade390::DJ_Wall_139.JPG,0.22444704,0.24692139,0.52863157
facade390::DJ_Wall_14.JPG,0.10844764,0.7015265,0.19002579
facade390::DJ_Wall_140.JPG,0.18021628,0.5737638,0.24601991
facade390::DJ_Wall_141.JPG,0.14634769,0.5942413,0.25941104
facade390::DJ_Wall_142.JPG,0.12590468,0.49843013,0.3756652
facade390::DJ_Wall_143.JPG,0.2729701,0.52257913,0.20445076
facade390::DJ_Wall_144.JPG,0.2966619,0.4248866,0.27845147
facade390::DJ_Wall_145.JPG,0.27534804,0.4102805,0.3143715
facade390::DJ_Wall_146.JPG,0.2858233,0.5865169,0.12765977
facade390::DJ_Wall_147.JPG,0.18454188,0.6728189,0.14263925
facade390::DJ_Wall_148.JPG,0.13463278,0.5588364,0.30653083
facade390::DJ_Wall_149.JPG,0.32748425,0.4387418,0.2337739
facade390::DJ_Wall_15.JPG,0.15542616,0.71037287,0.13420095
facade390::DJ_Wall_150.JPG,0.09296374,0.8360436,0.070992656
facade390::DJ_Wall_151.JPG,0.12341985,0.7797148,0.09686528
facade390::DJ_Wall_152.JPG,0.14322488,0.7260947,0.13068043
facade390::DJ_Wall_153.JPG,0.1663029,0.57014793,0.26354915
facade390::DJ_Wall_154.JPG,0.27105772,0.4640232,0.26491904
facade390::DJ_Wall_155.JPG,0.15625148,0.44475314,0.39899546
facade390::DJ_Wall_156.JPG,0.17343478,0.73732233,0.08924291
facade390::DJ_Wall_157.JPG,0.16959372,0.6583237,0.17208263
facade390::DJ_Wall_158.JPG,0.1890399,0.5097942,0.3011659
facade390::DJ_Wall_159.JPG,0.19349597,0.4990599,0.30744413
facade390::DJ_Wall_16.JPG,0.091441534,0.70648116,0.20207731
facade390::DJ_Wall_160.JPG,0.15626016,0.4595314,0.38420847
facade390::DJ_Wall_161.JPG,0.15025482,0.6654665,0.18427877
facade390::DJ_Wall_162.JPG,0.13629536,0.71030694,0.15339765
facade390::DJ_Wall_163.JPG,0.1922485,0.63509744,0.17265409
facade390::DJ_Wall_164.JPG,0.19739857,0.4989324,0.30366907
facade390::DJ_Wall_165.JPG,0.14991151,0.52830166,0.3217868
facade390::DJ_Wall_166.JPG,0.15803787,0.56463295,0.2773292
facade390::DJ_Wall_167.JPG,0.24780816,0.50939995,0.24279189
facade390::DJ_Wall_168.JPG,0.14176284,0.566221,0.29201618
facade390::DJ_Wall_169.JPG,0.14175622,0.5212974,0.33694643
facade390::DJ_Wall_17.JPG,0.106747024,0.82754815,0.06570484
facade390::DJ_Wall_170.JPG,0.19260703,0.5951832,0.21220984
facade390::DJ_Wall_171.JPG,0.1997062,0.60475373,0.19554
facade390::DJ_Wall_172.JPG,0.3044773,0.44179755,0.2537252
facade390::DJ_Wall_173.JPG,0.14510435,0.5546341,0.30026156
facade390::DJ_Wall_174.JPG,0.1646017,0.53855133,0.29684702
facade390::DJ_Wall_175.JPG,0.2525967,0.3390762,0.4083271
facade390::DJ_Wall_176.JPG,0.17383187,0.47626132,0.34990674
facade390::DJ_Wall_177.JPG,0.07090429,0.8034976,0.12559812
facade390::DJ_Wall_178.JPG,0.15974689,0.5559191,0.284334
facade390::DJ_Wall_179.JPG,0.33396617,0.41797948,0.24805439
facade390::DJ_Wall_18.JPG,0.119092494,0.44357795,0.43732956
facade390::DJ_Wall_180.JPG,0.13666134,0.5729094,0.29042923
facade390::DJ_Wall_181.JPG,0.17919768,0.48195067,0.3388516
facade390::DJ_Wall_182.JPG,0.31533515,0.4518028,0.23286201
facade390::DJ_Wall_183.JPG,0.3727367,0.37181047,0.25545284
facade390::DJ_Wall_184.JPG,0.16233534,0.43820804,0.39945665
facade390::DJ_Wall_185.JPG,0.22037677,0.4350574,0.3445658
facade390::DJ_Wall_186.JPG,0.2632807,0.26036188,0.47635746
facade390::DJ_Wall_187.JPG,0.24409652,0.33711722,0.41878632
facade390::DJ_Wall_188.JPG,0.46534333,0.2888674,0.24578926
facade390::DJ_Wall_189.JPG,0.34535104,0.31406718,0.34058177
facade390::DJ_Wall_19.JPG,0.18797562,0.60010076,0.21192366
facade390::DJ_Wall_190.JPG,0.17267223,0.64581496,0.1815128
facade390::DJ_Wall_191.JPG,0.44725993,0.2920428,0.26069728
facade390::DJ_Wall_192.JPG,0.26444483,0.41263643,0.32291874
facade390::DJ_Wall_193.JPG,0.3335447,0.4506322,0.21582308
facade390::DJ_Wall_194.JPG,0.54806846,0.31080642,0.14112513
facade390::DJ_Wall_195.JPG,0.06738834,0.76635015,0.16626154
facade390::DJ_Wall_196.JPG,0.36467826,0.34952447,0.28579727
facade390::DJ_Wall_197.JPG,0.26921204,0.41320652,0.31758144
facade390::DJ_Wall_198.JPG,0.27436587,0.38487142,0.34076276
facade390::DJ_Wall_199.JPG,0.3044,0.42059004,0.2750099
facade390::DJ_Wall_2.JPG,0.38822058,0.34584206,0.26593736
facade390::DJ_Wall_20.JPG,0.42796347,0.2853226,0.2867139
facade390::DJ_Wall_200.JPG,0.14185496,0.5273841,0.330761
facade390::DJ_Wall_201.JPG,0.33759135,0.29904285,0.36336583
facade390::DJ_Wall_202.JPG,0.19966091,0.69012797,0.110211186
facade390::DJ_Wall_203.JPG,0.16270751,0.6571516,0.18014091
facade390::DJ_Wall_204.JPG,0.19412322,0.3644306,0.44144621
facade390::DJ_Wall_205.JPG,0.22575979,0.07865824,0.695582
facade390::DJ_Wall_206.JPG,0.35597855,0.077934355,0.56608707
facade390::DJ_Wall_207.JPG,0.3024316,0.5181375,0.17943086
facade390::DJ_Wall_208.JPG,0.46910515,0.08695325,0.44394156
facade390::DJ_Wall_209.JPG,0.4885853,0.26641536,0.24499929
facade390::DJ_Wall_21.JPG,0.21940461,0.6365177,0.1440777
facade390::DJ_Wall_210.JPG,0.51386726,0.113054655,0.37307802
facade390::DJ_Wall_211.JPG,0.4133764,0.1872311,0.39939258
facade390::DJ_Wall_212.JPG,0.38546842,0.31509998,0.29943156
facade390::DJ_Wall_213.JPG,0.38240904,0.112629786,0.5049612
facade390::DJ_Wall_214.JPG,0.41052058,0.2828411,0.3066383
facade390::DJ_Wall_215.JPG,0.5138693,0.15218532,0.33394542
facade390::DJ_Wall_216.JPG,0.1196591,0.8205923,0.059748653
facade390::DJ_Wall_217.JPG,0.5895809,0.071051575,0.33936757
facade390::DJ_Wall_218.JPG,0.68911815,0.08662871,0.22425309
facade390::DJ_Wall_219.JPG,0.20377116,0.73326176,0.06296705
facade390::DJ_Wall_22.JPG,0.49649966,0.22463657,0.27886382
facade390::DJ_Wall_220.JPG,0.43477008,0.21092488,0.354305
facade390::DJ_Wall_221.JPG,0.053028483,0.1103672,0.8366043
facade390::DJ_Wall_222.JPG,0.09689519,0.07371585,0.82938904
facade390::DJ_Wall_223.JPG,0.08731874,0.064208545,0.8484727
facade390::DJ_Wall_224.JPG,0.07162414,0.094341405,0.8340344
facade390::DJ_Wall_225.JPG,0.22811216,0.14425592,0.6276319
facade390::DJ_Wall_226.JPG,0.0810885,0.08663305,0.8322785
facade390::DJ_Wall_227.JPG,0.04211666,0.22381882,0.7340646
facade390::DJ_Wall_228.JPG,0.09256795,0.22714514,0.68028694
facade390::DJ_Wall_229.JPG,0.12744743,0.3434976,0.529055
facade390::DJ_Wall_23.JPG,0.13219275,0.7275899,0.14021738
facade390::DJ_Wall_230.JPG,0.10180628,0.24488658,0.6533072
facade390::DJ_Wall_231.JPG,0.06953687,0.27711034,0.6533528
facade390::DJ_Wall_232.JPG,0.10342905,0.30643508,0.5901359
facade390::DJ_Wall_233.JPG,0.18118408,0.22518456,0.5936313
facade390::DJ_Wall_234.JPG,0.14784579,0.32066303,0.53149116
facade390::DJ_Wall_235.JPG,0.12504733,0.21166602,0.6632867
facade390::DJ_Wall_236.JPG,0.08242466,0.20032352,0.7172518
facade390::DJ_Wall_237.JPG,0.23467685,0.109646425,0.6556768
facade390::DJ_Wall_238.JPG,0.075717315,0.20988962,0.7143931
facade390::DJ_Wall_239.JPG,0.10204332,0.13464126,0.7633154
facade390::DJ_Wall_24.JPG,0.5676858,0.07299473,0.35931954
facade390::DJ_Wall_240.JPG,0.05274078,0.23451306,0.71274614
facade390::DJ_Wall_241.JPG,0.13146599,0.17644513,0.6920889
facade390::DJ_Wall_242.JPG,0.07456988,0.2377404,0.68768966
facade390::DJ_Wall_243.JPG,0.19599912,0.17411321,0.6298877
facade390::DJ_Wall_244.JPG,0.11252408,0.19008766,0.6973883
facade390::DJ_Wall_245.JPG,0.089352034,0.1701875,0.7404604
facade390::DJ_Wall_246.JPG,0.112667225,0.20347403,0.68385875
facade390::DJ_Wall_247.JPG,0.16722791,0.19832058,0.63445157
facade390::DJ_Wall_248.JPG,0.23180959,0.10693343,0.661257
facade390::DJ_Wall_249.JPG,0.05929431,0.34953144,0.59117424
facade390::DJ_Wall_25.JPG,0.56471795,0.11516376,0.3201183
facade390::DJ_Wall_250.JPG,0.2448444,0.091575556,0.66358006
facade390::DJ_Wall_251.JPG,0.20155038,0.40117785,0.39727175
facade390::DJ_Wall_252.JPG,0.16404472,0.32839063,0.50756466
facade390::DJ_Wall_253.JPG,0.10003353,0.46317047,0.43679604
facade390::DJ_Wall_254.JPG,0.13166487,0.38620335,0.48213178
facade390::DJ_Wall_255.JPG,0.108008094,0.51565915,0.37633276
facade390::DJ_Wall_256.JPG,0.10060095,0.48119107,0.41820797
facade390::DJ_Wall_257.JPG,0.3649821,0.27437103,0.36064684
facade390::DJ_Wall_258.JPG,0.06807247,0.41825762,0.5136699
facade390::DJ_Wall_259.JPG,0.22150645,0.3174616,0.46103194
facade390::DJ_Wall_26.JPG,0.462059,0.24213424,0.29580674
facade390::DJ_Wall_260.JPG,0.37560546,0.24639441,0.3780001
facade390::DJ_Wall_261.JPG,0.08647543,0.27332458,0.64019996
facade390::DJ_Wall_262.JPG,0.15872595,0.4151654,0.4261087
facade390::DJ_Wall_263.JPG,0.15939571,0.30707458,0.5335297
facade390::DJ_Wall_264.JPG,0.09269071,0.45688477,0.45042455
facade390::DJ_Wall_265.JPG,0.06436798,0.3277331,0.60789895
facade390::DJ_Wall_266.JPG,0.10808418,0.45509475,0.43682104
facade390::DJ_Wall_267.JPG,0.07387913,0.33707613,0.5890447
facade390::DJ_Wall_268.JPG,0.1597558,0.22975291,0.61049134
facade390::DJ_Wall_269.JPG,0.14016813,0.18141279,0.67841905
facade390::DJ_Wall_27.JPG,0.2623749,0.49362826,0.24399681
facade390::DJ_Wall_270.JPG,0.06588246,0.19493416,0.7391834
facade390::DJ_Wall_271.JPG,0.13354479,0.27429962,0.5921555
facade390::DJ_Wall_272.JPG,0.15017639,0.51546806,0.33435547
facade390::DJ_Wall_273.JPG,0.0788145,0.24161425,0.6795712
facade390::DJ_Wall_274.JPG,0.07973972,0.64239824,0.27786198
facade390::DJ_Wall_275.JPG,0.22973074,0.218235,0.55203426
facade390::DJ_Wall_276.JPG,0.091870956,0.29637048,0.6117586
facade390::DJ_Wall_277.JPG,0.04697074,0.27301311,0.68001616
facade390::DJ_Wall_278.JPG,0.07851679,0.37381673,0.5476665
facade390::DJ_Wall_279.JPG,0.10771436,0.64786273,0.24442287
facade390::DJ_Wall_28.JPG,0.16038197,0.67352676,0.16609126
facade390::DJ_Wall_280.JPG,0.13702376,0.4515389,0.41143733
facade390::DJ_Wall_281.JPG,0.12264871,0.32564595,0.55170536
facade390::DJ_Wall_282.JPG,0.06342114,0.3315395,0.60503936
facade390::DJ_Wall_283.JPG,0.079107694,0.43795657,0.4829358
facade390::DJ_Wall_284.JPG,0.034512836,0.3243943,0.6410929
facade390::DJ_Wall_285.JPG,0.069073796,0.2525385,0.6783877
facade390::DJ_Wall_286.JPG,0.02646987,0.27932253,0.6942076
facade390::DJ_Wall_287.JPG,0.060724054,0.2529346,0.68634135
facade390::DJ_Wall_288.JPG,0.04268388,0.34465185,0.6126643
facade390::DJ_Wall_289.JPG,0.05999425,0.32599384,0.6140119
facade390::DJ_Wall_29.JPG,0.14992048,0.3810663,0.4690132
facade390::DJ_Wall_290.JPG,0.352221,0.06411032,0.5836687
facade390::DJ_Wall_291.JPG,0.35503733,0.06602949,0.5789332
facade390::DJ_Wall_292.JPG,0.18019503,0.2268362,0.5929688
facade390::DJ_Wall_293.JPG,0.13456412,0.27733037,0.5881055
facade390::DJ_Wall_294.JPG,0.14514367,0.28903058,0.56582576
facade390::DJ_Wall_295.JPG,0.15017535,0.22903895,0.62078565
facade390::DJ_Wall_296.JPG,0.123268306,0.27217647,0.60455525
facade390::DJ_Wall_297.JPG,0.1228183,0.29265845,0.58452326
facade390::DJ_Wall_298.JPG,0.14829682,0.39711133,0.45459184
facade390::DJ_Wall_299.JPG,0.21118182,0.36340836,0.42540982
facade390::DJ_Wall_3.JPG,0.20420167,0.6422561,0.15354225
facade390::DJ_Wall_30.JPG,0.39689273,0.38662422,0.21648304
facade390::DJ_Wall_300.JPG,0.17818356,0.5709948,0.25082174
facade390::DJ_Wall_301.JPG,0.17487659,0.34425455,0.4808689
facade390::DJ_Wall_302.JPG,0.11925799,0.71827096,0.1624711
facade390::DJ_Wall_303.JPG,0.16418934,0.5640278,0.27178288
facade390::DJ_Wall_304.JPG,0.21000823,0.61595774,0.174034
facade390::DJ_Wall_305.JPG,0.20613985,0.52244306,0.27141705
facade390::DJ_Wall_306.JPG,0.04447821,0.8623983,0.09312345
facade390::DJ_Wall_307.JPG,0.042605117,0.88034844,0.0770464
facade390::DJ_Wall_308.JPG,0.103936285,0.40305033,0.49301332
facade390::DJ_Wall_309.JPG,0.14650333,0.44105682,0.41243982
facade390::DJ_Wall_31.JPG,0.2019236,0.65747166,0.1406047
facade390::DJ_Wall_310.JPG,0.094836235,0.41113657,0.4940271
facade390::DJ_Wall_311.JPG,0.3037435,0.3552528,0.3410037
facade390::DJ_Wall_312.JPG,0.16020662,0.25660294,0.58319044
facade390::DJ_Wall_313.JPG,0.16903485,0.12554827,0.70541686
facade390::DJ_Wall_314.JPG,0.08958917,0.33746648,0.57294434
facade390::DJ_Wall_315.JPG,0.1561392,0.3187385,0.5251223
facade390::DJ_Wall_316.JPG,0.17109713,0.5917193,0.23718353
facade390::DJ_Wall_317.JPG,0.1639989,0.5586555,0.2773456
facade390::DJ_Wall_318.JPG,0.16715237,0.47301954,0.35982805
facade390::DJ_Wall_319.JPG,0.111312255,0.32256934,0.5661184
facade390::DJ_Wall_32.JPG,0.13989003,0.7349046,0.1252054
facade390::DJ_Wall_320.JPG,0.1323432,0.6527567,0.2149001
facade390::DJ_Wall_321.JPG,0.11861088,0.38763395,0.49375516
facade390::DJ_Wall_322.JPG,0.11867592,0.66669875,0.21462525
facade390::DJ_Wall_323.JPG,0.12564525,0.68963295,0.18472187
facade390::DJ_Wall_324.JPG,0.2036129,0.46548173,0.33090538
facade390::DJ_Wall_325.JPG,0.23406987,0.6224411,0.14348908
facade390::DJ_Wall_326.JPG,0.15628575,0.39979845,0.4439158
facade390::DJ_Wall_327.JPG,0.18316339,0.6817554,0.13508119
facade390::DJ_Wall_328.JPG,0.09829263,0.7541093,0.14759804
facade390::DJ_Wall_329.JPG,0.2165861,0.3965983,0.3868156
facade390::DJ_Wall_33.JPG,0.34069213,0.45441264,0.20489526
facade390::DJ_Wall_330.JPG,0.10515365,0.38964155,0.50520486
facade390::DJ_Wall_331.JPG,0.61559767,0.0871255,0.29727685
facade390::DJ_Wall_332.JPG,0.48843795,0.21766733,0.29389477
facade390::DJ_Wall_333.JPG,0.20317586,0.3522992,0.444525
facade390::DJ_Wall_334.JPG,0.4532131,0.3103375,0.23644939
facade390::DJ_Wall_335.JPG,0.29163778,0.36003658,0.34832567
facade390::DJ_Wall_336.JPG,0.6816321,0.13262771,0.18574013
facade390::DJ_Wall_337.JPG,0.43399164,0.19917856,0.3668298
facade390::DJ_Wall_338.JPG,0.25978366,0.39280453,0.34741187
facade390::DJ_Wall_339.JPG,0.49130496,0.1349209,0.37377405
facade390::DJ_Wall_34.JPG,0.15548024,0.757891,0.08662875
facade390::DJ_Wall_340.JPG,0.22444648,0.4647001,0.31085345
facade390::DJ_Wall_341.JPG,0.34834218,0.2699585,0.38169935
facade390::DJ_Wall_342.JPG,0.49787816,0.25076765,0.2513541
facade390::DJ_Wall_343.JPG,0.35523444,0.40025297,0.24451257
facade390::DJ_Wall_344.JPG,0.6645669,0.20694712,0.12848604
facade390::DJ_Wall_345.JPG,0.36386806,0.114421465,0.5217104
facade390::DJ_Wall_346.JPG,0.30316025,0.09401675,0.60282296
facade390::DJ_Wall_347.JPG,0.30082288,0.47608006,0.22309703
facade390::DJ_Wall_348.JPG,0.45071983,0.17082928,0.37845093
facade390::DJ_Wall_349.JPG,0.27144292,0.30192262,0.42663452
facade390::DJ_Wall_35.JPG,0.5426771,0.060887583,0.39643526
facade390::DJ_Wall_350.JPG,0.16747546,0.5710485,0.26147604
facade390::DJ_Wall_351.JPG,0.51426244,0.14867628,0.33706126
facade390::DJ_Wall_352.JPG,0.059764195,0.88809294,0.052142933
facade390::DJ_Wall_353.JPG,0.09203837,0.8381822,0.06977944
