image_id,p_degraded,p_neutral,p_improved
khanhha_original::CFD_001.jpg,0.65905905,0.0514837,0.2894573
khanhha_original::CFD_007.jpg,0.6307302,0.038321234,0.33094862
khanhha_original::CFD_011.jpg,0.074837014,0.015436411,0.9097266
khanhha_original::CFD_013.jpg,0.7250283,0.060958683,0.21401307
khanhha_original::CFD_014.jpg,0.7233029,0.026690466,0.25000674
khanhha_original::CFD_019.jpg,0.72657394,0.05124416,0.22218189
khanhha_original::CFD_037.jpg,0.5301075,0.034777697,0.43511477
khanhha_original::CFD_040.jpg,0.8834842,0.02787232,0.08864359
khanhha_original::CFD_047.jpg,0.36009067,0.032288916,0.6076204
khanhha_original::CFD_070.jpg,0.61319256,0.111151434,0.27565596
khanhha_original::CFD_080.jpg,0.31056774,0.09671009,0.5927221
khanhha_original::CFD_082.jpg,0.5631924,0.046547446,0.3902601
khanhha_original::CFD_084.jpg,0.66088754,0.064633,0.27447945
khanhha_original::CFD_088.jpg,0.7888036,0.08278661,0.12840989
khanhha_original::CFD_108.jpg,0.7298594,0.16544244,0.10469808
khanhha_original::CFD_109.jpg,0.66140705,0.22853556,0.11005738
khanhha_original::CFD_111.jpg,0.767332,0.09528911,0.13737889
khanhha_original::CFD_118.jpg,0.65459806,0.10383225,0.24156968
khanhha_original::CRACK500_20160222_080933_361_1.jpg,0.14329821,0.38364875,0.47305298
khanhha_original::CRACK500_20160222_081031_641_361.jpg,0.18736573,0.14203404,0.67060024
khanhha_original::CRACK500_20160222_081102_1921_721.jpg,0.25013852,0.35318914,0.3966723
khanhha_original::CRACK500_20160222_081102_1_721.jpg,0.2257781,0.4420488,0.332173
khanhha_original::CRACK500_20160222_081111_641_361.jpg,0.3189514,0.29026002,0.39078864
khanhha_original::CRACK500_20160222_081113_1921_721.jpg,0.37048295,0.1897151,0.439802
khanhha_original::CRACK500_20160222_081839_1_721.jpg,0.37888172,0.11177996,0.50933826
khanhha_original::CRACK500_20160222_081908_641_721.jpg,0.44535568,0.08001964,0.4746247
khanhha_original::CRACK500_20160222_114759_1921_361.jpg,0.2183173,0.14393742,0.63774526
khanhha_original::CRACK500_20160222_114759_1921_721.jpg,0.18059902,0.0839142,0.7354868
khanhha_original::CRACK500_20160222_114759_641_361.jpg,0.18419854,0.07642411,0.7393774
khanhha_original::CRACK500_20160222_115219_1281_721.jpg,0.2059009,0.088563785,0.7055353
khanhha_original::CRACK500_20160222_115224_1281_1081.jpg,0.20870753,0.18833427,0.6029582
khanhha_original::CRACK500_20160222_115224_1281_361.jpg,0.22374384,0.1232819,0.65297425
khanhha_original::CRACK500_20160222_115305_1281_1081.jpg,0.25781968,0.13507828,0.60710204
khanhha_original::CRACK500_20160222_115305_1921_361.jpg,0.18719222,0.078458555,0.73434925
khanhha_original::CRACK500_20160222_115305_641_1.jpg,0.085261256,0.047312465,0.8674263
khanhha_original::CRACK500_20160222_115305_641_721.jpg,0.053068947,0.059052218,0.88787884
khanhha_original::CRACK500_20160222_115324_1281_721.jpg,0.07828042,0.09710072,0.8246189
khanhha_original::CRACK500_20160222_115324_641_1081.jpg,0.06437646,0.26021886,0.67540467
khanhha_original::CRACK500_20160222_115519_641_721.jpg,0.02767524,0.32580948,0.64651525
khanhha_original::CRACK500_20160222_115828_641_1.jpg,0.023306612,0.6284523,0.3482411
khanhha_original::CRACK500_20160222_115833_1921_1081.jpg,0.068735436,0.5907017,0.34056285
khanhha_original::CRACK500_20160222_115833_641_361.jpg,0.02403141,0.6202723,0.35569635
khanhha_original::CRACK500_20160222_115843_1281_361.jpg,0.033745285,0.65635884,0.3098959
khanhha_original::CRACK500_20160222_115847_1281_361.jpg,0.034418494,0.7365883,0.22899316
khanhha_original::CRACK500_20160222_115847_641_361.jpg,0.029140906,0.75116336,0.21969567
khanhha_original::CRACK500_20160222_163940_1281_1081.jpg,0.14982186,0.37539467,0.4747835
khanhha_original::CRACK500_20160222_163940_1_1081.jpg,0.31305322,0.1744612,0.5124855
khanhha_original::CRACK500_20160222_163940_1_361.jpg,0.2298455,0.19530228,0.5748522
khanhha_original::CRACK500_20160222_163940_641_1081.jpg,0.20373422,0.22997993,0.5662858
khanhha_original::CRACK500_20160222_164141_1281_1.jpg,0.109604396,0.056541074,0.8338545
khanhha_original::CRACK500_20160222_164141_1921_721.jpg,0.18402763,0.09780925,0.71816313
khanhha_original::CRACK500_20160222_164141_1_1081.jpg,0.09500393,0.2723249,0.6326712
khanhha_original::CRACK500_20160222_164822_1281_1.jpg,0.1270892,0.09076607,0.7821447
khanhha_original::CRACK500_20160222_164822_641_1.jpg,0.10795404,0.26450098,0.62754494
khanhha_original::CRACK500_20160222_164822_641_361.jpg,0.09117931,0.28051403,0.6283066
khanhha_original::CRACK500_20160222_164825_641_721.jpg,0.14867683,0.1645546,0.68676853
khanhha_original::CRACK500_20160222_164851_641_1081.jpg,0.10482538,0.1791758,0.7159988
khanhha_original::CRACK500_20160222_164936_641_361.jpg,0.10791419,0.16647634,0.7256095
khanhha_original::CRACK500_20160222_165037_1921_361.jpg,0.3008892,0.3646491,0.33446175
khanhha_original::CRACK500_20160222_165037_1_361.jpg,0.12792745,0.36647785,0.50559473
khanhha_original::CRACK500_20160222_165037_641_361.jpg,0.18759371,0.32629523,0.48611107
khanhha_original::CRACK500_20160222_165218_641_1.jpg,0.091218844,0.19327337,0.7155078
khanhha_original::CRACK500_20160222_165225_1281_721.jpg,0.33339587,0.31776512,0.34883893
khanhha_original::CRACK500_20160222_165256_1281_1.jpg,0.25855562,0.2949016,0.44654277
khanhha_original::CRACK500_20160222_165256_1281_721.jpg,0.44315085,0.11686118,0.43998796
khanhha_original::CRACK500_20160222_165256_641_1.jpg,0.17098069,0.26762548,0.5613939
khanhha_original::CRACK500_20160222_165715_1921_721.jpg,0.43772402,0.11950188,0.44277412
khanhha_original::CRACK500_20160222_165909_1281_1081.jpg,0.18042831,0.062865615,0.7567061
khanhha_original::CRACK500_20160222_165919_1_721.jpg,0.42243963,0.22614688,0.35141352
khanhha_original::CRACK500_20160222_165926_1281_721.jpg,0.33793014,0.10291017,0.55915964
khanhha_original::CRACK500_20160222_165947_1921_721.jpg,0.17393462,0.41459107,0.41147426
khanhha_original::CRACK500_20160222_165951_1921_1.jpg,0.097017474,0.099762276,0.8032202
khanhha_original::CRACK500_20160225_114503_1_361.jpg,0.31418097,0.16522151,0.52059746
khanhha_original::CRACK500_20160225_114514_721_1281.jpg,0.24911022,0.07622448,0.6746653
khanhha_original::CRACK500_20160225_114514_721_641.jpg,0.25869724,0.044995427,0.69630736
khanhha_original::CRACK500_20160225_114535_1281_1081.jpg,0.2548513,0.3521016,0.39304703
khanhha_original::CRACK500_20160225_114535_1921_1081.jpg,0.3192354,0.34286952,0.33789507
khanhha_original::CRACK500_20160225_114535_1_1.jpg,0.1716312,0.4768635,0.35150534
khanhha_original::CRACK500_20160302_155848_1281_361.jpg,0.117753334,0.34004942,0.5421972
khanhha_original::CRACK500_20160302_155848_1921_361.jpg,0.17810068,0.24062954,0.5812698
khanhha_original::CRACK500_20160302_155848_641_721.jpg,0.23232812,0.224898,0.5427739
khanhha_original::CRACK500_20160302_155857_1281_1.jpg,0.14455211,0.5676941,0.2877537
khanhha_original::CRACK500_20160302_155857_1_721.jpg,0.11825635,0.5235463,0.35819733
khanhha_original::CRACK500_20160302_155914_1081_641.jpg,0.18467538,0.081974775,0.7333498
khanhha_original::CRACK500_20160302_155919_1281_721.jpg,0.220185,0.32682714,0.45298794
khanhha_original::CRACK500_20160302_155919_641_1.jpg,0.18496679,0.4613427,0.35369053
khanhha_original::CRACK500_20160302_155919_641_1081.jpg,0.19573204,0.5271427,0.27712524
