image_id,p_degraded,p_neutral,p_improved
road420::2023_10_30_15_44_IMG_5888.jpg,0.10882321,0.68190634,0.2092704
road420::2023_10_30_15_44_IMG_5889.jpg,0.09241065,0.81171304,0.095876366
road420::2023_10_30_15_44_IMG_5890.jpg,0.060357813,0.88284975,0.056792445
road420::2023_10_30_15_45_IMG_5891.jpg,0.106656104,0.70039487,0.19294909
road420::2023_10_30_15_47_IMG_5893.jpg,0.100331485,0.4719177,0.42775083
road420::2023_10_30_15_47_IMG_5894.jpg,0.23419441,0.3706996,0.39510602
road420::2023_10_30_15_48_IMG_5895.jpg,0.13304752,0.49460164,0.37235084
road420::2023_10_30_15_48_IMG_5896.jpg,0.17072195,0.4209894,0.40828863
road420::2023_10_30_15_48_IMG_5897.jpg,0.2910787,0.25117114,0.45775023
road420::2023_10_30_15_49_IMG_5898.jpg,0.20731743,0.3742042,0.41847846
road420::2023_10_30_15_49_IMG_5899.jpg,0.25908735,0.32765704,0.41325557
road420::2023_10_30_15_49_IMG_5901.jpg,0.1942344,0.5237111,0.28205454
road420::2023_10_30_15_50_IMG_5903.jpg,0.23071076,0.45156494,0.31772435
road420::2023_10_30_15_50_IMG_5905.jpg,0.21559304,0.2677057,0.5167013
road420::2023_10_30_15_51_IMG_5906.jpg,0.20727311,0.38061753,0.41210932
road420::2023_10_30_15_51_IMG_5908.jpg,0.31656283,0.28324586,0.40019134
road420::2023_10_30_15_52_IMG_5909.jpg,0.25271645,0.33636054,0.41092306
road420::2023_10_30_15_52_IMG_5910.jpg,0.25939626,0.35270613,0.38789767
road420::2023_10_30_15_53_IMG_5912.jpg,0.36587268,0.23542692,0.39870042
road420::2023_10_30_15_53_IMG_5914.jpg,0.2337023,0.3733076,0.39299014
road420::2023_10_30_15_54_IMG_5916.jpg,0.30941486,0.32533005,0.36525512
road420::2023_10_30_15_55_IMG_5917.jpg,0.37686515,0.21947168,0.40366325
road420::2023_10_30_15_55_IMG_5918.jpg,0.26991785,0.5386588,0.19142333
road420::2023_10_30_15_56_IMG_5919.jpg,0.3844111,0.21014753,0.40544137
road420::2023_10_30_15_57_IMG_5920.jpg,0.27669895,0.42696798,0.29633307
road420::2023_10_30_15_57_IMG_5921.jpg,0.3752727,0.33655328,0.28817406
road420::2023_10_30_15_57_IMG_5922.jpg,0.18943156,0.44010422,0.37046418
