image_id,p_degraded,p_neutral,p_improved
khanhha_original::CFD_037.jpg,0.38155046,0.17838655,0.44006303
khanhha_original::CFD_070.jpg,0.28258145,0.31474987,0.40266868
khanhha_original::CFD_108.jpg,0.2520559,0.24405108,0.503893
khanhha_original::CRACK500_20160222_081102_1921_721.jpg,0.24117136,0.5291731,0.22965556
khanhha_original::CRACK500_20160222_081102_1_721.jpg,0.24135317,0.5522915,0.2063553
khanhha_original::CRACK500_20160222_114759_1921_361.jpg,0.2609902,0.5307953,0.2082145
khanhha_original::CRACK500_20160222_114759_1921_721.jpg,0.10434517,0.47091186,0.42474303
khanhha_original::CRACK500_20160222_114759_641_361.jpg,0.43787387,0.34731403,0.2148121
khanhha_original::CRACK500_20160222_115224_1281_1081.jpg,0.18066579,0.57159925,0.24773492
khanhha_original::CRACK500_20160222_115224_1281_361.jpg,0.33584496,0.05239049,0.6117645
khanhha_original::CRACK500_20160222_164141_1281_1.jpg,0.15748927,0.528735,0.31377578
khanhha_original::CRACK500_20160222_164141_1921_721.jpg,0.18670236,0.28016332,0.5331343
khanhha_original::CRACK500_20160222_164141_1_1081.jpg,0.13985544,0.6297566,0.23038788
khanhha_original::CRACK500_20160222_165225_1281_721.jpg,0.42724663,0.21805987,0.3546935
khanhha_original::CRACK500_20160222_165715_1921_721.jpg,0.28125727,0.34070915,0.37803358
khanhha_original::CRACK500_20160225_114535_1281_1081.jpg,0.17981729,0.71718246,0.10300018
khanhha_original::CRACK500_20160225_114535_1921_1081.jpg,0.5449759,0.2944098,0.16061431
khanhha_original::CRACK500_20160225_114535_1_1.jpg,0.23064286,0.5625181,0.206839
khanhha_original::CRACK500_20160302_155925_1281_361.jpg,0.38634908,0.35579634,0.25785458
khanhha_original::CRACK500_20160302_155925_641_361.jpg,0.48170963,0.29255262,0.22573772
khanhha_original::CRACK500_20160303_092839_1281_361.jpg,0.21791646,0.3290655,0.45301807
khanhha_original::CRACK500_20160303_092839_1281_721.jpg,0.25936598,0.31180397,0.4288301
khanhha_original::CRACK500_20160303_092839_641_721.jpg,0.18184969,0.6310312,0.18711908
khanhha_original::CRACK500_20160303_093353_1921_361.jpg,0.11139586,0.6270984,0.26150572
khanhha_original::CRACK500_20160303_093353_1921_721.jpg,0.27434492,0.43669719,0.2889579
khanhha_original::CRACK500_20160306_103903_1281_361.jpg,0.26322398,0.37747258,0.3593034
khanhha_original::CRACK500_20160306_103903_641_361.jpg,0.1753267,0.4830172,0.34165606
khanhha_original::CRACK500_20160306_104522_1921_361.jpg,0.19796202,0.4077696,0.39426842
khanhha_original::CRACK500_20160306_104522_1921_721.jpg,0.135941,0.292843,0.571216
khanhha_original::CRACK500_20160306_104522_641_721.jpg,0.04934772,0.59127676,0.35937554
khanhha_original::CRACK500_20160307_144115_1281_1.jpg,0.35332486,0.46052352,0.1861517
khanhha_original::CRACK500_20160307_144916_1281_361.jpg,0.26210782,0.36763597,0.3702562
khanhha_original::CRACK500_20160307_144916_1921_721.jpg,0.110868745,0.47394037,0.41519094
khanhha_original::CRACK500_20160307_145107_1281_721.jpg,0.4437279,0.35294232,0.20332974
khanhha_original::CRACK500_20160307_145107_1_1.jpg,0.17596185,0.7236321,0.10040612
khanhha_original::CRACK500_20160307_162438_1921_1081.jpg,0.16666174,0.50644493,0.32689336
khanhha_original::CRACK500_20160307_162438_1921_721.jpg,0.18989031,0.39964473,0.41046497
khanhha_original::CRACK500_20160308_072951_641_721.jpg,0.061816294,0.79634935,0.1418344
khanhha_original::CRACK500_20160308_073356_1281_1081.jpg,0.3597662,0.34524155,0.29499224
