image_id,p_degraded,p_neutral,p_improved
concrete3k::001_14.jpg,0.05645715,0.122095756,0.82144713
concrete3k::001_2.jpg,0.13772812,0.06731605,0.7949558
concrete3k::001_6.jpg,0.11988424,0.13095137,0.7491644
concrete3k::011_5.jpg,0.5293756,0.23863712,0.2319873
concrete3k::017_0.jpg,0.084370576,0.33225757,0.5833718
concrete3k::017_20.jpg,0.22929691,0.16915351,0.60154957
concrete3k::017_24.jpg,0.2814212,0.36180627,0.35677248
concrete3k::017_28.jpg,0.20031086,0.24981947,0.5498697
concrete3k::017_36.jpg,0.33868814,0.26220942,0.39910248
concrete3k::017_44.jpg,0.2588397,0.4752607,0.2658996
concrete3k::017_8.jpg,0.076459125,0.44837573,0.4751652
concrete3k::018_11.jpg,0.09106433,0.6965676,0.2123681
concrete3k::018_15.jpg,0.26143625,0.43719012,0.30137357
concrete3k::018_27.jpg,0.39042255,0.35249466,0.2570828
concrete3k::018_3.jpg,0.12969896,0.5284619,0.34183916
concrete3k::018_43.jpg,0.28220177,0.36168236,0.35611585
concrete3k::018_7.jpg,0.14678702,0.3572983,0.49591467
concrete3k::019_11.jpg,0.16267778,0.45345512,0.38386703
concrete3k::019_2.jpg,0.18582472,0.4869328,0.32724252
concrete3k::019_3.jpg,0.2127855,0.41944563,0.36776888
concrete3k::019_36.jpg,0.1193903,0.4433317,0.43727806
concrete3k::019_44.jpg,0.12638253,0.34601596,0.5276015
concrete3k::019_8.jpg,0.16133235,0.75195026,0.08671735
concrete3k::020_10.jpg,0.15524907,0.3856281,0.4591228
concrete3k::020_19.jpg,0.15030316,0.5252115,0.32448536
concrete3k::020_28.jpg,0.16131221,0.46545786,0.37323
concrete3k::020_33.jpg,0.4456624,0.20046924,0.3538683
concrete3k::020_34.jpg,0.17821026,0.42809635,0.3936934
concrete3k::020_40.jpg,0.27153453,0.4192063,0.30925918
concrete3k::020_41.jpg,0.25603124,0.3524314,0.39153743
concrete3k::020_46.jpg,0.17559329,0.60684097,0.21756572
concrete3k::020_9.jpg,0.18949093,0.7356415,0.074867584
concrete3k::021_13.jpg,0.1924075,0.6003589,0.20723356
concrete3k::021_29.jpg,0.23512879,0.48120764,0.28366354
concrete3k::021_37.jpg,0.15203078,0.549727,0.29824215
concrete3k::021_38.jpg,0.11922308,0.5058286,0.37494832
concrete3k::021_4.jpg,0.21041419,0.3790645,0.41052136
concrete3k::021_46.jpg,0.19926536,0.39989626,0.40083832
concrete3k::023_10.jpg,0.31932652,0.38379264,0.29688084
concrete3k::023_11.jpg,0.2791463,0.5653886,0.15546505
concrete3k::023_18.jpg,0.41076607,0.26838896,0.320845
concrete3k::023_20.jpg,0.32266438,0.29901823,0.37831736
concrete3k::023_21.jpg,0.13079837,0.47510818,0.39409348
concrete3k::023_22.jpg,0.25242984,0.5843828,0.16318734
concrete3k::023_31.jpg,0.21892709,0.2072522,0.5738207
concrete3k::023_39.jpg,0.23205787,0.70570654,0.062235605
concrete3k::023_8.jpg,0.17852928,0.68368995,0.13778077
concrete3k::024_16.jpg,0.3081581,0.34009823,0.3517437
concrete3k::024_17.jpg,0.12973112,0.19192679,0.67834204
concrete3k::024_18.jpg,0.44824904,0.41058207,0.14116883
concrete3k::024_26.jpg,0.34505808,0.31581008,0.33913183
concrete3k::024_28.jpg,0.22772123,0.17166272,0.60061604
concrete3k::024_30.jpg,0.49882582,0.122889005,0.37828517
concrete3k::024_31.jpg,0.28722793,0.41465178,0.29812035
concrete3k::024_8.jpg,0.13490108,0.48631585,0.3787831
concrete3k::025_16.jpg,0.48478168,0.15317024,0.36204803
concrete3k::025_26.jpg,0.3869151,0.48829338,0.124791436
concrete3k::025_27.jpg,0.3355335,0.21605943,0.44840708
concrete3k::025_28.jpg,0.22035314,0.33442515,0.44522175
concrete3k::025_29.jpg,0.33759385,0.2915769,0.37082925
concrete3k::025_31.jpg,0.3671843,0.265433,0.36738265
concrete3k::026_17.jpg,0.55371493,0.29696754,0.1493175
concrete3k::026_18.jpg,0.22095355,0.4571562,0.32189018
concrete3k::026_19.jpg,0.38667032,0.4647633,0.14856637
concrete3k::026_27.jpg,0.23285133,0.6857953,0.08135331
concrete3k::026_28.jpg,0.24091353,0.2928099,0.46627656
concrete3k::026_29.jpg,0.1680628,0.5126697,0.31926757
concrete3k::026_31.jpg,0.29840252,0.23625694,0.46534052
concrete3k::026_8.jpg,0.16386864,0.72234815,0.11378322
concrete3k::027_10.jpg,0.26796436,0.5067971,0.22523858
concrete3k::027_19.jpg,0.36475137,0.18449622,0.45075247
concrete3k::027_20.jpg,0.41853446,0.22571209,0.35575345
concrete3k::027_30.jpg,0.20578603,0.7095722,0.084641755
concrete3k::027_38.jpg,0.40518653,0.4450541,0.1497593
concrete3k::027_39.jpg,0.16000795,0.78105617,0.05893585
concrete3k::028_17.jpg,0.37473392,0.11434089,0.5109252
concrete3k::028_18.jpg,0.23119614,0.24437916,0.52442473
concrete3k::028_19.jpg,0.21451178,0.09383609,0.6916522
concrete3k::028_28.jpg,0.41880807,0.14012656,0.44106537
concrete3k::029_26.jpg,0.3674119,0.27071258,0.36187547
concrete3k::029_27.jpg,0.41023672,0.42926043,0.1605029
concrete3k::029_29.jpg,0.26132903,0.26192597,0.47674498
concrete3k::030_17.jpg,0.2503281,0.18464574,0.56502616
concrete3k::030_21.jpg,0.3418869,0.5006363,0.15747684
concrete3k::030_26.jpg,0.58740884,0.29123107,0.121360116
concrete3k::030_29.jpg,0.5037713,0.3174935,0.17873521
concrete3k::030_30.jpg,0.49402723,0.22852391,0.2774488
concrete3k::031_18.jpg,0.48158163,0.22877084,0.2896475
concrete3k::031_19.jpg,0.68558353,0.11848898,0.19592747
concrete3k::031_26.jpg,0.5679034,0.26383328,0.1682633
concrete3k::031_27.jpg,0.3972794,0.38717178,0.21554878
concrete3k::031_28.jpg,0.43680093,0.23889068,0.32430843
concrete3k::031_29.jpg,0.49254963,0.19206284,0.31538755
concrete3k::031_31.jpg,0.52314395,0.13103749,0.34581852
concrete3k::032_10.jpg,0.32594976,0.6012008,0.07284942
concrete3k::032_11.jpg,0.2552827,0.202132,0.5425853
concrete3k::032_19.jpg,0.23835579,0.34903964,0.4126045
concrete3k::032_2.jpg,0.5356239,0.2637945,0.2005816
concrete3k::032_20.jpg,0.4030628,0.3644597,0.2324775
concrete3k::032_28.jpg,0.30182356,0.17398828,0.52418816
concrete3k::032_37.jpg,0.32761604,0.28375775,0.38862625
concrete3k::032_45.jpg,0.41152427,0.30323765,0.28523806
concrete3k::034_10.jpg,0.34888119,0.5210519,0.13006687
concrete3k::034_11.jpg,0.4315843,0.29873514,0.2696806
concrete3k::034_19.jpg,0.34803975,0.25374722,0.398213
concrete3k::034_2.jpg,0.37480044,0.3599033,0.2652962
concrete3k::034_28.jpg,0.5121788,0.2395966,0.24822466
concrete3k::034_37.jpg,0.37389946,0.47837386,0.1477267
concrete3k::034_45.jpg,0.37590134,0.4191091,0.20498951
concrete3k::034_46.jpg,0.37328807,0.5189753,0.10773664
