image_id,p_degraded,p_neutral,p_improved
facade390::DJ_Wall_1.JPG,0.36264703,0.35542086,0.28193206
facade390::DJ_Wall_10.JPG,0.34261915,0.30005214,0.3573287
facade390::DJ_Wall_100.JPG,0.15508549,0.3014853,0.5434292
facade390::DJ_Wall_101.JPG,0.3871445,0.4571327,0.15572287
facade390::DJ_Wall_102.JPG,0.10460464,0.64136803,0.25402737
facade390::DJ_Wall_103.JPG,0.4245289,0.41905922,0.15641187
facade390::DJ_Wall_104.JPG,0.19831964,0.45305952,0.34862086
facade390::DJ_Wall_105.JPG,0.21227972,0.3600242,0.42769605
facade390::DJ_Wall_106.JPG,0.23624422,0.41654643,0.34720936
facade390::DJ_Wall_107.JPG,0.29799426,0.37253708,0.3294686
facade390::DJ_Wall_108.JPG,0.11755617,0.4450411,0.4374027
facade390::DJ_Wall_109.JPG,0.16926923,0.4472623,0.3834685
facade390::DJ_Wall_11.JPG,0.26474798,0.3612943,0.3739577
facade390::DJ_Wall_110.JPG,0.13511595,0.6241666,0.24071746
facade390::DJ_Wall_111.JPG,0.33815238,0.5070975,0.1547502
facade390::DJ_Wall_112.JPG,0.2030935,0.48409772,0.31280875
facade390::DJ_Wall_113.JPG,0.16873549,0.3652776,0.46598697
facade390::DJ_Wall_114.JPG,0.1159601,0.64716,0.23687993
facade390::DJ_Wall_115.JPG,0.11216286,0.61984515,0.267992
facade390::DJ_Wall_116.JPG,0.078949444,0.69566226,0.22538826
facade390::DJ_Wall_117.JPG,0.05232424,0.8635691,0.08410663
facade390::DJ_Wall_118.JPG,0.10318749,0.5504795,0.34633306
facade390::DJ_Wall_119.JPG,0.17722055,0.37913597,0.44364348
facade390::DJ_Wall_12.JPG,0.08582044,0.6627558,0.2514238
facade390::DJ_Wall_120.JPG,0.30107024,0.113362566,0.5855672
facade390::DJ_Wall_121.JPG,0.18819189,0.52820605,0.28360212
facade390::DJ_Wall_122.JPG,0.21149698,0.42900223,0.35950086
facade390::DJ_Wall_123.JPG,0.19393097,0.38974518,0.41632378
facade390::DJ_Wall_124.JPG,0.15726215,0.43823543,0.40450245
facade390::DJ_Wall_125.JPG,0.32011342,0.4736696,0.206217
facade390::DJ_Wall_126.JPG,0.28141952,0.27749518,0.4410853
facade390::DJ_Wall_127.JPG,0.1958246,0.4732341,0.33094126
facade390::DJ_Wall_128.JPG,0.13017966,0.63759804,0.23222224
facade390::DJ_Wall_129.JPG,0.22515021,0.4321882,0.34266156
facade390::DJ_Wall_13.JPG,0.11577295,0.72253174,0.1616953
facade390::DJ_Wall_130.JPG,0.29259157,0.50258434,0.20482406
facade390::DJ_Wall_131.JPG,0.20875844,0.37751317,0.4137284
facade390::DJ_Wall_132.JPG,0.25678575,0.48032165,0.26289257
facade390::DJ_Wall_133.JPG,0.27539805,0.28276885,0.44183305
facade390::DJ_Wall_134.JPG,0.2307191,0.5004811,0.26879975
facade390::DJ_Wall_135.JPG,0.1689015,0.49578765,0.33531088
facade390::DJ_Wall_136.JPG,0.15971433,0.5933131,0.2469726
facade390::DJ_Wall_137.JPG,0.117438786,0.46395537,0.41860586
facade390::DJ_Wall_138.JPG,0.21079321,0.35273704,0.43646973
facade390::DJ_Wall_139.JPG,0.2954122,0.277287,0.42730078
facade390::DJ_Wall_14.JPG,0.16478278,0.62867707,0.20654017
facade390::DJ_Wall_140.JPG,0.11790234,0.5908717,0.29122594
facade390::DJ_Wall_141.JPG,0.16035001,0.6228198,0.21683018
facade390::DJ_Wall_142.JPG,0.25695455,0.36279655,0.3802489
facade390::DJ_Wall_143.JPG,0.3164633,0.3725722,0.31096452
facade390::DJ_Wall_144.JPG,0.22795722,0.36075956,0.4112832
facade390::DJ_Wall_145.JPG,0.25399157,0.28133,0.4646784
facade390::DJ_Wall_146.JPG,0.13885982,0.53841907,0.32272115
facade390::DJ_Wall_147.JPG,0.40479743,0.42271832,0.17248434
facade390::DJ_Wall_148.JPG,0.18440248,0.4362424,0.37935507
facade390::DJ_Wall_149.JPG,0.4226851,0.1577802,0.4195347
facade390::DJ_Wall_15.JPG,0.18845494,0.58131915,0.2302259
facade390::DJ_Wall_150.JPG,0.15726924,0.7025176,0.14021316
facade390::DJ_Wall_151.JPG,0.26031634,0.61733127,0.12235239
facade390::DJ_Wall_152.JPG,0.21819502,0.55955714,0.22224781
facade390::DJ_Wall_153.JPG,0.23768891,0.41107664,0.35123444
facade390::DJ_Wall_154.JPG,0.45945308,0.30793288,0.2326141
facade390::DJ_Wall_155.JPG,0.16053948,0.37596396,0.4634966
facade390::DJ_Wall_156.JPG,0.16985998,0.71251065,0.11762939
facade390::DJ_Wall_157.JPG,0.18401682,0.46221495,0.35376817
facade390::DJ_Wall_158.JPG,0.25493297,0.3230957,0.4219713
facade390::DJ_Wall_159.JPG,0.36355683,0.29415753,0.3422856
facade390::DJ_Wall_16.JPG,0.1339618,0.7721526,0.09388556
facade390::DJ_Wall_160.JPG,0.1453774,0.2789215,0.5757011
facade390::DJ_Wall_161.JPG,0.3555265,0.42457575,0.21989778
facade390::DJ_Wall_162.JPG,0.17754707,0.71623987,0.10621303
facade390::DJ_Wall_163.JPG,0.35954547,0.46903095,0.1714236
facade390::DJ_Wall_164.JPG,0.3038664,0.39626494,0.29986864
facade390::DJ_Wall_165.JPG,0.30341348,0.40321434,0.2933722
facade390::DJ_Wall_166.JPG,0.18016206,0.5246125,0.29522547
facade390::DJ_Wall_167.JPG,0.44002286,0.3258163,0.23416083
facade390::DJ_Wall_168.JPG,0.2261531,0.49020886,0.283638
facade390::DJ_Wall_169.JPG,0.21429878,0.4508094,0.3348919
facade390::DJ_Wall_17.JPG,0.11046725,0.7891212,0.10041147
facade390::DJ_Wall_170.JPG,0.26294303,0.46127126,0.27578568
facade390::DJ_Wall_171.JPG,0.16638364,0.5617996,0.27181682
facade390::DJ_Wall_172.JPG,0.17750396,0.48016828,0.34232774
facade390::DJ_Wall_173.JPG,0.23619053,0.5407707,0.22303873
facade390::DJ_Wall_174.JPG,0.18751101,0.45792794,0.35456103
facade390::DJ_Wall_175.JPG,0.19652195,0.44962168,0.3538564
facade390::DJ_Wall_176.JPG,0.28392443,0.39861333,0.31746224
facade390::DJ_Wall_177.JPG,0.03675581,0.8295468,0.13369739
facade390::DJ_Wall_178.JPG,0.114761464,0.5772518,0.30798677
facade390::DJ_Wall_179.JPG,0.5969361,0.18830612,0.21475777
facade390::DJ_Wall_18.JPG,0.09949227,0.60511917,0.29538855
facade390::DJ_Wall_180.JPG,0.19376439,0.5568005,0.24943508
facade390::DJ_Wall_181.JPG,0.26103604,0.3700899,0.36887404
facade390::DJ_Wall_182.JPG,0.35682002,0.44452938,0.19865058
facade390::DJ_Wall_183.JPG,0.48857403,0.16471511,0.34671086
facade390::DJ_Wall_184.JPG,0.18739243,0.449866,0.36274153
facade390::DJ_Wall_185.JPG,0.15754418,0.5319103,0.3105455
facade390::DJ_Wall_186.JPG,0.15576921,0.44348523,0.40074554
facade390::DJ_Wall_187.JPG,0.15873452,0.4796992,0.36156633
facade390::DJ_Wall_188.JPG,0.35844693,0.37762445,0.2639286
facade390::DJ_Wall_189.JPG,0.23657869,0.488397,0.2750243
facade390::DJ_Wall_19.JPG,0.031055963,0.94992447,0.01901958
facade390::DJ_Wall_190.JPG,0.1158507,0.6222252,0.26192403
facade390::DJ_Wall_191.JPG,0.43310624,0.22350767,0.34338614
facade390::DJ_Wall_192.JPG,0.28919768,0.48180524,0.22899705
facade390::DJ_Wall_193.JPG,0.19090617,0.41801384,0.39108002
facade390::DJ_Wall_194.JPG,0.30595818,0.5242081,0.16983369
facade390::DJ_Wall_195.JPG,0.057478525,0.737836,0.20468548
facade390::DJ_Wall_196.JPG,0.24204543,0.5169106,0.24104394
facade390::DJ_Wall_197.JPG,0.33501157,0.28697205,0.3780164
facade390::DJ_Wall_198.JPG,0.25697127,0.41371724,0.32931146
facade390::DJ_Wall_199.JPG,0.24725863,0.43657768,0.31616366
facade390::DJ_Wall_2.JPG,0.21820356,0.48643225,0.29536423
facade390::DJ_Wall_20.JPG,0.34570557,0.33760762,0.31668678
facade390::DJ_Wall_200.JPG,0.13165118,0.6228357,0.24551317
facade390::DJ_Wall_201.JPG,0.17881395,0.5252789,0.29590714
facade390::DJ_Wall_202.JPG,0.1281832,0.6692843,0.20253246
facade390::DJ_Wall_203.JPG,0.15927519,0.6614255,0.17929935
facade390::DJ_Wall_204.JPG,0.12995459,0.49698424,0.3730612
facade390::DJ_Wall_205.JPG,0.19283843,0.19980192,0.6073596
facade390::DJ_Wall_206.JPG,0.23579378,0.16682272,0.59738344
facade390::DJ_Wall_207.JPG,0.15899631,0.59386384,0.24713992
facade390::DJ_Wall_208.JPG,0.30631736,0.14028195,0.5534007
facade390::DJ_Wall_209.JPG,0.31056648,0.36435217,0.32508132
facade390::DJ_Wall_21.JPG,0.17264085,0.6202292,0.20712993
facade390::DJ_Wall_210.JPG,0.33711082,0.14718162,0.5157076
facade390::DJ_Wall_211.JPG,0.2772455,0.36015603,0.36259845
facade390::DJ_Wall_212.JPG,0.23695423,0.45552328,0.3075225
facade390::DJ_Wall_213.JPG,0.2811958,0.16147746,0.55732673
facade390::DJ_Wall_214.JPG,0.23649323,0.3136883,0.44981846
