image_id,p_degraded,p_neutral,p_improved
khanhha_original::CFD_001.jpg,0.758262,0.04209663,0.19964142
khanhha_original::CFD_007.jpg,0.7482682,0.047784656,0.2039472
khanhha_original::CFD_011.jpg,0.5077259,0.031319633,0.46095446
khanhha_original::CFD_013.jpg,0.83111256,0.036607493,0.13227993
khanhha_original::CFD_014.jpg,0.6999148,0.038153417,0.26193172
khanhha_original::CFD_019.jpg,0.787153,0.04052693,0.1723201
khanhha_original::CFD_037.jpg,0.77020013,0.0364062,0.19339363
khanhha_original::CFD_040.jpg,0.79344577,0.04329155,0.16326259
khanhha_original::CFD_047.jpg,0.6493804,0.03751202,0.3131076
khanhha_original::CFD_070.jpg,0.55885255,0.11153519,0.32961226
khanhha_original::CFD_080.jpg,0.44203687,0.1330367,0.42492646
khanhha_original::CFD_082.jpg,0.6071039,0.040531375,0.35236478
khanhha_original::CFD_084.jpg,0.7350121,0.061355483,0.2036324
khanhha_original::CFD_088.jpg,0.7233066,0.06478879,0.21190467
khanhha_original::CFD_108.jpg,0.58796674,0.12506196,0.28697133
khanhha_original::CFD_109.jpg,0.6463025,0.16770388,0.18599358
khanhha_original::CFD_111.jpg,0.6781333,0.09519557,0.22667108
khanhha_original::CFD_118.jpg,0.545335,0.10752134,0.34714365
khanhha_original::CRACK500_20160222_080933_361_1.jpg,0.25604483,0.46387962,0.28007546
khanhha_original::CRACK500_20160222_081031_641_361.jpg,0.28464678,0.31028506,0.4050682
khanhha_original::CRACK500_20160222_081102_1921_721.jpg,0.3576698,0.3908349,0.25149533
khanhha_original::CRACK500_20160222_081102_1_721.jpg,0.28997985,0.41932166,0.29069856
khanhha_original::CRACK500_20160222_081111_641_361.jpg,0.3382656,0.3251945,0.33653986
khanhha_original::CRACK500_20160222_081113_1921_721.jpg,0.42775792,0.2229444,0.34929773
khanhha_original::CRACK500_20160222_081839_1_721.jpg,0.28911746,0.2024782,0.5084043
khanhha_original::CRACK500_20160222_081908_641_721.jpg,0.27921042,0.11579328,0.60499626
khanhha_original::CRACK500_20160222_114759_1921_361.jpg,0.44846466,0.14353357,0.40800172
khanhha_original::CRACK500_20160222_114759_1921_721.jpg,0.28957537,0.27633828,0.43408638
khanhha_original::CRACK500_20160222_114759_641_361.jpg,0.32152915,0.1885865,0.48988435
khanhha_original::CRACK500_20160222_115219_1281_721.jpg,0.17068549,0.28156823,0.5477463
khanhha_original::CRACK500_20160222_115224_1281_1081.jpg,0.23699456,0.37784886,0.38515657
khanhha_original::CRACK500_20160222_115224_1281_361.jpg,0.06661948,0.43090132,0.5024792
khanhha_original::CRACK500_20160222_115305_1281_1081.jpg,0.15779287,0.25445062,0.5877565
khanhha_original::CRACK500_20160222_115305_1921_361.jpg,0.09149756,0.18844517,0.72005725
khanhha_original::CRACK500_20160222_115305_641_1.jpg,0.07180514,0.14144644,0.7867484
khanhha_original::CRACK500_20160222_115305_641_721.jpg,0.07279129,0.28517064,0.642038
khanhha_original::CRACK500_20160222_115324_1281_721.jpg,0.10264699,0.17264761,0.72470534
khanhha_original::CRACK500_20160222_115324_641_1081.jpg,0.12890418,0.330894,0.5402018
khanhha_original::CRACK500_20160222_115519_641_721.jpg,0.35377222,0.2906845,0.35554326
khanhha_original::CRACK500_20160222_115828_641_1.jpg,0.18886407,0.36825138,0.44288453
khanhha_original::CRACK500_20160222_115833_1921_1081.jpg,0.3579199,0.32673812,0.31534192
khanhha_original::CRACK500_20160222_115833_641_361.jpg,0.37577045,0.38742515,0.2368044
khanhha_original::CRACK500_20160222_115843_1281_361.jpg,0.25910842,0.39831713,0.34257442
khanhha_original::CRACK500_20160222_115847_1281_361.jpg,0.22351696,0.4406273,0.3358557
khanhha_original::CRACK500_20160222_115847_641_361.jpg,0.2340708,0.49861205,0.2673172
khanhha_original::CRACK500_20160222_163940_1281_1081.jpg,0.20155641,0.44441888,0.3540247
khanhha_original::CRACK500_20160222_163940_1_1081.jpg,0.48753226,0.406155,0.10631271
khanhha_original::CRACK500_20160222_163940_1_361.jpg,0.4912406,0.30772978,0.20102964
khanhha_original::CRACK500_20160222_163940_641_1081.jpg,0.2654103,0.41075405,0.32383564
khanhha_original::CRACK500_20160222_164141_1281_1.jpg,0.35045603,0.22018677,0.42935717
khanhha_original::CRACK500_20160222_164141_1921_721.jpg,0.35350648,0.28976032,0.35673323
khanhha_original::CRACK500_20160222_164141_1_1081.jpg,0.20702624,0.4424534,0.35052034
khanhha_original::CRACK500_20160222_164822_1281_1.jpg,0.09647127,0.08345366,0.82007504
khanhha_original::CRACK500_20160222_164822_641_1.jpg,0.12911965,0.30499482,0.56588554
