image_id,p_degraded,p_neutral,p_improved
road420::2023_10_30_15_44_IMG_5888.jpg,0.11874496,0.73147124,0.14978376
road420::2023_10_30_15_44_IMG_5889.jpg,0.093057066,0.7968225,0.11012047
road420::2023_10_30_15_44_IMG_5890.jpg,0.19656512,0.49195257,0.31148222
road420::2023_10_30_15_45_IMG_5891.jpg,0.1254438,0.5424166,0.33213958
road420::2023_10_30_15_47_IMG_5893.jpg,0.023890695,0.94477797,0.031331252
road420::2023_10_30_15_47_IMG_5894.jpg,0.24672419,0.59074664,0.16252917
road420::2023_10_30_15_48_IMG_5895.jpg,0.34488878,0.46629956,0.18881157
road420::2023_10_30_15_48_IMG_5896.jpg,0.19510303,0.6124754,0.19242154
road420::2023_10_30_15_48_IMG_5897.jpg,0.09764439,0.7290567,0.17329898
road420::2023_10_30_15_49_IMG_5898.jpg,0.4434977,0.25476077,0.30174145
road420::2023_10_30_15_49_IMG_5899.jpg,0.14982279,0.7511807,0.09899641
road420::2023_10_30_15_49_IMG_5901.jpg,0.07967372,0.7227947,0.19753161
road420::2023_10_30_15_50_IMG_5903.jpg,0.30766273,0.6807142,0.011623062
road420::2023_10_30_15_50_IMG_5905.jpg,0.10111654,0.81411296,0.08477047
road420::2023_10_30_15_51_IMG_5906.jpg,0.45666668,0.42610756,0.117225766
road420::2023_10_30_15_51_IMG_5908.jpg,0.40337896,0.5786618,0.017959198
road420::2023_10_30_15_52_IMG_5909.jpg,0.2596234,0.6676736,0.072703056
road420::2023_10_30_15_52_IMG_5910.jpg,0.12470763,0.6374839,0.23780851
road420::2023_10_30_15_53_IMG_5912.jpg,0.7290333,0.22178008,0.049186666
road420::2023_10_30_15_53_IMG_5914.jpg,0.1262402,0.8653324,0.008427442
road420::2023_10_30_15_54_IMG_5916.jpg,0.4932591,0.4347801,0.071960814
road420::2023_10_30_15_55_IMG_5917.jpg,0.5437789,0.4402474,0.015973754
road420::2023_10_30_15_55_IMG_5918.jpg,0.39650694,0.24820897,0.35528407
road420::2023_10_30_15_56_IMG_5919.jpg,0.49888527,0.37337694,0.12773778
road420::2023_10_30_15_57_IMG_5920.jpg,0.19001584,0.57652754,0.23345658
road420::2023_10_30_15_57_IMG_5921.jpg,0.1974818,0.71074164,0.09177658
road420::2023_10_30_15_57_IMG_5922.jpg,0.18362296,0.78863,0.027746972
road420::2023_10_30_15_57_IMG_5923.jpg,0.6603528,0.3222291,0.017418137
road420::2023_10_30_15_59_IMG_5926.jpg,0.8156374,0.1297828,0.054579742
road420::2023_10_30_15_59_IMG_5927.jpg,0.14604445,0.846151,0.007804565
road420::2023_10_30_16_00_IMG_5928.jpg,0.21918191,0.50430775,0.27651036
road420::2023_10_30_16_01_IMG_5930.jpg,0.17028883,0.15821153,0.6714996
