image_id,p_degraded,p_neutral,p_improved
khanhha_original::CFD_001.jpg,0.42866567,0.1617583,0.409576
khanhha_original::CFD_040.jpg,0.35372785,0.43201512,0.21425699
khanhha_original::CFD_088.jpg,0.16606142,0.5166238,0.3173148
khanhha_original::CFD_118.jpg,0.18444434,0.36292112,0.45263448
khanhha_original::CRACK500_20160222_081031_641_361.jpg,0.23448259,0.61292714,0.15259026
khanhha_original::CRACK500_20160222_115833_1921_1081.jpg,0.37640437,0.33233672,0.29125893
khanhha_original::CRACK500_20160222_115833_641_361.jpg,0.2541785,0.5710334,0.17478809
khanhha_original::CRACK500_20160222_115843_1281_361.jpg,0.08899308,0.7299576,0.18104936
khanhha_original::CRACK500_20160222_115847_1281_361.jpg,0.025737029,0.91041666,0.0638463
khanhha_original::CRACK500_20160222_115847_641_361.jpg,0.04621864,0.905822,0.04795945
khanhha_original::CRACK500_20160222_164936_641_361.jpg,0.3254229,0.33634052,0.33823657
khanhha_original::CRACK500_20160222_165037_1921_361.jpg,0.25337937,0.54427814,0.20234247
khanhha_original::CRACK500_20160222_165037_1_361.jpg,0.46888843,0.3195579,0.21155365
khanhha_original::CRACK500_20160222_165037_641_361.jpg,0.39885402,0.40797544,0.19317058
khanhha_original::CRACK500_20160222_165256_1281_1.jpg,0.116578415,0.6584734,0.2249482
khanhha_original::CRACK500_20160222_165256_1281_721.jpg,0.11703769,0.68853277,0.19442959
khanhha_original::CRACK500_20160222_165256_641_1.jpg,0.34350175,0.3423987,0.31409955
khanhha_original::CRACK500_20160225_114503_1_361.jpg,0.24281509,0.6231993,0.13398564
khanhha_original::CRACK500_20160302_155919_1281_721.jpg,0.23228635,0.48276,0.2849537
khanhha_original::CRACK500_20160302_155919_641_1.jpg,0.39267606,0.24351986,0.36380404
khanhha_original::CRACK500_20160302_155919_641_1081.jpg,0.3858903,0.325604,0.2885057
khanhha_original::CRACK500_20160306_103613_1_721.jpg,0.08490823,0.48087817,0.43421367
khanhha_original::CRACK500_20160306_103638_1921_1081.jpg,0.18897474,0.32008952,0.49093574
khanhha_original::CRACK500_20160306_103638_1_361.jpg,0.22148971,0.36646098,0.4120493
khanhha_original::CRACK500_20160306_103816_1_721.jpg,0.03582962,0.47950944,0.48466092
khanhha_original::CRACK500_20160306_104527_1921_721.jpg,0.22863686,0.47995284,0.29141033
khanhha_original::CRACK500_20160306_104527_641_361.jpg,0.2045428,0.6424704,0.15298676
khanhha_original::CRACK500_20160307_144202_1281_361.jpg,0.29437605,0.15655284,0.54907113
khanhha_original::CRACK500_20160307_144202_1281_721.jpg,0.26196775,0.3591697,0.37886256
khanhha_original::CRACK500_20160307_144842_1281_1.jpg,0.14373198,0.3675204,0.4887477
khanhha_original::CRACK500_20160307_144842_1281_1081.jpg,0.15176168,0.6980623,0.150176
khanhha_original::CRACK500_20160307_145059_1921_361.jpg,0.16505994,0.61052495,0.22441512
khanhha_original::CRACK500_20160307_163627_641_721.jpg,0.45997286,0.27287295,0.26715413
khanhha_original::CRACK500_20160307_163641_1921_361.jpg,0.14380868,0.09772382,0.7584675
khanhha_original::CRACK500_20160307_164400_641_1.jpg,0.19496278,0.44282073,0.36221647
khanhha_original::CRACK500_20160308_072824_641_1.jpg,0.16082853,0.34206975,0.49710175
khanhha_original::CRACK500_20160308_074330_1921_721.jpg,0.4846598,0.25761652,0.25772366
khanhha_original::CRACK500_20160308_155737_1281_1.jpg,0.15123327,0.63881177,0.20995493
khanhha_original::CRACK500_20160308_155737_1281_361.jpg,0.18633288,0.54392314,0.26974398
khanhha_original::CRACK500_20160308_155737_1281_721.jpg,0.23052321,0.49064255,0.27883416
khanhha_original::CRACK500_20160308_155737_1921_1.jpg,0.22983378,0.24338157,0.52678466
khanhha_original::CRACK500_20160308_155737_1_1081.jpg,0.100342326,0.6875197,0.212138
khanhha_original::CRACK500_20160308_155737_641_721.jpg,0.19176362,0.42492372,0.38331264
khanhha_original::CRACK500_20160308_155828_1281_721.jpg,0.15099499,0.7266166,0.12238837
khanhha_original::CRACK500_20160308_155836_1921_361.jpg,0.28092715,0.16241525,0.55665755
khanhha_original::CRACK500_20160308_155836_1921_721.jpg,0.43152404,0.28279492,0.285681
khanhha_original::CRACK500_20160310_114446_641_1081.jpg,0.17061618,0.6188746,0.21050923
khanhha_original::CRACK500_20160316_142009_1281_361.jpg,0.26404336,0.49210876,0.24384785
khanhha_original::CRACK500_20160316_142009_1281_721.jpg,0.31213206,0.29661128,0.39125663
khanhha_original::CRACK500_20160316_142027_1281_721.jpg,0.3941426,0.3497689,0.25608853
khanhha_original::CRACK500_20160316_143433_641_361.jpg,0.1126232,0.45605767,0.43131918
khanhha_original::CRACK500_20160316_144230_641_1.jpg,0.15413558,0.37695998,0.46890447
khanhha_original::CRACK500_20160316_183217_1281_1.jpg,0.15618984,0.36617136,0.47763875
khanhha_original::CRACK500_20160321_185637_1_1081.jpg,0.077286154,0.40523452,0.51747936
khanhha_original::CRACK500_20160324_170309_641_1.jpg,0.04618717,0.81418526,0.13962753
khanhha_original::CRACK500_20160324_170309_641_361.jpg,0.14565691,0.6413545,0.21298857
khanhha_original::CRACK500_20160324_170309_641_721.jpg,0.29309216,0.43852898,0.26837885
khanhha_original::CRACK500_20160324_170542_1_721.jpg,0.24687192,0.15989368,0.59323436
khanhha_original::CRACK500_20160326_142309_1281_721.jpg,0.17785347,0.45588437,0.3662621
khanhha_original::CRACK500_20160328_150820_641_361.jpg,0.39805096,0.09032544,0.5116236
khanhha_original::CRACK500_20160328_150940_1281_361.jpg,0.11738782,0.4972728,0.38533938
khanhha_original::CRACK500_20160328_150940_1_1081.jpg,0.15324588,0.322649,0.52410513
khanhha_original::CRACK500_20160328_150940_641_1081.jpg,0.08446662,0.8458136,0.06971986
khanhha_original::CRACK500_20160328_150940_641_361.jpg,0.17394097,0.6249652,0.20109385
khanhha_original::CRACK500_20160328_151056_1_361.jpg,0.2383401,0.62823325,0.13342658
khanhha_original::CRACK500_20160328_151056_641_1081.jpg,0.11866194,0.74558556,0.13575253
khanhha_original::CRACK500_20160328_151151_1921_721.jpg,0.24417113,0.60095143,0.1548774
khanhha_original::CRACK500_20160328_151151_1_1.jpg,0.35261723,0.50941783,0.13796492
khanhha_original::CRACK500_20160328_151151_641_1081.jpg,0.41524327,0.41839543,0.16636136
khanhha_original::CRACK500_20160328_151151_641_361.jpg,0.5212041,0.3792077,0.09958817
khanhha_original::CRACK500_20160328_151241_1_1.jpg,0.27270138,0.56184614,0.16545245
khanhha_original::CRACK500_20160328_151241_641_721.jpg,0.098315574,0.81895065,0.08273378
