image_id,p_degraded,p_neutral,p_improved
khanhha_original::CFD_019.jpg,0.34496135,0.27851585,0.3765228
khanhha_original::CFD_084.jpg,0.23757182,0.42129284,0.3411353
khanhha_original::CFD_109.jpg,0.17431378,0.21649446,0.6091917
khanhha_original::CFD_111.jpg,0.23188487,0.31123972,0.45687544
khanhha_original::CRACK500_20160222_080933_361_1.jpg,0.24779952,0.35601294,0.39618754
khanhha_original::CRACK500_20160222_081839_1_721.jpg,0.29503766,0.4844035,0.22055888
khanhha_original::CRACK500_20160222_115219_1281_721.jpg,0.42822495,0.33120844,0.2405666
khanhha_original::CRACK500_20160222_115324_1281_721.jpg,0.29503766,0.4844035,0.22055888
khanhha_original::CRACK500_20160222_115324_641_1081.jpg,0.24029791,0.47994107,0.279761
khanhha_original::CRACK500_20160222_164822_1281_1.jpg,0.42212823,0.15828599,0.4195858
khanhha_original::CRACK500_20160222_164822_641_1.jpg,0.39236078,0.33180735,0.2758319
khanhha_original::CRACK500_20160222_164822_641_361.jpg,0.47272974,0.2136734,0.3135969
khanhha_original::CRACK500_20160222_165951_1921_1.jpg,0.3479706,0.40032947,0.25169995
khanhha_original::CRACK500_20160303_091830_361_1281.jpg,0.22710778,0.2367786,0.5361136
khanhha_original::CRACK500_20160303_093527_1281_361.jpg,0.14055306,0.43012226,0.42932475
khanhha_original::CRACK500_20160303_093537_1921_1081.jpg,0.13317548,0.35374737,0.51307714
khanhha_original::CRACK500_20160306_103657_1921_721.jpg,0.2924862,0.24189845,0.46561533
khanhha_original::CRACK500_20160306_103657_641_721.jpg,0.29503766,0.4844035,0.22055888
khanhha_original::CRACK500_20160307_144924_1281_361.jpg,0.26215574,0.4832437,0.2546006
khanhha_original::CRACK500_20160307_144924_641_361.jpg,0.3057131,0.35023585,0.34405103
khanhha_original::CRACK500_20160307_164301_641_361.jpg,0.29503766,0.4844035,0.22055888
khanhha_original::CRACK500_20160307_164517_1921_361.jpg,0.3471881,0.40155452,0.2512574
khanhha_original::CRACK500_20160308_073532_1_361.jpg,0.28719398,0.48451176,0.22829421
khanhha_original::CRACK500_20160308_074321_1921_361.jpg,0.13656183,0.42655042,0.43688774
khanhha_original::CRACK500_20160308_160128_641_361.jpg,0.29503766,0.4844035,0.22055888
khanhha_original::CRACK500_20160308_160128_641_721.jpg,0.29503766,0.4844035,0.22055888
khanhha_original::CRACK500_20160316_142449_1_361.jpg,0.29503766,0.4844035,0.22055888
khanhha_original::CRACK500_20160316_143527_641_1.jpg,0.12772603,0.41806322,0.45421076
khanhha_original::CRACK500_20160316_143547_1281_1081.jpg,0.13431187,0.25448278,0.6112054
khanhha_original::CRACK500_20160316_143629_1281_721.jpg,0.2921038,0.44276154,0.2651347
khanhha_original::CRACK500_20160316_143629_1921_721.jpg,0.22202882,0.4754246,0.30254665
khanhha_original::CRACK500_20160318_084343_1281_361.jpg,0.0357094,0.09643099,0.86785966
khanhha_original::CRACK500_20160318_181632_1_1.jpg,0.24904239,0.48152393,0.2694337
khanhha_original::CRACK500_20160318_181632_1_361.jpg,0.29503766,0.4844035,0.22055888
khanhha_original::CRACK500_20160318_181632_641_1.jpg,0.26132894,0.4063778,0.33229318
khanhha_original::CRACK500_20160321_185557_1_361.jpg,0.116066694,0.21301626,0.6709171
khanhha_original::CRACK500_20160321_185557_641_721.jpg,0.14874746,0.4369776,0.41427493
khanhha_original::CRACK500_20160326_141812_1281_721.jpg,0.29503766,0.4844035,0.22055888
khanhha_original::CRACK500_20160326_141812_1921_721.jpg,0.21984784,0.47476998,0.30538225
khanhha_original::CRACK500_20160326_142403_1921_361.jpg,0.30185267,0.39124814,0.30689922
khanhha_original::CRACK500_20160326_162529_641_361.jpg,0.17602906,0.45566437,0.36830658
khanhha_original::CRACK500_20160328_150821_1281_361.jpg,0.29503766,0.4844035,0.22055888
khanhha_original::CRACK500_20160328_150821_1_721.jpg,0.2932409,0.48444858,0.2223105
khanhha_original::CRACK500_20160328_150821_641_361.jpg,0.29503766,0.4844035,0.22055888
khanhha_original::CRACK500_20160328_151027_1921_1.jpg,0.29503766,0.4844035,0.22055888
khanhha_original::CRACK500_20160328_151027_641_361.jpg,0.29503766,0.4844035,0.22055888
khanhha_original::CRACK500_20160328_151243_1_361.jpg,0.2141579,0.4729403,0.31290185
khanhha_original::CRACK500_20160328_151247_641_1.jpg,0.35561103,0.3883978,0.25599113
khanhha_original::CRACK500_20160328_151423_641_1081.jpg,0.29503766,0.4844035,0.22055888
khanhha_original::CRACK500_20160328_151657_1281_1.jpg,0.29503766,0.4844035,0.22055888
khanhha_original::CRACK500_20160328_151657_1921_721.jpg,0.36948088,0.36688006,0.2636391
khanhha_original::CRACK500_20160328_151657_1_361.jpg,0.29503766,0.4844035,0.22055888
khanhha_original::CRACK500_20160328_151657_641_361.jpg,0.29503766,0.4844035,0.22055888
khanhha_original::CRACK500_20160328_151657_641_721.jpg,0.29503766,0.4844035,0.22055888
khanhha_original::CRACK500_20160328_152308_1_361.jpg,0.29503766,0.4844035,0.22055888
khanhha_original::CRACK500_20160328_153327_1_721.jpg,0.29503766,0.4844035,0.22055888
khanhha_original::CRACK500_20160328_153421_641_1.jpg,0.2654466,0.4835573,0.25099617
khanhha_original::CRACK500_20160328_153533_1281_1.jpg,0.29503766,0.4844035,0.22055888
khanhha_original::CRACK500_20160328_153533_1281_721.jpg,0.16032796,0.44564435,0.39402765
