image_id,p_degraded,p_neutral,p_improved
khanhha_original::CFD_037.jpg,0.33129862,0.24005066,0.42865077
khanhha_original::CFD_070.jpg,0.246493,0.30476856,0.44873846
khanhha_original::CFD_108.jpg,0.16783248,0.24661823,0.58554924
khanhha_original::CRACK500_20160222_081102_1921_721.jpg,0.38019505,0.39951456,0.22029042
khanhha_original::CRACK500_20160222_081102_1_721.jpg,0.18876243,0.46786463,0.34337288
khanhha_original::CRACK500_20160222_114759_1921_361.jpg,0.1904076,0.47331408,0.33627826
khanhha_original::CRACK500_20160222_114759_1921_721.jpg,0.10751764,0.48881802,0.40366432
khanhha_original::CRACK500_20160222_114759_641_361.jpg,0.23561391,0.5102768,0.25410932
khanhha_original::CRACK500_20160222_115224_1281_1081.jpg,0.25607926,0.47448048,0.26944026
khanhha_original::CRACK500_20160222_115224_1281_361.jpg,0.453859,0.23248446,0.31365648
khanhha_original::CRACK500_20160222_164141_1281_1.jpg,0.16217855,0.51470256,0.3231189
khanhha_original::CRACK500_20160222_164141_1921_721.jpg,0.21531394,0.3936106,0.39107546
khanhha_original::CRACK500_20160222_164141_1_1081.jpg,0.20643502,0.52622855,0.26733646
khanhha_original::CRACK500_20160222_165225_1281_721.jpg,0.30594006,0.4594923,0.23456761
khanhha_original::CRACK500_20160222_165715_1921_721.jpg,0.32911438,0.42922124,0.24166438
khanhha_original::CRACK500_20160225_114535_1281_1081.jpg,0.2470673,0.6294148,0.12351787
khanhha_original::CRACK500_20160225_114535_1921_1081.jpg,0.5252905,0.34507966,0.12962985
khanhha_original::CRACK500_20160225_114535_1_1.jpg,0.33620134,0.48293695,0.18086179
khanhha_original::CRACK500_20160302_155925_1281_361.jpg,0.46761203,0.25727785,0.2751102
khanhha_original::CRACK500_20160302_155925_641_361.jpg,0.47393078,0.20693769,0.31913152
khanhha_original::CRACK500_20160303_092839_1281_361.jpg,0.28012687,0.4698058,0.25006738
khanhha_original::CRACK500_20160303_092839_1281_721.jpg,0.29141507,0.46569952,0.24288547
khanhha_original::CRACK500_20160303_092839_641_721.jpg,0.17952776,0.7309052,0.0895671
khanhha_original::CRACK500_20160303_093353_1921_361.jpg,0.17136125,0.51433605,0.3143027
khanhha_original::CRACK500_20160303_093353_1921_721.jpg,0.2402897,0.4064816,0.35322878
khanhha_original::CRACK500_20160306_103903_1281_361.jpg,0.16959088,0.45307484,0.37733433
khanhha_original::CRACK500_20160306_103903_641_361.jpg,0.12657945,0.58905286,0.28436768
khanhha_original::CRACK500_20160306_104522_1921_361.jpg,0.18730138,0.2672115,0.5454871
khanhha_original::CRACK500_20160306_104522_1921_721.jpg,0.16462216,0.27427635,0.5611015
khanhha_original::CRACK500_20160306_104522_641_721.jpg,0.0683687,0.6085055,0.32312584
khanhha_original::CRACK500_20160307_144115_1281_1.jpg,0.3623846,0.42045784,0.21715757
khanhha_original::CRACK500_20160307_144916_1281_361.jpg,0.30468318,0.32196867,0.37334818
khanhha_original::CRACK500_20160307_144916_1921_721.jpg,0.13698001,0.46598983,0.39703017
khanhha_original::CRACK500_20160307_145107_1281_721.jpg,0.275624,0.5001052,0.22427079
khanhha_original::CRACK500_20160307_145107_1_1.jpg,0.13191804,0.75829643,0.10978554
khanhha_original::CRACK500_20160307_162438_1921_1081.jpg,0.20870948,0.54048765,0.2508029
khanhha_original::CRACK500_20160307_162438_1921_721.jpg,0.21680199,0.40418208,0.37901598
khanhha_original::CRACK500_20160308_072951_641_721.jpg,0.072092906,0.7882224,0.13968472
