image_id,p_degraded,p_neutral,p_improved
khanhha_original::CFD_001.jpg,0.5385599,0.044360254,0.4170799
khanhha_original::CFD_040.jpg,0.6494433,0.11394957,0.23660716
khanhha_original::CFD_088.jpg,0.3452929,0.28432786,0.37037927
khanhha_original::CFD_118.jpg,0.16946416,0.36147743,0.46905836
khanhha_original::CRACK500_20160222_081031_641_361.jpg,0.21215753,0.72592396,0.061918553
khanhha_original::CRACK500_20160222_115833_1921_1081.jpg,0.10563057,0.7226388,0.17173062
khanhha_original::CRACK500_20160222_115833_641_361.jpg,0.29881373,0.66313756,0.03804877
khanhha_original::CRACK500_20160222_115843_1281_361.jpg,0.069505796,0.84269994,0.08779431
khanhha_original::CRACK500_20160222_115847_1281_361.jpg,0.03705116,0.8656056,0.097343214
khanhha_original::CRACK500_20160222_115847_641_361.jpg,0.14359204,0.7470056,0.1094024
khanhha_original::CRACK500_20160222_164936_641_361.jpg,0.19794947,0.19270372,0.6093468
khanhha_original::CRACK500_20160222_165037_1921_361.jpg,0.19108091,0.63814735,0.17077166
khanhha_original::CRACK500_20160222_165037_1_361.jpg,0.2089687,0.50825936,0.28277192
khanhha_original::CRACK500_20160222_165037_641_361.jpg,0.20327848,0.7378647,0.058856767
khanhha_original::CRACK500_20160222_165256_1281_1.jpg,0.15408011,0.43591043,0.41000953
khanhha_original::CRACK500_20160222_165256_1281_721.jpg,0.2741507,0.39397293,0.33187634
khanhha_original::CRACK500_20160222_165256_641_1.jpg,0.2502944,0.33068845,0.41901717
khanhha_original::CRACK500_20160225_114503_1_361.jpg,0.37022385,0.53284866,0.09692748
khanhha_original::CRACK500_20160302_155919_1281_721.jpg,0.5326906,0.19440065,0.2729088
khanhha_original::CRACK500_20160302_155919_641_1.jpg,0.6427737,0.06071331,0.29651302
khanhha_original::CRACK500_20160302_155919_641_1081.jpg,0.65544367,0.124724366,0.219832
khanhha_original::CRACK500_20160306_103613_1_721.jpg,0.31539196,0.11286293,0.5717451
khanhha_original::CRACK500_20160306_103638_1921_1081.jpg,0.462645,0.11780782,0.4195472
khanhha_original::CRACK500_20160306_103638_1_361.jpg,0.3453596,0.24187909,0.41276133
khanhha_original::CRACK500_20160306_103816_1_721.jpg,0.11272141,0.028371595,0.858907
khanhha_original::CRACK500_20160306_104527_1921_721.jpg,0.046859547,0.5335458,0.41959465
khanhha_original::CRACK500_20160306_104527_641_361.jpg,0.16812085,0.73318493,0.09869422
khanhha_original::CRACK500_20160307_144202_1281_361.jpg,0.14150819,0.44215503,0.41633677
khanhha_original::CRACK500_20160307_144202_1281_721.jpg,0.54875916,0.10493065,0.34631026
khanhha_original::CRACK500_20160307_144842_1281_1.jpg,0.13581213,0.16611023,0.6980776
khanhha_original::CRACK500_20160307_144842_1281_1081.jpg,0.045635853,0.7317331,0.22263102
khanhha_original::CRACK500_20160307_145059_1921_361.jpg,0.02108445,0.43759185,0.5413237
khanhha_original::CRACK500_20160307_163627_641_721.jpg,0.13898839,0.24669494,0.6143167
khanhha_original::CRACK500_20160307_163641_1921_361.jpg,0.11652431,0.044865523,0.8386101
khanhha_original::CRACK500_20160307_164400_641_1.jpg,0.034440853,0.48941988,0.47613925
khanhha_original::CRACK500_20160308_072824_641_1.jpg,0.082402475,0.6573048,0.26029268
khanhha_original::CRACK500_20160308_074330_1921_721.jpg,0.6914136,0.20083395,0.10775245
khanhha_original::CRACK500_20160308_155737_1281_1.jpg,0.09717523,0.6175991,0.2852257
khanhha_original::CRACK500_20160308_155737_1281_361.jpg,0.3599322,0.4787531,0.16131473
khanhha_original::CRACK500_20160308_155737_1281_721.jpg,0.1812158,0.46494323,0.35384098
khanhha_original::CRACK500_20160308_155737_1921_1.jpg,0.1959062,0.26946646,0.5346274
khanhha_original::CRACK500_20160308_155737_1_1081.jpg,0.0369859,0.6908031,0.27221096
khanhha_original::CRACK500_20160308_155737_641_721.jpg,0.22870487,0.43961552,0.33167964
khanhha_original::CRACK500_20160308_155828_1281_721.jpg,0.20604661,0.72919154,0.064761825
khanhha_original::CRACK500_20160308_155836_1921_361.jpg,0.09313689,0.15806991,0.74879324
khanhha_original::CRACK500_20160308_155836_1921_721.jpg,0.14083998,0.31583363,0.54332644
khanhha_original::CRACK500_20160310_114446_641_1081.jpg,0.23937567,0.4448681,0.31575623
khanhha_original::CRACK500_20160316_142009_1281_361.jpg,0.051794138,0.916856,0.031349834
khanhha_original::CRACK500_20160316_142009_1281_721.jpg,0.08720834,0.86526674,0.047524948
khanhha_original::CRACK500_20160316_142027_1281_721.jpg,0.39865986,0.47876477,0.12257534
khanhha_original::CRACK500_20160316_143433_641_361.jpg,0.33701077,0.3118879,0.35110134
khanhha_original::CRACK500_20160316_144230_641_1.jpg,0.3959573,0.2258935,0.3781492
khanhha_original::CRACK500_20160316_183217_1281_1.jpg,0.30083025,0.40089005,0.29827967
khanhha_original::CRACK500_20160321_185637_1_1081.jpg,0.14404318,0.47744873,0.3785081
khanhha_original::CRACK500_20160324_170309_641_1.jpg,0.10885558,0.5721591,0.3189853
khanhha_original::CRACK500_20160324_170309_641_361.jpg,0.22983156,0.45130363,0.31886488
khanhha_original::CRACK500_20160324_170309_641_721.jpg,0.2613246,0.4356005,0.30307487
khanhha_original::CRACK500_20160324_170542_1_721.jpg,0.5094966,0.08205818,0.40844524
khanhha_original::CRACK500_20160326_142309_1281_721.jpg,0.19886725,0.18034412,0.62078863
khanhha_original::CRACK500_20160328_150820_641_361.jpg,0.057389475,0.2521455,0.6904651
khanhha_original::CRACK500_20160328_150940_1281_361.jpg,0.1971786,0.6334532,0.16936824
khanhha_original::CRACK500_20160328_150940_1_1081.jpg,0.26357695,0.1954299,0.5409931
khanhha_original::CRACK500_20160328_150940_641_1081.jpg,0.21893077,0.5491254,0.2319438
khanhha_original::CRACK500_20160328_150940_641_361.jpg,0.54635334,0.2289742,0.22467242
khanhha_original::CRACK500_20160328_151056_1_361.jpg,0.05251089,0.8976023,0.04988682
khanhha_original::CRACK500_20160328_151056_641_1081.jpg,0.052169863,0.9073197,0.04051037
khanhha_original::CRACK500_20160328_151151_1921_721.jpg,0.2595241,0.6801783,0.060297605
khanhha_original::CRACK500_20160328_151151_1_1.jpg,0.22468509,0.6355553,0.13975956
khanhha_original::CRACK500_20160328_151151_641_1081.jpg,0.24758808,0.43155086,0.3208611
khanhha_original::CRACK500_20160328_151151_641_361.jpg,0.22651921,0.70454395,0.068936825
khanhha_original::CRACK500_20160328_151241_1_1.jpg,0.29019937,0.39157376,0.31822693
khanhha_original::CRACK500_20160328_151241_641_721.jpg,0.15051627,0.8110503,0.03843341
khanhha_original::CRACK500_20160328_151244_1921_1081.jpg,0.06306194,0.62602866,0.31090945
khanhha_original::CRACK500_20160328_151244_641_721.jpg,0.16762076,0.67435783,0.15802145
khanhha_original::CRACK500_20160328_151343_1281_1.jpg,0.36647442,0.4314594,0.20206621
khanhha_original::CRACK500_20160328_151343_641_721.jpg,0.3438017,0.60226583,0.053932518
khanhha_original::CRACK500_20160328_153241_1281_721.jpg,0.012735973,0.9619885,0.025275525
khanhha_original::CRACK500_20160328_153404_641_721.jpg,0.014348445,0.9354248,0.050226737
khanhha_original::CRACK500_20160328_153544_1_1081.jpg,0.13330762,0.29992062,0.5667718
khanhha_original::CRACK500_20160328_153544_1_721.jpg,0.06036322,0.67413086,0.26550588
khanhha_original::CRACK500_20160328_153548_1281_721.jpg,0.27992055,0.45744878,0.26263067
khanhha_original::CRACK500_20160328_153548_1921_721.jpg,0.21274146,0.584073,0.20318554
khanhha_original::CRACK500_20160328_153623_1_721.jpg,0.17069331,0.3327821,0.49652457
khanhha_original::CRACK500_20160328_153657_1921_1081.jpg,0.066526346,0.69431436,0.2391593
khanhha_original::CRACK500_20160328_153821_1_1.jpg,0.06654019,0.8231857,0.110274136
khanhha_original::CRACK500_20160328_153848_1921_1.jpg,0.0967927,0.5580809,0.34512645
khanhha_original::CRACK500_20160328_153918_1_361.jpg,0.09802753,0.86145,0.04052252
khanhha_original::CRACK500_20160328_153918_1_721.jpg,0.07560792,0.7464868,0.17790528
khanhha_original::CRACK500_20160328_154318_1281_361.jpg,0.21777661,0.46346614,0.3187573
khanhha_original::CRACK500_20160328_154318_641_1.jpg,0.21296167,0.5331583,0.25388
khanhha_original::CRACK500_20160328_154318_641_721.jpg,0.38287538,0.23733248,0.3797921
khanhha_original::CRACK500_20160329_094025_1921_361.jpg,0.3779865,0.30842143,0.31359208
khanhha_original::CRACK500_20160329_094025_1_721.jpg,0.38247314,0.54669887,0.07082797
khanhha_original::CRACK500_20160329_094527_1_361.jpg,0.04555176,0.3847225,0.56972575
khanhha_original::CRACK500_20160329_103626_1281_721.jpg,0.06869535,0.5963756,0.33492902
khanhha_original::CRACK500_20160329_103626_641_721.jpg,0.054904226,0.7677426,0.17735319
khanhha_original::CRACK500_20160329_103800_361_641.jpg,0.15698087,0.22343425,0.61958486
khanhha_original::CRACK500_20160329_103807_721_1281.jpg,0.035993516,0.25170922,0.71229726
khanhha_original::CRACK500_20160330_163725_1921_361.jpg,0.19598968,0.06396806,0.7400422
khanhha_original::CRACK500_20160330_163725_641_1081.jpg,0.12594931,0.44135368,0.4326971
khanhha_original::CRACK500_20160330_165644_641_1081.jpg,0.17020553,0.5360317,0.29376277
khanhha_original::CRACK500_20160330_170114_1281_361.jpg,0.16746593,0.4407747,0.39175934
khanhha_original::CRACK500_20160330_170114_641_721.jpg,0.36500013,0.026974509,0.6080254
khanhha_original::CRACK500_20160402_151049_641_721.jpg,0.020584615,0.9755152,0.0039002502
khanhha_original::CRACK500_20160402_151054_1281_361.jpg,0.15878578,0.63310343,0.20811084
khanhha_original::CRACK500_20160402_151054_641_721.jpg,0.08382242,0.8937698,0.02240774
khanhha_original::CRACK500_20160405_171431_641_1.jpg,0.21972701,0.28177994,0.49849305
khanhha_original::CRACK500_20160405_171431_641_361.jpg,0.061497834,0.58199257,0.3565096
khanhha_original::CRACK500_20160405_171712_1281_1.jpg,0.1961488,0.26216844,0.5416828
khanhha_original::CRACK500_20160405_171712_1281_361.jpg,0.6190158,0.26279706,0.11818712
khanhha_original::CRACK500_20160405_171712_1921_1.jpg,0.13323621,0.1575743,0.7091895
khanhha_original::CRACK500_20160407_163257_1281_721.jpg,0.22326088,0.40422812,0.3725111
khanhha_original::CRACK500_20160407_163257_641_361.jpg,0.070742,0.8197995,0.10945856
