image_id,p_degraded,p_neutral,p_improved
khanhha_original::CFD_037.jpg,0.24318655,0.09250074,0.6643128
khanhha_original::CFD_070.jpg,0.1354795,0.565415,0.2991055
khanhha_original::CFD_108.jpg,0.23723789,0.38581958,0.3769426
khanhha_original::CRACK500_20160222_081102_1921_721.jpg,0.20476687,0.45049724,0.3447359
khanhha_original::CRACK500_20160222_081102_1_721.jpg,0.18941094,0.49258164,0.31800747
khanhha_original::CRACK500_20160222_114759_1921_361.jpg,0.13974409,0.5544811,0.30577478
khanhha_original::CRACK500_20160222_114759_1921_721.jpg,0.065075606,0.73330444,0.20161994
khanhha_original::CRACK500_20160222_114759_641_361.jpg,0.2634969,0.4469391,0.28956404
khanhha_original::CRACK500_20160222_115224_1281_1081.jpg,0.1954745,0.6315534,0.17297213
khanhha_original::CRACK500_20160222_115224_1281_361.jpg,0.10834071,0.71236414,0.17929514
khanhha_original::CRACK500_20160222_164141_1281_1.jpg,0.066296674,0.3889356,0.54476774
khanhha_original::CRACK500_20160222_164141_1921_721.jpg,0.17555127,0.5097752,0.31467357
khanhha_original::CRACK500_20160222_164141_1_1081.jpg,0.11369205,0.5480662,0.33824182
khanhha_original::CRACK500_20160222_165225_1281_721.jpg,0.10408046,0.7891703,0.10674928
khanhha_original::CRACK500_20160222_165715_1921_721.jpg,0.31086957,0.40359193,0.28553843
khanhha_original::CRACK500_20160225_114535_1281_1081.jpg,0.19385861,0.60346735,0.20267408
khanhha_original::CRACK500_20160225_114535_1921_1081.jpg,0.31749627,0.4077864,0.27471733
khanhha_original::CRACK500_20160225_114535_1_1.jpg,0.40185207,0.29060695,0.30754098
khanhha_original::CRACK500_20160302_155925_1281_361.jpg,0.26004818,0.41957462,0.32037723
khanhha_original::CRACK500_20160302_155925_641_361.jpg,0.3926154,0.283348,0.3240367
khanhha_original::CRACK500_20160303_092839_1281_361.jpg,0.2090769,0.6106768,0.18024634
khanhha_original::CRACK500_20160303_092839_1281_721.jpg,0.14258116,0.7939629,0.06345593
khanhha_original::CRACK500_20160303_092839_641_721.jpg,0.22129267,0.7427183,0.03598907
khanhha_original::CRACK500_20160303_093353_1921_361.jpg,0.08558024,0.7123472,0.20207247
khanhha_original::CRACK500_20160303_093353_1921_721.jpg,0.11025182,0.6005222,0.2892259
khanhha_original::CRACK500_20160306_103903_1281_361.jpg,0.13386858,0.44662613,0.4195053
khanhha_original::CRACK500_20160306_103903_641_361.jpg,0.15328407,0.60835063,0.23836526
khanhha_original::CRACK500_20160306_104522_1921_361.jpg,0.18524317,0.48960882,0.32514802
khanhha_original::CRACK500_20160306_104522_1921_721.jpg,0.17469151,0.58726335,0.23804516
khanhha_original::CRACK500_20160306_104522_641_721.jpg,0.042822953,0.83712107,0.120055944
khanhha_original::CRACK500_20160307_144115_1281_1.jpg,0.1576886,0.5742905,0.26802087
khanhha_original::CRACK500_20160307_144916_1281_361.jpg,0.19283396,0.5289886,0.27817744
khanhha_original::CRACK500_20160307_144916_1921_721.jpg,0.08680806,0.6580327,0.25515926
khanhha_original::CRACK500_20160307_145107_1281_721.jpg,0.064108625,0.8470908,0.08880051
khanhha_original::CRACK500_20160307_145107_1_1.jpg,0.1559384,0.74444294,0.09961866
khanhha_original::CRACK500_20160307_162438_1921_1081.jpg,0.072211474,0.74571157,0.182077
khanhha_original::CRACK500_20160307_162438_1921_721.jpg,0.083698556,0.5974798,0.31882173
khanhha_original::CRACK500_20160308_072951_641_721.jpg,0.06271489,0.63344586,0.30383924
khanhha_original::CRACK500_20160308_073356_1281_1081.jpg,0.19433305,0.5731946,0.2324723
khanhha_original::CRACK500_20160308_073356_641_1.jpg,0.17499982,0.6302639,0.19473626
khanhha_original::CRACK500_20160308_073736_1281_361.jpg,0.056028925,0.6454717,0.2984994
khanhha_original::CRACK500_20160308_073736_641_721.jpg,0.14077552,0.44134846,0.41787603
khanhha_original::CRACK500_20160310_114505_641_361.jpg,0.19612432,0.5374672,0.26640844
khanhha_original::CRACK500_20160310_114658_641_721.jpg,0.30895662,0.39700618,0.29403722
khanhha_original::CRACK500_20160316_143445_1281_361.jpg,0.07540501,0.76548404,0.15911095
khanhha_original::CRACK500_20160316_144203_1281_721.jpg,0.113527715,0.8440304,0.042441875
khanhha_original::CRACK500_20160316_144431_641_1081.jpg,0.07189271,0.8746631,0.05344414
khanhha_original::CRACK500_20160321_185534_1281_721.jpg,0.03209562,0.77523583,0.19266856
khanhha_original::CRACK500_20160324_165857_1281_361.jpg,0.15606304,0.7711251,0.07281186
khanhha_original::CRACK500_20160324_165857_641_361.jpg,0.06857077,0.8318176,0.09961159
khanhha_original::CRACK500_20160326_150104_1921_361.jpg,0.30472758,0.21831268,0.47695976
khanhha_original::CRACK500_20160326_150104_1_361.jpg,0.39699396,0.29697725,0.3060287
khanhha_original::CRACK500_20160326_162532_1921_361.jpg,0.27889287,0.40124366,0.31986347
khanhha_original::CRACK500_20160326_162532_1_721.jpg,0.23693936,0.40745413,0.35560647
khanhha_original::CRACK500_20160328_151355_1281_361.jpg,0.03835713,0.9329859,0.028657017
khanhha_original::CRACK500_20160328_151355_641_721.jpg,0.12408986,0.83427113,0.041639052
khanhha_original::CRACK500_20160328_151504_1_361.jpg,0.17227364,0.6077996,0.21992679
khanhha_original::CRACK500_20160328_152022_1921_1.jpg,0.118111305,0.5860211,0.2958675
khanhha_original::CRACK500_20160328_152022_641_721.jpg,0.037671335,0.83250546,0.12982321
khanhha_original::CRACK500_20160328_152328_1281_361.jpg,0.014520403,0.9187117,0.06676786
khanhha_original::CRACK500_20160328_152328_1921_361.jpg,0.07246844,0.74073726,0.18679439
khanhha_original::CRACK500_20160328_152328_641_361.jpg,0.10891815,0.6531047,0.23797701
khanhha_original::CRACK500_20160328_153357_1281_361.jpg,0.08358339,0.7901022,0.12631442
khanhha_original::CRACK500_20160328_153357_641_1.jpg,0.121364325,0.73626,0.1423757
khanhha_original::CRACK500_20160328_153536_1281_1081.jpg,0.15904883,0.55049485,0.29045635
khanhha_original::CRACK500_20160328_153536_1_1081.jpg,0.17349078,0.47087464,0.35563457
khanhha_original::CRACK500_20160328_153536_641_1081.jpg,0.10805833,0.6428698,0.24907184
khanhha_original::CRACK500_20160328_153553_1281_721.jpg,0.034237888,0.8767871,0.08897503
khanhha_original::CRACK500_20160328_153559_1281_361.jpg,0.12202685,0.64926624,0.22870685
khanhha_original::CRACK500_20160328_153559_1_361.jpg,0.019142864,0.9241325,0.056724656
khanhha_original::CRACK500_20160328_153629_1921_361.jpg,0.022747414,0.855154,0.122098595
khanhha_original::CRACK500_20160328_153845_1281_721.jpg,0.09290172,0.7461155,0.16098273
