image_id,p_degraded,p_neutral,p_improved
khanhha_original::CFD_037.jpg,0.26887494,0.13850647,0.59261864
khanhha_original::CFD_070.jpg,0.3021518,0.38528034,0.31256786
khanhha_original::CFD_108.jpg,0.19031195,0.14755888,0.6621291
khanhha_original::CRACK500_20160222_081102_1921_721.jpg,0.15440892,0.27072132,0.57486975
khanhha_original::CRACK500_20160222_081102_1_721.jpg,0.2278322,0.55613536,0.21603252
khanhha_original::CRACK500_20160222_114759_1921_361.jpg,0.22631723,0.3929808,0.3807019
khanhha_original::CRACK500_20160222_114759_1921_721.jpg,0.19802518,0.4811146,0.3208602
khanhha_original::CRACK500_20160222_114759_641_361.jpg,0.6330284,0.22100937,0.14596225
khanhha_original::CRACK500_20160222_115224_1281_1081.jpg,0.42590708,0.35273942,0.22135343
khanhha_original::CRACK500_20160222_115224_1281_361.jpg,0.44878772,0.07868773,0.47252446
khanhha_original::CRACK500_20160222_164141_1281_1.jpg,0.16703442,0.24466376,0.58830184
khanhha_original::CRACK500_20160222_164141_1921_721.jpg,0.31321388,0.17821337,0.5085727
khanhha_original::CRACK500_20160222_164141_1_1081.jpg,0.07713167,0.16999781,0.7528705
khanhha_original::CRACK500_20160222_165225_1281_721.jpg,0.20123789,0.4561698,0.34259233
khanhha_original::CRACK500_20160222_165715_1921_721.jpg,0.18033057,0.25647798,0.5631914
khanhha_original::CRACK500_20160225_114535_1281_1081.jpg,0.15977655,0.76701283,0.073210545
khanhha_original::CRACK500_20160225_114535_1921_1081.jpg,0.28559574,0.6014104,0.11299389
khanhha_original::CRACK500_20160225_114535_1_1.jpg,0.25877088,0.59996367,0.1412655
khanhha_original::CRACK500_20160302_155925_1281_361.jpg,0.48979047,0.23383482,0.27637467
khanhha_original::CRACK500_20160302_155925_641_361.jpg,0.37727645,0.29457963,0.3281439
khanhha_original::CRACK500_20160303_092839_1281_361.jpg,0.18714678,0.48580214,0.3270511
khanhha_original::CRACK500_20160303_092839_1281_721.jpg,0.2151238,0.40481848,0.38005775
khanhha_original::CRACK500_20160303_092839_641_721.jpg,0.31074786,0.5906558,0.09859633
khanhha_original::CRACK500_20160303_093353_1921_361.jpg,0.28922284,0.37437674,0.33640042
khanhha_original::CRACK500_20160303_093353_1921_721.jpg,0.26832926,0.28658774,0.445083
khanhha_original::CRACK500_20160306_103903_1281_361.jpg,0.110741705,0.50102645,0.3882318
khanhha_original::CRACK500_20160306_103903_641_361.jpg,0.21468881,0.68368006,0.10163111
khanhha_original::CRACK500_20160306_104522_1921_361.jpg,0.088425055,0.37991443,0.5316605
khanhha_original::CRACK500_20160306_104522_1921_721.jpg,0.10137535,0.39401475,0.5046099
khanhha_original::CRACK500_20160306_104522_641_721.jpg,0.041576106,0.8183186,0.14010523
khanhha_original::CRACK500_20160307_144115_1281_1.jpg,0.3324889,0.6056064,0.06190472
khanhha_original::CRACK500_20160307_144916_1281_361.jpg,0.18441574,0.516299,0.29928532
khanhha_original::CRACK500_20160307_144916_1921_721.jpg,0.1644635,0.4119416,0.42359483
khanhha_original::CRACK500_20160307_145107_1281_721.jpg,0.181374,0.58382094,0.23480509
khanhha_original::CRACK500_20160307_145107_1_1.jpg,0.2623736,0.47015125,0.2674751
khanhha_original::CRACK500_20160307_162438_1921_1081.jpg,0.17233348,0.46454155,0.36312497
khanhha_original::CRACK500_20160307_162438_1921_721.jpg,0.19962478,0.4701247,0.3302505
khanhha_original::CRACK500_20160308_072951_641_721.jpg,0.059247702,0.67119676,0.26955554
khanhha_original::CRACK500_20160308_073356_1281_1081.jpg,0.12792632,0.79855204,0.07352163
khanhha_original::CRACK500_20160308_073356_641_1.jpg,0.15684679,0.7724279,0.070725374
khanhha_original::CRACK500_20160308_073736_1281_361.jpg,0.1817649,0.6702547,0.14798044
khanhha_original::CRACK500_20160308_073736_641_721.jpg,0.18165447,0.57712245,0.24122305
khanhha_original::CRACK500_20160310_114505_641_361.jpg,0.3262423,0.47566196,0.1980957
khanhha_original::CRACK500_20160310_114658_641_721.jpg,0.2846323,0.61047655,0.10489117
khanhha_original::CRACK500_20160316_143445_1281_361.jpg,0.10122716,0.4848988,0.41387403
khanhha_original::CRACK500_20160316_144203_1281_721.jpg,0.14596711,0.7162149,0.13781795
khanhha_original::CRACK500_20160316_144431_641_1081.jpg,0.13872209,0.6927219,0.16855597
khanhha_original::CRACK500_20160321_185534_1281_721.jpg,0.027771242,0.82287157,0.14935714
khanhha_original::CRACK500_20160324_165857_1281_361.jpg,0.29838395,0.23176025,0.4698558
khanhha_original::CRACK500_20160324_165857_641_361.jpg,0.102252245,0.5132201,0.3845277
khanhha_original::CRACK500_20160326_150104_1921_361.jpg,0.08768992,0.21327575,0.69903433
khanhha_original::CRACK500_20160326_150104_1_361.jpg,0.21392263,0.16960885,0.6164685
khanhha_original::CRACK500_20160326_162532_1921_361.jpg,0.17989081,0.21255004,0.60755914
khanhha_original::CRACK500_20160326_162532_1_721.jpg,0.30379114,0.36547548,0.33073342
khanhha_original::CRACK500_20160328_151355_1281_361.jpg,0.041581694,0.9367873,0.02163095
khanhha_original::CRACK500_20160328_151355_641_721.jpg,0.118273385,0.74653655,0.13519002
khanhha_original::CRACK500_20160328_151504_1_361.jpg,0.17246944,0.75011754,0.077412955
khanhha_original::CRACK500_20160328_152022_1921_1.jpg,0.15071885,0.756335,0.09294612
khanhha_original::CRACK500_20160328_152022_641_721.jpg,0.08134905,0.856601,0.062049985
khanhha_original::CRACK500_20160328_152328_1281_361.jpg,0.03357901,0.9210511,0.045369923
khanhha_original::CRACK500_20160328_152328_1921_361.jpg,0.14435618,0.66904837,0.18659544
khanhha_original::CRACK500_20160328_152328_641_361.jpg,0.08540516,0.6935018,0.22109304
khanhha_original::CRACK500_20160328_153357_1281_361.jpg,0.29096985,0.5861884,0.12284179
khanhha_original::CRACK500_20160328_153357_641_1.jpg,0.26174495,0.630397,0.10785806
khanhha_original::CRACK500_20160328_153536_1281_1081.jpg,0.056615278,0.59587026,0.34751445
khanhha_original::CRACK500_20160328_153536_1_1081.jpg,0.077815756,0.48496437,0.43721992
khanhha_original::CRACK500_20160328_153536_641_1081.jpg,0.14634444,0.55560493,0.29805064
khanhha_original::CRACK500_20160328_153553_1281_721.jpg,0.05327772,0.80050683,0.1462154
khanhha_original::CRACK500_20160328_153559_1281_361.jpg,0.15241337,0.71918446,0.12840216
khanhha_original::CRACK500_20160328_153559_1_361.jpg,0.023635114,0.96467084,0.011694039
khanhha_original::CRACK500_20160328_153629_1921_361.jpg,0.061433636,0.839778,0.098788366
khanhha_original::CRACK500_20160328_153845_1281_721.jpg,0.19866645,0.51121956,0.29011402
khanhha_original::CRACK500_20160328_153845_1_361.jpg,0.25068024,0.4926536,0.2566662
khanhha_original::CRACK500_20160328_153845_641_721.jpg,0.06529251,0.86057025,0.074137226
khanhha_original::CRACK500_20160328_154356_1921_721.jpg,0.122061215,0.26313078,0.614808
khanhha_original::CRACK500_20160328_154535_1281_721.jpg,0.06030324,0.77884847,0.1608482
khanhha_original::CRACK500_20160328_154535_641_721.jpg,0.062341254,0.51986384,0.4177949
khanhha_original::CRACK500_20160329_094010_1281_361.jpg,0.10106549,0.7247331,0.17420147
khanhha_original::CRACK500_20160329_094010_1_361.jpg,0.08586182,0.76852256,0.14561571
khanhha_original::CRACK500_20160329_094010_641_721.jpg,0.089269124,0.7219947,0.1887362
khanhha_original::CRACK500_20160329_094459_1281_1.jpg,0.10645877,0.46382695,0.42971426
khanhha_original::CRACK500_20160329_094459_641_361.jpg,0.08409761,0.2572937,0.6586087
khanhha_original::CRACK500_20160329_101342_1281_721.jpg,0.12505692,0.588913,0.28603
khanhha_original::CRACK500_20160329_101342_641_721.jpg,0.11580935,0.3423103,0.54188037
khanhha_original::CRACK500_20160329_101511_1921_361.jpg,0.21927686,0.25903025,0.5216929
khanhha_original::CRACK500_20160329_104035_1921_721.jpg,0.038779385,0.79133713,0.16988346
khanhha_original::CRACK500_20160329_104035_641_1.jpg,0.08717404,0.67810845,0.23471749
khanhha_original::CRACK500_20160329_104111_1281_721.jpg,0.08938646,0.5525416,0.3580719
khanhha_original::CRACK500_20160329_104117_1281_361.jpg,0.067137025,0.52081174,0.41205126
khanhha_original::CRACK500_20160329_104117_1921_361.jpg,0.13583629,0.55193883,0.3122249
khanhha_original::CRACK500_20160329_111111_1921_361.jpg,0.063555315,0.20585103,0.7305936
khanhha_original::CRACK500_20160330_170302_1_721.jpg,0.12569335,0.051332556,0.8229741
khanhha_original::CRACK500_20160330_170848_641_361.jpg,0.1414409,0.27761152,0.5809476
khanhha_original::CRACK500_20160402_150314_641_361.jpg,0.13228887,0.77404976,0.09366137
khanhha_original::CRACK500_20160402_151837_1921_721.jpg,0.18776466,0.73011273,0.08212264
khanhha_original::CRACK500_20160405_171336_641_361.jpg,0.47262698,0.15446241,0.3729106
khanhha_original::CRACK500_20160405_171723_1281_361.jpg,0.3413821,0.35778666,0.30083126
khanhha_original::CRACK500_20160407_163125_1_721.jpg,0.06249503,0.501684,0.43582097
khanhha_original::CRACK500_IMG_2931_1297_485.jpg,0.9105474,0.03879017,0.050662432
khanhha_original::CRACK500_IMG_2931_1297_969.jpg,0.6926196,0.1407218,0.16665857
khanhha_original::CRACK500_IMG_2931_1945_485.jpg,0.58595175,0.2620287,0.15201953
khanhha_original::CRACK500_IMG_2931_1945_969.jpg,0.6780428,0.13883948,0.18311767
khanhha_original::CRACK500_IMG_2931_1_485.jpg,0.3199403,0.6352753,0.044784453
khanhha_original::CRACK500_IMG_2934_649_969.jpg,0.73388004,0.20078689,0.065333046
khanhha_original::CRACK500_IMG_2942_649_485.jpg,0.15143894,0.55532587,0.2932352
khanhha_original::DeepCrack_11123.jpg,0.6484304,0.15667836,0.19489127
khanhha_original::DeepCrack_11156-1.jpg,0.2829389,0.17969917,0.5373619
khanhha_original::DeepCrack_11163-1.jpg,0.030567236,0.46723574,0.50219697
khanhha_original::DeepCrack_11188-2.jpg,0.090871684,0.34934804,0.55978024
khanhha_original::DeepCrack_11188.jpg,0.09188254,0.31988817,0.5882293
khanhha_original::DeepCrack_11231-3.jpg,0.13032068,0.22237244,0.6473069
khanhha_original::DeepCrack_11231-4.jpg,0.050049778,0.17644535,0.7735049
khanhha_original::DeepCrack_11289-9.jpg,0.65109444,0.22751495,0.12139067
khanhha_original::DeepCrack_IMG25-6.jpg,0.21078081,0.37365565,0.41556358
khanhha_original::DeepCrack_IMG27-3.jpg,0.06607921,0.008745667,0.92517513
khanhha_original::DeepCrack_IMG27-7.jpg,0.4503662,0.013383987,0.5362498
khanhha_original::DeepCrack_IMG27-8.jpg,0.26507524,0.023647739,0.71127707
khanhha_original::DeepCrack_IMG27-9.jpg,0.17717126,0.027993793,0.7948349
khanhha_original::DeepCrack_IMG36-2.jpg,0.2377048,0.5924934,0.16980179
khanhha_original::DeepCrack_IMG_6472-1.jpg,0.20019415,0.25023612,0.5495697
khanhha_original::DeepCrack_IMG_6516-1.jpg,0.1969947,0.09534228,0.70766306
khanhha_original::DeepCrack_IMG_6522-1.jpg,0.123000756,0.082913205,0.79408604
khanhha_original::DeepCrack_IMG_6537-1.jpg,0.29351795,0.58100146,0.12548058
khanhha_original::Eugen_Muller_4470_327_315_563_732.jpg,0.3513507,0.1343008,0.51434845
khanhha_original::GAPS384_test_0042_541_1.jpg,0.376435,0.3157093,0.30785567
khanhha_original::GAPS384_train_0455_541_1.jpg,0.5280673,0.07688224,0.3950505
khanhha_original::GAPS384_train_0514_541_1.jpg,0.2305102,0.1466647,0.6228251
khanhha_original::GAPS384_train_0664_1_1.jpg,0.37354448,0.3323996,0.2940559
khanhha_original::GAPS384_train_0664_541_641.jpg,0.5849406,0.1710084,0.244051
khanhha_original::GAPS384_train_0698_1_641.jpg,0.15746498,0.11821243,0.72432256
khanhha_original::GAPS384_train_0809_541_1.jpg,0.50661355,0.17483419,0.31855226
khanhha_original::GAPS384_train_1015_1_641.jpg,0.17061105,0.24076016,0.5886288
khanhha_original::GAPS384_train_1218_541_1.jpg,0.42389396,0.13442074,0.4416853
khanhha_original::GAPS384_train_1238_1_1.jpg,0.45880243,0.16506572,0.3761318
khanhha_original::GAPS384_train_1281_541_1.jpg,0.4158699,0.079533115,0.504597
