representation,model,evaluation,held_out_domain,train_balanced_accuracy,n,balanced_accuracy,macro_f1,accuracy,chance_balanced_accuracy,recall_degraded,auroc_degraded,recall_neutral,auroc_neutral,recall_improved,auroc_improved,macro_auroc_ovr,frangi_activation_rate,hard_gate_mean_delta_iou,always_frangi_mean_delta_iou,oracle_positive_mean_delta_iou
mean,fixed_logistic,leave_domain_out,concrete3k,0.6152984742603641,3000,0.33679208244425635,0.30654851512972114,0.3253333333333333,0.3333333333333333,0.2203742203742204,0.47402983241133534,0.5763656633221851,0.5729909652876843,0.21363636363636362,0.45966070966070965,0.5022271691199097,0.237,-0.004505473052155449,-0.009691222538392056,0.017186109663734156
mean,fixed_logistic,leave_domain_out,facade390,0.5817125573205523,390,0.39974323062558353,0.27737918490251706,0.28974358974358977,0.3333333333333333,0.09803921568627451,0.5366856419987349,0.6428571428571429,0.6286945812807881,0.4583333333333333,0.5631210478771455,0.5761670903855562,0.39487179487179486,0.00038820643490544677,-0.016428867438774194,0.040762498642981836
mean,fixed_logistic,leave_domain_out,khanhha,0.6060480016600023,5085,0.34259190672621576,0.33752940728293074,0.3626352015732547,0.3333333333333333,0.2480889506601807,0.5372596011812616,0.43548387096774194,0.5135368746467138,0.3442028985507246,0.4633204505822949,0.5047056421367567,0.3697148475909538,-0.004930278252073136,-0.009132674407740448,0.013764900764687657
mean,fixed_logistic,leave_domain_out,road420,0.5836405426702959,420,0.3625398647786708,0.2271375587336546,0.2261904761904762,0.3333333333333333,0.19402985074626866,0.5269769872100684,0.7435897435897436,0.5959351234941787,0.15,0.5100694444444444,0.5443271850495638,0.14761904761904762,-0.006660085607134599,-0.013545974006050579,0.0555026401212655
mean,fixed_logistic,grouped_cv,all,0.5869953566234271,8895,0.5363197222302579,0.5333708590707392,0.5441259134345138,0.3333333333333333,0.5616063279586249,0.7224176846323671,0.5636363636363636,0.755033932346723,0.4837164750957854,0.6900080180026533,0.7224865449939145,0.29454749859471613,0.003673054077877746,-0.009849340569106186,0.018073224586996478
mean,tuned_logistic,leave_domain_out,concrete3k,0.5987400838035927,3000,0.3335925922882444,0.31803707068723114,0.332,0.3333333333333333,0.2806652806652807,0.4787802475663748,0.4882943143812709,0.5614000490884445,0.2318181818181818,0.46466847966847963,0.5016162587744329,0.268,-0.004790650256955722,-0.009691222538392056,0.017186109663734156
mean,tuned_logistic,leave_domain_out,facade390,0.5708323867314987,390,0.41170634920634924,0.27166245310990056,0.28205128205128205,0.3333333333333333,0.08333333333333333,0.5807769344296858,0.7142857142857143,0.6570197044334976,0.4375,0.5436427280939476,0.5938131223190437,0.36666666666666664,0.0006436704375504867,-0.016428867438774194,0.040762498642981836
mean,tuned_logistic,leave_domain_out,khanhha,0.5611758766778968,5085,0.32856069995882664,0.3129348324955356,0.31622418879056047,0.3333333333333333,0.35441278665740095,0.5378157715272041,0.2789142407553108,0.5416033059078578,0.3523550724637681,0.4543123086472338,0.5112437953607653,0.4121927236971485,-0.005604293128235083,-0.009132674407740448,0.013764900764687657
mean,tuned_logistic,leave_domain_out,road420,0.5852385093609503,420,0.3731109410213888,0.22056605289424044,0.22380952380952382,0.3333333333333333,0.21890547263681592,0.5329971148822099,0.7948717948717948,0.612961841308298,0.10555555555555556,0.48375000000000007,0.5432363187301693,0.1261904761904762,-0.007970869918112904,-0.013545974006050579,0.0555026401212655
mean,tuned_logistic,grouped_cv,all,0.5848950546578069,8895,0.5348765892757111,0.5316995696295245,0.5419898819561552,0.3333333333333333,0.5600851840584119,0.7194233258845745,0.5579545454545455,0.7533939482029598,0.48659003831417624,0.6885415452990414,0.7204529397955253,0.2957841483979764,0.003617608212301512,-0.009849340569106186,0.018073224586996478
mean,mlp8,leave_domain_out,concrete3k,0.6363087148003644,3000,0.33832029049420353,0.283321582508339,0.283,0.3333333333333333,0.14137214137214138,0.4641266433173947,0.2887402452619844,0.6005817457780491,0.5848484848484848,0.4498005698005698,0.5048363196320046,0.6383333333333333,-0.007621655573902606,-0.009691222538392056,0.017186109663734156
mean,mlp8,leave_domain_out,facade390,0.5921159731302645,390,0.4547930283224401,0.35770877024241204,0.3641025641025641,0.3333333333333333,0.22549019607843138,0.655044275774826,0.6666666666666666,0.6258894362342639,0.4722222222222222,0.6317468383017163,0.6375601834369354,0.34102564102564104,0.0033356489684099088,-0.016428867438774194,0.040762498642981836
