scope,cohort,model,n,balanced_accuracy,macro_f1,accuracy,chance_balanced_accuracy,recall_degraded,auroc_degraded,recall_neutral,auroc_neutral,recall_improved,auroc_improved,macro_auroc_ovr,frangi_activation_rate,hard_gate_mean_delta_iou,always_frangi_mean_delta_iou,oracle_positive_mean_delta_iou
all,all,always_neutral,8895,0.3333333333333333,0.18901866022284872,0.39572793704328274,0.3333333333333333,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.0,-0.009849340569106186,0.018073224586996478
all,all,fixed_logistic,8895,0.5363197222302579,0.5333708590707392,0.5441259134345138,0.3333333333333333,0.5616063279586249,0.7224176846323671,0.5636363636363636,0.755033932346723,0.4837164750957854,0.6900080180026533,0.7224865449939145,0.29454749859471613,0.003673054077877746,-0.009849340569106186,0.018073224586996478
all,all,tuned_logistic,8895,0.5348765892757111,0.5316995696295245,0.5419898819561552,0.3333333333333333,0.5600851840584119,0.7194233258845745,0.5579545454545455,0.7533939482029598,0.48659003831417624,0.6885415452990414,0.7204529397955253,0.2957841483979764,0.003617608212301512,-0.009849340569106186,0.018073224586996478
all,all,mlp32,8895,0.5382192772775646,0.5340320993341657,0.5430016863406408,0.3333333333333333,0.5552175235777305,0.7335103986785794,0.5536931818181818,0.7590128171247358,0.5057471264367817,0.7164991230573441,0.7363407796202197,0.30016863406408095,0.003932398794900364,-0.009849340569106186,0.018073224586996478
domain,concrete3k,always_neutral,3000,0.3333333333333333,0.15345137285091096,0.299,0.3333333333333333,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.0,-0.009691222538392056,0.017186109663734156
domain,concrete3k,fixed_logistic,3000,0.47032094423398774,0.4699542144034589,0.5213333333333333,0.3333333333333333,0.7082467082467082,0.6675225692566733,0.32998885172798215,0.6562441190612126,0.37272727272727274,0.6376903651903653,0.6538190178360836,0.221,0.0031387609604910396,-0.009691222538392056,0.017186109663734156
domain,concrete3k,tuned_logistic,3000,0.4640336749032401,0.4629739562939657,0.5176666666666667,0.3333333333333333,0.7144837144837145,0.6641078606396527,0.31549609810479373,0.6554182033311228,0.3621212121212121,0.6357899507899507,0.6517720049202421,0.21533333333333332,0.0031382605893203355,-0.009691222538392056,0.017186109663734156
domain,concrete3k,mlp32,3000,0.47944778162169466,0.4772515823991459,0.522,0.3333333333333333,0.6846846846846847,0.6992884391728322,0.34002229654403565,0.665954725186878,0.41363636363636364,0.6661771561771562,0.6771401068456222,0.245,0.003053200480368757,-0.009691222538392056,0.017186109663734156
domain,facade390,always_neutral,390,0.3333333333333333,0.06481481481481481,0.1076923076923077,0.3333333333333333,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.0,-0.016428867438774194,0.040762498642981836
domain,facade390,fixed_logistic,390,0.5156979458450047,0.5110360360360361,0.617948717948718,0.3333333333333333,0.6274509803921569,0.7769607843137255,0.19047619047619047,0.6657772304324029,0.7291666666666666,0.7531616982836495,0.731966571009926,0.49230769230769234,0.016276926544954214,-0.016428867438774194,0.040762498642981836
domain,facade390,tuned_logistic,390,0.5071584189231247,0.5042482901019486,0.6,0.3333333333333333,0.6127450980392157,0.7782258064516129,0.21428571428571427,0.6753557744937055,0.6944444444444444,0.7490684281842818,0.7342166697098667,0.49230769230769234,0.014218318331289554,-0.016428867438774194,0.040762498642981836
domain,facade390,mlp32,390,0.519277155306567,0.5167945906432748,0.617948717948718,0.3333333333333333,0.6421568627450981,0.772875816993464,0.21428571428571427,0.6163793103448276,0.7013888888888888,0.7709744805781391,0.7200765359721436,0.4512820512820513,0.013814779763868593,-0.016428867438774194,0.040762498642981836
domain,khanhha,always_neutral,5085,0.3333333333333333,0.22219308596652243,0.4999016715830875,0.3333333333333333,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.0,-0.009132674407740448,0.013764900764687657
domain,khanhha,fixed_logistic,5085,0.5128731505548215,0.5079638488886767,0.5470993117010816,0.3333333333333333,0.40375260597637247,0.7094034720430054,0.6593233674272226,0.7609997113379224,0.47554347826086957,0.6941893832661665,0.7215308555490315,0.3006882989183874,0.0019077778276363453,-0.009132674407740448,0.013764900764687657
domain,khanhha,tuned_logistic,5085,0.5144905048575148,0.5086626590947556,0.5470993117010816,0.3333333333333333,0.39958304378040305,0.7048973105218357,0.6565696302124312,0.7585278295922254,0.48731884057971014,0.6912207987942729,0.7182153129694447,0.3030481809242871,0.0020915256916804845,-0.009132674407740448,0.013764900764687657
domain,khanhha,mlp32,5085,0.5187000025367371,0.5120503489316596,0.5467059980334317,0.3333333333333333,0.4127866574009729,0.7168372471740714,0.6424075531077892,0.7637237469884626,0.5009057971014492,0.7216018615598004,0.7340542852407781,0.29950835791543756,0.0027424626911852815,-0.009132674407740448,0.013764900764687657
domain,road420,always_neutral,420,0.3333333333333333,0.056644880174291944,0.09285714285714286,0.3333333333333333,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.0,-0.013545974006050579,0.0555026401212655
domain,road420,fixed_logistic,420,0.4730492834970447,0.47069597069597063,0.6023809523809524,0.3333333333333333,0.572139303482587,0.7091937572411913,0.10256410256410256,0.600174978127734,0.7444444444444445,0.6878472222222222,0.6657386525303824,0.5619047619047619,0.017158289369491594,-0.013545974006050579,0.0555026401212655
domain,road420,tuned_logistic,420,0.4654696602457797,0.4591373586471626,0.6,0.3333333333333333,0.5472636815920398,0.7171221517980871,0.07692307692307693,0.5820714718352514,0.7722222222222223,0.7022222222222223,0.6671386152851869,0.6,0.015674502354911326,-0.013545974006050579,0.0555026401212655
domain,road420,mlp32,420,0.4417208827656589,0.4330886407499311,0.5785714285714286,0.3333333333333333,0.5572139303482587,0.7039460233081171,0.05128205128205128,0.6267581936873275,0.7166666666666667,0.6989583333333333,0.6765541834429261,0.5619047619047619,0.01544261654034895,-0.013545974006050579,0.0555026401212655
dataset,concrete3k,always_neutral,3000,0.3333333333333333,0.15345137285091096,0.299,0.3333333333333333,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.0,-0.009691222538392056,0.017186109663734156
dataset,concrete3k,fixed_logistic,3000,0.47032094423398774,0.4699542144034589,0.5213333333333333,0.3333333333333333,0.7082467082467082,0.6675225692566733,0.32998885172798215,0.6562441190612126,0.37272727272727274,0.6376903651903653,0.6538190178360836,0.221,0.0031387609604910396,-0.009691222538392056,0.017186109663734156
dataset,concrete3k,tuned_logistic,3000,0.4640336749032401,0.4629739562939657,0.5176666666666667,0.3333333333333333,0.7144837144837145,0.6641078606396527,0.31549609810479373,0.6554182033311228,0.3621212121212121,0.6357899507899507,0.6517720049202421,0.21533333333333332,0.0031382605893203355,-0.009691222538392056,0.017186109663734156
dataset,concrete3k,mlp32,3000,0.47944778162169466,0.4772515823991459,0.522,0.3333333333333333,0.6846846846846847,0.6992884391728322,0.34002229654403565,0.665954725186878,0.41363636363636364,0.6661771561771562,0.6771401068456222,0.245,0.003053200480368757,-0.009691222538392056,0.017186109663734156
dataset,facade390,always_neutral,390,0.3333333333333333,0.06481481481481481,0.1076923076923077,0.3333333333333333,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.0,-0.016428867438774194,0.040762498642981836
dataset,facade390,fixed_logistic,390,0.5156979458450047,0.5110360360360361,0.617948717948718,0.3333333333333333,0.6274509803921569,0.7769607843137255,0.19047619047619047,0.6657772304324029,0.7291666666666666,0.7531616982836495,0.731966571009926,0.49230769230769234,0.016276926544954214,-0.016428867438774194,0.040762498642981836
dataset,facade390,tuned_logistic,390,0.5071584189231247,0.5042482901019486,0.6,0.3333333333333333,0.6127450980392157,0.7782258064516129,0.21428571428571427,0.6753557744937055,0.6944444444444444,0.7490684281842818,0.7342166697098667,0.49230769230769234,0.014218318331289554,-0.016428867438774194,0.040762498642981836
dataset,facade390,mlp32,390,0.519277155306567,0.5167945906432748,0.617948717948718,0.3333333333333333,0.6421568627450981,0.772875816993464,0.21428571428571427,0.6163793103448276,0.7013888888888888,0.7709744805781391,0.7200765359721436,0.4512820512820513,0.013814779763868593,-0.016428867438774194,0.040762498642981836
dataset,khanhha_noisy1,always_neutral,1695,0.3333333333333333,0.19147743201569947,0.40294985250737464,0.3333333333333333,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0026747638136498135,0.019440325222780108
