image_id,physical_group,domain,split,role
khanhha_original::CFD_001.jpg,khanhha::CFD_001,khanhha,cv0,inner
khanhha_original::CFD_007.jpg,khanhha::CFD_007,khanhha,cv0,inner
khanhha_original::CFD_011.jpg,khanhha::CFD_011,khanhha,cv0,inner
khanhha_original::CFD_013.jpg,khanhha::CFD_013,khanhha,cv0,inner
khanhha_original::CFD_014.jpg,khanhha::CFD_014,khanhha,cv0,inner
khanhha_original::CFD_019.jpg,khanhha::CFD_019,khanhha,cv0,inner
khanhha_original::CFD_040.jpg,khanhha::CFD_040,khanhha,cv0,inner
khanhha_original::CFD_047.jpg,khanhha::CFD_047,khanhha,cv0,inner
khanhha_original::CFD_080.jpg,khanhha::CFD_080,khanhha,cv0,inner
khanhha_original::CFD_082.jpg,khanhha::CFD_082,khanhha,cv0,inner
khanhha_original::CFD_084.jpg,khanhha::CFD_084,khanhha,cv0,inner
khanhha_original::CFD_109.jpg,khanhha::CFD_109,khanhha,cv0,inner
khanhha_original::CFD_111.jpg,khanhha::CFD_111,khanhha,cv0,inner
khanhha_original::CFD_118.jpg,khanhha::CFD_118,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_080933_361_1.jpg,khanhha::CRACK500_20160222_080933,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_081031_641_361.jpg,khanhha::CRACK500_20160222_081031,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_081111_641_361.jpg,khanhha::CRACK500_20160222_081111,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_081113_1921_721.jpg,khanhha::CRACK500_20160222_081113,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_115219_1281_721.jpg,khanhha::CRACK500_20160222_115219,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_115305_1281_1081.jpg,khanhha::CRACK500_20160222_115305,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_115305_1921_361.jpg,khanhha::CRACK500_20160222_115305,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_115305_641_1.jpg,khanhha::CRACK500_20160222_115305,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_115305_641_721.jpg,khanhha::CRACK500_20160222_115305,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_115519_641_721.jpg,khanhha::CRACK500_20160222_115519,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_115828_641_1.jpg,khanhha::CRACK500_20160222_115828,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_115833_1921_1081.jpg,khanhha::CRACK500_20160222_115833,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_115833_641_361.jpg,khanhha::CRACK500_20160222_115833,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_115843_1281_361.jpg,khanhha::CRACK500_20160222_115843,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_115847_1281_361.jpg,khanhha::CRACK500_20160222_115847,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_115847_641_361.jpg,khanhha::CRACK500_20160222_115847,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_164822_1281_1.jpg,khanhha::CRACK500_20160222_164822,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_164822_641_1.jpg,khanhha::CRACK500_20160222_164822,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_164822_641_361.jpg,khanhha::CRACK500_20160222_164822,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_164825_641_721.jpg,khanhha::CRACK500_20160222_164825,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_164851_641_1081.jpg,khanhha::CRACK500_20160222_164851,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_164936_641_361.jpg,khanhha::CRACK500_20160222_164936,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_165037_1921_361.jpg,khanhha::CRACK500_20160222_165037,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_165037_1_361.jpg,khanhha::CRACK500_20160222_165037,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_165037_641_361.jpg,khanhha::CRACK500_20160222_165037,khanhha,cv0,inner
khanhha_original::CRACK500_20160222_165218_641_1.jpg,khanhha::CRACK500_20160222_165218,khanhha,cv0,inner
