representation,model,split,n_train,n_inner_train,n_validation,n_test,seed,chosen_C,best_epoch,validation_balanced_accuracy,hit_epoch_limit,warnings,n_parameters,train_balanced_accuracy,elapsed_seconds,epochs_run
mean,fixed_logistic,cv0,7239,5787,1452,1656,42,1.0,,,False,[],771,0.598112771834424,1.5191128669994214,
mean,fixed_logistic,cv1,7008,5605,1403,1887,43,1.0,,,False,[],771,0.5918900357431891,1.6120100070002081,
mean,fixed_logistic,cv2,7203,5763,1440,1692,44,1.0,,,False,[],771,0.5832555804418958,1.6723146080003062,
mean,fixed_logistic,cv3,7003,5603,1400,1892,45,1.0,,,False,[],771,0.5808341166582117,1.573993268999402,
mean,fixed_logistic,cv4,7127,5698,1429,1768,46,1.0,,,False,[],771,0.5808842784394147,1.57615128299949,
mean,fixed_logistic,domain_concrete3k,5895,4716,1179,3000,142,1.0,,,False,[],771,0.6152984742603641,1.2361951059992862,
mean,fixed_logistic,domain_facade390,8505,6801,1704,390,143,1.0,,,False,[],771,0.5817125573205523,1.8885542939988227,
mean,fixed_logistic,domain_khanhha,3810,3050,760,5085,144,1.0,,,False,[],771,0.6060480016600023,0.9186125160013034,
mean,fixed_logistic,domain_road420,8475,6772,1703,420,145,1.0,,,False,[],771,0.5836405426702959,1.8602095890000783,
mean,tuned_logistic,cv0,7239,5787,1452,1656,42,1.0,,0.5458405511154067,False,[],771,0.598112771834424,5.595000008999705,
mean,tuned_logistic,cv1,7008,5605,1403,1887,43,10.0,,0.5525951606296572,False,[],771,0.5951572812010352,6.830731337000543,
mean,tuned_logistic,cv2,7203,5763,1440,1692,44,0.1,,0.5355755793792684,False,[],771,0.5715453548290871,4.824345056000311,
mean,tuned_logistic,cv3,7003,5603,1400,1892,45,0.1,,0.5361851985587825,False,[],771,0.5714154210637561,4.704677256999275,
mean,tuned_logistic,cv4,7127,5698,1429,1768,46,10.0,,0.5384205126950853,False,[],771,0.5882444443607316,6.807633157000964,
mean,tuned_logistic,domain_concrete3k,5895,4716,1179,3000,142,0.1,,0.5603132492477806,False,[],771,0.5987400838035927,3.8857047300007252,
mean,tuned_logistic,domain_facade390,8505,6801,1704,390,143,0.1,,0.5370168879961313,False,[],771,0.5708323867314987,5.742848774001686,
mean,tuned_logistic,domain_khanhha,3810,3050,760,5085,144,0.01,,0.5322905897818789,False,[],771,0.5611758766778968,2.5946575719990506,
mean,tuned_logistic,domain_road420,8475,6772,1703,420,145,10.0,,0.5039495412311754,False,[],771,0.5852385093609503,7.972292160999132,
mean,mlp8,cv0,7239,5787,1452,1656,42,,65.0,0.5660103844471086,False,[],2083,0.6033936645225524,5.432708038999408,95.0
mean,mlp8,cv1,7008,5605,1403,1887,43,,105.0,0.5824527300780811,False,[],2083,0.6075501609139865,5.114274038998701,135.0
mean,mlp8,cv2,7203,5763,1440,1692,44,,80.0,0.5548987942100486,False,[],2083,0.6014968168541575,4.343902126000103,110.0
mean,mlp8,cv3,7003,5603,1400,1892,45,,20.0,0.5464288651512801,False,[],2083,0.5538659118813447,1.495277358999374,50.0
mean,mlp8,cv4,7127,5698,1429,1768,46,,60.0,0.5323744600658726,False,[],2083,0.5833690078589241,3.3225177110016375,90.0
mean,mlp8,domain_concrete3k,5895,4716,1179,3000,142,,170.0,0.5719358015635293,False,[],2083,0.6363087148003644,6.875061066000853,200.0
mean,mlp8,domain_facade390,8505,6801,1704,390,143,,65.0,0.5410559718895843,False,[],2083,0.5921159731302645,4.189743066999654,95.0
mean,mlp8,domain_khanhha,3810,3050,760,5085,144,,50.0,0.569886791489579,False,[],2083,0.6064530968391509,1.4257811620009306,80.0
mean,mlp8,domain_road420,8475,6772,1703,420,145,,25.0,0.5197755751965937,False,[],2083,0.5637178637562291,2.3105562689997896,55.0
mean,mlp32,cv0,7239,5787,1452,1656,42,,40.0,0.5629635029668827,False,[],8323,0.6459156647147303,2.5974243540003954,70.0
mean,mlp32,cv1,7008,5605,1403,1887,43,,40.0,0.5876684770266801,False,[],8323,0.6400391537372645,2.535751633000473,70.0
mean,mlp32,cv2,7203,5763,1440,1692,44,,70.0,0.5530107372823111,False,[],8323,0.6563018249831466,4.120415552999475,100.0
mean,mlp32,cv3,7003,5603,1400,1892,45,,30.0,0.5529631942805652,False,[],8323,0.6218624899619806,2.1249459730006492,60.0
mean,mlp32,cv4,7127,5698,1429,1768,46,,70.0,0.5713949154809521,False,[],8323,0.658812126518224,3.9796564059997763,100.0
mean,mlp32,domain_concrete3k,5895,4716,1179,3000,142,,20.0,0.5843657925301057,False,[],8323,0.6207606278229364,1.515562091000902,50.0
mean,mlp32,domain_facade390,8505,6801,1704,390,143,,15.0,0.5567983340916051,False,[],8323,0.588046339351413,1.7044160030000057,45.0
mean,mlp32,domain_khanhha,3810,3050,760,5085,144,,25.0,0.5677779054085673,False,[],8323,0.6283755502482121,1.1169633720001002,55.0
mean,mlp32,domain_road420,8475,6772,1703,420,145,,30.0,0.5456963438939592,False,[],8323,0.6119506836789353,2.926234571999885,60.0
mean,mlp64,cv0,7239,5787,1452,1656,42,,15.0,0.5539655111517775,False,[],16643,0.6228571899552787,1.7335501159996056,45.0
mean,mlp64,cv1,7008,5605,1403,1887,43,,35.0,0.6006278320036844,False,[],16643,0.6571375535236594,2.6742211880009563,65.0
mean,mlp64,cv2,7203,5763,1440,1692,44,,60.0,0.5717278386521398,False,[],16643,0.6915236635199156,4.163696822999555,90.0
mean,mlp64,cv3,7003,5603,1400,1892,45,,20.0,0.553710960898585,False,[],16643,0.6249035169153515,1.8941325789983239,50.0
mean,mlp64,cv4,7127,5698,1429,1768,46,,35.0,0.5584457082777708,False,[],16643,0.6533349834411281,2.6038270740009466,65.0
mean,mlp64,domain_concrete3k,5895,4716,1179,3000,142,,30.0,0.5854416529127697,False,[],16643,0.6504117124124075,2.0442571509993286,60.0
mean,mlp64,domain_facade390,8505,6801,1704,390,143,,30.0,0.5548304046881215,False,[],16643,0.6352546989261086,2.9817431249994115,60.0
mean,mlp64,domain_khanhha,3810,3050,760,5085,144,,30.0,0.5587066179400674,False,[],16643,0.659626717572251,1.308118678000028,60.0
mean,mlp64,domain_road420,8475,6772,1703,420,145,,30.0,0.5556330873735439,False,[],16643,0.6371521001334889,2.889820068001427,60.0
multiscale_mean,fixed_logistic,cv0,7239,5787,1452,1656,42,1.0,,,False,[],1059,0.6068910545807734,2.440036666001106,
multiscale_mean,fixed_logistic,cv1,7008,5605,1403,1887,43,1.0,,,False,[],1059,0.6052565396458076,2.408312071000182,
multiscale_mean,fixed_logistic,cv2,7203,5763,1440,1692,44,1.0,,,False,[],1059,0.5991203666426738,2.363853630000449,
multiscale_mean,fixed_logistic,cv3,7003,5603,1400,1892,45,1.0,,,False,[],1059,0.5955170680257533,2.3404093440003635,
multiscale_mean,fixed_logistic,cv4,7127,5698,1429,1768,46,1.0,,,False,[],1059,0.597672752038833,2.3710734420001245,
multiscale_mean,tuned_logistic,cv0,7239,5787,1452,1656,42,0.1,,0.5643409136717485,False,[],1059,0.5905477903582786,7.813950019000913,
multiscale_mean,tuned_logistic,cv1,7008,5605,1403,1887,43,0.1,,0.5696883124600735,False,[],1059,0.5896537020329028,7.688252890000513,
multiscale_mean,tuned_logistic,cv2,7203,5763,1440,1692,44,1.0,,0.5384097671685427,False,[],1059,0.5991203666426738,9.218539807001434,
multiscale_mean,tuned_logistic,cv3,7003,5603,1400,1892,45,0.1,,0.5446152930279786,False,[],1059,0.5788296312901319,7.568076298999586,
multiscale_mean,tuned_logistic,cv4,7127,5698,1429,1768,46,10.0,,0.5439896338082746,False,[],1059,0.6037350207641516,11.748551818000124,
multiscale_mean,mlp8,cv0,7239,5787,1452,1656,42,,45.0,0.5681513187153318,False,[],2851,0.6046110688106169,2.9251710129992716,75.0
multiscale_mean,mlp8,cv1,7008,5605,1403,1887,43,,80.0,0.586494905311592,False,[],2851,0.6105792655306231,4.364731839999877,110.0
multiscale_mean,mlp8,cv2,7203,5763,1440,1692,44,,50.0,0.548857645356141,False,[],2851,0.6000590083533884,3.3009955319994333,80.0
multiscale_mean,mlp8,cv3,7003,5603,1400,1892,45,,100.0,0.5580514408927891,False,[],2851,0.615844530300235,5.2723950750005315,130.0
multiscale_mean,mlp8,cv4,7127,5698,1429,1768,46,,55.0,0.5617179275295091,False,[],2851,0.6054332411945338,3.285598521999418,85.0
multiscale_mean,mlp32,cv0,7239,5787,1452,1656,42,,25.0,0.5701433607367196,False,[],11395,0.6350048401883686,2.338322433999565,55.0
multiscale_mean,mlp32,cv1,7008,5605,1403,1887,43,,30.0,0.5898608378592334,False,[],11395,0.6456987057337154,2.2541356140009157,60.0
multiscale_mean,mlp32,cv2,7203,5763,1440,1692,44,,50.0,0.5557187293004674,False,[],11395,0.6605112309851119,3.4335775620002096,80.0
