image_id,dataset,case_name,domain,source_family,physical_group,category,delta_iou,baseline_iou,frangi_iou,historical_train_group,historical_validation_group
khanhha_original::CFD_001.jpg,khanhha_original,CFD_001.jpg,khanhha,CFD,khanhha::CFD_001,improved,0.016020642406250285,0.4328548064691986,0.4488754488754489,False,False
khanhha_original::CFD_007.jpg,khanhha_original,CFD_007.jpg,khanhha,CFD,khanhha::CFD_007,improved,0.036878311606798275,0.3848221670802316,0.42170047868702987,False,False
khanhha_original::CFD_011.jpg,khanhha_original,CFD_011.jpg,khanhha,CFD,khanhha::CFD_011,improved,0.0800074283198405,0.1931843328169949,0.2731917611368354,False,False
khanhha_original::CFD_013.jpg,khanhha_original,CFD_013.jpg,khanhha,CFD,khanhha::CFD_013,degraded,-0.061378160224174416,0.5016529626176146,0.4402748023934402,False,False
khanhha_original::CFD_014.jpg,khanhha_original,CFD_014.jpg,khanhha,CFD,khanhha::CFD_014,improved,0.05477573009764647,0.27805331680099193,0.3328290468986384,False,False
khanhha_original::CFD_019.jpg,khanhha_original,CFD_019.jpg,khanhha,CFD,khanhha::CFD_019,neutral,-0.001392285959768147,0.5192131747483989,0.5178208887886308,False,False
khanhha_original::CFD_037.jpg,khanhha_original,CFD_037.jpg,khanhha,CFD,khanhha::CFD_037,degraded,-0.02052606753925773,0.31348809285571344,0.2929620253164557,False,False
khanhha_original::CFD_040.jpg,khanhha_original,CFD_040.jpg,khanhha,CFD,khanhha::CFD_040,degraded,-0.02803897844823794,0.3062891674127126,0.2782501889644747,False,False
khanhha_original::CFD_047.jpg,khanhha_original,CFD_047.jpg,khanhha,CFD,khanhha::CFD_047,improved,0.021795492616779932,0.23127815315315314,0.2530736457699331,False,False
khanhha_original::CFD_070.jpg,khanhha_original,CFD_070.jpg,khanhha,CFD,khanhha::CFD_070,neutral,-0.008093863167705662,0.36146069733855996,0.3533668341708543,False,False
khanhha_original::CFD_080.jpg,khanhha_original,CFD_080.jpg,khanhha,CFD,khanhha::CFD_080,improved,0.012083924473049346,0.45077245352186435,0.4628563779949137,False,False
khanhha_original::CFD_082.jpg,khanhha_original,CFD_082.jpg,khanhha,CFD,khanhha::CFD_082,degraded,-0.039871635804338196,0.25129424933538547,0.21142261353104727,False,False
khanhha_original::CFD_084.jpg,khanhha_original,CFD_084.jpg,khanhha,CFD,khanhha::CFD_084,improved,0.059737140300690106,0.476030003261224,0.5357671435619141,False,False
khanhha_original::CFD_088.jpg,khanhha_original,CFD_088.jpg,khanhha,CFD,khanhha::CFD_088,degraded,-0.04540295501171737,0.5253050158156349,0.47990206080391756,False,False
khanhha_original::CFD_108.jpg,khanhha_original,CFD_108.jpg,khanhha,CFD,khanhha::CFD_108,neutral,-0.006811076792022586,0.40922026180990323,0.40240918501788064,False,False
