tolerance_iou,scope,name,n_images,improved,neutral,degraded
0.005,all,all,8895,2574,2409,3912
0.005,dataset,khanhha_original,1695,462,740,493
0.005,dataset,khanhha_noisy1,1695,562,487,646
0.005,dataset,khanhha_noisy2,1695,400,627,668
0.005,dataset,road420,420,186,21,213
0.005,dataset,facade390,390,155,22,213
0.005,dataset,concrete3k,3000,809,512,1679
0.005,domain,khanhha,5085,1424,1854,1807
0.005,domain,road420,420,186,21,213
0.005,domain,facade390,390,155,22,213
0.005,domain,concrete3k,3000,809,512,1679
0.01,all,all,8895,2088,3520,3287
0.01,dataset,khanhha_original,1695,300,1071,324
0.01,dataset,khanhha_noisy1,1695,474,683,538
0.01,dataset,khanhha_noisy2,1695,330,788,577
0.01,dataset,road420,420,180,39,201
0.01,dataset,facade390,390,144,42,204
0.01,dataset,concrete3k,3000,660,897,1443
0.01,domain,khanhha,5085,1104,2542,1439
0.01,domain,road420,420,180,39,201
0.01,domain,facade390,390,144,42,204
0.01,domain,concrete3k,3000,660,897,1443
0.02,all,all,8895,1504,4984,2407
0.02,dataset,khanhha_original,1695,151,1371,173
0.02,dataset,khanhha_noisy1,1695,364,998,333
0.02,dataset,khanhha_noisy2,1695,246,1002,447
0.02,dataset,road420,420,164,71,185
0.02,dataset,facade390,390,120,79,191
0.02,dataset,concrete3k,3000,459,1463,1078
0.02,domain,khanhha,5085,761,3371,953
0.02,domain,road420,420,164,71,185
0.02,domain,facade390,390,120,79,191
0.02,domain,concrete3k,3000,459,1463,1078
