scope,name,n_images,n_physical_groups,improved,neutral,degraded,baseline_iou,frangi_iou,mean_delta_iou,median_delta_iou,oracle_iou,oracle_gain_iou,oracle_gain_over_best_constant_iou,oracle_gain_if_delta_above_tolerance_iou,historical_train_overlap_groups,historical_validation_overlap_groups
all,all,8895,2122,2088,3520,3287,0.6063955051922543,0.5965461646231481,-0.009849340569106194,-0.0013299157262494088,0.6244687297792507,0.018073224586996492,0.01807322458699645,0.017484616024030213,730,248
dataset,khanhha_original,1695,854,300,1071,324,0.6238044947390237,0.6229724776349823,-0.0008320171040413125,0.0,0.6309879799353573,0.007183485196333708,0.0071834851963336055,0.006141126047830984,730,248
dataset,khanhha_noisy1,1695,854,474,683,538,0.5678115519313996,0.5704863157450495,0.0026747638136498096,0.0,0.5872518771541797,0.019440325222780126,0.016765561409130214,0.01890511720175453,730,248
dataset,khanhha_noisy2,1695,854,330,788,577,0.5133437612837761,0.4841029913509463,-0.02924076993282985,0.0,0.5280146531587253,0.014670891874949197,0.014670891874949188,0.014186628635334318,730,248
dataset,road420,420,420,180,39,201,0.4836394002561577,0.4700934262501071,-0.013545974006050574,-0.006114492840419121,0.5391420403774232,0.055502640121265504,0.05550264012126549,0.055342327090043976,0,0
dataset,facade390,390,390,144,42,204,0.5163686768272836,0.49993980938850946,-0.0164288674387742,-0.015764738993992833,0.5571311754702655,0.040762498642981856,0.04076249864298187,0.04053944724788887,0,0
dataset,concrete3k,3000,458,660,897,1443,0.6998229373775023,0.6901317148391102,-0.009691222538392072,-0.009087629378075224,0.7170090470412367,0.017186109663734173,0.01718610966373435,0.016657259961438166,0,0
domain,khanhha,5085,854,1104,2542,1439,0.5683199359847332,0.5591872615769926,-0.00913267440774045,0.0,0.5820848367494209,0.013764900764687674,0.013764900764687726,0.013077623961639943,730,248
domain,road420,420,420,180,39,201,0.4836394002561577,0.4700934262501071,-0.013545974006050574,-0.006114492840419121,0.5391420403774232,0.055502640121265504,0.05550264012126549,0.055342327090043976,0,0
domain,facade390,390,390,144,42,204,0.5163686768272836,0.49993980938850946,-0.0164288674387742,-0.015764738993992833,0.5571311754702655,0.040762498642981856,0.04076249864298187,0.04053944724788887,0,0
domain,concrete3k,3000,458,660,897,1443,0.6998229373775023,0.6901317148391102,-0.009691222538392072,-0.009087629378075224,0.7170090470412367,0.017186109663734173,0.01718610966373435,0.016657259961438166,0,0
