sample_id,iou,dice,precision,recall,cldice,crack_fraction_true,crack_fraction_pred,components_pred,components_true,skeleton_covered,iou_dilate_both_tol0,precision_tol0,recall_tol0,f1_tol0,iou_buffered_tol0,iou_dilate_both_tol1,precision_tol1,recall_tol1,f1_tol1,iou_buffered_tol1,iou_dilate_both_tol2,precision_tol2,recall_tol2,f1_tol2,iou_buffered_tol2,iou_dilate_both_tol3,precision_tol3,recall_tol3,f1_tol3,iou_buffered_tol3,iou_dilate_both_tol5,precision_tol5,recall_tol5,f1_tol5,iou_buffered_tol5,iou_dilate_both_tol8,precision_tol8,recall_tol8,f1_tol8,iou_buffered_tol8,baseline_iou,baseline_dice,baseline_precision,baseline_recall,baseline_cldice,baseline_crack_fraction_true,baseline_crack_fraction_pred,baseline_components_pred,baseline_components_true,baseline_skeleton_covered,baseline_iou_dilate_both_tol0,baseline_precision_tol0,baseline_recall_tol0,baseline_f1_tol0,baseline_iou_buffered_tol0,baseline_iou_dilate_both_tol1,baseline_precision_tol1,baseline_recall_tol1,baseline_f1_tol1,baseline_iou_buffered_tol1,baseline_iou_dilate_both_tol2,baseline_precision_tol2,baseline_recall_tol2,baseline_f1_tol2,baseline_iou_buffered_tol2,baseline_iou_dilate_both_tol3,baseline_precision_tol3,baseline_recall_tol3,baseline_f1_tol3,baseline_iou_buffered_tol3,baseline_iou_dilate_both_tol5,baseline_precision_tol5,baseline_recall_tol5,baseline_f1_tol5,baseline_iou_buffered_tol5,baseline_iou_dilate_both_tol8,baseline_precision_tol8,baseline_recall_tol8,baseline_f1_tol8,baseline_iou_buffered_tol8,fraction_reinforce,fraction_suppress,fraction_abstain,residual_abs_mean,residual_abs_max,residual_abs_p50,residual_abs_p90,residual_abs_p99,residual_nonzero_fraction,active_probability_mean,evidence_source_id,improves_baseline,recovered_false_negatives,removed_false_positives,introduced_false_positives,lost_true_positives
LAB00202,0.6766896551724138,0.8071734123066798,0.8117140966247518,0.8026832460732984,0.8601105802780612,0.03979166666666667,0.039348958333333336,66.0,7.0,0.9074074074074074,0.6766896551724138,0.8117140966247518,0.8026832460732984,0.8071734123066798,0.6766896551724138,0.7093182596779719,0.8968398411647915,0.8801537958115183,0.8884184771526155,0.7992382554874399,0.7321454794654657,0.9324950363997353,0.9207297120418848,0.9265750277366985,0.8631949616217964,0.7550428643469491,0.9454831237590999,0.9455988219895288,0.9455409693350494,0.8967071662696875,0.7849718636213174,0.9578093977498345,0.9644142670157068,0.9611004850305299,0.9251139991712997,0.817520145567975,0.9700529450694904,0.9739856020942408,0.9720152958337657,0.9455542401500384,0.6124109135411417,0.7596213947673899,0.8361509730686062,0.6959260471204188,0.8930174647302778,0.03979166666666667,0.033118489583333334,7.0,7.0,0.845679012345679,0.6124109135411417,0.8361509730686062,0.6959260471204188,0.7596213947673899,0.6124109135411417,0.6549282991468506,0.9249066247297032,0.7702879581151832,0.8405459085583206,0.7249497110430441,0.6874771241830065,0.9609789659917437,0.8186354712041884,0.884114505028992,0.792298590682875,0.7167110669616652,0.975230980931787,0.8538121727748691,0.9104914568027513,0.8356900572168461,0.7602862254025045,0.9815215254570474,0.8952061518324608,0.9363789092876317,0.8803688808582056,0.799116874406126,0.9880086494987222,0.9253108638743456,0.9556324812380987,0.9150346636316323,0.000224609375,0.0,0.999775390625,0.36618276020184565,8.741183280944824,0.12877802550792694,0.9986011505126954,2.9345059251785304,1.0,0.06649985909461975,LAB00284,1.0,0.3860640301318267,0.13017396520695862,0.0028161427027469325,0.015281532855295639
LAB00234,0.7405186385737439,0.8509172176180277,0.9570590699622957,0.7659681475272423,0.9394218045618679,0.019417317708333333,0.015540364583333334,1.0,1.0,0.8931297709923665,0.7405186385737439,0.9570590699622957,0.7659681475272423,0.8509172176180277,0.7405186385737439,0.7696911984763978,0.9947633012149141,0.8561609388097234,0.9202726545418022,0.8523194845558638,0.7906566250882561,0.9993715961457897,0.9007544006705783,0.9475038651560495,0.9002445080679865,0.8069907265871803,1.0,0.9287510477787091,0.9630595393307257,0.9287510477787091,0.8343098958333334,1.0,0.9612740989103101,0.9802547226258654,0.96127409891031,0.8583669032546838,1.0,0.9835708298407376,0.9917173766058147,0.9835708298407376,0.7440570522979398,0.8532485233984552,0.9315476190476191,0.7870913663034367,0.9359350240750807,0.019417317708333333,0.01640625,2.0,1.0,0.8854961832061069,0.7440570522979397,0.9315476190476191,0.7870913663034367,0.8532485233984552,0.7440570522979398,0.7709974629456536,0.9924603174603175,0.8625314333612741,0.9229455816114445,0.8569163877460506,0.7913577386468953,0.9996031746031746,0.901089689857502,0.9477934404087244,0.900767469817799,0.8096966031650036,1.0,0.9274098910310142,0.962338001217709,0.9274098910310142,0.8362284883251192,1.0,0.9609388097233864,0.9800803624861075,0.9609388097233863,0.8598255776943153,1.0,0.9844090528080469,0.9921432795471825,0.9844090528080468,0.0,9.765625e-06,0.999990234375,0.14070866377105024,6.300433158874512,0.03658878430724144,0.36154322922229815,1.4451409065723466,1.0,0.04894677922129631,LAB02373,0.0,0.04173228346456693,0.43478260869565216,3.323473694705706e-05,0.03812566560170394
LAB00259,0.7629290210645729,0.8655243767033411,0.9517453798767967,0.7936276551436902,0.8338536981178669,0.14068359375,0.11731119791666667,7.0,5.0,0.7287639132981839,0.7629290210645728,0.9517453798767967,0.7936276551436902,0.8655243767033411,0.7629290210645729,0.7609070275722932,0.974166157944392,0.8126706464898885,0.8861203657777662,0.7955261399464402,0.7570935085162037,0.9841556135190632,0.8265074737377944,0.8984686059147798,0.8156541073084203,0.7522781729336075,0.9893445807203507,0.8379147577398306,0.9073549738966862,0.8304206327031706,0.7435124642419288,0.9931461235362673,0.8524457402008423,0.9174327206787715,0.8474602347615784,0.7322659617608627,0.9954769965036906,0.8588088296543107,0.9221064220573683,0.855470744911002,0.7394170403587444,0.8501894867101498,0.959778812572759,0.763061687259938,0.8035674621224481,0.14068359375,0.11184895833333333,1.0,5.0,0.6842413591095489,0.7394170403587444,0.959778812572759,0.763061687259938,0.8501894867101498,0.7394170403587444,0.7336169672339344,0.9789289871944121,0.7815956314498589,0.869202977098939,0.7686640126350863,0.7270900321543409,0.9867287543655413,0.7965662455458374,0.8815084652580087,0.7881226078848699,0.7193661637726539,0.9906868451688009,0.8089916238604286,0.8906672757413051,0.8028856052511101,0.7054243668720055,0.9940337601862631,0.8254893794252395,0.9019553463871851,0.82141955103515,0.689897466827503,0.9961583236321304,0.8381230043037623,0.9103327763841689,0.8354227388462886,0.0,0.0,1.0,0.45314632881242384,3.9382057189941406,0.31543658673763275,0.9258440315723422,1.9030131518840827,1.0,0.07001390308141708,LAB00791,1.0,0.12978515625,0.013748191027496382,0.0014318354912414319,0.00024258596640184366
LAB00264,0.8600521022997845,0.9247613023704105,0.9166990117337951,0.9329666656537725,0.9253795574829412,0.10712565104166667,0.10902669270833333,5.0,1.0,0.981651376146789,0.8600521022997843,0.9166990117337951,0.9329666656537725,0.9247613023704105,0.8600521022997845,0.866897444705758,0.9468545666258621,0.9573672855449877,0.9520819070772283,0.9085461101466006,0.8739910763523336,0.9656346102170603,0.9741104257194081,0.9698540002127821,0.9414723742198781,0.8812850152471456,0.9779058310691786,0.9860220608344222,0.9819471751767955,0.9645346009892178,0.8929752330567229,0.9879377780431732,0.9962928074386945,0.9920977024173316,0.9843193182481654,0.9057038674450679,0.9937300331412534,0.9996353581087241,0.9966739483920116,0.9933699486768874,0.8585691935713272,0.9239033946554839,0.9307410034228623,0.917165517031815,0.986046511627907,0.10712565104166667,0.10556315104166666,1.0,1.0,0.9724770642201835,0.858569193571327,0.9307410034228623,0.917165517031815,0.9239033946554839,0.8585691935713272,0.8674163953832494,0.9586481235930803,0.9436628277978668,0.9510964529868291,0.9067530143216175,0.8754279290787389,0.9762558204076598,0.9636877449937707,0.9699310710732159,0.9416176372621732,0.8829784668804707,0.9876345246538591,0.9790027044273603,0.983299671463737,0.9671479824142353,0.8946921720963635,0.9960837521971075,0.9931629645385761,0.9946212140886846,0.989299981287272,0.9054771337359129,0.9995682876437756,0.9993011030417212,0.9994346774857508,0.9988699937894536,0.0,0.0,1.0,0.43864327907499195,4.08010196685791,0.29488055408000946,0.9618731796741488,1.7424939286708832,1.0,0.06926889717578888,LAB02108,1.0,0.20689655172413793,0.043187889581478185,0.002356227829954603,0.001457774243779611
LAB00268,0.9155030666840663,0.9558878632012808,0.9469528244583924,0.9649931224209078,0.9553752411529709,0.18932291666666667,0.1929296875,11.0,1.0,0.9646171693735499,0.9155030666840663,0.9469528244583924,0.9649931224209078,0.9558878632012808,0.9155030666840663,0.9199796612324022,0.961800634406425,0.9763583218707015,0.969024806084029,0.9399108841827369,0.9240308154945515,0.9726665316865762,0.9840784044016506,0.9783391906259729,0.9575968674235459,0.9274862086636723,0.981608962678005,0.9899759284731774,0.9857746918088293,0.9719484259044157,0.9315156627539568,0.9904839036242155,0.995735900962861,0.9931029585816737,0.9863004038454398,0.9362887176267881,0.9959843423095094,0.9990027510316368,0.9974912632494812,0.9949950825193794,0.9073817076394395,0.9514421827631009,0.9586664339326235,0.9443259972489684,0.9668891814767947,0.18932291666666667,0.18649088541666667,1.0,1.0,0.9396751740139211,0.9073817076394396,0.9586664339326235,0.9443259972489684,0.9514421827631009,0.9073817076394395,0.9120928659979713,0.9716529935416303,0.9583734525447043,0.9649675381227749,0.9323065446397939,0.9164008861097582,0.9810089020771513,0.9691368638239339,0.9750367458333203,0.9512894651292149,0.920550960818186,0.9882352941176471,0.9782152682255846,0.983199752709116,0.9669546750492127,0.9260539849492984,0.9946762087624367,0.9897352132049518,0.9921995596793758,0.9845198711797694,0.9312984364377974,0.9985337755280154,0.996595598349381,0.9975637455133387,0.9951393328488325,0.0,0.0,1.0,0.5299090064942842,2.824157238006592,0.4825269877910614,0.8983882069587711,1.4318861424922944,1.0,0.07382888346910477,LAB00360,1.0,0.3715256331068561,0.0008445945945945946,0.003153985859765194,1.820763992571283e-05
LAB00271,0.8813226576333822,0.9369181347574326,0.966727188278512,0.9088924176260421,0.9833429063756461,0.08199869791666667,0.07709309895833333,2.0,1.0,0.9672316384180791,0.8813226576333821,0.966727188278512,0.9088924176260421,0.9369181347574326,0.8813226576333822,0.8876441515650741,0.983363594139256,0.9382294561333863,0.9602664726329455,0.9235697872171675,0.8929618768328446,0.9918506945910569,0.9561333862643906,0.97366459265065,0.94868069997241,0.897681987247609,0.9964953764303509,0.9684795553791187,0.9822877467590936,0.9651920212525658,0.9064783096371298,0.9991555123928556,0.9837633981738785,0.9913997157804384,0.9829460999483728,0.9152304663268334,1.0,0.9907502977371972,0.9953536602388976,0.9907502977371971,0.8463495489939094,0.9167814940081005,0.9668839175620927,0.8716157205240175,0.9594356261022927,0.08199869791666667,0.07391927083333333,2.0,1.0,0.9220338983050848,0.8463495489939095,0.9668839175620927,0.8716157205240175,0.9167814940081005,0.8463495489939094,0.8528538436159683,0.9832658094063766,0.9010321556173084,0.9403545811111556,0.8874238158809967,0.8590604026845637,0.9921613528271974,0.9215958713775307,0.9555776406130748,0.914934108815899,0.8644298872742993,0.9965650871939404,0.9364430329495832,0.9655690765688749,0.9334302123975172,0.8749241044323012,0.9995155892196582,0.9560539896784438,0.9773018328068881,0.9556112097953415,0.887073249783924,1.0,0.9712187375942835,0.9853992548585239,0.9712187375942835,0.0,0.0,1.0,0.45962345396891274,4.035491466522217,0.31501635909080505,0.9864745259284974,1.776818636655808,1.0,0.07085758447647095,LAB00268,1.0,0.3014842300556586,0.07446808510638298,0.00032710180688193756,0.0016396429222080525
LAB00272,0.9245610859728508,0.9608020163262235,0.971103760313296,0.9507165456914201,0.9928879371760999,0.087451171875,0.085615234375,2.0,1.0,0.9897330595482546,0.9245610859728507,0.971103760313296,0.9507165456914201,0.9608020163262235,0.9245610859728508,0.9264959030503339,0.9880232690772214,0.9729759910664433,0.980441899153689,0.9616341612506902,0.9284306641266504,0.9949811794228356,0.9847385073515726,0.9898333466230763,0.9798713344121247,0.9305776861311588,0.9980228888635413,0.9912153359389541,0.9946074640284577,0.9892727750035833,0.9347205571730319,0.9992015512718148,0.9965754699423041,0.9978867828832015,0.9957824783054386,0.9391353086545565,0.9993916581118588,0.9997766610831937,0.999584122525288,0.9991685908149286,0.906570507012648,0.9509960462287104,0.9717204676999572,0.9311371673180718,0.9859448204060385,0.087451171875,0.083798828125,1.0,1.0,0.9722792607802875,0.9065705070126482,0.9717204676999572,0.9311371673180718,0.9509960462287104,0.906570507012648,0.908771203971866,0.9879578914656412,0.9555555555555556,0.971486616973893,0.9445541817993374,0.9113224309828568,0.9956493027230704,0.9707426018983808,0.9830382157617414,0.9666422386737697,0.9137612379788866,0.9989511711921687,0.9810161920714685,0.9899024521423765,0.9800067867127487,0.9181318366645668,0.9999223089771977,0.9921459147589801,0.9960189335960005,0.9920694392808447,0.9231378763866878,1.0,0.9980643960543458,0.9990312604791535,0.9980643960543457,0.0,0.0,1.0,0.4915455237709102,3.5811610221862793,0.2783637046813965,1.1654368162155155,2.1115511560440074,1.0,0.07349419593811035,LAB02415,1.0,0.2951351351351351,0.09478021978021978,0.00036122128559013184,0.0007995202878273036
LAB00284,0.6890187298640309,0.8158805082279913,0.9227731461167179,0.7311815495161383,0.9018580424796337,0.05617513020833333,0.04451171875,5.0,1.0,0.8459343794579173,0.689018729864031,0.9227731461167179,0.7311815495161383,0.8158805082279913,0.6890187298640309,0.7078136274610864,0.9443469357905514,0.7724401692066988,0.8497867962178681,0.7388080691680451,0.7223171982611244,0.9596314172882844,0.8059917714550617,0.8761269458797832,0.7795604162479252,0.7379513904902458,0.972721954073424,0.8382105812134206,0.9004706896535948,0.8189601506574687,0.7647597635107003,0.9875676466286383,0.8917540708118444,0.9372184239775345,0.8818542258562104,0.7917323845504897,0.9969284774023695,0.9386915454598134,0.9669339251636361,0.9359845887077425,0.6094207300237451,0.7573168639560817,0.9283310901749664,0.6395086052036855,0.8437440497415641,0.05617513020833333,0.038697916666666665,1.0,1.0,0.746077032810271,0.6094207300237451,0.9283310901749664,0.6395086052036855,0.7573168639560817,0.6094207300237451,0.6275010421008753,0.9496971736204576,0.6797241699020687,0.7923452403071853,0.6561024447986529,0.6437598736176935,0.9658479138627187,0.714782407139132,0.8215621105652334,0.6971619954949791,0.6587434750186428,0.9782133243606999,0.7481601668887987,0.8478585285468544,0.7358979340249661,0.6861384473042308,0.9927658142664872,0.8051805064611463,0.889187482310263,0.8004838513699785,0.7167968027236058,0.9984017496635262,0.8724575534565684,0.9311904389875778,0.8712407457372615,0.0,0.0,1.0,0.3497204404479999,4.516564846038818,0.1671806126832962,0.8734550178050995,1.9839812088012696,1.0,0.06414549797773361,LAB02075,1.0,0.25719337727053526,0.022300469483568074,0.0007713834052253442,0.0016310257339615802
LAB00295,0.7619071085376372,0.8648663767183633,0.8873902313034495,0.8434576252693599,0.8402757003556547,0.11933919270833333,0.11343098958333334,96.0,1.0,0.837696335078534,0.7619071085376371,0.8873902313034495,0.8434576252693599,0.8648663767183633,0.7619071085376372,0.7884674320469601,0.9084256442633301,0.8866643026649573,0.8974130703277656,0.8139159336802037,0.8067398403483309,0.9241806807094071,0.9141867379504105,0.9191565442238325,0.8504067257027286,0.8234628606239938,0.9389599954083683,0.9374812471018248,0.938220038583893,0.8836294455327441,0.8475577677957185,0.9600815014635826,0.9666675758980934,0.9633632823172131,0.9293161875171051,0.8679493595803444,0.9805716581530162,0.9848067428602603,0.9826846375322847,0.9659587122999633,0.6664494774427272,0.7998436033781671,0.9373877341544778,0.697498704345217,0.8482412060301506,0.11933919270833333,0.088798828125,2.0,1.0,0.7364746945898778,0.6664494774427272,0.9373877341544778,0.697498704345217,0.7998436033781671,0.6664494774427272,0.6728286532375546,0.9535906741449467,0.7151468863369793,0.8173333154409165,0.6910935482600755,0.6787471818864997,0.9660178159023425,0.7289762963367066,0.8309221660971156,0.7107500818171705,0.6848746355685131,0.9764287547197478,0.7416055208532227,0.8429691601798852,0.7285623953730938,0.6955322430008036,0.9910187323582242,0.7603993344425957,0.8605255350389602,0.7551951022161631,0.7073103010590616,0.9997067341178195,0.778593055290363,0.8754032645645009,0.7784152638727888,3.2552083333333335e-06,0.0,0.9999967447916667,0.5840540315875842,5.903244972229004,0.337798073887825,1.3309159636497505,3.1589967751502996,1.0,0.08048807084560394,LAB01009,1.0,0.48458070333633907,0.002927400468384075,0.00826169600976078,0.0008994564154706504
LAB00298,0.5267975901729129,0.6900686686481501,0.9352687873315738,0.5467316280958181,0.7961452928094885,0.040087890625,0.023434244791666666,4.0,2.0,0.6613300492610837,0.5267975901729129,0.9352687873315738,0.5467316280958181,0.6900686686481501,0.5267975901729129,0.5512073863636363,0.9772190582025281,0.5918798213560699,0.7372336429905137,0.5838242671719955,0.5720418916281793,0.9948603972773996,0.6281770198944376,0.7700973901904167,0.6261450167258732,0.5918670228554467,0.9995832754549243,0.6636622005684125,0.797700214193144,0.6634786295481307,0.6265900071232319,1.0,0.727568006496143,0.8423031727379554,0.727568006496143,0.6645450662110209,1.0,0.7996751928542428,0.8886883544646482,0.7996751928542427,0.517094678217822,0.6816907153418652,0.9160043847629488,0.5428339423467317,0.7880597014925372,0.040087890625,0.023756510416666668,1.0,2.0,0.6502463054187192,0.5170946782178217,0.9160043847629488,0.5428339423467317,0.6816907153418652,0.517094678217822,0.5405823603882403,0.9639627295149356,0.5833536337799432,0.7268470423120631,0.5709031565476839,0.5602942125298407,0.989997259523157,0.6160779537149818,0.7595104896747221,0.6122667570768618,0.5773584905660377,0.9983557138942176,0.646285018270402,0.7846362165009317,0.6455978260615443,0.6074756888168558,1.0,0.7019894437677628,0.8249045801526718,0.701989443767763,0.6427567406397751,1.0,0.76743808363784,0.8684186345676743,0.7674380836378399,0.0,0.0,1.0,0.23587442362015282,5.305651664733887,0.07596532627940178,0.6678059458732606,1.856483952999115,1.0,0.056133098900318146,LAB02080,1.0,0.03285968028419183,0.2544861337683524,3.0583949543279686e-05,0.02049364248317128
