map,physical_scenes,observations,score_mean,score_q99_mean,score_max_mean,active_fraction_010_mean
black_tophat,4,12,0.19522733427584169,0.8476555496454239,0.9398752003908157,0.3747674851190476
derivative_pair,4,12,0.12580458633601665,0.7584520826737086,0.9562035749355952,0.3219932504251701
frangi_relative,4,12,0.020186086301691785,0.22364730946719644,0.6778626268108686,0.04904403167517002
frangi_similarity_historical,4,12,0.06779630001013474,0.7627006980280081,0.9862569520870844,0.13370103900935368
fusion_ofs_profile,4,12,0.005500950169941122,0.14279918993512788,0.532651524990797,0.01628268494897955
fusion_precision,4,12,0.00582354121312767,0.1481586992740631,0.5699975974857807,0.017772441007653034
fusion_reflectance,4,12,0.006060189077894951,0.15517753486831984,0.5797663927078247,0.01855136585884349
line_step_bic,4,12,0.13899680195997155,0.7022971734404564,0.8974495132764181,0.3597353980654761
ofs,4,12,0.004110750832182903,0.10285224951803684,0.43522452966620523,0.013846261160714258
ofs_reflectance,4,12,0.004235503484854503,0.10641060397028923,0.4396902496616046,0.014229910714285676
paired_profile,4,12,0.13422091491520402,0.6955376366774241,0.9024652739365896,0.38361467633928575
phase_symmetry,4,12,0.08584999231000735,0.476504422724247,0.7445613692204157,0.31236547353316324
verified_frangi_bic,4,12,0.03704112100725369,0.580302274475495,0.9124033451080322,0.08919104751275507
verified_frangi_consensus,4,12,0.006166448380099572,0.1527096020678679,0.6243729715545973,0.01708486128826527
verified_frangi_ofs,4,12,0.006178454798676548,0.14325490687042475,0.5735567808151245,0.017129703443877507
verified_frangi_v2,4,12,0.024761668095985997,0.5144628807902336,0.8825896581013998,0.06547286883503396
