condition,map,n,nonempty_targets,ap_exact_mean,ap_exact_median,ap_exact_ci95_low,ap_exact_ci95_high,ap_tol2_mean,ap_tol2_median,ap_tol2_ci95_low,ap_tol2_ci95_high,precision_top_p01_mean,precision_top_p01_median,precision_top_p01_ci95_low,precision_top_p01_ci95_high,skeleton_recall_top_p01_mean,skeleton_recall_top_p01_median,skeleton_recall_top_p01_ci95_low,skeleton_recall_top_p01_ci95_high,response_mass_near_gt_mean,response_mass_near_gt_median,response_mass_near_gt_ci95_low,response_mass_near_gt_ci95_high,active_fraction_010_mean,active_fraction_010_median,active_fraction_010_ci95_low,active_fraction_010_ci95_high
noisy1,black_tophat,24,20,0.2068856452232924,0.20651363664035155,0.14573891158710636,0.2680394686433537,0.1884111294565982,0.18935355668655787,0.138710829675042,0.23839189924852905,0.35009960159362546,0.33665338645418325,0.229886703187251,0.47665795152722407,0.3727482138095055,0.4107142857142857,0.2733171726668313,0.47163165275108343,0.0829202551394701,0.06812011078000069,0.053168209331731005,0.11515741990491127,0.470767897002551,0.49269571109693877,0.44968336455676017,0.4912243901466837
noisy1,derivative_pair,24,20,0.07280895834855546,0.05624773604863914,0.048640980928184564,0.10009933382121576,0.0843672258879732,0.06875223250908502,0.05912295575764382,0.11220302517461578,0.1227589641434263,0.11752988047808766,0.07527805444887119,0.1835989375830013,0.32238316666506645,0.3363746958637469,0.24713176353196972,0.3967079881434629,0.0788473349918301,0.05106985941529274,0.04600932221122396,0.11891624165873499,0.36433587106717685,0.3750697544642857,0.3311633051658164,0.3853476180511268
noisy1,frangi_relative,24,20,0.1035138601967817,0.06169399593211275,0.05922100389905869,0.14819628491660075,0.10442670220376205,0.07698863484760601,0.07037758487635408,0.14122783181250825,0.197543160690571,0.049800796812749,0.10225348605577687,0.3125,0.2505132003401128,0.1209941137998692,0.14721846615376066,0.36738109220343307,0.09459459816571325,0.0432839747518301,0.05087593300074029,0.14285863714952324,0.0661147759885204,0.06960499043367346,0.04940251979698129,0.0844602831366922
noisy1,frangi_similarity_historical,24,20,0.3360706952148672,0.2778122907197582,0.21308730732516556,0.457926171378573,0.36384766518913353,0.32600980627828874,0.24798762301265798,0.4832102242271967,0.4310258964143426,0.350597609561753,0.2719912018592297,0.6016226759628152,0.23696738249079136,0.20589753516582784,0.16029167272769426,0.32216448400322356,0.23860736924689263,0.1489749476313591,0.14223436938094286,0.34495592644476947,0.20299047353316327,0.21061862244897958,0.17828834170386904,0.22795655127285294
noisy1,fusion_ofs_profile,24,20,0.18938447287114896,0.11141712222581754,0.1215455927459358,0.27278443663594537,0.19363182476223964,0.12982282228789305,0.12140183540502138,0.276687233721587,0.28378154050464804,0.149402390438247,0.16273655378486054,0.4249169986719786,0.3625010283129987,0.35934977804681195,0.24499283786059511,0.4768938760646182,0.38931666951005656,0.3077927976846695,0.25348247106885535,0.5364351697149684,0.013001733896683673,0.00341796875,0.007176198115965138,0.019645908900669636
noisy1,fusion_precision,24,20,0.1889890485620704,0.11195883100398278,0.11874803684185607,0.27243360140017053,0.19273732455753123,0.12963206176443284,0.12175823820561,0.28131683334376556,0.2782204515272244,0.14342629482071712,0.15811337981407703,0.4136163678618857,0.3595763801527848,0.3615819209039548,0.24413827661878187,0.4756229643518071,0.38556658010929823,0.28861769288778305,0.2571825789520517,0.5201143315838028,0.014253162202380954,0.004135443239795918,0.00789834366363733,0.02144559483949829
noisy1,fusion_reflectance,24,20,0.19376090666690282,0.11311402837837382,0.12253273078116543,0.282769985065396,0.1967081047763196,0.13150764517322866,0.12336170900612098,0.2813839381742586,0.276062416998672,0.12848605577689243,0.15521040836653385,0.41111180278884457,0.34786653784212745,0.2996482683982684,0.23144758016997663,0.4567690009141385,0.3838954785072322,0.29041098803281784,0.24356469219795449,0.5232062663572529,0.016599901679421766,0.0042849170918367345,0.00895501999627976,0.026133759167729587
noisy1,line_step_bic,24,20,0.15794432846092166,0.14321596339197068,0.11019247965886517,0.2137458679519658,0.15093935167065245,0.14009988333196285,0.10899232296145187,0.19905059372178513,0.2871845949535193,0.20617529880478086,0.1762097443559097,0.4071256640106241,0.4074363725314346,0.40854978354978355,0.30435478682746353,0.5106730217591134,0.09034463833086193,0.06785386428236961,0.05759904970570157,0.12892235431548513,0.42436290922619047,0.42234335140306123,0.4073201704998406,0.4394361223493303
noisy1,ofs,24,20,0.19092224424849402,0.11187983132215623,0.11812022170287828,0.27634373815011876,0.20180191100696399,0.1301611221198532,0.12506104438596696,0.2900224046833685,0.2729083665338645,0.13745019920318724,0.15908657038512616,0.4115537848605576,0.3360035998831364,0.30742694805194803,0.22700999771892044,0.4518899171259072,0.39901592743505415,0.3699120879173279,0.2561052153158622,0.540153795989075,0.008770793473639455,0.000856983418367347,0.003924415225074405,0.015102921051232992
noisy1,ofs_reflectance,24,20,0.1960705092484328,0.1129511564426291,0.12087748866292675,0.2810613167810258,0.20509066743848953,0.13171004988708535,0.12402958949402447,0.29720376177080926,0.27133134130146086,0.13047808764940239,0.15418949203187252,0.40797020252324023,0.3220885812027464,0.26231157930798216,0.21255611481151743,0.44143768255346766,0.3965984930212774,0.37168659269809723,0.26086975712605637,0.5473071106647542,0.010618456366921769,0.0007772640306122449,0.004184582768654336,0.017950480973639455
