comparison,dataset,metric,reference_mean,candidate_mean,samples,mean_delta,std_delta,median_delta,p05_delta,p95_delta,ci95_low,ci95_high,gains,ties,losses,losses_below_minus_005,losses_below_minus_010
baseline_frangi_vs_none,khanhha_original,iou,0.6238044947390237,0.5191392292706984,1695,-0.10466526546832526,0.2441951895392832,-0.014927189507331073,-0.641639393353385,0.035374836147642995,-0.11642860460604632,-0.09330434274376323,363,144,1188,485,325
baseline_frangi_vs_none,khanhha_original,dice,0.7453199181521043,0.632741969602283,1695,-0.1125779485498213,0.2636786250191342,-0.011896850934050462,-0.7622329663880795,0.031653329305144765,-0.12544240636562018,-0.10013907721543179,363,144,1188,440,311
baseline_frangi_vs_none,khanhha_noisy1,iou,0.5678115519313996,0.44442639600594214,1695,-0.12338515592545761,0.2652337524161931,-0.01864689857008528,-1.0,0.03578030668612659,-0.13612427798096555,-0.11090238201170907,378,137,1180,575,417
baseline_frangi_vs_none,khanhha_noisy1,dice,0.6907005064260806,0.5575872154898844,1695,-0.13311329093619614,0.28196156988270255,-0.01581269931860868,-1.0,0.03424319778079719,-0.1464910677138211,-0.12013487508405807,378,137,1180,554,400
baseline_frangi_vs_none,khanhha_noisy2,iou,0.5133437612837761,0.42675285957812,1695,-0.08659090170565613,0.2236373741329044,-0.011037839892291346,-0.491884545994743,0.057636910148521014,-0.097353758265276,-0.07628740916016294,432,260,1003,514,379
baseline_frangi_vs_none,khanhha_noisy2,dice,0.6243293747541984,0.5290019742293767,1695,-0.09532740052482158,0.24912790119698547,-0.0094023805025637,-0.6528868022164147,0.060668995203629804,-0.10730941162231393,-0.08331890736853725,432,260,1003,509,377
baseline_frangi_vs_none,road420,iou,0.4836394002561577,0.35690252533553485,420,-0.12673687492062283,0.21667496572533487,-0.0828351267013985,-0.5915065923047499,0.17042492326101377,-0.14736090782143352,-0.10643081160842366,105,0,315,244,189
baseline_frangi_vs_none,road420,dice,0.6251577572863767,0.47767049923890376,420,-0.14748725804747276,0.2650114845504567,-0.07676646996526748,-0.7085899849814025,0.18230894346161364,-0.172763898826471,-0.12265624075506855,105,0,315,241,177
baseline_frangi_vs_none,facade390,iou,0.5163686768272836,0.39678402061607543,390,-0.11958465621120819,0.22275889887720843,-0.030864192850422856,-0.5802674691563581,0.12584309494954266,-0.14292472892377936,-0.0976347105865895,150,5,235,182,147
baseline_frangi_vs_none,facade390,dice,0.6655554364566215,0.5168656649602154,390,-0.14868977149640622,0.26818126819402605,-0.025873935043000895,-0.7200013323683756,0.11284533288277147,-0.17599438966213246,-0.12275562684132367,150,5,235,174,143
