dataset,category,case_name,delta_iou_frangi_minus_baseline,variant,target_proxy_pixels,average_precision,average_precision_tolerant_r2,mass_near_target_r2,top_target_count_effective,top_target_count_precision_r2,target_coverage_r2,weighted_distance_mean_px,weighted_distance_p90_px,false_component_count_top_target,false_component_largest_top_target_px,response_mean,response_sum,active_fraction,response_p99_minus_p50,spearman_with_soft_target
khanhha_original,gain_baseline,cracktree200_6266.jpg,-0.16966789327720116,luminance,127,0.017120016123975706,0.09995214542773531,0.11485577170434988,127,0.007874015748031496,0.015748031496062992,41.16981506347656,87.92041778564453,3,98,0.07678741961717606,3582.593994140625,0.2755701303155007,0.943589448928833,0.13941538936581796
khanhha_original,gain_baseline,cracktree200_6266.jpg,-0.16966789327720116,lab_cstar_dark,127,0.002668607200819805,0.03075009087432706,0.03218104124564612,127,0.023622047244094488,0.06299212598425197,38.68232727050781,81.02468872070312,103,6,0.03381152078509331,1577.51025390625,0.6942086762688614,0.2784186005592346,0.03121325955486363
khanhha_original,gain_baseline,cracktree200_6266.jpg,-0.16966789327720116,lab_cstar_light,127,0.002722050754458162,0.028356481481481483,0.0,0,0.0,0.0,nan,nan,0,0,0.0,0.0,0.0,0.0,nan
khanhha_noisy2,gain_baseline,CRACK500_20160308_073532_1_361.jpg,-0.8111651621966129,luminance,7878,0.16466608198924357,0.18815926573959313,0.19375204843743069,7878,0.2030972328002031,0.39235846661589235,67.64335632324219,141.0,109,890,0.077625572681427,3621.69873046875,0.21246999314128945,0.8109398484230042,0.007769119743202526
khanhha_noisy2,gain_baseline,CRACK500_20160308_073532_1_361.jpg,-0.8111651621966129,lab_cstar_dark,7878,0.20317015850577513,0.238032176730852,0.312854144927268,7878,0.28192434628078195,0.47029702970297027,44.70513916015625,122.48265075683594,306,407,0.04975571855902672,2321.40283203125,0.2613168724279835,0.6251315474510193,0.0832012758725882
khanhha_noisy2,gain_baseline,CRACK500_20160308_073532_1_361.jpg,-0.8111651621966129,lab_cstar_light,7878,0.28776725850041673,0.2978465157454619,0.449793222707082,7878,0.3703985783193704,0.6477532368621478,34.300148010253906,104.01922607421875,387,430,0.04201045632362366,1960.0399169921875,0.18955761316872427,0.5995423793792725,0.22077655153662273
road420,gain_baseline,2023_10_30_16_44_IMG_6033.jpg,-0.6802705315293878,luminance,2289,0.8558844656671669,0.7552898535065125,0.5223044783008571,2289,0.8575797291393622,0.9667977282656182,20.046056747436523,71.0,155,37,0.07618337869644165,3554.41162109375,0.4313485939643347,0.968991219997406,0.3325425052765984
road420,gain_baseline,2023_10_30_16_44_IMG_6033.jpg,-0.6802705315293878,lab_cstar_dark,2289,0.153448243099297,0.17477702696268463,0.22169814297316867,2289,0.28265618173875057,0.4338138925294889,36.567840576171875,82.60750579833984,63,306,0.04809608682990074,2243.970947265625,0.2149991426611797,0.6540664434432983,0.1700269044501076
road420,gain_baseline,2023_10_30_16_44_IMG_6033.jpg,-0.6802705315293878,lab_cstar_light,2289,0.05346309323689402,0.0727497008147928,0.09047288135107763,2289,0.09611183923110529,0.2809086937527305,61.477867126464844,99.14131164550781,101,976,0.03379880264401436,1576.9168701171875,0.13816015089163236,0.6563131213188171,0.04653662579926697
road420,gain_frangi,2023_11_01_20_33_IMG_6353.jpg,0.4953818941200306,luminance,1234,0.12436294583158644,0.11533786164640761,0.1028829590293865,1234,0.1612641815235008,0.2698541329011345,52.00282287597656,109.73149108886719,69,263,0.06639210134744644,3097.58984375,0.20400377229080932,0.5789211392402649,0.05586497864771866
road420,gain_frangi,2023_11_01_20_33_IMG_6353.jpg,0.4953818941200306,lab_cstar_dark,1234,0.08876095720995994,0.10118572883501041,0.10917938659310673,1234,0.17828200972447325,0.24311183144246354,40.378665924072266,87.69264221191406,13,176,0.05254031717777252,2451.321044921875,0.18955761316872427,0.5771926045417786,0.04535436001893405
road420,gain_frangi,2023_11_01_20_33_IMG_6353.jpg,0.4953818941200306,lab_cstar_light,1234,0.02579742600437525,0.04716092676377603,0.01804998784370439,1234,0.008914100486223663,0.013776337115072933,48.8714714050293,105.60302734375,17,288,0.03750908002257347,1750.0235595703125,0.0903849451303155,0.7707158327102661,-0.027325780250686858
