metric,dataset,aggregation,direction_better,total_paired_cases,baseline_finite,frangi_finite,common_finite,common_coverage,mean_delta_frangi_minus_baseline,mean_delta_ci95_low,mean_delta_ci95_high,median_delta_frangi_minus_baseline,median_delta_ci95_low,median_delta_ci95_high,mean_improvement_positive_is_better,wins_frangi,ties,losses_frangi,win_rate,tie_rate,loss_rate,tie_tolerance,datasets_with_common_finite,datasets_total
iou,khanhha_original,dataset,higher,1695,1695,1695,1695,1.0,-0.0008320171040413125,-0.0032388516735372837,0.0015222161565064962,0.0,0.0,0.0,-0.0008320171040413125,730,226,739,0.4306784660766962,0.13333333333333333,0.4359882005899705,1e-06,1,1
iou,khanhha_noisy1,dataset,higher,1695,1695,1695,1695,1.0,0.0026747638136498096,-0.0014717071745205335,0.006677588914062338,0.0,0.0,0.0,0.0026747638136498096,672,243,780,0.39646017699115044,0.1433628318584071,0.46017699115044247,1e-06,1,1
iou,khanhha_noisy2,dataset,higher,1695,1695,1695,1695,1.0,-0.02924076993282985,-0.035242020065861385,-0.023249396286012896,0.0,0.0,0.0,-0.02924076993282985,527,363,805,0.31091445427728615,0.21415929203539824,0.4749262536873156,1e-06,1,1
iou,road420,dataset,higher,420,420,420,420,1.0,-0.013545974006050574,-0.031159875269748782,0.0032003402959219994,-0.006114492840419121,-0.017163624779218012,0.0028865235119290254,-0.013545974006050574,196,0,224,0.4666666666666667,0.0,0.5333333333333333,1e-06,1,1
iou,facade390,dataset,higher,390,390,390,390,1.0,-0.0164288674387742,-0.02970583708724589,-0.003110326056662181,-0.015764738993992833,-0.030159143241385966,-0.004235533585994794,-0.0164288674387742,161,2,227,0.4128205128205128,0.005128205128205128,0.5820512820512821,1e-06,1,1
iou,concrete3k,dataset,higher,3000,3000,3000,3000,1.0,-0.009691222538392072,-0.013083075664971345,-0.00627828290258725,-0.009087629378075224,-0.009953201008150715,-0.007763087469064678,-0.009691222538392072,1014,91,1895,0.338,0.030333333333333334,0.6316666666666667,1e-06,1,1
iou,PONDERE_IMAGES,weighted cases,higher,8895,8895,8895,8895,1.0,-0.009849340569106193,-0.01198399077588111,-0.007788936369444046,-0.0013299157262494088,-0.002006044053381352,-0.0007296405370446069,-0.009849340569106193,3300,925,4670,0.37099494097807756,0.10399100618324901,0.5250140528386734,1e-06,6,6
iou,MACRO_6_DATASETS,macro available datasets (stratified bootstrap),higher,8895,8895,8895,8895,1.0,-0.011177347867739698,-0.014936299304478354,-0.0073655680614500745,-0.0030572464202095603,-0.004800458642667935,0.0,-0.011177347867739698,3300,925,4670,0.37099494097807756,0.10399100618324901,0.5250140528386734,1e-06,6,6
wasserstein,khanhha_original,dataset,lower,1695,0,0,0,0.0,,,,,,,,0,0,0,,,,1e-06,0,1
wasserstein,khanhha_noisy1,dataset,lower,1695,0,0,0,0.0,,,,,,,,0,0,0,,,,1e-06,0,1
wasserstein,khanhha_noisy2,dataset,lower,1695,0,0,0,0.0,,,,,,,,0,0,0,,,,1e-06,0,1
wasserstein,road420,dataset,lower,420,0,0,0,0.0,,,,,,,,0,0,0,,,,1e-06,0,1
wasserstein,facade390,dataset,lower,390,0,0,0,0.0,,,,,,,,0,0,0,,,,1e-06,0,1
wasserstein,concrete3k,dataset,lower,3000,0,0,0,0.0,,,,,,,,0,0,0,,,,1e-06,0,1
wasserstein,PONDERE_IMAGES,weighted cases,lower,8895,0,0,0,0.0,,,,,,,,0,0,0,,,,1e-06,0,6
wasserstein,MACRO_6_DATASETS,macro available datasets (stratified bootstrap),lower,8895,0,0,0,0.0,,,,,,,,0,0,0,,,,1e-06,0,6
