run,run_label,epoch,paper_model,paper_label,dataset,sam2_precision,paper_precision,delta_precision_sam2_minus_paper,sam2_recall,paper_recall,delta_recall_sam2_minus_paper,sam2_dice,paper_dice,delta_dice_sam2_minus_paper,sam2_iou,paper_iou,delta_iou_sam2_minus_paper,iou_source,pr_re_f1_source
baseline_best,Baseline SAM 2 + LoRA r=4 — meilleure époque validation,,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",khanhha_original,0.7493221748481216,0.7676,-0.01827782515187837,0.7711459743369301,0.7965,-0.02535402566306988,0.7453199181521043,0.7704,-0.025080081847895674,0.6238044947390237,0.6495,-0.025695505260976303,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
baseline_best,Baseline SAM 2 + LoRA r=4 — meilleure époque validation,,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",khanhha_noisy1,0.7301769076301692,,,0.7189114288075823,,,0.6907005064260806,,,0.5678115519313996,0.5466,0.021211551931399675,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
baseline_best,Baseline SAM 2 + LoRA r=4 — meilleure époque validation,,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",khanhha_noisy2,0.6396915775912075,,,0.6748121664957597,,,0.6243293747541984,,,0.5133437612837761,0.4763,0.03704376128377612,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
baseline_best,Baseline SAM 2 + LoRA r=4 — meilleure époque validation,,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",road420,0.861177869296757,,,0.5637789461305484,,,0.6251577572863767,,,0.4836394002561577,0.6149,-0.1312605997438423,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
baseline_best,Baseline SAM 2 + LoRA r=4 — meilleure époque validation,,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",facade390,0.6406983079117042,,,0.8253946651891335,,,0.6655554364566215,,,0.5163686768272836,0.4718,0.044568676827283604,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
baseline_best,Baseline SAM 2 + LoRA r=4 — meilleure époque validation,,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",concrete3k,0.8836147914888591,,,0.7677740041575412,,,0.7989288114855093,,,0.6998229373775023,0.6718,0.028022937377502388,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
baseline_best,Baseline SAM 2 + LoRA r=4 — meilleure époque validation,,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",MACRO_6_DATASETS,0.7507802714611365,,,0.7203028641862491,,,0.6916653007601484,,,0.5674651370691906,0.5718166666666668,-0.0043515295974762,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
baseline_best,Baseline SAM 2 + LoRA r=4 — meilleure époque validation,,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",PONDERE_IMAGES,0.7705946698678561,,,0.7342852175167484,,,0.7207658485220099,,,0.6063955051922543,0.59498347386172,0.011412031330534256,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
baseline_best,Baseline SAM 2 + LoRA r=4 — meilleure époque validation,,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",khanhha_original,0.7493221748481216,0.762,-0.01267782515187843,0.7711459743369301,0.7918,-0.02065402566306984,0.7453199181521043,0.7639,-0.018580081847895724,0.6238044947390237,0.6416,-0.017795505260976285,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
baseline_best,Baseline SAM 2 + LoRA r=4 — meilleure époque validation,,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",khanhha_noisy1,0.7301769076301692,,,0.7189114288075823,,,0.6907005064260806,,,0.5678115519313996,0.5782,-0.010388448068600398,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
