index,dataset,category,case_name,delta_iou,source,copied_path,sha256,dtype,shape,logit_min,logit_max,logit_mean,probability_min,probability_max,probability_mean,probability_nonzero_0_5
1,khanhha_original,gain_frangi,Sylvie_Chambon_319.jpg,0.3159839802716249,/home/codespace/cracksam2-prompts/khanhha/test_original/Sylvie_Chambon_319.jpg.npy,prompts_npy/khanhha_original/gain_frangi__Sylvie_Chambon_319.jpg.npy,da7524f4a0fff88db1e8aeca5060942901d7d23450897771f8bcfd1d07f4e880,float32,"[1, 256, 256]",-11.51291561126709,6.933971405029297,-9.830463409423828,9.99999883788405e-06,0.9990268349647522,0.040805600583553314,0.026611328125
2,khanhha_noisy1,gain_frangi,CRACK500_20160329_093924_1921_721.jpg,0.7538132793037708,/home/codespace/cracksam2-prompts/khanhha/test_noisy1/CRACK500_20160329_093924_1921_721.jpg.npy,prompts_npy/khanhha_noisy1/gain_frangi__CRACK500_20160329_093924_1921_721.jpg.npy,6d122a516f284babeeae4cf02f6feaad0a5e58073f82d82eb79a2616e8097a6e,float32,"[1, 256, 256]",-11.51291561126709,6.127946853637695,-8.806229591369629,9.99999883788405e-06,0.9978237152099609,0.11337076872587204,0.1262664794921875
3,khanhha_noisy2,gain_frangi,Volker_DSC01646_226_19_1273_1645.jpg,0.6845425867507886,/home/codespace/cracksam2-prompts/khanhha/test_noisy2/Volker_DSC01646_226_19_1273_1645.jpg.npy,prompts_npy/khanhha_noisy2/gain_frangi__Volker_DSC01646_226_19_1273_1645.jpg.npy,42cdb6b1ac6ed07685b3cf87ae8f970d0ff0a1dd6404b475711b113d2fa760ab,float32,"[1, 256, 256]",-11.51291561126709,6.733160018920898,-10.331323623657227,9.99999883788405e-06,0.9988106489181519,0.036897726356983185,0.0388946533203125
4,road420,gain_frangi,2023_11_01_20_33_IMG_6353.jpg,0.4953818941200306,/home/codespace/cracksam2-prompts/road420/test_original/2023_11_01_20_33_IMG_6353.jpg.npy,prompts_npy/road420/gain_frangi__2023_11_01_20_33_IMG_6353.jpg.npy,22869e177e196028a89666eaec28c9d0adae090dd2ad39533c8b2b6fb9e118b4,float32,"[1, 256, 256]",-11.51291561126709,5.824687480926514,-9.362814903259277,9.99999883788405e-06,0.9970549941062927,0.06311647593975067,0.0239410400390625
5,facade390,gain_frangi,DJ_Wall_66.JPG,0.5394883203559511,/home/codespace/cracksam2-prompts/facade390/test_original/DJ_Wall_66.JPG.npy,prompts_npy/facade390/gain_frangi__DJ_Wall_66.JPG.npy,ae27fac4e261c360656a9c7554cb44e22fbee8c6b1ba1f538c2fe70ca0f2ab10,float32,"[1, 256, 256]",-11.51291561126709,7.900660037994385,-10.067535400390625,9.99999883788405e-06,0.9996296167373657,0.07063408941030502,0.074920654296875
6,concrete3k,gain_frangi,224_37.jpg,0.9160935350756534,/home/codespace/cracksam2-prompts/concrete3k/test_original/224_37.jpg.npy,prompts_npy/concrete3k/gain_frangi__224_37.jpg.npy,1904ed60143a497225c9cfda91c481c2d666d33cd19ebd32cd967251fd771200,float32,"[1, 256, 256]",-11.51291561126709,6.289673328399658,-10.14082145690918,9.99999883788405e-06,0.9981480836868286,0.007418423891067505,0.00347900390625
7,khanhha_original,gain_baseline,cracktree200_6266.jpg,-0.16966789327720116,/home/codespace/cracksam2-prompts/khanhha/test_original/cracktree200_6266.jpg.npy,prompts_npy/khanhha_original/gain_baseline__cracktree200_6266.jpg.npy,22042e10f05d1ab6c5e840d9a8e3968d52c0de22143585c516890ece6c86642f,float32,"[1, 256, 256]",-11.51291561126709,7.909057140350342,-9.153840065002441,9.99999883788405e-06,0.999632716178894,0.0718379020690918,0.05145263671875
8,khanhha_noisy1,gain_baseline,CRACK500_20160222_115828_641_1.jpg,-0.5848158356301679,/home/codespace/cracksam2-prompts/khanhha/test_noisy1/CRACK500_20160222_115828_641_1.jpg.npy,prompts_npy/khanhha_noisy1/gain_baseline__CRACK500_20160222_115828_641_1.jpg.npy,ffc5ec6988a81568e87abaaf7e2060d66ede5228e75e4809cbb9f556bbccab36,float32,"[1, 256, 256]",-11.51291561126709,6.814813137054443,-9.385696411132812,9.99999883788405e-06,0.9989038109779358,0.06952224671840668,0.0529327392578125
9,khanhha_noisy2,gain_baseline,CRACK500_20160308_073532_1_361.jpg,-0.8111651621966129,/home/codespace/cracksam2-prompts/khanhha/test_noisy2/CRACK500_20160308_073532_1_361.jpg.npy,prompts_npy/khanhha_noisy2/gain_baseline__CRACK500_20160308_073532_1_361.jpg.npy,a1a63caf8fe67c8b9a33296cce7d7fbe5858e47bc61a37e311a2c6f7e6c95f24,float32,"[1, 256, 256]",-11.51291561126709,6.267464637756348,-9.426640510559082,9.99999883788405e-06,0.9981065392494202,0.07226639240980148,0.05194091796875
10,road420,gain_baseline,2023_10_30_16_44_IMG_6033.jpg,-0.6802705315293878,/home/codespace/cracksam2-prompts/road420/test_original/2023_10_30_16_44_IMG_6033.jpg.npy,prompts_npy/road420/gain_baseline__2023_10_30_16_44_IMG_6033.jpg.npy,0c6b1a292db75805d8c2f62080210399540ce8597144b05559ee15c46ba721fb,float32,"[1, 256, 256]",-11.51291561126709,7.249414920806885,-8.385297775268555,9.99999883788405e-06,0.9992899298667908,0.05884341523051262,0.0431060791015625
11,facade390,gain_baseline,DJ_Wall_231.JPG,-0.4563664418790719,/home/codespace/cracksam2-prompts/facade390/test_original/DJ_Wall_231.JPG.npy,prompts_npy/facade390/gain_baseline__DJ_Wall_231.JPG.npy,a1d8af8a640371f3176be24924d5e783576a9cb90b354e1c2d120dbb41ceabf6,float32,"[1, 256, 256]",-11.51291561126709,5.190358638763428,-9.19433879852295,9.99999883788405e-06,0.9944608211517334,0.0419524610042572,0.0169677734375
12,concrete3k,gain_baseline,128_23.jpg,-0.8669950738916257,/home/codespace/cracksam2-prompts/concrete3k/test_original/128_23.jpg.npy,prompts_npy/concrete3k/gain_baseline__128_23.jpg.npy,39b1653cda7ad55fb4411b68a0b9cd94e7f00f4f1af6c7db97fc817a494c4d28,float32,"[1, 256, 256]",-11.51291561126709,2.398324966430664,-8.816032409667969,9.99999883788405e-06,0.9166994690895081,0.01226803008466959,0.0041351318359375
