run,artifact,source_path,available,contains_partial_metric_values,partial_mean_published,source_size_bytes,source_sha256,copied_path,copied_size_bytes,copied_sha256,copy_verified
baseline_best,support_scan.json,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/wasserstein_exact/support_scan.json,True,False,False,842,1a1efc56b3c9196a4b97db05c436e68a6e874bc141918f36471ccef28a4cf6f8,wasserstein_audit/baseline_best/support_scan.json,842,1a1efc56b3c9196a4b97db05c436e68a6e874bc141918f36471ccef28a4cf6f8,True
baseline_best,oversized.json,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/wasserstein_exact/oversized.json,True,False,False,3496,dbce8ef15ac9658f0252903632caa6e14cc00aceaab00fdcd6a03c0b33f4c704,wasserstein_audit/baseline_best/oversized.json,3496,dbce8ef15ac9658f0252903632caa6e14cc00aceaab00fdcd6a03c0b33f4c704,True
baseline_best,exact_wasserstein_contract.json,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/wasserstein_exact/exact_wasserstein_contract.json,True,False,False,1278,af3c1a9240560550b1b414ea0fa88a767fc633a5175cd1c963da3d5bbc78987b,wasserstein_audit/baseline_best/exact_wasserstein_contract.json,1278,af3c1a9240560550b1b414ea0fa88a767fc633a5175cd1c963da3d5bbc78987b,True
baseline_best,progress.jsonl,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/wasserstein_exact/progress.jsonl,True,True,False,504387,6d44e74e6542fa4d16e24c62621ee01538090269726d903403a959bbe0b1dfb6,wasserstein_audit/baseline_best/progress.jsonl,504387,6d44e74e6542fa4d16e24c62621ee01538090269726d903403a959bbe0b1dfb6,True
epoch20,support_scan.json,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch20/wasserstein_exact/support_scan.json,True,False,False,847,6301aa955bb9445d8a538742a75e627f6d966bae70866d630ba05cbc9edc334c,wasserstein_audit/epoch20/support_scan.json,847,6301aa955bb9445d8a538742a75e627f6d966bae70866d630ba05cbc9edc334c,True
epoch20,oversized.json,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch20/wasserstein_exact/oversized.json,True,False,False,4074,13521a09ad2acb171c8782d502092121bf18f7d5e114b5fc580b74beb8c844ee,wasserstein_audit/epoch20/oversized.json,4074,13521a09ad2acb171c8782d502092121bf18f7d5e114b5fc580b74beb8c844ee,True
epoch20,exact_wasserstein_contract.json,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch20/wasserstein_exact/exact_wasserstein_contract.json,True,False,False,1288,7fa6c4ce5e437eb8b036183880520af3c0bf51356bc7f52cc9519db87c30e14a,wasserstein_audit/epoch20/exact_wasserstein_contract.json,1288,7fa6c4ce5e437eb8b036183880520af3c0bf51356bc7f52cc9519db87c30e14a,True
epoch25_best,support_scan.json,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/wasserstein_exact/support_scan.json,True,False,False,846,4d93ff8f7e7a277c37a4950108d2d48399409db623b8aaa867777637b066fb69,wasserstein_audit/epoch25_best/support_scan.json,846,4d93ff8f7e7a277c37a4950108d2d48399409db623b8aaa867777637b066fb69,True
epoch25_best,oversized.json,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/wasserstein_exact/oversized.json,True,False,False,4104,f2c8015ae59aaa5003341fd31092227743b3824f96118436c5f2889a68e4724a,wasserstein_audit/epoch25_best/oversized.json,4104,f2c8015ae59aaa5003341fd31092227743b3824f96118436c5f2889a68e4724a,True
epoch25_best,exact_wasserstein_contract.json,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/wasserstein_exact/exact_wasserstein_contract.json,True,False,False,1293,40846cf889cbb730d6356e1dde70cf2ad0d79b9cf6abd6a536cd6002530be1ed,wasserstein_audit/epoch25_best/exact_wasserstein_contract.json,1293,40846cf889cbb730d6356e1dde70cf2ad0d79b9cf6abd6a536cd6002530be1ed,True
epoch30,support_scan.json,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch30/wasserstein_exact/support_scan.json,True,False,False,826,130b54714001a48fa33df00deaf88fcdc72ee03a52a6ce25c16368127fa39c8f,wasserstein_audit/epoch30/support_scan.json,826,130b54714001a48fa33df00deaf88fcdc72ee03a52a6ce25c16368127fa39c8f,True
epoch30,oversized.json,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch30/wasserstein_exact/oversized.json,True,False,False,4074,781bcebb2b8e00f97e0c3a5e1683ddd314b0fc0819212f76fc4fc6717864ec55,wasserstein_audit/epoch30/oversized.json,4074,781bcebb2b8e00f97e0c3a5e1683ddd314b0fc0819212f76fc4fc6717864ec55,True
epoch30,exact_wasserstein_contract.json,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch30/wasserstein_exact/exact_wasserstein_contract.json,True,False,False,1288,f3912b2737656d2743a1e52ce575a9493eb958dd7757d91ed459664a33398abe,wasserstein_audit/epoch30/exact_wasserstein_contract.json,1288,f3912b2737656d2743a1e52ce575a9493eb958dd7757d91ed459664a33398abe,True
epoch55,support_scan.json,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch55/wasserstein_exact/support_scan.json,True,False,False,836,d6a84362acee8dbd43c10ce32927473e593e03b867c3020c79e17d41805bb054,wasserstein_audit/epoch55/support_scan.json,836,d6a84362acee8dbd43c10ce32927473e593e03b867c3020c79e17d41805bb054,True
epoch55,oversized.json,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch55/wasserstein_exact/oversized.json,True,False,False,4074,a5e4bc639d5a35394be4a874176bfe83953d9e2e24104b3acd98229683900eb3,wasserstein_audit/epoch55/oversized.json,4074,a5e4bc639d5a35394be4a874176bfe83953d9e2e24104b3acd98229683900eb3,True
epoch55,exact_wasserstein_contract.json,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch55/wasserstein_exact/exact_wasserstein_contract.json,True,False,False,1288,36d3b9d93bc15fe79e082c1162d7b8d15d613ca4a6124aeb571b592e309344ce,wasserstein_audit/epoch55/exact_wasserstein_contract.json,1288,36d3b9d93bc15fe79e082c1162d7b8d15d613ca4a6124aeb571b592e309344ce,True
epoch70,support_scan.json,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch70/wasserstein_exact/support_scan.json,True,False,False,845,ba1125786fdef3639700a4c4d9ac9bf4f57d19c68efcb6e8fcba5aa378df0a9f,wasserstein_audit/epoch70/support_scan.json,845,ba1125786fdef3639700a4c4d9ac9bf4f57d19c68efcb6e8fcba5aa378df0a9f,True
epoch70,oversized.json,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch70/wasserstein_exact/oversized.json,True,False,False,3455,030d514107243a334d959c8a6fc92270c02b89028921e053225522d35b6c4ddc,wasserstein_audit/epoch70/oversized.json,3455,030d514107243a334d959c8a6fc92270c02b89028921e053225522d35b6c4ddc,True
epoch70,exact_wasserstein_contract.json,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch70/wasserstein_exact/exact_wasserstein_contract.json,True,False,False,1288,d2d56577a3533da49b2fd97dc0865d154932a8d151f8eb37683116db15fd04b7,wasserstein_audit/epoch70/exact_wasserstein_contract.json,1288,d2d56577a3533da49b2fd97dc0865d154932a8d151f8eb37683116db15fd04b7,True
